Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63855259900879;747963;0;100;-19230,4;ace1bf8e2b
63855259900985;748096;0;100;-19232,4;ace1bf8e2b
63855259900985;748096;0;100;-19233,8;ace1bf8e2b
63855259901077;748163;0;100;-19233,2;ace1bf8e2b
63855259901178;748296;0;100;-19235;ace1bf8e2b
63855259901178;748296;0;100;-19237,6;ace1bf8e2b
63855259901273;748363;0;100;-19239;ace1bf8e2b
63855259901409;748496;0;100;-19239;ace1bf8e2b
63855259901409;748496;0;100;-19240;ace1bf8e2b
63855259901476;748563;0;100;-19240,4;ace1bf8e2b
63855259901577;748696;0;100;-19241;ace1bf8e2b
63855259901577;748696;0;100;-19240,4;ace1bf8e2b
63855259901687;748763;0;100;-19239,2;ace1bf8e2b
63855259901778;748896;0;100;-19239;ace1bf8e2b
63855259901778;748896;0;100;-19237,4;ace1bf8e2b
63855259901911;748963;0;100;-19237;ace1bf8e2b
63855259902008;749096;0;100;-19236,6;ace1bf8e2b
63855259902008;749096;0;100;-19235,4;ace1bf8e2b
63855259902098;749163;0;100;-19235,6;ace1bf8e2b
63855259902211;749296;0;100;-19234,2;ace1bf8e2b
63855259902211;749296;0;100;-19233,4;ace1bf8e2b
63855259902299;749363;0;100;-19232,8;ace1bf8e2b
63855259902411;749496;0;100;-19231,2;ace1bf8e2b
63855259902411;749496;0;100;-19229,6;ace1bf8e2b
63855259902502;749563;0;100;-19230;ace1bf8e2b
63855259902610;749696;0;100;-19229,4;ace1bf8e2b
63855259902610;749696;0;100;-19228,8;ace1bf8e2b
63855259902711;749830;0;100;-19227,6;ace1bf8e2b
63855259902711;749830;0;100;-19227,6;ace1bf8e2b
63855259902805;749896;0;100;-19226,2;ace1bf8e2b
63855259902977;750029;0;100;-19226,4;ace1bf8e2b
63855259902977;750029;0;100;-19225,2;ace1bf8e2b
63855259903089;750163;0;100;-19225,2;ace1bf8e2b
63855259903089;750163;0;100;-19224;ace1bf8e2b
63855259903172;750230;0;100;-19224,6;ace1bf8e2b
63855259903273;750363;0;100;-19223,6;ace1bf8e2b
63855259903273;750363;0;100;-19222,8;ace1bf8e2b
63855259903379;750496;0;100;-19223,6;ace1bf8e2b
63855259903379;750496;0;100;-19221,8;ace1bf8e2b
63855259903477;750563;0;100;-19221;ace1bf8e2b
63855259903575;750696;0;100;-19221,4;ace1bf8e2b
63855259903575;750696;0;100;-19220,2;ace1bf8e2b
63855259903672;750763;0;100;-19220;ace1bf8e2b
63855259903778;750896;0;100;-19220;ace1bf8e2b
63855259903778;750896;0;100;-19220,4;ace1bf8e2b
63855259903874;750963;0;100;-19220,4;ace1bf8e2b
63855259904011;751096;0;100;-19219,2;ace1bf8e2b
63855259904011;751096;0;100;-19219;ace1bf8e2b
63855259904077;751163;0;100;-19219,4;ace1bf8e2b
63855259904164;751296;0;100;-19218;ace1bf8e2b
63855259904164;751296;0;100;-19218,6;ace1bf8e2b
63855259904275;751363;0;100;-19217,4;ace1bf8e2b
63855259904377;751496;0;100;-19218,4;ace1bf8e2b
63855259904377;751496;0;100;-19216,4;ace1bf8e2b
63855259904477;751563;0;100;-19216,2;ace1bf8e2b
63855259904578;751696;0;100;-19216,2;ace1bf8e2b
63855259904578;751696;0;100;-19216,2;ace1bf8e2b
63855259904678;751763;0;100;-19216;ace1bf8e2b
63855259904778;751896;0;100;-19217,6;ace1bf8e2b
63855259904778;751896;0;100;-19216,2;ace1bf8e2b
63855259904917;751963;0;100;-19214,4;ace1bf8e2b
63855259904978;752096;0;100;-19214,8;ace1bf8e2b
63855259904978;752096;0;100;-19214,8;ace1bf8e2b
63855259905097;752163;0;100;-19214,8;ace1bf8e2b
63855259905178;752296;0;100;-19214,6;ace1bf8e2b
63855259905178;752296;0;100;-19213,2;ace1bf8e2b
63855259905304;752363;0;100;-19213,4;ace1bf8e2b
63855259905411;752496;0;100;-19213,2;ace1bf8e2b
63855259905411;752496;0;100;-19212,4;ace1bf8e2b
63855259905501;752563;0;100;-19211,4;ace1bf8e2b
63855259905614;752696;0;100;-19211,8;ace1bf8e2b
63855259905614;752696;0;100;-19212;ace1bf8e2b
63855259905711;752829;0;100;-19211,8;ace1bf8e2b
63855259905711;752829;0;100;-19212,8;ace1bf8e2b
63855259905802;752896;0;100;-19212,4;ace1bf8e2b
63855259905911;753029;0;100;-19213;ace1bf8e2b
63855259905911;753029;0;100;-19212,4;ace1bf8e2b
63855259906005;753096;0;100;-19211,6;ace1bf8e2b
63855259906111;753229;0;100;-19212,4;ace1bf8e2b
63855259906111;753229;0;100;-19210,8;ace1bf8e2b
63855259906202;753296;0;100;-19211,6;ace1bf8e2b
63855259906311;753429;0;100;-19210,6;ace1bf8e2b
63855259906311;753429;0;100;-19211,8;ace1bf8e2b
63855259906411;753496;0;100;-19211,8;ace1bf8e2b
63855259906503;753629;0;100;-19211,6;ace1bf8e2b
63855259906503;753629;0;100;-19211;ace1bf8e2b
63855259906608;753696;0;100;-19211,8;ace1bf8e2b
63855259906703;753829;0;100;-19211,2;ace1bf8e2b
63855259906703;753829;0;100;-19211,6;ace1bf8e2b
63855259906811;753896;0;100;-19212;ace1bf8e2b
63855259906911;754029;0;100;-19211;ace1bf8e2b
63855259906911;754029;0;100;-19210,8;ace1bf8e2b
63855259907044;754096;0;100;-19211;ace1bf8e2b
63855259907142;754229;0;100;-19210,2;ace1bf8e2b
63855259907142;754229;0;100;-19210;ace1bf8e2b
63855259907206;754296;0;100;-19210;ace1bf8e2b
63855259907444;754496;0;100;-19209,4;ace1bf8e2b
63855259907444;754496;0;100;-19208,2;ace1bf8e2b
63855259907444;754496;0;100;-19207,6;ace1bf8e2b
63855259907511;754629;0;100;-19209,6;ace1bf8e2b
63855259907511;754629;0;100;-19210,2;ace1bf8e2b
63855259907609;754696;0;100;-19211,8;ace1bf8e2b
63855259907745;754829;0;100;-19211;ace1bf8e2b
63855259907745;754829;0;100;-19210,6;ace1bf8e2b
63855259907811;754896;0;100;-19211,6;ace1bf8e2b
63855259907941;755029;0;100;-19213,2;ace1bf8e2b
63855259907941;755029;0;100;-19214,8;ace1bf8e2b
63855259908106;755162;0;100;-19214,8;ace1bf8e2b
63855259908106;755162;0;100;-19214,8;ace1bf8e2b
63855259908211;755296;0;100;-19214,8;ace1bf8e2b
63855259908211;755296;0;100;-19215,4;ace1bf8e2b
63855259908310;755362;0;100;-19215,8;ace1bf8e2b
63855259908400;755496;0;100;-19214;ace1bf8e2b
63855259908400;755496;0;100;-19213,8;ace1bf8e2b
63855259908511;755562;0;100;-19215,4;ace1bf8e2b
63855259908602;755696;0;100;-19215,4;ace1bf8e2b
63855259908602;755696;0;100;-19215;ace1bf8e2b
