Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856407034761;735833;0;100;45;b0514d19a5
63856407035793;736836;0;100;48;b0514d19a5
63856407036593;737606;0;100;55;b0514d19a5
63856407037094;738136;0;100;69;b0514d19a5
63856407037994;739053;0;100;68;b0514d19a5
63856407039093;740092;0;100;66;b0514d19a5
63856407040493;741519;0;100;61;b0514d19a5
63856407043827;744802;0;100;51;b0514d19a5
63856407044727;745772;0;100;54;b0514d19a5
63856407046393;747448;0;100;50;b0514d19a5
63856407048627;749648;0;100;45;b0514d19a5
63856407049227;750218;0;100;59;b0514d19a5
63856407049627;750648;0;100;77;b0514d19a5
63856407052993;753988;0;100;64;b0514d19a5
63856407053694;754674;0;100;69;b0514d19a5
63856407056194;757231;0;100;59;b0514d19a5
63856407057527;758501;0;100;57;b0514d19a5
63856407058327;759351;0;100;60;b0514d19a5
63856407061328;762310;0;100;51;b0514d19a5
63856407061927;762933;0;100;61;b0514d19a5
63856407065227;766267;0;100;52;b0514d19a5
63856407065761;766793;0;100;66;b0514d19a5
63856407067894;768940;0;100;58;b0514d19a5
63856407070894;771899;0;100;49;b0514d19a5
63856407072694;773726;0;100;46;b0514d19a5
63856407073227;774272;0;100;60;b0514d19a5
63856407075695;776735;0;100;52;b0514d19a5
63856407077561;778572;0;100;48;b0514d19a5
63856407079995;781055;0;100;43;b0514d19a5
63856407082011;783015;0;100;40;b0514d19a5
63856407082728;783801;0;100;48;b0514d19a5
63856407088561;789601;0;100;40;b0514d19a5
63856407089595;790584;0;100;45;b0514d19a5
63856407091763;792801;0;100;41;b0514d19a5
63856407092595;793654;0;100;48;b0514d19a5
63856407096595;797587;0;100;41;b0514d19a5
63856407097728;798777;0;100;43;b0514d19a5
63856407099062;800100;0;100;43;b0514d19a5
63856407099761;800796;0;100;53;b0514d19a5
63856407100328;801363;0;100;65;b0514d19a5
63856407100745;801743;0;100;86;b0514d19a5
63856407101162;802186;0;100;97;b0514d19a5
63856407101862;802893;0;100;95;b0514d19a5
63856407102462;803446;0;100;98;b0514d19a5
63856407105128;806186;0;100;81;b0514d19a5
63856407106495;807533;0;100;73;b0514d19a5
63856407109029;810069;0;100;62;b0514d19a5
63856407113329;814328;0;100;52;b0514d19a5
63856407113528;814602;0;100;89;b0514d19a5
63856407114362;815365;0;100;87;b0514d19a5
63856407116396;817375;0;100;75;b0514d19a5
63856407117929;818905;0;100;67;b0514d19a5
63856407118328;819298;0;100;86;b0514d19a5
63856407119462;820521;0;100;78;b0514d19a5
63856407121095;822158;0;100;69;b0514d19a5
63856407122595;823677;0;100;63;b0514d19a5
63856407123730;824697;0;100;62;b0514d19a5
63856407125162;826211;0;100;57;b0514d19a5
63856407125762;826794;0;100;67;b0514d19a5
63856407127262;828344;0;100;61;b0514d19a5
63856407129296;830300;0;100;54;b0514d19a5
63856407133362;834356;0;100;46;b0514d19a5
63856407133996;835023;0;100;56;b0514d19a5
63856407136329;837316;0;100;49;b0514d19a5
63856407137129;838176;0;100;54;b0514d19a5
63856407137562;838609;0;100;73;b0514d19a5
63856407138363;839373;0;100;75;b0514d19a5
63856407141446;842496;0;100;62;b0514d19a5
63856407142396;843426;1;100;63;b0514d19a5
63856407144030;845022;1;100;57;b0514d19a5
63856407144929;845932;1;100;59;b0514d19a5
63856407145629;846648;1;100;65;b0514d19a5
63856407146329;847325;1;100;71;b0514d19a5
63856407147047;848055;1;100;73;b0514d19a5
63856407148046;849028;1;100;71;b0514d19a5
63856407149480;850495;1;100;64;b0514d19a5
63856407150105;851148;1;100;71;b0514d19a5
63856407151007;851995;1;100;71;b0514d19a5
63856407151329;852315;1;100;97;b0514d19a5
63856407154074;855111;1;100;80;b0514d19a5
63856407155213;856241;1;100;74;b0514d19a5
63856407156214;857274;1;100;71;b0514d19a5
63856407156729;857781;1;100;81;b0514d19a5
63856407157112;858194;1;100;97;b0514d19a5
63856407157632;858681;1;100;103;b0514d19a5
63856407158438;859474;1;100;97;b0514d19a5
63856407159146;860210;1;100;94;b0514d19a5
63856407160574;861627;1;100;83;b0514d19a5
63856407165579;866600;1;100;67;b0514d19a5
63856407167210;868230;1;100;60;b0514d19a5
63856407167605;868610;1;100;82;b0514d19a5
63856407169110;870160;1;100;73;b0514d19a5
63856407170344;871336;1;100;68;b0514d19a5
63856407170841;871873;1;100;78;b0514d19a5
63856407171379;872379;1;100;87;b0514d19a5
63856407173163;874226;1;100;75;b0514d19a5
63856407174531;875582;1;100;68;b0514d19a5
63856407176341;877419;1;100;61;b0514d19a5
63856407178372;879339;1;100;54;b0514d19a5
63856407178763;879822;1;100;70;b0514d19a5
63856407181637;882642;1;100;59;b0514d19a5
63856407185073;886141;1;100;50;b0514d19a5
63856407187043;887798;1;100;47;b0514d19a5
63856407188341;889404;1;100;45;b0514d19a5
63856407189365;890381;1;100;49;b0514d19a5
63856407190073;891037;1;100;58;b0514d19a5
63856407191209;892197;1;100;57;b0514d19a5
63856407194041;895047;1;100;49;b0514d19a5
63856407196163;897220;1;100;44;b0514d19a5
63856407197795;898787;1;100;43;b0514d19a5
63856407198509;899577;1;100;51;b0514d19a5
63856407200530;901603;1;100;46;b0514d19a5
63856407202068;903056;1;100;45;b0514d19a5
63856407203793;904786;1;100;43;b0514d19a5
63856407205163;906243;-1;100;43;b0514d19a5
63856407205914;906909;-1;100;54;b0514d19a5
63856407207113;908142;-1;100;53;b0514d19a5
63856407208537;909589;-1;100;50;b0514d19a5
63856407209330;910392;-1;100;56;b0514d19a5
63856407210871;911912;-1;100;52;b0514d19a5
63856407212197;913255;-1;100;51;b0514d19a5
63856407214006;915062;-1;100;47;b0514d19a5
63856407215043;916015;-1;100;51;b0514d19a5
63856407215431;916468;-1;100;69;b0514d19a5
63856407216242;917311;-1;100;70;b0514d19a5
63856407217764;918761;-1;100;64;b0514d19a5
63856407219397;920398;-1;100;58;b0514d19a5
63856407222864;923884;-1;100;49;b0514d19a5
63856407224114;925147;-1;100;49;b0514d19a5
63856407224497;925561;-1;100;70;b0514d19a5
63856407226444;927430;-1;100;62;b0514d19a5
63856407227645;928677;-1;100;59;b0514d19a5
63856407228776;929770;-1;100;58;b0514d19a5
63856407229610;930613;-1;100;61;b0514d19a5
63856407230643;931597;2;100;61;b0514d19a5
63856407231008;931987;2;100;83;b0514d19a5
63856407232335;933337;2;100;74;b0514d19a5
63856407233564;934563;2;100;69;b0514d19a5
63856407235198;936210;2;100;62;b0514d19a5
63856407236004;937003;2;100;65;b0514d19a5
63856407237030;938046;2;100;63;b0514d19a5
63856407238547;939536;2;100;58;b0514d19a5
63856407239778;940839;2;100;56;b0514d19a5
63856407240998;941966;2;100;55;b0514d19a5
63856407241409;942406;2;100;74;b0514d19a5
63856407242308;943385;2;100;71;b0514d19a5
63856407244669;945709;2;100;61;b0514d19a5
63856407246110;947075;2;100;58;b0514d19a5
63856407246473;947528;2;100;74;b0514d19a5
63856407247407;948455;2;100;72;b0514d19a5
63856407250364;951371;2;100;61;b0514d19a5
63856407251667;952661;2;100;58;b0514d19a5
63856407252698;953704;2;100;58;b0514d19a5
63856407253631;954594;2;100;60;b0514d19a5
63856407254010;954998;2;100;80;b0514d19a5
63856407255931;956918;2;100;69;b0514d19a5
63856407256538;957561;2;100;75;b0514d19a5
63856407257364;958364;2;100;75;b0514d19a5
63856407257673;958671;2;100;102;b0514d19a5
63856407258881;959917;2;100;90;b0514d19a5
63856407260931;961977;2;100;76;b0514d19a5
63856407261976;962940;2;100;73;b0514d19a5
63856407262964;963957;2;100;70;b0514d19a5
63856407267066;968016;2;100;58;b0514d19a5
63856407267677;968730;2;100;64;b0514d19a5
63856407269041;970083;2;100;60;b0514d19a5
63856407269964;970969;2;100;62;b0514d19a5
63856407270448;971519;2;100;72;b0514d19a5
63856407271870;972853;2;100;66;b0514d19a5
63856407273131;974149;2;100;62;b0514d19a5
63856407274840;975822;2;100;56;b0514d19a5
63856407277272;978282;2;100;49;b0514d19a5
63856407278305;979305;2;100;52;b0514d19a5
63856407279349;980358;2;100;53;b0514d19a5
63856407280015;980988;2;100;63;b0514d19a5
63856407280832;981822;2;100;65;b0514d19a5
63856407281239;982272;2;100;80;b0514d19a5
63856407282465;983458;2;100;74;b0514d19a5
63856407282964;983945;2;100;85;b0514d19a5
63856407283481;984491;2;100;91;b0514d19a5
63856407286242;987248;2;100;76;b0514d19a5
63856407287437;988471;2;100;70;b0514d19a5
63856407288764;989801;2;100;64;b0514d19a5
63856407290411;991391;2;100;59;b0514d19a5
63856407290998;992054;2;100;66;b0514d19a5
63856407292539;993564;2;100;60;b0514d19a5
63856407293245;994274;2;100;66;b0514d19a5
63856407294182;995180;2;100;66;b0514d19a5
63856407294765;995834;2;100;72;b0514d19a5
63856407295198;996187;2;100;94;b0514d19a5
63856407296400;997443;2;100;84;b0514d19a5
63856407297202;998223;2;100;83;b0514d19a5
63856407297732;998760;2;100;89;b0514d19a5
63856407299044;1000050;2;100;80;b0514d19a5
63856407302329;1003303;2;100;66;b0514d19a5
63856407302831;1003839;2;100;77;b0514d19a5
63856407303032;1004050;2;100;123;b0514d19a5
63856407303965;1005006;2;100;110;b0514d19a5
63856407305361;1006432;2;100;95;b0514d19a5
63856407306298;1007282;2;100;90;b0514d19a5
63856407307695;1008746;2;100;79;b0514d19a5
63856407310579;1011555;2;100;66;b0514d19a5
63856407311242;1012265;2;100;71;b0514d19a5
63856407312582;1013625;2;100;65;b0514d19a5
63856407316667;1017691;2;100;54;b0514d19a5
63856407317865;1018855;2;100;53;b0514d19a5
63856407319816;1020798;2;100;48;b0514d19a5
63856407320632;1021591;2;100;55;b0514d19a5
