Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63856407056294;757083;0;100;0,133333;b0514d19a5
63856407075494;775948;0;100;0,533333;b0514d19a5
63856407075794;776614;0;100;0,133333;b0514d19a5
63856407103995;804545;0;100;0,4;b0514d19a5
63856407109029;809812;0;100;0,2;b0514d19a5
63856407161480;862339;1;100;0,066667;b0514d19a5
63856407177096;877671;1;100;0,333333;b0514d19a5
63856407177647;878405;1;100;0,133333;b0514d19a5
63856407244375;944864;2;100;0,4;b0514d19a5
63856407260006;960796;2;100;0,133333;b0514d19a5
63856407279403;980127;2;100;0,2;b0514d19a5
63856407290411;991126;2;100;0,2;b0514d19a5
63856407295498;996060;2;100;0,333333;b0514d19a5
63856407296503;997125;2;100;0,333333;b0514d19a5
63856407304165;1004725;2;100;0,333333;b0514d19a5
63856407308832;1009524;2;100;0,266667;b0514d19a5
63856407316143;1016790;2;100;0,333333;b0514d19a5
63856407336398;1037121;2;100;0,266667;b0514d19a5
63856407339472;1040122;-2;100;0,266667;b0514d19a5
63856407343699;1044321;-2;100;0,266667;b0514d19a5
63856407353141;1053720;3;100;0,4;b0514d19a5
63856407367483;1068385;3;100;0,066667;b0514d19a5
63856407378074;1078784;3;100;0,266667;b0514d19a5
63856407379784;1080384;3;100;0,333333;b0514d19a5
63856407385633;1086117;3;100;0,466667;b0514d19a5
63856407396534;1096849;3;100;0,6;b0514d19a5
63856407397034;1097583;3;100;0,4;b0514d19a5
63856407398717;1099382;3;100;0,2;b0514d19a5
63856407400934;1101782;3;100;0,133333;b0514d19a5
63856407406935;1107715;3;100;0,2;b0514d19a5
63856407409100;1109647;3;100;0,4;b0514d19a5
63856407411051;1111115;3;100;0,866667;b0514d19a5
63856407424551;1125379;3;100;0,066667;b0514d19a5
63856407431067;1131446;-3;100;0,6;b0514d19a5
63856407449385;1150244;-3;100;0,133333;b0514d19a5
63856407456851;1157510;4;100;0,266667;b0514d19a5
63856407457202;1157910;4;100;0,2;b0514d19a5
63856407457335;1158243;4;100;0,066667;b0514d19a5
63856407458251;1158843;4;100;0,4;b0514d19a5
63856407469418;1169975;4;100;0,4;b0514d19a5
63856407469618;1170508;4;100;0,066667;b0514d19a5
63856407470151;1170708;4;100;0,4;b0514d19a5
63856407470435;1171242;4;100;0,133333;b0514d19a5
63856407472151;1172509;4;100;0,6;b0514d19a5
63856407477402;1178041;4;100;0,333333;b0514d19a5
63856407478719;1179574;4;100;0,133333;b0514d19a5
63856407479418;1179974;4;100;0,4;b0514d19a5
63856407483169;1183907;4;100;0,2;b0514d19a5
63856407501719;1202506;4;100;0,133333;b0514d19a5
63856407502340;1203038;4;100;0,266667;b0514d19a5
63856407523336;1223769;4;100;0,533333;b0514d19a5
63856407529852;1230235;4;100;0,533333;b0514d19a5
63856407547836;1248634;4;100;0,133333;b0514d19a5
63856407548436;1249167;4;100;0,266667;b0514d19a5
63856407553136;1253900;4;100;0,2;b0514d19a5
63856407553453;1254233;4;100;0,133333;b0514d19a5
63856407553672;1254500;4;100;0,066667;b0514d19a5
63856407557237;1257966;4;100;0,266667;b0514d19a5
63856407558104;1258899;4;100;0,133333;b0514d19a5
63856407563620;1264499;4;100;0,066667;b0514d19a5
63856407564520;1265365;4;100;0,066667;b0514d19a5
63856407569353;1269499;4;100;0,733333;b0514d19a5
63856407569637;1270365;4;100;0,266667;b0514d19a5
63856407575936;1276364;4;100;0,466667;b0514d19a5
63856407582671;1283431;4;100;0,2;b0514d19a5
63856407582870;1283764;4;100;0,066667;b0514d19a5
63856407583387;1284097;4;100;0,266667;b0514d19a5
63856407591453;1292097;4;100;0,266667;b0514d19a5
63856407592771;1293430;4;100;0,266667;b0514d19a5
63856407597254;1297496;-4;100;0,733333;b0514d19a5
63856407601187;1301962;-4;100;0,133333;b0514d19a5
63856407611471;1312094;-4;100;0,266667;b0514d19a5
63856407617137;1317894;-4;100;0,133333;b0514d19a5
63856407617304;1318160;-4;100;0,133333;b0514d19a5
63856407622204;1322826;5;100;0,333333;b0514d19a5
63856407643588;1344491;5;100;0,066667;b0514d19a5
63856407645538;1345957;5;100;0,533333;b0514d19a5
63856407659638;1360156;5;100;0,4;b0514d19a5
63856407659839;1360689;5;100;0,133333;b0514d19a5
63856407667872;1368555;5;100;0,266667;b0514d19a5
63856407668272;1369088;5;100;0,133333;b0514d19a5
63856407689573;1389753;5;100;0,733333;b0514d19a5
63856407706839;1407418;-5;100;0,4;b0514d19a5
63856407707056;1407951;-5;100;0,066667;b0514d19a5
63856407714373;1415018;-5;100;0,333333;b0514d19a5
63856407715906;1416551;-5;100;0,333333;b0514d19a5
63856407716206;1417017;-5;100;0,133333;b0514d19a5
63856407723473;1424217;6;100;0,2;b0514d19a5
63856407745373;1445415;6;100;0,933333;b0514d19a5
63856407764907;1465546;6;100;0,266667;b0514d19a5
63856407765107;1465945;6;100;0,066667;b0514d19a5
63856407772707;1473211;6;100;0,4;b0514d19a5
63856407780840;1481144;6;100;0,6;b0514d19a5
63856407781640;1482411;6;100;0,2;b0514d19a5
63856407786940;1487743;6;100;0,066667;b0514d19a5
63856407787207;1487943;6;100;0,2;b0514d19a5
63856407802841;1503142;6;100;0,666667;b0514d19a5
63856407803641;1504475;6;100;0,066667;b0514d19a5
63856407818374;1518807;-6;100;0,466667;b0514d19a5
63856407819008;1519406;-6;100;0,533333;b0514d19a5
63856407819308;1520074;-6;100;0,133333;b0514d19a5
63856407822241;1523007;-6;100;0,2;b0514d19a5
63856407849442;1549804;7;100;0,533333;b0514d19a5
63856407858042;1558803;7;100;0,2;b0514d19a5
63856407866509;1566736;7;100;0,666667;b0514d19a5
63856407867209;1567935;7;100;0,2;b0514d19a5
63856407871309;1572001;7;100;0,266667;b0514d19a5
63856407874710;1575601;7;100;0,066667;b0514d19a5
63856407878142;1578801;7;100;0,266667;b0514d19a5
63856407878573;1579467;7;100;0,066667;b0514d19a5
63856407881576;1582267;7;100;0,2;b0514d19a5
63856407886910;1587334;7;100;0,533333;b0514d19a5
63856407900410;1601065;-7;100;0,333333;b0514d19a5
63856407900643;1601532;-7;100;0,066667;b0514d19a5
63856407904376;1604932;-7;100;0,4;b0514d19a5
63856407914243;1614997;-7;100;0,2;b0514d19a5
63856407914777;1615331;-7;100;0,333333;b0514d19a5
63856407919493;1619997;-7;100;0,466667;b0514d19a5
63856407927977;1628730;8;100;0,2;b0514d19a5
63856407928177;1629062;8;100;0,066667;b0514d19a5
63856407938143;1638728;8;100;0,333333;b0514d19a5
63856407938410;1639195;8;100;0,133333;b0514d19a5
63856407938710;1639462;8;100;0,2;b0514d19a5
63856407939110;1639928;8;100;0,066667;b0514d19a5
63856407963106;1663859;8;100;0,133333;b0514d19a5
63856407963344;1664125;8;100;0,066667;b0514d19a5
63856407963510;1664325;8;100;0,133333;b0514d19a5
63856407963810;1664725;8;100;0,066667;b0514d19a5
63856407964444;1665125;8;100;0,2;b0514d19a5
63856407968706;1669259;8;100;0,333333;b0514d19a5
