Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63857503119307;389945;0;100;44,907;bbdd1709de
63857503119707;390345;0;100;46,4697;bbdd1709de
63857503120040;390612;0;100;45,9322;bbdd1709de
63857503120340;390945;0;100;45,4008;bbdd1709de
63857503120673;391279;0;100;44,8756;bbdd1709de
63857503121007;391612;0;100;44,3565;bbdd1709de
63857503121407;392012;0;100;43,8434;bbdd1709de
63857503121707;392345;0;100;43,3362;bbdd1709de
63857503122006;392612;0;100;42,8349;bbdd1709de
63857503122307;392945;0;100;42,3394;bbdd1709de
63857503122706;393345;0;100;43,9318;bbdd1709de
63857503123040;393612;0;100;43,4236;bbdd1709de
63857503123340;393945;0;100;45,0035;bbdd1709de
63857503123940;394345;0;100;44,4829;bbdd1709de
63857503124040;394678;0;100;46,0506;bbdd1709de
63857503124340;394945;0;100;47,6001;bbdd1709de
63857503124673;395278;0;100;49,1318;bbdd1709de
63857503125073;395678;0;100;48,5634;bbdd1709de
63857503125407;395945;0;100;48,0016;bbdd1709de
63857503125740;396345;0;100;47,4463;bbdd1709de
63857503126023;396678;0;100;46,8975;bbdd1709de
63857503126340;396945;0;100;46,3549;bbdd1709de
63857503126673;397278;0;100;45,8187;bbdd1709de
63857503127073;397678;0;100;45,2887;bbdd1709de
63857503127373;397945;0;100;46,847;bbdd1709de
63857503127707;398345;0;100;50,4696;bbdd1709de
63857503128040;398611;0;100;51,968;bbdd1709de
63857503128340;398945;0;100;51,3669;bbdd1709de
63857503128640;399278;0;100;50,7726;bbdd1709de
63857503129040;399678;0;100;50,1853;bbdd1709de
63857503129340;399944;0;100;49,6047;bbdd1709de
63857503129673;400278;0;100;49,0309;bbdd1709de
63857503130073;400678;0;100;48,4637;bbdd1709de
63857503130373;400944;0;100;49,9853;bbdd1709de
63857503130673;401278;0;100;49,4071;bbdd1709de
63857503131040;401678;0;100;48,8356;bbdd1709de
63857503131340;401944;0;100;48,2706;bbdd1709de
63857503131673;402278;0;100;47,7122;bbdd1709de
63857503132073;402677;0;100;47,1603;bbdd1709de
63857503132374;402944;0;100;48,697;bbdd1709de
63857503132673;403277;0;100;48,1337;bbdd1709de
63857503132973;403611;0;100;47,5769;bbdd1709de
63857503133374;404011;0;100;47,0265;bbdd1709de
63857503133673;404277;0;100;46,4825;bbdd1709de
63857503133974;404611;0;100;45,9448;bbdd1709de
63857503134406;405011;0;100;45,4133;bbdd1709de
63857503134707;405277;0;100;44,8879;bbdd1709de
63857503135006;405611;0;100;44,3687;bbdd1709de
63857503135307;405944;0;100;45,9376;bbdd1709de
63857503135707;406344;0;100;45,4062;bbdd1709de
63857503135974;406610;0;100;44,881;bbdd1709de
63857503136374;407010;0;100;44,3618;bbdd1709de
