Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856141436846;403929;0;100;62;c72e33d6b7
63856141442946;410034;0;100;51;c72e33d6b7
63856141443563;410668;0;100;61;c72e33d6b7
63856141444579;411741;0;100;60;c72e33d6b7
63856141445462;412588;0;100;63;c72e33d6b7
63856141449513;416571;0;100;52;c72e33d6b7
63856141450129;417194;0;100;62;c72e33d6b7
63856141451646;418744;0;100;57;c72e33d6b7
63856141452146;419260;0;100;71;c72e33d6b7
63856141452745;419833;0;100;78;c72e33d6b7
63856141453679;420834;0;100;74;c72e33d6b7
63856141455495;422580;0;100;66;c72e33d6b7
63856141456195;423366;0;100;68;c72e33d6b7
63856141459579;426626;0;100;57;c72e33d6b7
63856141460912;428049;0;100;54;c72e33d6b7
63856141461795;428946;0;100;57;c72e33d6b7
63856141462112;429263;0;100;87;c72e33d6b7
63856141463145;430216;0;100;82;c72e33d6b7
63856141464829;431996;0;100;71;c72e33d6b7
63856141467079;434235;0;100;62;c72e33d6b7
63856141469028;436158;0;100;55;c72e33d6b7
63856141469645;436792;0;100;64;c72e33d6b7
63856141472846;439988;0;100;54;c72e33d6b7
63856141473379;440528;0;100;67;c72e33d6b7
63856141476911;444024;0;100;56;c72e33d6b7
63856141480695;447824;0;100;47;c72e33d6b7
63856141485545;452654;0;100;39;c72e33d6b7
63856141486295;453420;0;100;48;c72e33d6b7
63856141486995;454100;0;100;57;c72e33d6b7
63856141491845;458946;0;100;47;c72e33d6b7
63856141493995;461069;0;100;43;c72e33d6b7
63856141495511;462613;0;100;42;c72e33d6b7
63856141508278;475405;0;100;34;c72e33d6b7
63856141511528;478658;0;100;31;c72e33d6b7
63856141513778;480868;0;100;30;c72e33d6b7
63856141514378;481531;0;100;44;c72e33d6b7
63856141515810;482924;0;100;44;c72e33d6b7
63856141517444;484534;0;100;42;c72e33d6b7
63856141518061;485154;0;100;55;c72e33d6b7
63856141521611;488763;0;100;46;c72e33d6b7
63856141522527;489620;0;100;52;c72e33d6b7
63856141523544;490656;0;100;53;c72e33d6b7
63856141524744;491880;0;100;53;c72e33d6b7
63856141525478;492576;0;100;60;c72e33d6b7
63856141526678;493773;0;100;58;c72e33d6b7
