Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856141438512;405394;0;100;0,190576;c72e33d6b7
63856141439013;405928;0;100;0,068163;c72e33d6b7
63856141440913;407261;0;100;0,769366;c72e33d6b7
63856141460279;427259;0;100;0,012423;c72e33d6b7
63856141479345;445989;0;100;0,417462;c72e33d6b7
63856141480378;447057;0;100;0,489342;c72e33d6b7
63856141491845;458788;0;100;0,383847;c72e33d6b7
63856141492162;459188;0;100;0,036191;c72e33d6b7
63856141521611;488252;0;100;0,640018;c72e33d6b7
63856141525977;492518;0;100;0,38727;c72e33d6b7
63856141924671;891545;6;100;0,753071;c72e33d6b7
