Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857173517657;424028;0;100;60;cebce821a5
63857173518661;424951;0;100;61;cebce821a5
63857173520372;426721;0;100;55;cebce821a5
63857173521193;427584;0;100;59;cebce821a5
63857173522734;429097;0;100;54;cebce821a5
63857173523428;429827;0;100;61;cebce821a5
63857173525659;431987;0;100;54;cebce821a5
63857173525995;432343;0;100;80;cebce821a5
63857173529327;435670;0;100;66;cebce821a5
63857173530899;437066;0;100;61;cebce821a5
63857173533675;440023;0;100;52;cebce821a5
63857173534285;440666;0;100;61;cebce821a5
63857173534993;441313;0;100;69;cebce821a5
63857173537527;443829;0;100;59;cebce821a5
63857173539160;445506;0;100;54;cebce821a5
63857173539860;446192;0;100;62;cebce821a5
63857173543441;449752;0;100;52;cebce821a5
63857173544163;450482;0;100;59;cebce821a5
63857173544960;451315;0;100;62;cebce821a5
63857173545960;452278;0;100;62;cebce821a5
63857173546793;453162;0;100;64;cebce821a5
63857173550158;456511;0;100;53;cebce821a5
63857173551460;457841;0;100;52;cebce821a5
63857173552996;459324;0;100;49;cebce821a5
63857173553696;460081;0;100;56;cebce821a5
63857173555524;461907;0;100;51;cebce821a5
63857173557461;463790;0;100;47;cebce821a5
63857173557960;464327;0;100;62;cebce821a5
63857173560127;466460;0;100;54;cebce821a5
63857173560697;467093;0;100;64;cebce821a5
63857173561434;467820;0;100;68;cebce821a5
63857173561926;468307;0;100;81;cebce821a5
63857173562374;468713;0;100;96;cebce821a5
63857173562859;469220;0;100;101;cebce821a5
63857173564158;470467;0;100;90;cebce821a5
63857173566691;473013;0;100;75;cebce821a5
63857173567793;474123;0;100;71;cebce821a5
63857173568292;474649;0;100;80;cebce821a5
63857173568926;475232;0;100;86;cebce821a5
63857173569425;475739;0;100;94;cebce821a5
63857173570227;476572;0;100;89;cebce821a5
63857173571860;478229;0;100;77;cebce821a5
63857173572369;478745;0;100;86;cebce821a5
63857173572860;479222;0;100;96;cebce821a5
63857173577226;483572;0;100;77;cebce821a5
63857173578554;484872;0;100;71;cebce821a5
63857173579260;485581;0;100;74;cebce821a5
63857173579693;486062;0;100;85;cebce821a5
63857173582439;488818;0;100;71;cebce821a5
63857173583426;489731;0;100;70;cebce821a5
63857173585259;491578;0;100;62;cebce821a5
63857173586493;492854;0;100;59;cebce821a5
63857173587100;493428;0;100;69;cebce821a5
63857173587392;493761;0;100;94;cebce821a5
63857173587798;494157;0;100;107;cebce821a5
63857173589259;495634;0;100;93;cebce821a5
63857173590760;497124;0;100;81;cebce821a5
63857173591394;497757;0;100;85;cebce821a5
63857173592093;498414;0;100;86;cebce821a5
63857173592707;499057;0;100;88;cebce821a5
63857173594626;500997;0;100;75;cebce821a5
63857173595825;502216;0;100;70;cebce821a5
63857173596326;502713;0;100;81;cebce821a5
63857173596728;503123;0;100;97;cebce821a5
63857173599905;506246;0;100;79;cebce821a5
63857173601338;507639;0;100;72;cebce821a5
63857173601926;508283;0;100;76;cebce821a5
63857173602655;508973;0;100;79;cebce821a5
63857173603259;509622;0;100;82;cebce821a5
63857173603872;510256;0;100;85;cebce821a5
63857173604795;511106;0;100;82;cebce821a5
63857173605794;512112;0;100;77;cebce821a5
63857173606325;512619;0;100;87;cebce821a5
63857173606826;513125;0;100;94;cebce821a5
63857173607925;514325;0;100;84;cebce821a5
63857173608456;514829;0;100;93;cebce821a5
63857173609265;515622;0;100;89;cebce821a5
63857173610460;516768;0;100;81;cebce821a5
63857173611801;518179;0;100;73;cebce821a5
63857173612998;519385;0;100;68;cebce821a5
63857173614331;520685;0;100;63;cebce821a5
63857173617290;523661;0;100;54;cebce821a5
63857173619425;525804;0;100;48;cebce821a5
63857173619825;526207;0;100;71;cebce821a5
63857173620638;526947;0;100;73;cebce821a5
63857173621873;528174;0;100;68;cebce821a5
63857173622772;529084;0;100;68;cebce821a5
63857173623392;529704;0;100;74;cebce821a5
63857173624906;531227;0;100;67;cebce821a5
63857173625526;531867;0;100;73;cebce821a5
63857173626192;532517;0;100;77;cebce821a5
63857173628326;534690;0;100;66;cebce821a5
63857173629142;535440;0;100;70;cebce821a5
63857173631761;538080;0;100;59;cebce821a5
63857173632291;538606;0;100;72;cebce821a5
63857173632803;539107;0;100;83;cebce821a5
63857173632992;539336;0;100;125;cebce821a5
63857173633392;539749;0;100;130;cebce821a5
63857173636451;542753;0;100;105;cebce821a5
63857173637058;543432;0;100;102;cebce821a5
63857173637663;543996;0;100;103;cebce821a5
63857173638292;544599;0;100;103;cebce821a5
63857173638893;545222;0;100;102;cebce821a5
63857173639625;545932;0;100;98;cebce821a5
63857173640125;546509;0;100;100;cebce821a5
63857173641559;547915;0;100;87;cebce821a5
63857173642342;548715;0;100;85;cebce821a5
63857173646022;552402;0;100;69;cebce821a5
63857173646625;552985;0;100;77;cebce821a5
63857173647125;553531;0;100;85;cebce821a5
63857173647855;554178;0;100;87;cebce821a5
63857173648459;554811;0;100;89;cebce821a5
63857173649159;555548;0;100;88;cebce821a5
63857173649757;556054;0;100;95;cebce821a5
63857173652402;558784;0;100;79;cebce821a5
63857173653225;559597;0;100;78;cebce821a5
63857173654004;560331;0;100;79;cebce821a5
63857173654658;560954;0;100;83;cebce821a5
63857173655358;561711;0;100;82;cebce821a5
63857173655757;562084;0;100;100;cebce821a5
63857173656458;562811;0;100;96;cebce821a5
63857173656959;563337;1;100;101;cebce821a5
63857173657763;564147;1;100;95;cebce821a5
63857173658261;564664;1;100;99;cebce821a5
63857173658992;565344;1;100;97;cebce821a5
63857173659630;565973;1;100;97;cebce821a5
63857173660225;566573;1;100;98;cebce821a5
63857173660892;567167;1;100;99;cebce821a5
63857173661591;567923;1;100;95;cebce821a5
63857173662125;568400;1;100;102;cebce821a5
63857173662625;568957;1;100;104;cebce821a5
63857173663225;569577;1;100;102;cebce821a5
63857173663830;570156;1;100;103;cebce821a5
63857173664458;570850;1;100;100;cebce821a5
63857173665060;571393;1;100;102;cebce821a5
63857173665691;572083;1;100;99;cebce821a5
63857173666324;572637;1;100;101;cebce821a5
63857173669764;576089;1;100;82;cebce821a5
63857173670171;576513;1;100;96;cebce821a5
63857173670864;577252;1;100;93;cebce821a5
63857173671566;577812;1;100;96;cebce821a5
63857173672326;578682;1;100;90;cebce821a5
63857173673154;579485;1;100;87;cebce821a5
63857173674691;580985;1;100;77;cebce821a5
63857173675691;582029;1;100;73;cebce821a5
63857173676124;582462;1;100;88;cebce821a5
63857173677024;583348;1;100;83;cebce821a5
63857173677931;584258;1;100;80;cebce821a5
63857173679571;585895;1;100;70;cebce821a5
63857173680157;586518;1;100;76;cebce821a5
63857173682724;589031;1;100;65;cebce821a5
63857173683220;589578;1;100;75;cebce821a5
63857173684232;590564;1;100;72;cebce821a5
63857173685363;591678;1;100;68;cebce821a5
63857173687001;593384;1;100;61;cebce821a5
63857173687625;593934;1;100;72;cebce821a5
63857173688125;594504;1;100;80;cebce821a5
63857173688629;594981;1;100;90;cebce821a5
63857173691121;597444;1;100;76;cebce821a5
63857173692862;599187;1;100;67;cebce821a5
63857173693458;599790;1;100;75;cebce821a5
63857173693958;600367;1;100;81;cebce821a5
