Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857173516930;423290;0;100;-19768;cebce821a5
63857173517027;423423;0;100;-19767,6;cebce821a5
63857173517027;423423;0;100;-19768;cebce821a5
63857173517128;423490;0;100;-19767,8;cebce821a5
63857173517225;423623;0;100;-19767,8;cebce821a5
63857173517225;423623;0;100;-19768;cebce821a5
63857173517330;423690;0;100;-19767,8;cebce821a5
63857173517427;423823;0;100;-19767,8;cebce821a5
63857173517427;423823;0;100;-19767,8;cebce821a5
63857173517527;423890;0;100;-19768;cebce821a5
63857173517658;424023;0;100;-19768;cebce821a5
63857173517658;424023;0;100;-19766,8;cebce821a5
63857173517759;424090;0;100;-19766;cebce821a5
63857173517837;424223;0;100;-19766;cebce821a5
63857173517837;424223;0;100;-19765,8;cebce821a5
63857173517926;424290;0;100;-19765,6;cebce821a5
63857173518037;424423;0;100;-19765,4;cebce821a5
63857173518037;424423;0;100;-19765,6;cebce821a5
63857173518160;424490;0;100;-19765,2;cebce821a5
63857173518270;424623;0;100;-19764,8;cebce821a5
63857173518270;424623;0;100;-19765;cebce821a5
63857173518360;424690;0;100;-19765;cebce821a5
63857173518459;424823;0;100;-19765;cebce821a5
63857173518459;424823;0;100;-19765;cebce821a5
63857173518560;424890;0;100;-19764,2;cebce821a5
63857173518661;425023;0;100;-19764;cebce821a5
63857173518661;425023;0;100;-19764;cebce821a5
63857173518761;425090;0;100;-19764;cebce821a5
63857173518860;425223;0;100;-19764,2;cebce821a5
63857173518860;425223;0;100;-19764,6;cebce821a5
63857173518964;425356;0;100;-19764,8;cebce821a5
63857173518964;425356;0;100;-19764,8;cebce821a5
63857173519060;425423;0;100;-19764,2;cebce821a5
63857173519160;425556;0;100;-19764;cebce821a5
63857173519160;425556;0;100;-19764;cebce821a5
63857173519260;425623;0;100;-19764,4;cebce821a5
63857173519360;425756;0;100;-19764,6;cebce821a5
63857173519360;425756;0;100;-19765;cebce821a5
63857173519461;425823;0;100;-19765;cebce821a5
63857173519560;425956;0;100;-19765;cebce821a5
63857173519560;425956;0;100;-19765;cebce821a5
63857173519664;426023;0;100;-19765;cebce821a5
63857173519760;426156;0;100;-19765;cebce821a5
63857173519760;426156;0;100;-19765,2;cebce821a5
63857173519898;426223;0;100;-19765,6;cebce821a5
63857173519977;426356;0;100;-19766;cebce821a5
63857173519977;426356;0;100;-19766,4;cebce821a5
63857173520055;426423;0;100;-19767;cebce821a5
63857173520165;426556;0;100;-19767;cebce821a5
63857173520165;426556;0;100;-19766,6;cebce821a5
63857173520294;426623;0;100;-19767;cebce821a5
63857173520372;426756;0;100;-19767,2;cebce821a5
63857173520372;426756;0;100;-19772,8;cebce821a5
63857173520494;426823;0;100;-19772,6;cebce821a5
63857173520609;426956;0;100;-19766,8;cebce821a5
63857173520609;426956;0;100;-19766,2;cebce821a5
63857173520694;427023;0;100;-19767;cebce821a5
63857173520784;427156;0;100;-19767;cebce821a5
63857173520784;427156;0;100;-19767,4;cebce821a5
63857173520893;427223;0;100;-19767;cebce821a5
63857173520993;427356;0;100;-19767;cebce821a5
63857173520993;427356;0;100;-19766,2;cebce821a5
63857173521105;427489;0;100;-19766;cebce821a5
63857173521105;427489;0;100;-19765,8;cebce821a5
63857173521193;427556;0;100;-19765,6;cebce821a5
63857173521298;427689;0;100;-19765,6;cebce821a5
63857173521298;427689;0;100;-19765;cebce821a5
63857173521394;427756;0;100;-19765,4;cebce821a5
63857173521494;427889;0;100;-19765,4;cebce821a5
63857173521494;427889;0;100;-19765;cebce821a5
63857173521592;427956;0;100;-19765;cebce821a5
63857173521694;428089;0;100;-19765;cebce821a5
63857173521694;428089;0;100;-19764,2;cebce821a5
63857173521797;428156;0;100;-19764;cebce821a5
63857173521888;428289;0;100;-19764;cebce821a5
63857173521888;428289;0;100;-19764;cebce821a5
63857173521998;428356;0;100;-19764;cebce821a5
63857173522094;428489;0;100;-19763,4;cebce821a5
63857173522094;428489;0;100;-19763,4;cebce821a5
63857173522190;428556;0;100;-19763;cebce821a5
63857173522327;428689;0;100;-19763;cebce821a5
63857173522327;428689;0;100;-19763;cebce821a5
63857173522424;428756;0;100;-19763;cebce821a5
63857173522527;428889;0;100;-19762,8;cebce821a5
63857173522527;428889;0;100;-19762,8;cebce821a5
63857173522623;428956;0;100;-19762,2;cebce821a5
63857173522734;429089;0;100;-19762,2;cebce821a5
63857173522734;429089;0;100;-19762,6;cebce821a5
63857173522823;429222;0;100;-19761,8;cebce821a5
63857173522823;429222;0;100;-19761,6;cebce821a5
63857173522935;429289;0;100;-19761;cebce821a5
63857173523028;429422;0;100;-19760,4;cebce821a5
63857173523028;429422;0;100;-19759,8;cebce821a5
63857173523128;429489;0;100;-19759,6;cebce821a5
63857173523229;429622;0;100;-19759,6;cebce821a5
63857173523229;429622;0;100;-19759,6;cebce821a5
63857173523325;429689;0;100;-19760;cebce821a5
63857173523428;429822;0;100;-19760;cebce821a5
63857173523428;429822;0;100;-19760;cebce821a5
