Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63857173517225;423623;0;100;0;cebce821a5
63857173517527;423890;0;100;0;cebce821a5
63857173517836;424223;0;100;0;cebce821a5
63857173518270;424623;0;100;0;cebce821a5
63857173518559;424890;0;100;0;cebce821a5
63857173518860;425223;0;100;0;cebce821a5
63857173519159;425556;0;100;0;cebce821a5
63857173519560;425956;0;100;0;cebce821a5
63857173519898;426223;0;100;0;cebce821a5
63857173520165;426556;0;100;0;cebce821a5
63857173520609;426956;0;100;0;cebce821a5
63857173520893;427223;0;100;0;cebce821a5
63857173521193;427556;0;100;0;cebce821a5
63857173521494;427889;0;100;0;cebce821a5
63857173521888;428289;0;100;0;cebce821a5
63857173522189;428556;0;100;0;cebce821a5
63857173522527;428889;0;100;0;cebce821a5
63857173522823;429222;0;100;0;cebce821a5
63857173523229;429622;0;100;0;cebce821a5
63857173523527;429889;0;100;0;cebce821a5
63857173523873;430222;0;100;0;cebce821a5
63857173524254;430622;0;100;0;cebce821a5
63857173524564;430956;0;100;0;cebce821a5
63857173524859;431222;0;100;0;cebce821a5
63857173525160;431556;0;100;0;cebce821a5
63857173525560;431955;0;100;0;cebce821a5
63857173525894;432222;0;100;0;cebce821a5
63857173526197;432555;0;100;0;cebce821a5
63857173526494;432889;0;100;0;cebce821a5
63857173526897;433289;0;100;0;cebce821a5
63857173527194;433555;0;100;0;cebce821a5
63857173527489;433889;0;100;0;cebce821a5
63857173527894;434289;0;100;0;cebce821a5
63857173528224;434555;0;100;0;cebce821a5
63857173528535;434889;0;100;0;cebce821a5
63857173528827;435222;0;100;0;cebce821a5
63857173529261;435622;0;100;0;cebce821a5
63857173529527;435888;0;100;0;cebce821a5
63857173529859;436222;0;100;0;cebce821a5
63857173530294;436622;0;100;0;cebce821a5
63857173530561;436888;0;100;0;cebce821a5
63857173530899;437222;0;100;0;cebce821a5
63857173531161;437555;0;100;0;cebce821a5
63857173531572;437888;0;100;0;cebce821a5
63857173531828;438222;0;100;0;cebce821a5
63857173532275;438621;0;100;0;cebce821a5
63857173532561;438888;0;100;0;cebce821a5
63857173532860;439221;0;100;0;cebce821a5
63857173533161;439555;0;100;0;cebce821a5
63857173533560;439955;0;100;0;cebce821a5
63857173533897;440221;0;100;0;cebce821a5
63857173534173;440555;0;100;0;cebce821a5
63857173534597;440955;0;100;0;cebce821a5
63857173534893;441288;0;100;0;cebce821a5
63857173535192;441555;0;100;0;cebce821a5
63857173535492;441888;0;100;0;cebce821a5
63857173535893;442288;0;100;0;cebce821a5
63857173536193;442554;0;100;0;cebce821a5
63857173536526;442888;0;100;0;cebce821a5
63857173536928;443288;0;100;0;cebce821a5
63857173537226;443621;0;100;0;cebce821a5
63857173537527;443888;0;100;0;cebce821a5
63857173537830;444221;0;100;0;cebce821a5
63857173538227;444621;0;100;0;cebce821a5
63857173538538;444888;0;100;0;cebce821a5
63857173538860;445221;0;100;0;cebce821a5
63857173539160;445554;0;100;0;cebce821a5
63857173539560;445954;0;100;0;cebce821a5
63857173539860;446221;0;100;0;cebce821a5
63857173540205;446554;0;100;0;cebce821a5
63857173540594;446954;0;100;0;cebce821a5
63857173540896;447287;0;100;0;cebce821a5
63857173541194;447554;0;100;0;cebce821a5
63857173541492;447887;0;100;0;cebce821a5
63857173541893;448287;0;100;0;cebce821a5
63857173542193;448554;0;100;0;cebce821a5
63857173542531;448887;0;100;0;cebce821a5
63857173542924;449287;0;100;0;cebce821a5
63857173543229;449620;0;100;0;cebce821a5
63857173543527;449887;0;100;0;cebce821a5
63857173543827;450220;0;100;0;cebce821a5
63857173544226;450620;0;100;0;cebce821a5
63857173544553;450887;0;100;0;cebce821a5
63857173544864;451220;0;100;0;cebce821a5
63857173545160;451554;0;100;0;cebce821a5
63857173545574;451953;0;100;0;cebce821a5
63857173545858;452220;0;100;0;cebce821a5
63857173546188;452553;0;100;0;cebce821a5
63857173546593;452953;0;100;0;cebce821a5
63857173546893;453287;0;100;0;cebce821a5
63857173547204;453553;0;100;0;cebce821a5
63857173547494;453887;0;100;0;cebce821a5
63857173547896;454287;0;100;0;cebce821a5
63857173548227;454553;0;100;0;cebce821a5
63857173548527;454887;0;100;0;cebce821a5
63857173548830;455220;0;100;0;cebce821a5
63857173549226;455620;0;100;0;cebce821a5
63857173549531;455886;0;100;0;cebce821a5
63857173549860;456220;0;100;0;cebce821a5
63857173550241;456620;0;100;0;cebce821a5
63857173550560;456953;0;100;0;cebce821a5
63857173550853;457220;0;100;0;cebce821a5
63857173551161;457553;0;100;0;cebce821a5
63857173551554;457953;0;100;0;cebce821a5
63857173551893;458220;0;100;0;cebce821a5
63857173552191;458553;0;100;0;cebce821a5
63857173552492;458886;0;100;0;cebce821a5
63857173552894;459286;0;100;0;cebce821a5
63857173553188;459553;0;100;0;cebce821a5
63857173553504;459886;0;100;0;cebce821a5
63857173553929;460286;0;100;0;cebce821a5
63857173554198;460553;0;100;0;cebce821a5
63857173554521;460886;0;100;0;cebce821a5
63857173554926;461286;0;100;0;cebce821a5
63857173555227;461619;0;100;0;cebce821a5
63857173555524;461886;0;100;0;cebce821a5
63857173555827;462219;0;100;0;cebce821a5
63857173556227;462619;0;100;0;cebce821a5
63857173556559;462886;0;100;0;cebce821a5
63857173556860;463219;0;100;0;cebce821a5
63857173557153;463552;0;100;0;cebce821a5
63857173557555;463952;0;100;0;cebce821a5
63857173557896;464219;0;100;0;cebce821a5
63857173558167;464552;0;100;0;cebce821a5
63857173558606;464952;0;100;0;cebce821a5
63857173558893;465285;0;100;0;cebce821a5
63857173559189;465552;0;100;0;cebce821a5
63857173559483;465885;0;100;0;cebce821a5
63857173559892;466285;0;100;0;cebce821a5
63857173560192;466552;0;100;0;cebce821a5
63857173560526;466885;0;100;0;cebce821a5
63857173560933;467285;0;100;0;cebce821a5
63857173561227;467619;0;100;0;cebce821a5
63857173561527;467885;0;100;0;cebce821a5
63857173561826;468219;0;100;0;cebce821a5
63857173562253;468618;0;100;0;cebce821a5
63857173562566;468952;0;100;0;cebce821a5
63857173562859;469219;0;100;0;cebce821a5
63857173563226;469619;0;100;0;cebce821a5
63857173563528;469885;0;100;0;cebce821a5
63857173563826;470218;0;100;0;cebce821a5
63857173564228;470618;0;100;0;cebce821a5
63857173564560;470885;0;100;0;cebce821a5
63857173564852;471218;0;100;0;cebce821a5
63857173565165;471552;0;100;0;cebce821a5
63857173565560;471951;0;100;0;cebce821a5
63857173565866;472218;0;100;0;cebce821a5
63857173566160;472552;0;100;0;cebce821a5
63857173566571;472951;0;100;0;cebce821a5
63857173566892;473218;0;100;0;cebce821a5
63857173567194;473551;0;100;0;cebce821a5
63857173567495;473885;0;100;0;cebce821a5
63857173567890;474285;0;100;0;cebce821a5
63857173568203;474551;0;100;0;cebce821a5
63857173568525;474885;0;100;0;cebce821a5
63857173568926;475284;0;100;0;cebce821a5
63857173569225;475618;0;100;0;cebce821a5
63857173569526;475884;0;100;0;cebce821a5
63857173569827;476218;0;100;0;cebce821a5
63857173570227;476618;0;100;0;cebce821a5
63857173570528;476885;0;100;0;cebce821a5
63857173570827;477218;0;100;0;cebce821a5
63857173571260;477618;0;100;0;cebce821a5
63857173571560;477951;0;100;0;cebce821a5
63857173571860;478218;0;100;0;cebce821a5
63857173572176;478551;0;100;0;cebce821a5
63857173572559;478951;0;100;0;cebce821a5
63857173572860;479218;0;100;0;cebce821a5
63857173573159;479551;0;100;0;cebce821a5
63857173573488;479884;0;100;0;cebce821a5
63857173573894;480284;0;100;0;cebce821a5
63857173574185;480551;0;100;0;cebce821a5
63857173574493;480884;0;100;0;cebce821a5
63857173574891;481284;0;100;0;cebce821a5
63857173575193;481551;0;100;0;cebce821a5
63857173575526;481884;0;100;0;cebce821a5
63857173575831;482217;0;100;0;cebce821a5
63857173576227;482617;0;100;0;cebce821a5
63857173576527;482884;0;100;0;cebce821a5
63857173576837;483217;0;100;0;cebce821a5
63857173577227;483617;0;100;0;cebce821a5
63857173577528;483884;0;100;0;cebce821a5
63857173577858;484217;0;100;0;cebce821a5
63857173578160;484550;0;100;0;cebce821a5
63857173578554;484950;0;100;0;cebce821a5
63857173578857;485217;0;100;0;cebce821a5
63857173579161;485550;0;100;0;cebce821a5
63857173579558;485950;0;100;0;cebce821a5
63857173579892;486217;0;100;0;cebce821a5
63857173580191;486550;0;100;0;cebce821a5
63857173580491;486883;0;100;0;cebce821a5
63857173580893;487283;0;100;0;cebce821a5
