Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63856219184245;471811;0;100;2290;ceda45263f
63856219185912;473458;0;100;1630;ceda45263f
63856219186612;474124;0;100;660;ceda45263f
63856219188945;476547;0;100;2390;ceda45263f
63856219190183;477710;0;100;1150;ceda45263f
63856219191179;478704;0;100;990;ceda45263f
63856219192212;479717;0;100;1000;ceda45263f
63856219192612;480200;0;100;480;ceda45263f
63856219193312;480847;0;100;640;ceda45263f
63856219193845;481404;0;100;550;ceda45263f
63856219194362;481900;0;100;490;ceda45263f
63856219195145;482663;0;100;750;ceda45263f
63856219195562;483067;0;100;400;ceda45263f
63856219199295;486893;0;100;3780;ceda45263f
63856219200512;488099;0;100;1190;ceda45263f
63856219201128;488709;0;100;600;ceda45263f
63856219205445;492986;0;100;4220;ceda45263f
63856219206545;494095;0;100;1100;ceda45263f
63856219207478;495035;0;100;930;ceda45263f
63856219207778;495322;0;100;280;ceda45263f
63856219209095;496692;0;100;1350;ceda45263f
63856219210662;498212;0;100;1500;ceda45263f
63856219213385;500918;0;100;2680;ceda45263f
63856219215028;502545;0;100;1600;ceda45263f
63856219217778;505301;0;100;2720;ceda45263f
63856219218478;506068;0;100;760;ceda45263f
63856219219294;506871;0;100;800;ceda45263f
63856219220311;507824;0;100;940;ceda45263f
63856219220811;508341;0;100;510;ceda45263f
63856219223978;511541;0;100;3160;ceda45263f
63856219225917;513480;0;100;1910;ceda45263f
63856219227861;515377;0;100;1870;ceda45263f
63856219228961;516457;0;100;1070;ceda45263f
63856219232028;519540;0;100;3050;ceda45263f
63856219232928;520436;0;100;880;ceda45263f
63856219234128;521683;0;100;1230;ceda45263f
63856219235061;522640;0;100;950;ceda45263f
63856219235694;523253;0;100;600;ceda45263f
63856219236578;524132;0;100;870;ceda45263f
63856219238644;526139;0;100;1980;ceda45263f
63856219240128;527649;0;100;1490;ceda45263f
63856219240861;528439;0;100;780;ceda45263f
63856219241878;529385;0;100;940;ceda45263f
63856219242411;529982;0;100;590;ceda45263f
63856219242994;530595;0;100;600;ceda45263f
63856219244944;532468;0;100;1850;ceda45263f
63856219245844;533358;0;100;880;ceda45263f
63856219246278;533778;0;100;420;ceda45263f
63856219247594;535111;0;100;1310;ceda45263f
63856219249444;536958;0;100;1830;ceda45263f
63856219250994;538528;0;100;1550;ceda45263f
63856219251995;539544;0;100;1000;ceda45263f
63856219253511;541084;0;100;1520;ceda45263f
63856219254261;541811;0;100;720;ceda45263f
63856219256244;543807;0;100;1970;ceda45263f
63856219257595;545130;0;100;1310;ceda45263f
63856219258177;545750;0;100;610;ceda45263f
63856219258927;546420;0;100;660;ceda45263f
63856219259615;547157;0;100;730;ceda45263f
63856219260011;547520;0;100;360;ceda45263f
63856219260861;548433;0;100;900;ceda45263f
63856219261261;548833;0;100;390;ceda45263f
63856219262044;549607;0;100;770;ceda45263f
63856219262594;550153;0;100;540;ceda45263f
63856219263794;551393;0;100;1220;ceda45263f
63856219265743;553316;0;100;1900;ceda45263f
63856219267061;554586;0;100;1250;ceda45263f
63856219267760;555266;0;100;680;ceda45263f
63856219268377;555949;0;100;670;ceda45263f
63856219270810;558339;0;100;2360;ceda45263f
63856219272244;559746;0;100;1390;ceda45263f
63856219272944;560482;0;100;730;ceda45263f
63856219274578;562109;0;100;1600;ceda45263f
63856219277660;565182;0;100;3040;ceda45263f
63856219278993;566502;0;100;1300;ceda45263f
63856219279377;566902;0;100;400;ceda45263f
63856219280077;567602;0;100;690;ceda45263f
63856219280943;568488;0;100;870;ceda45263f
63856219282193;569765;0;100;1260;ceda45263f
63856219282660;570191;0;100;420;ceda45263f
63856219283077;570641;0;100;450;ceda45263f
63856219283544;571085;0;100;440;ceda45263f
63856219284260;571745;0;100;650;ceda45263f
63856219285493;573061;1;100;1300;ceda45263f
63856219286677;574214;1;100;1140;ceda45263f
63856219287210;574771;1;100;550;ceda45263f
63856219287827;575364;1;100;580;ceda45263f
63856219291193;578730;1;100;3330;ceda45263f
63856219292494;580030;1;100;1280;ceda45263f
63856219294094;581627;1;100;1580;ceda45263f
63856219295960;583473;1;100;1820;ceda45263f
63856219298876;586260;1;100;2760;ceda45263f
63856219299477;587033;1;100;770;ceda45263f
63856219301727;589249;1;100;2180;ceda45263f
63856219302660;590149;1;100;890;ceda45263f
63856219303043;590549;1;100;400;ceda45263f
63856219303443;590963;1;100;410;ceda45263f
63856219303993;591562;1;100;590;ceda45263f
63856219305193;592746;1;100;1170;ceda45263f
63856219305593;593099;1;100;340;ceda45263f
63856219306643;594182;1;100;1080;ceda45263f
63856219307343;594922;1;100;730;ceda45263f
63856219308127;595635;1;100;700;ceda45263f
63856219308543;596065;1;100;420;ceda45263f
63856219309293;596859;1;100;790;ceda45263f
63856219310610;598118;1;100;1240;ceda45263f
63856219310995;598588;1;100;470;ceda45263f
63856219312285;599825;1;100;1220;ceda45263f
63856219313177;600722;1;100;880;ceda45263f
63856219315010;602508;1;100;1770;ceda45263f
63856219316314;603848;1;100;1320;ceda45263f
63856219317464;604978;1;100;1120;ceda45263f
63856219318543;606088;1;100;1090;ceda45263f
63856219318852;606421;1;100;330;ceda45263f
63856219320515;608064;1;100;1620;ceda45263f
