Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856219182413;469960;0;100;-19532,6;ceda45263f
63856219182529;470093;0;100;-19533;ceda45263f
63856219182529;470093;0;100;-19534;ceda45263f
63856219182645;470160;0;100;-19535,2;ceda45263f
63856219182717;470293;0;100;-19536;ceda45263f
63856219182717;470293;0;100;-19537,2;ceda45263f
63856219182812;470360;0;100;-19538,2;ceda45263f
63856219182962;470493;0;100;-19538,4;ceda45263f
63856219182962;470493;0;100;-19538,6;ceda45263f
63856219183029;470626;0;100;-19540;ceda45263f
63856219183029;470626;0;100;-19541,6;ceda45263f
63856219183145;470693;0;100;-19542,4;ceda45263f
63856219183229;470826;0;100;-19542,8;ceda45263f
63856219183229;470826;0;100;-19542;ceda45263f
63856219183345;470893;0;100;-19542,2;ceda45263f
63856219183429;471026;0;100;-19542,4;ceda45263f
63856219183429;471026;0;100;-19542,6;ceda45263f
63856219183546;471093;0;100;-19543;ceda45263f
63856219183650;471226;0;100;-19544;ceda45263f
63856219183650;471226;0;100;-19543,4;ceda45263f
63856219183745;471293;0;100;-19542,4;ceda45263f
63856219183845;471426;0;100;-19543;ceda45263f
63856219183845;471426;0;100;-19544;ceda45263f
63856219183962;471493;0;100;-19542,8;ceda45263f
63856219184045;471626;0;100;-19542,8;ceda45263f
63856219184045;471626;0;100;-19542,6;ceda45263f
63856219184163;471693;0;100;-19542,6;ceda45263f
63856219184245;471826;0;100;-19542,2;ceda45263f
63856219184245;471826;0;100;-19542,6;ceda45263f
63856219184362;471893;0;100;-19542;ceda45263f
63856219184445;472026;0;100;-19542;ceda45263f
63856219184445;472026;0;100;-19541,8;ceda45263f
63856219184545;472093;0;100;-19542;ceda45263f
63856219184645;472226;0;100;-19542;ceda45263f
63856219184645;472226;0;100;-19541,8;ceda45263f
63856219184745;472293;0;100;-19541,4;ceda45263f
63856219184862;472426;0;100;-19541,8;ceda45263f
63856219184862;472426;0;100;-19541,4;ceda45263f
63856219184978;472560;0;100;-19541,4;ceda45263f
63856219184978;472560;0;100;-19540,8;ceda45263f
63856219185063;472626;0;100;-19540,4;ceda45263f
63856219185179;472760;0;100;-19540,4;ceda45263f
63856219185179;472760;0;100;-19540;ceda45263f
63856219185295;472826;0;100;-19540;ceda45263f
63856219185379;472960;0;100;-19539,2;ceda45263f
63856219185379;472960;0;100;-19539,2;ceda45263f
63856219185479;473026;0;100;-19539;ceda45263f
63856219185562;473160;0;100;-19539,2;ceda45263f
63856219185562;473160;0;100;-19538,8;ceda45263f
63856219185679;473226;0;100;-19538,8;ceda45263f
63856219185829;473359;0;100;-19539;ceda45263f
63856219185829;473359;0;100;-19538;ceda45263f
63856219185913;473493;0;100;-19538,2;ceda45263f
63856219185913;473493;0;100;-19539;ceda45263f
63856219185995;473560;0;100;-19539;ceda45263f
63856219186112;473693;0;100;-19538,8;ceda45263f
63856219186112;473693;0;100;-19538,2;ceda45263f
63856219186229;473760;0;100;-19538,4;ceda45263f
63856219186312;473893;0;100;-19538,8;ceda45263f
63856219186312;473893;0;100;-19538,6;ceda45263f
63856219186412;473960;0;100;-19538,6;ceda45263f
63856219186529;474093;0;100;-19538,4;ceda45263f
63856219186529;474093;0;100;-19538,4;ceda45263f
63856219186613;474160;0;100;-19538,6;ceda45263f
63856219186729;474293;0;100;-19539;ceda45263f
63856219186729;474293;0;100;-19538,4;ceda45263f
63856219186812;474359;0;100;-19538,8;ceda45263f
63856219186929;474493;0;100;-19538,6;ceda45263f
63856219186929;474493;0;100;-19538,8;ceda45263f
63856219187012;474559;0;100;-19538,2;ceda45263f
63856219187162;474693;0;100;-19538,6;ceda45263f
63856219187162;474693;0;100;-19538;ceda45263f
63856219187213;474826;0;100;-19538;ceda45263f
63856219187213;474826;0;100;-19538;ceda45263f
63856219187345;474893;0;100;-19538;ceda45263f
63856219187428;475026;0;100;-19537,8;ceda45263f
63856219187428;475026;0;100;-19538,6;ceda45263f
63856219187545;475093;0;100;-19538;ceda45263f
63856219187629;475226;0;100;-19538,4;ceda45263f
63856219187629;475226;0;100;-19538;ceda45263f
63856219187745;475293;0;100;-19537,6;ceda45263f
63856219187862;475426;0;100;-19538;ceda45263f
63856219187862;475426;0;100;-19537,2;ceda45263f
63856219187945;475493;0;100;-19537,4;ceda45263f
63856219188045;475626;0;100;-19538;ceda45263f
63856219188045;475626;0;100;-19537,4;ceda45263f
63856219188162;475693;0;100;-19537,2;ceda45263f
63856219188245;475826;0;100;-19538;ceda45263f
63856219188245;475826;0;100;-19537;ceda45263f
63856219188362;475893;0;100;-19537,6;ceda45263f
63856219188445;476026;0;100;-19537,8;ceda45263f
63856219188445;476026;0;100;-19537,8;ceda45263f
63856219188562;476093;0;100;-19537,8;ceda45263f
63856219188645;476226;0;100;-19538;ceda45263f
63856219188645;476226;0;100;-19537,8;ceda45263f
63856219188745;476293;0;100;-19537,2;ceda45263f
63856219188845;476426;0;100;-19538;ceda45263f
63856219188845;476426;0;100;-19537,8;ceda45263f
63856219188945;476493;0;100;-19538;ceda45263f
63856219189062;476626;0;100;-19539,8;ceda45263f
63856219189062;476626;0;100;-19540;ceda45263f
63856219189145;476693;0;100;-19540,4;ceda45263f
63856219189251;476826;0;100;-19541;ceda45263f
63856219189251;476826;0;100;-19541,2;ceda45263f
63856219189345;476893;0;100;-19541,4;ceda45263f
63856219189445;477026;0;100;-19541,4;ceda45263f
63856219189445;477026;0;100;-19541,4;ceda45263f
63856219189579;477093;0;100;-19541,8;ceda45263f
63856219189645;477226;0;100;-19542;ceda45263f
63856219189645;477226;0;100;-19541,4;ceda45263f
63856219189762;477359;0;100;-19541,8;ceda45263f
63856219189762;477359;0;100;-19541,8;ceda45263f
63856219189879;477426;0;100;-19541,8;ceda45263f
63856219189962;477559;0;100;-19542;ceda45263f
63856219189962;477559;0;100;-19541,4;ceda45263f
63856219190079;477626;0;100;-19541,2;ceda45263f
63856219190184;477759;0;100;-19541,6;ceda45263f
63856219190184;477759;0;100;-19541,2;ceda45263f
63856219190263;477826;0;100;-19540,6;ceda45263f
63856219190379;477959;0;100;-19541,2;ceda45263f
63856219190379;477959;0;100;-19542,2;ceda45263f
63856219190462;478026;0;100;-19542;ceda45263f
63856219190579;478159;0;100;-19543;ceda45263f
63856219190579;478159;0;100;-19544,2;ceda45263f
63856219190662;478226;0;100;-19544,6;ceda45263f
63856219190779;478359;0;100;-19544,2;ceda45263f
63856219190779;478359;0;100;-19544,6;ceda45263f
63856219190895;478426;0;100;-19544,4;ceda45263f
63856219190978;478559;0;100;-19543,2;ceda45263f
63856219190978;478559;0;100;-19543,2;ceda45263f
63856219191079;478626;0;100;-19543;ceda45263f
63856219191179;478759;0;100;-19543,6;ceda45263f
63856219191179;478759;0;100;-19543,2;ceda45263f
63856219191279;478826;0;100;-19543;ceda45263f
63856219191395;478959;0;100;-19543,2;ceda45263f
63856219191395;478959;0;100;-19543,2;ceda45263f
63856219191478;479026;0;100;-19543;ceda45263f
63856219191595;479159;0;100;-19543;ceda45263f
63856219191595;479159;0;100;-19542,6;ceda45263f
63856219191712;479226;0;100;-19542,4;ceda45263f
63856219191785;479359;0;100;-19542,6;ceda45263f
63856219191785;479359;0;100;-19542;ceda45263f
63856219191878;479426;0;100;-19542;ceda45263f
63856219192012;479559;0;100;-19542;ceda45263f
63856219192012;479559;0;100;-19542;ceda45263f
63856219192112;479692;0;100;-19541,4;ceda45263f
63856219192112;479692;0;100;-19541,8;ceda45263f
63856219192212;479759;0;100;-19540,8;ceda45263f
63856219192295;479892;0;100;-19541;ceda45263f
63856219192295;479892;0;100;-19541;ceda45263f
63856219192412;479959;0;100;-19540,4;ceda45263f
63856219192495;480092;0;100;-19540,4;ceda45263f
63856219192495;480092;0;100;-19540,4;ceda45263f
63856219192612;480159;0;100;-19540,6;ceda45263f
63856219192712;480292;0;100;-19540,8;ceda45263f
63856219192712;480292;0;100;-19540,2;ceda45263f
63856219192795;480359;0;100;-19540,2;ceda45263f
63856219192912;480492;0;100;-19541;ceda45263f
63856219192912;480492;0;100;-19541,8;ceda45263f
63856219193029;480559;0;100;-19541,4;ceda45263f
63856219193112;480692;0;100;-19541,6;ceda45263f
63856219193112;480692;0;100;-19541,2;ceda45263f
63856219193229;480759;0;100;-19540,6;ceda45263f
63856219193312;480892;0;100;-19540;ceda45263f
63856219193312;480892;0;100;-19538,4;ceda45263f
63856219193429;480959;0;100;-19537,8;ceda45263f
63856219193513;481092;0;100;-19538,6;ceda45263f
63856219193513;481092;0;100;-19540,4;ceda45263f
63856219193651;481159;0;100;-19541;ceda45263f
63856219193729;481292;0;100;-19540,8;ceda45263f
63856219193729;481292;0;100;-19540,2;ceda45263f
63856219193845;481359;0;100;-19540;ceda45263f
63856219193929;481492;0;100;-19540,6;ceda45263f
63856219193929;481492;0;100;-19539,8;ceda45263f
63856219194045;481625;0;100;-19540;ceda45263f
63856219194045;481625;0;100;-19540,2;ceda45263f
63856219194129;481692;0;100;-19540,2;ceda45263f
63856219194245;481825;0;100;-19540,2;ceda45263f
63856219194245;481825;0;100;-19540;ceda45263f
63856219194362;481892;0;100;-19539,8;ceda45263f
63856219194429;482025;0;100;-19540;ceda45263f
63856219194429;482025;0;100;-19539,8;ceda45263f
63856219194545;482092;0;100;-19540;ceda45263f
63856219194662;482225;0;100;-19540;ceda45263f
63856219194662;482225;0;100;-19540;ceda45263f
63856219194745;482292;0;100;-19539,8;ceda45263f
63856219194829;482425;0;100;-19540,2;ceda45263f
63856219194829;482425;0;100;-19540;ceda45263f
63856219194945;482492;0;100;-19540;ceda45263f
63856219195062;482625;0;100;-19540,2;ceda45263f
63856219195062;482625;0;100;-19540;ceda45263f
63856219195145;482692;0;100;-19540;ceda45263f
63856219195245;482825;0;100;-19540,2;ceda45263f
63856219195245;482825;0;100;-19539,6;ceda45263f
63856219195345;482892;0;100;-19540;ceda45263f
63856219195445;483025;0;100;-19541;ceda45263f
63856219195445;483025;0;100;-19541,8;ceda45263f
63856219195562;483092;0;100;-19541,8;ceda45263f
63856219195645;483225;0;100;-19542;ceda45263f
63856219195645;483225;0;100;-19541,6;ceda45263f
63856219195762;483292;0;100;-19542,4;ceda45263f
63856219195845;483425;0;100;-19541,8;ceda45263f
63856219195845;483425;0;100;-19542,4;ceda45263f
63856219195995;483492;0;100;-19542,2;ceda45263f
63856219196079;483625;0;100;-19542,8;ceda45263f
63856219196079;483625;0;100;-19543;ceda45263f
63856219196178;483692;0;100;-19543;ceda45263f
63856219196262;483825;0;100;-19543,8;ceda45263f
63856219196262;483825;0;100;-19544;ceda45263f
63856219196378;483958;0;100;-19543,8;ceda45263f
63856219196378;483958;0;100;-19543;ceda45263f
63856219196449;484025;0;100;-19543;ceda45263f
63856219196579;484158;0;100;-19543,6;ceda45263f
63856219196579;484158;0;100;-19542,8;ceda45263f
63856219196662;484225;0;100;-19543,2;ceda45263f
63856219196778;484358;0;100;-19543,8;ceda45263f
63856219196778;484358;0;100;-19543,4;ceda45263f
63856219196879;484425;0;100;-19543,4;ceda45263f
63856219196963;484558;0;100;-19543;ceda45263f
63856219196963;484558;0;100;-19543,4;ceda45263f
63856219197079;484625;0;100;-19544,2;ceda45263f
63856219197195;484758;0;100;-19544,2;ceda45263f
63856219197195;484758;0;100;-19544,4;ceda45263f
63856219197279;484825;0;100;-19544;ceda45263f
63856219197395;484958;0;100;-19544,8;ceda45263f
63856219197395;484958;0;100;-19544,8;ceda45263f
63856219197479;485025;0;100;-19545;ceda45263f
63856219197595;485158;0;100;-19546,6;ceda45263f
63856219197595;485158;0;100;-19545,8;ceda45263f
63856219197679;485225;0;100;-19545,6;ceda45263f
63856219197778;485358;0;100;-19546,8;ceda45263f
63856219197778;485358;0;100;-19546;ceda45263f
63856219197895;485425;0;100;-19546,8;ceda45263f
63856219198012;485558;0;100;-19545,6;ceda45263f
63856219198012;485558;0;100;-19546,6;ceda45263f
63856219198095;485625;0;100;-19548;ceda45263f
63856219198178;485758;0;100;-19548,8;ceda45263f
63856219198178;485758;0;100;-19548,6;ceda45263f
63856219198295;485825;0;100;-19548,8;ceda45263f
63856219198412;485958;0;100;-19548,8;ceda45263f
63856219198412;485958;0;100;-19549,4;ceda45263f
63856219198529;486092;0;100;-19550,2;ceda45263f
63856219198529;486092;0;100;-19550,8;ceda45263f
63856219198595;486158;0;100;-19555,4;ceda45263f
63856219198712;486292;0;100;-19560,4;ceda45263f
63856219198712;486292;0;100;-19562,2;ceda45263f
63856219198795;486358;0;100;-19562,2;ceda45263f
63856219198912;486492;0;100;-19562,4;ceda45263f
63856219198912;486492;0;100;-19562,2;ceda45263f
63856219199028;486558;0;100;-19562,4;ceda45263f
63856219199112;486692;0;100;-19564;ceda45263f
63856219199112;486692;0;100;-19567;ceda45263f
63856219199228;486758;0;100;-19568,4;ceda45263f
63856219199295;486892;0;100;-19568,8;ceda45263f
63856219199295;486892;0;100;-19570,4;ceda45263f
63856219199412;486958;0;100;-19571,2;ceda45263f
63856219199495;487092;0;100;-19572,2;ceda45263f
63856219199495;487092;0;100;-19571,8;ceda45263f
63856219199612;487158;0;100;-19568,2;ceda45263f
63856219199695;487291;0;100;-19569,8;ceda45263f
63856219199695;487291;0;100;-19571;ceda45263f
63856219199812;487358;0;100;-19572,8;ceda45263f
63856219199917;487491;0;100;-19574;ceda45263f
63856219199917;487491;0;100;-19574,8;ceda45263f
63856219200012;487558;0;100;-19576;ceda45263f
63856219200162;487691;0;100;-19576,8;ceda45263f
63856219200162;487691;0;100;-19578,4;ceda45263f
63856219200228;487758;0;100;-19579;ceda45263f
63856219200312;487891;0;100;-19579,8;ceda45263f
63856219200312;487891;0;100;-19580,8;ceda45263f
63856219200429;487958;0;100;-19580,2;ceda45263f
63856219200545;488091;0;100;-19580,6;ceda45263f
63856219200545;488091;0;100;-19580;ceda45263f
63856219200628;488158;0;100;-19580,2;ceda45263f
63856219200712;488291;0;100;-19580,8;ceda45263f
63856219200712;488291;0;100;-19580,4;ceda45263f
63856219200849;488425;0;100;-19580,8;ceda45263f
63856219200849;488425;0;100;-19580,8;ceda45263f
63856219200929;488491;0;100;-19581;ceda45263f
63856219201045;488625;0;100;-19581;ceda45263f
63856219201045;488625;0;100;-19580,8;ceda45263f
63856219201128;488691;0;100;-19581,2;ceda45263f
63856219201279;488825;0;100;-19582;ceda45263f
63856219201279;488825;0;100;-19582,6;ceda45263f
63856219201362;488958;0;100;-19583;ceda45263f
63856219201362;488958;0;100;-19584,4;ceda45263f
63856219201479;489025;0;100;-19586;ceda45263f
63856219201595;489158;0;100;-19586,8;ceda45263f
63856219201595;489158;0;100;-19587,8;ceda45263f
63856219201679;489225;0;100;-19588;ceda45263f
63856219201784;489358;0;100;-19589,2;ceda45263f
63856219201784;489358;0;100;-19589,6;ceda45263f
63856219201879;489425;0;100;-19589,8;ceda45263f
63856219201979;489558;0;100;-19590;ceda45263f
63856219201979;489558;0;100;-19590;ceda45263f
63856219202095;489625;0;100;-19589,2;ceda45263f
63856219202178;489758;0;100;-19589;ceda45263f
63856219202178;489758;0;100;-19589;ceda45263f
63856219202295;489825;0;100;-19588,6;ceda45263f
63856219202378;489958;0;100;-19588,8;ceda45263f
63856219202378;489958;0;100;-19588,6;ceda45263f
63856219202495;490091;0;100;-19589,4;ceda45263f
63856219202495;490091;0;100;-19591,2;ceda45263f
63856219202612;490158;0;100;-19590;ceda45263f
63856219202678;490291;0;100;-19588,6;ceda45263f
63856219202678;490291;0;100;-19590,2;ceda45263f
63856219202795;490358;0;100;-19590,6;ceda45263f
63856219202912;490491;0;100;-19590,4;ceda45263f
63856219202912;490491;0;100;-19590,6;ceda45263f
63856219203029;490558;0;100;-19589,6;ceda45263f
63856219203145;490691;0;100;-19591,6;ceda45263f
63856219203145;490691;0;100;-19592;ceda45263f
63856219203229;490758;0;100;-19591;ceda45263f
63856219203312;490891;0;100;-19589,6;ceda45263f
63856219203312;490891;0;100;-19589,6;ceda45263f
63856219203412;490958;0;100;-19589,4;ceda45263f
63856219203495;491091;0;100;-19590,4;ceda45263f
63856219203495;491091;0;100;-19589,8;ceda45263f
63856219203645;491158;0;100;-19589,8;ceda45263f
63856219203695;491291;0;100;-19589,8;ceda45263f
63856219203695;491291;0;100;-19589,4;ceda45263f
63856219203812;491358;0;100;-19589,8;ceda45263f
63856219203928;491491;0;100;-19589,2;ceda45263f
63856219203928;491491;0;100;-19588,8;ceda45263f
63856219204011;491558;0;100;-19588,2;ceda45263f
63856219204129;491691;0;100;-19588,4;ceda45263f
63856219204129;491691;0;100;-19587,8;ceda45263f
63856219204212;491758;0;100;-19587;ceda45263f
63856219204312;491891;0;100;-19586,8;ceda45263f
63856219204312;491891;0;100;-19585,8;ceda45263f
63856219204429;491958;0;100;-19585,6;ceda45263f
63856219204545;492091;0;100;-19586;ceda45263f
63856219204545;492091;0;100;-19586;ceda45263f
63856219204628;492158;0;100;-19585,6;ceda45263f
63856219204712;492291;0;100;-19585,6;ceda45263f
63856219204712;492291;0;100;-19585,6;ceda45263f
63856219204828;492424;0;100;-19587;ceda45263f
63856219204828;492424;0;100;-19587,2;ceda45263f
63856219204945;492491;0;100;-19587;ceda45263f
63856219205062;492624;0;100;-19587;ceda45263f
63856219205062;492624;0;100;-19587,4;ceda45263f
63856219205128;492691;0;100;-19586,6;ceda45263f
63856219205245;492824;0;100;-19587;ceda45263f
