Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63856402104272;350782;0;100;1450;d218a50a47
63856402105105;351636;0;100;850;d218a50a47
63856402106438;352976;0;100;1320;d218a50a47
63856402107471;353909;0;100;920;d218a50a47
63856402107971;354435;0;100;520;d218a50a47
63856402108204;354682;0;100;240;d218a50a47
63856402109538;356065;0;100;1370;d218a50a47
63856402110137;356589;0;100;520;d218a50a47
63856402111272;357738;0;100;1130;d218a50a47
63856402112171;358625;0;100;880;d218a50a47
63856402112704;359162;0;100;530;d218a50a47
63856402113604;360141;0;100;960;d218a50a47
63856402115204;361661;0;100;1500;d218a50a47
63856402117739;364224;0;100;2540;d218a50a47
63856402118338;364858;0;100;620;d218a50a47
63856402118738;365198;0;100;340;d218a50a47
63856402119904;366367;0;100;1150;d218a50a47
63856402120505;367021;0;100;650;d218a50a47
63856402121337;367864;0;100;830;d218a50a47
63856402121671;368131;0;100;260;d218a50a47
63856402122571;369041;0;100;900;d218a50a47
63856402123371;369864;0;100;820;d218a50a47
63856402124437;370910;0;100;1030;d218a50a47
63856402124638;371150;0;100;240;d218a50a47
63856402125470;372007;0;100;840;d218a50a47
63856402126071;372587;0;100;580;d218a50a47
63856402126638;373100;0;100;500;d218a50a47
63856402127770;374200;0;100;1090;d218a50a47
63856402128770;375293;0;100;1080;d218a50a47
63856402129271;375740;0;100;440;d218a50a47
63856402130437;376903;0;100;1150;d218a50a47
63856402130970;377480;0;100;570;d218a50a47
63856402131971;378493;0;100;1000;d218a50a47
63856402133004;379496;0;100;990;d218a50a47
63856402133304;379803;0;100;300;d218a50a47
63856402134670;381126;0;100;1310;d218a50a47
63856402135671;382189;0;100;1050;d218a50a47
63856402136804;383339;0;100;1130;d218a50a47
63856402138104;384576;0;100;1220;d218a50a47
63856402139138;385592;0;100;1010;d218a50a47
63856402139637;386119;0;100;520;d218a50a47
63856402140304;386795;0;100;670;d218a50a47
63856402141537;388019;0;100;1200;d218a50a47
63856402142037;388495;0;100;470;d218a50a47
63856402142237;388779;0;100;280;d218a50a47
63856402142738;389235;0;100;450;d218a50a47
63856402143637;390192;0;100;960;d218a50a47
63856402144670;391205;0;100;1000;d218a50a47
63856402145005;391505;0;100;300;d218a50a47
63856402145438;391972;0;100;460;d218a50a47
63856402146970;393502;0;100;1510;d218a50a47
63856402147671;394128;0;100;620;d218a50a47
63856402148170;394685;0;100;550;d218a50a47
63856402149203;395678;0;100;980;d218a50a47
63856402149504;395994;0;100;310;d218a50a47
63856402150170;396641;0;100;640;d218a50a47
63856402150570;397081;0;100;430;d218a50a47
63856402152004;398498;0;100;1400;d218a50a47
63856402153437;399904;0;100;1390;d218a50a47
63856402154037;400528;0;100;620;d218a50a47
63856402154537;401074;0;100;540;d218a50a47
63856402155304;401784;0;100;700;d218a50a47
63856402156003;402501;0;100;700;d218a50a47
63856402156504;403057;0;100;550;d218a50a47
63856402157137;403660;0;100;600;d218a50a47
63856402157770;404264;0;100;600;d218a50a47
63856402157970;404504;0;100;230;d218a50a47
63856402158503;404950;0;100;440;d218a50a47
63856402159103;405594;0;100;640;d218a50a47
63856402160904;407377;0;100;1760;d218a50a47
63856402161837;408287;0;100;900;d218a50a47
63856402164070;410540;0;100;2220;d218a50a47
63856402165937;412476;0;100;1920;d218a50a47
63856402167470;413996;0;100;1500;d218a50a47
63856402168070;414599;0;100;590;d218a50a47
63856402168904;415403;0;100;790;d218a50a47
63856402169903;416386;0;100;980;d218a50a47
63856402170437;416923;0;100;530;d218a50a47
63856402172537;419002;0;100;2050;d218a50a47
63856402173069;419579;0;100;570;d218a50a47
63856402173570;420035;0;100;450;d218a50a47
63856402173870;420392;0;100;350;d218a50a47
63856402174271;420765;0;100;370;d218a50a47
63856402175370;421862;0;100;1080;d218a50a47
63856402176303;422792;0;100;920;d218a50a47
63856402177137;423605;0;100;800;d218a50a47
63856402178237;424695;0;100;1080;d218a50a47
63856402178836;425308;0;100;610;d218a50a47
63856402179236;425788;0;100;470;d218a50a47
63856402179769;426238;0;100;440;d218a50a47
63856402180570;427061;0;100;820;d218a50a47
63856402181003;427528;0;100;460;d218a50a47
63856402181636;428128;0;100;590;d218a50a47
63856402182637;429141;0;100;1000;d218a50a47
63856402183037;429544;0;100;400;d218a50a47
63856402183936;430425;0;100;870;d218a50a47
63856402184336;430844;0;100;410;d218a50a47
63856402184969;431448;0;100;600;d218a50a47
63856402185570;432088;0;100;630;d218a50a47
63856402186071;432617;0;100;520;d218a50a47
63856402187303;433821;0;100;1190;d218a50a47
63856402187902;434384;0;100;560;d218a50a47
63856402188702;435187;0;100;790;d218a50a47
63856402189636;436144;0;100;950;d218a50a47
63856402190104;436574;0;100;420;d218a50a47
63856402192636;439137;0;100;2530;d218a50a47
63856402193269;439710;0;100;570;d218a50a47
63856402193970;440447;0;100;730;d218a50a47
63856402196803;443290;0;100;2800;d218a50a47
63856402197636;444163;0;100;870;d218a50a47
63856402199769;446226;0;100;2030;d218a50a47
63856402200470;446943;0;100;710;d218a50a47
63856402201102;447596;0;100;640;d218a50a47
63856402201502;447956;0;100;360;d218a50a47
63856402202402;448916;0;100;950;d218a50a47
63856402203403;449929;0;100;1000;d218a50a47
63856402203636;450129;0;100;200;d218a50a47
63856402203836;450359;0;100;220;d218a50a47
