Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856402103539;350048;0;100;-19293,8;d218a50a47
63856402103671;350181;0;100;-19294,8;d218a50a47
63856402103671;350181;0;100;-19292,4;d218a50a47
63856402103771;350248;0;100;-19291,8;d218a50a47
63856402103904;350448;0;100;-19293;d218a50a47
63856402103904;350448;0;100;-19291;d218a50a47
63856402103904;350448;0;100;-19291;d218a50a47
63856402104071;350581;0;100;-19290;d218a50a47
63856402104071;350581;0;100;-19289,4;d218a50a47
63856402104171;350714;0;100;-19291,2;d218a50a47
63856402104171;350714;0;100;-19292;d218a50a47
63856402104272;350781;0;100;-19289,2;d218a50a47
63856402104371;350914;0;100;-19290,6;d218a50a47
63856402104371;350914;0;100;-19289,4;d218a50a47
63856402104471;350981;0;100;-19289,4;d218a50a47
63856402104571;351114;0;100;-19288,6;d218a50a47
63856402104571;351114;0;100;-19289,4;d218a50a47
63856402104671;351181;0;100;-19288,6;d218a50a47
63856402104772;351314;0;100;-19288;d218a50a47
63856402104772;351314;0;100;-19289;d218a50a47
63856402104872;351381;0;100;-19288,8;d218a50a47
63856402104971;351514;0;100;-19287,8;d218a50a47
63856402104971;351514;0;100;-19287,4;d218a50a47
63856402105105;351581;0;100;-19287,8;d218a50a47
63856402105172;351714;0;100;-19288,8;d218a50a47
63856402105172;351714;0;100;-19288,4;d218a50a47
63856402105271;351781;0;100;-19289,2;d218a50a47
63856402105404;351914;0;100;-19290,4;d218a50a47
63856402105404;351914;0;100;-19290;d218a50a47
63856402105504;351981;0;100;-19289,6;d218a50a47
63856402105604;352114;0;100;-19289;d218a50a47
63856402105604;352114;0;100;-19288,2;d218a50a47
63856402105705;352181;0;100;-19288,8;d218a50a47
63856402105805;352314;0;100;-19289,4;d218a50a47
63856402105805;352314;0;100;-19288,6;d218a50a47
63856402105904;352381;0;100;-19289,6;d218a50a47
63856402106038;352581;0;100;-19288,6;d218a50a47
63856402106038;352581;0;100;-19288,2;d218a50a47
63856402106038;352581;0;100;-19288;d218a50a47
63856402106171;352648;0;100;-19291,2;d218a50a47
63856402106238;352781;0;100;-19291,2;d218a50a47
63856402106238;352781;0;100;-19289,6;d218a50a47
63856402106338;352848;0;100;-19290,6;d218a50a47
63856402106438;352981;0;100;-19289,2;d218a50a47
63856402106438;352981;0;100;-19289,8;d218a50a47
63856402106571;353048;0;100;-19289,2;d218a50a47
63856402106638;353181;0;100;-19289,2;d218a50a47
63856402106638;353181;0;100;-19290,4;d218a50a47
63856402106738;353247;0;100;-19291,4;d218a50a47
63856402106871;353381;0;100;-19291,4;d218a50a47
63856402106871;353381;0;100;-19293,4;d218a50a47
63856402106971;353447;0;100;-19292,2;d218a50a47
63856402107071;353581;0;100;-19291;d218a50a47
63856402107071;353581;0;100;-19290,6;d218a50a47
63856402107171;353647;0;100;-19292;d218a50a47
63856402107271;353781;0;100;-19292,4;d218a50a47
63856402107271;353781;0;100;-19291,8;d218a50a47
63856402107371;353847;0;100;-19291;d218a50a47
63856402107471;353981;0;100;-19291,6;d218a50a47
63856402107471;353981;0;100;-19291;d218a50a47
63856402107571;354114;0;100;-19294;d218a50a47
63856402107571;354114;0;100;-19295,8;d218a50a47
63856402107671;354181;0;100;-19293;d218a50a47
63856402107771;354314;0;100;-19290,2;d218a50a47
63856402107771;354314;0;100;-19291,6;d218a50a47
63856402107871;354381;0;100;-19292,4;d218a50a47
63856402107971;354514;0;100;-19293;d218a50a47
63856402107971;354514;0;100;-19293;d218a50a47
63856402108205;354714;0;100;-19291,8;d218a50a47
63856402108205;354714;0;100;-19291;d218a50a47
63856402108205;354714;0;100;-19291,8;d218a50a47
63856402108505;354981;0;100;-19294,4;d218a50a47
63856402108505;354981;0;100;-19292,4;d218a50a47
63856402108505;354981;0;100;-19291,2;d218a50a47
63856402108505;354981;0;100;-19292,2;d218a50a47
63856402108738;355247;0;100;-19293,8;d218a50a47
63856402108738;355247;0;100;-19294;d218a50a47
63856402108738;355247;0;100;-19291,2;d218a50a47
63856402108738;355247;0;100;-19291,8;d218a50a47
63856402108838;355381;0;100;-19295,6;d218a50a47
63856402108838;355381;0;100;-19298;d218a50a47
63856402109038;355514;0;100;-19297,4;d218a50a47
63856402109038;355514;0;100;-19296,2;d218a50a47
63856402109138;355647;0;100;-19295,2;d218a50a47
63856402109138;355647;0;100;-19296,4;d218a50a47
63856402109238;355714;0;100;-19297,6;d218a50a47
63856402109338;355847;0;100;-19299;d218a50a47
63856402109338;355847;0;100;-19298,4;d218a50a47
63856402109438;355981;0;100;-19299,2;d218a50a47
63856402109438;355981;0;100;-19299,6;d218a50a47
63856402109538;356047;0;100;-19298,2;d218a50a47
