Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856402113504;359048;0;100;0,651438;d218a50a47
63856402118638;364980;0;100;0,064802;d218a50a47
63856402122238;368246;0;100;0,209661;d218a50a47
63856402124837;370913;0;100;0,112464;d218a50a47
63856402130670;376445;0;100;0,338953;d218a50a47
63856402152004;397910;0;100;0,206255;d218a50a47
63856402161137;407176;0;100;0,123597;d218a50a47
63856402161336;407709;0;100;0,02857;d218a50a47
63856402181202;426973;0;100;0,422038;d218a50a47
63856402198969;444906;0;100;0,191803;d218a50a47
63856402203636;449904;0;100;0,021423;d218a50a47
63856402208102;454238;0;100;0,084315;d218a50a47
63856402213369;459570;0;100;0,058897;d218a50a47
63856402217036;463436;0;100;0,017035;d218a50a47
63856402218036;463704;0;100;0,448852;d218a50a47
63856402225136;470836;0;100;0,499928;d218a50a47
63856402242269;488234;1;100;0,180441;d218a50a47
63856402244602;490434;1;100;0,384598;d218a50a47
63856402267224;513231;1;100;0,174716;d218a50a47
63856402267426;513831;1;100;0,049369;d218a50a47
63856402276826;522764;1;100;0,267362;d218a50a47
63856402283796;529630;1;100;0,533206;d218a50a47
63856402290491;536629;1;100;0,20045;d218a50a47
63856402304859;551161;1;100;0,028363;d218a50a47
63856402346799;593023;1;100;0,217631;d218a50a47
63856402357330;603622;1;100;0,047153;d218a50a47
63856402368500;614821;1;100;0,091238;d218a50a47
63856402373621;619621;-1;100;0,308872;d218a50a47
63856402402866;648819;2;100;0,334332;d218a50a47
63856402408423;654351;2;100;0,230797;d218a50a47
63856402416555;662617;2;100;0,280415;d218a50a47
63856402434199;680415;2;100;0,212219;d218a50a47
63856402443496;689548;2;100;0,219999;d218a50a47
63856402453998;700147;2;100;0,202919;d218a50a47
63856402454198;700547;2;100;0,048525;d218a50a47
63856402458628;704880;2;100;0,213552;d218a50a47
63856402478365;724411;2;100;0,395498;d218a50a47
63856402488964;735143;2;100;0,093852;d218a50a47
63856402496397;742475;-2;100;0,389482;d218a50a47
63856402509930;756140;3;100;0,1815;d218a50a47
63856402516796;762806;3;100;0,409458;d218a50a47
63856402522530;768673;3;100;0,101519;d218a50a47
63856402534363;780472;3;100;0,166427;d218a50a47
63856402541297;787338;3;100;0,305927;d218a50a47
63856402545596;791671;3;100;0,28767;d218a50a47
63856402550329;796403;3;100;0,292467;d218a50a47
63856402562630;808735;3;100;0,181638;d218a50a47
63856402572662;818802;-3;100;0,165713;d218a50a47
63856402590496;836733;4;100;0,04389;d218a50a47
63856402596895;843265;4;100;0,037478;d218a50a47
63856402597095;843466;4;100;0,031882;d218a50a47
63856402598929;845198;4;100;0,069698;d218a50a47
63856402603228;849265;4;100;0,303149;d218a50a47
63856402629128;875329;4;100;0,284349;d218a50a47
63856402635295;881662;4;100;0,083044;d218a50a47
63856402650328;896394;4;100;0,258357;d218a50a47
63856402671327;917724;4;100;0,03386;d218a50a47
63856402698927;944922;4;100;0,283264;d218a50a47
63856402717160;963453;5;100;0,02727;d218a50a47
63856402722460;968586;5;100;0,097049;d218a50a47
63856402723460;969186;5;100;0,479609;d218a50a47
63856402730060;975852;5;100;1,032709;d218a50a47
63856402731526;977586;5;100;0,415613;d218a50a47
63856402750926;997183;5;100;0,079864;d218a50a47
63856402757526;1003516;5;100;0,459639;d218a50a47
63856402763259;1009316;5;100;0,481511;d218a50a47
63856402764859;1011049;5;100;0,21646;d218a50a47
63856402770192;1016381;5;100;0,091588;d218a50a47
63856402781292;1027380;5;100;0,37273;d218a50a47
63856402786925;1033113;5;100;0,140531;d218a50a47
63856402792058;1038313;5;100;0,115546;d218a50a47
63856402801392;1047578;5;100;0,079208;d218a50a47
63856402813591;1059577;5;100;0,292358;d218a50a47
63856402832991;1079042;5;100;0,270576;d218a50a47
63856402838924;1084908;5;100;0,266148;d218a50a47
63856402843057;1089041;5;100;0,364161;d218a50a47
63856402855157;1101107;-5;100;0,370353;d218a50a47
63856402868790;1114905;6;100;0,144471;d218a50a47
63856402877723;1123771;6;100;0,313314;d218a50a47
63856402881390;1127370;6;100;0,349553;d218a50a47
63856402886423;1132170;6;100;0,742583;d218a50a47
63856402900789;1146969;6;100;0,174809;d218a50a47
63856402902522;1148701;6;100;0,21246;d218a50a47
63856402909956;1155967;6;100;0,391476;d218a50a47
63856402917022;1163233;6;100;0,186698;d218a50a47
63856402917222;1163633;6;100;0,03677;d218a50a47
63856402920456;1166499;6;100;0,354351;d218a50a47
63856402929455;1175565;6;100;0,193229;d218a50a47
63856402933839;1180032;6;100;0,084634;d218a50a47
63856402960405;1206495;6;100;0,206021;d218a50a47
63856402972905;1219028;7;100;0,079964;d218a50a47
63856402984871;1230893;7;100;0,263655;d218a50a47
63856402990771;1236626;7;100;0,347149;d218a50a47
63856402995571;1241692;7;100;0,077506;d218a50a47
63856403000438;1246692;7;100;0,071019;d218a50a47
63856403000838;1247025;7;100;0,100083;d218a50a47
63856403001771;1248091;7;100;0,057294;d218a50a47
63856403017770;1263690;7;100;0,345118;d218a50a47
63856403027637;1273689;7;100;0,156238;d218a50a47
63856403033004;1278956;7;100;0,538822;d218a50a47
63856403057937;1304152;7;100;0,150139;d218a50a47
63856403075036;1320951;-7;100;0,311171;d218a50a47
63856403094402;1340483;8;100;0,175119;d218a50a47
63856403116202;1362213;8;100;0,213541;d218a50a47
63856403119868;1366080;8;100;0,094602;d218a50a47
63856403127601;1373612;8;100;0,198282;d218a50a47
63856403145134;1391078;8;100;0,261105;d218a50a47
63856403153768;1400076;8;100;0,031425;d218a50a47
63856403153968;1400343;8;100;0,048092;d218a50a47
