Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856402103771;350248;0;100;9,1032;d218a50a47
63856402104071;350581;0;100;8,9979;d218a50a47
63856402104371;350914;0;100;8,8938;d218a50a47
63856402104772;351314;0;100;8,7909;d218a50a47
63856402105105;351581;0;100;8,6892;d218a50a47
63856402105404;351914;0;100;8,5887;d218a50a47
63856402105805;352314;0;100;8,4893;d218a50a47
63856402106038;352581;0;100;8,3911;d218a50a47
63856402106438;352981;0;100;8,294;d218a50a47
63856402106738;353247;0;100;8,1981;d218a50a47
63856402107071;353581;0;100;8,1033;d218a50a47
63856402107471;353981;0;100;8,0095;d218a50a47
63856402107771;354314;0;100;7,9169;d218a50a47
63856402108204;354714;0;100;7,8253;d218a50a47
63856402108505;354981;0;100;7,7348;d218a50a47
63856402108738;355247;0;100;7,6453;d218a50a47
63856402109138;355647;0;100;7,5568;d218a50a47
63856402109438;355981;0;100;7,4694;d218a50a47
63856402109737;356247;0;100;7,383;d218a50a47
63856402110038;356581;0;100;7,2976;d218a50a47
63856402110438;356981;0;100;7,2132;d218a50a47
63856402110738;357247;0;100;7,1298;d218a50a47
63856402111071;357580;0;100;7,0473;d218a50a47
63856402111472;357980;0;100;6,9658;d218a50a47
63856402111771;358314;0;100;6,8852;d218a50a47
63856402112072;358580;0;100;6,8055;d218a50a47
63856402112371;358914;0;100;6,7268;d218a50a47
63856402112771;359313;0;100;6,649;d218a50a47
63856402113104;359580;0;100;6,5721;d218a50a47
63856402113405;359913;0;100;6,496;d218a50a47
63856402113805;360313;0;100;8,5031;d218a50a47
63856402114171;360713;0;100;8,4048;d218a50a47
63856402114371;360913;0;100;8,3076;d218a50a47
63856402114804;361313;0;100;8,2115;d218a50a47
63856402115104;361580;0;100;8,1165;d218a50a47
63856402115405;361913;0;100;8,0226;d218a50a47
63856402115704;362247;0;100;7,9298;d218a50a47
63856402116137;362647;0;100;7,838;d218a50a47
63856402116437;362913;0;100;7,7474;d218a50a47
63856402116738;363246;0;100;7,6577;d218a50a47
63856402117138;363646;0;100;7,5692;d218a50a47
63856402117438;363980;0;100;7,4816;d218a50a47
63856402117739;364246;0;100;7,395;d218a50a47
63856402118037;364580;0;100;7,3095;d218a50a47
63856402118437;364980;0;100;7,2249;d218a50a47
63856402118738;365246;0;100;9,2236;d218a50a47
63856402119071;365580;0;100;9,1169;d218a50a47
63856402119404;365913;0;100;9,0115;d218a50a47
63856402119704;366246;0;100;8,9072;d218a50a47
63856402120137;366646;0;100;8,8042;d218a50a47
63856402120438;366913;0;100;8,7023;d218a50a47
63856402120738;367246;0;100;8,6017;d218a50a47
63856402121138;367646;0;100;8,5021;d218a50a47
63856402121438;367979;0;100;8,4038;d218a50a47
63856402121737;368246;0;100;8,3066;d218a50a47
63856402122037;368579;0;100;8,2105;d218a50a47
63856402122438;368979;0;100;10,1978;d218a50a47
63856402122738;369246;0;100;10,0798;d218a50a47
63856402123072;369579;0;100;9,9632;d218a50a47
63856402123371;369912;0;100;9,8479;d218a50a47
63856402123771;370312;0;100;9,734;d218a50a47
63856402124071;370579;0;100;9,6214;d218a50a47
