Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856221367257;300893;0;100;53;d237cc6778
63856221368891;302477;0;100;49;d237cc6778
63856221369798;303397;0;100;53;d237cc6778
63856221372765;306406;0;100;46;d237cc6778
63856221373791;307403;0;100;49;d237cc6778
63856221374120;307680;0;100;88;d237cc6778
63856221375925;309516;0;100;75;d237cc6778
63856221378595;312152;0;100;64;d237cc6778
63856221381085;314665;0;100;55;d237cc6778
63856221382100;315709;0;100;56;d237cc6778
63856221383324;316922;0;100;54;d237cc6778
63856221385253;318835;0;100;49;d237cc6778
63856221385757;319412;0;100;62;d237cc6778
63856221387234;320821;0;100;58;d237cc6778
63856221388173;321782;0;100;59;d237cc6778
63856221388864;322438;0;100;66;d237cc6778
63856221391492;325118;0;100;57;d237cc6778
63856221393690;327254;0;100;50;d237cc6778
63856221393999;327591;0;100;78;d237cc6778
63856221394292;327958;0;100;98;d237cc6778
63856221394937;328501;0;100;101;d237cc6778
63856221395838;329451;0;100;93;d237cc6778
63856221396769;330337;0;100;88;d237cc6778
63856221408622;342203;0;100;69;d237cc6778
63856221409026;342643;0;100;85;d237cc6778
63856221409635;343216;0;100;89;d237cc6778
63856221410023;343639;0;100;101;d237cc6778
63856221410723;344316;0;100;99;d237cc6778
63856221411733;345323;0;100;90;d237cc6778
63856221412900;346512;0;100;82;d237cc6778
63856221413088;346756;0;100;119;d237cc6778
63856221413828;347412;0;100;113;d237cc6778
63856221416358;349965;0;100;93;d237cc6778
63856221418455;352072;0;100;79;d237cc6778
63856221420692;354308;0;100;67;d237cc6778
63856221422855;356425;0;100;59;d237cc6778
63856221423666;357238;0;100;62;d237cc6778
63856221428392;361991;0;100;51;d237cc6778
63856221429235;362841;0;100;56;d237cc6778
63856221430322;363901;0;100;56;d237cc6778
63856221430866;364447;0;100;68;d237cc6778
63856221432066;365614;0;100;65;d237cc6778
63856221433321;366994;0;100;60;d237cc6778
63856221434459;368114;0;100;59;d237cc6778
63856221435392;368963;0;100;62;d237cc6778
63856221436001;369593;0;100;69;d237cc6778
63856221436499;370123;0;100;80;d237cc6778
63856221437399;371050;0;100;76;d237cc6778
63856221438999;372560;0;100;68;d237cc6778
63856221440117;373696;0;100;65;d237cc6778
63856221440725;374290;0;100;73;d237cc6778
63856221441333;374973;0;100;77;d237cc6778
63856221442098;375709;0;100;78;d237cc6778
63856221442826;376379;0;100;81;d237cc6778
63856221443433;376979;0;100;86;d237cc6778
63856221443699;377323;0;100;106;d237cc6778
63856221445533;379182;1;100;89;d237cc6778
63856221446433;380069;1;100;85;d237cc6778
63856221447166;380729;1;100;87;d237cc6778
63856221447859;381485;1;100;85;d237cc6778
63856221448534;382169;1;100;86;d237cc6778
63856221448732;382379;1;100;130;d237cc6778
63856221449326;382982;1;100;124;d237cc6778
63856221449933;383585;1;100;119;d237cc6778
63856221450660;384235;1;100;113;d237cc6778
63856221451299;384865;1;100;109;d237cc6778
63856221453959;387588;1;100;90;d237cc6778
63856221456003;389615;1;100;77;d237cc6778
63856221456273;389861;1;100;115;d237cc6778
63856221457202;390798;1;100;104;d237cc6778
63856221457637;391271;1;100;109;d237cc6778
63856221458859;392518;1;100;96;d237cc6778
63856221459068;392698;1;100;149;d237cc6778
63856221463234;396887;1;100;119;d237cc6778
63856221464521;398134;1;100;103;d237cc6778
63856221465826;399497;1;100;90;d237cc6778
63856221468366;402030;1;100;75;d237cc6778
63856221469158;402760;1;100;77;d237cc6778
63856221469966;403603;1;100;76;d237cc6778
63856221470356;403967;1;100;97;d237cc6778
63856221471134;404673;1;100;95;d237cc6778
