Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856221364666;298252;0;100;-19428,4;d237cc6778
63856221364755;298386;0;100;-19429;d237cc6778
63856221364755;298386;0;100;-19428,4;d237cc6778
63856221364866;298452;0;100;-19428,6;d237cc6778
63856221364955;298586;0;100;-19428,8;d237cc6778
63856221364955;298586;0;100;-19429;d237cc6778
63856221365048;298652;0;100;-19428,6;d237cc6778
63856221365158;298786;0;100;-19428,8;d237cc6778
63856221365158;298786;0;100;-19428,6;d237cc6778
63856221365250;298919;0;100;-19429,2;d237cc6778
63856221365250;298919;0;100;-19429,4;d237cc6778
63856221365370;298986;0;100;-19429,2;d237cc6778
63856221365456;299119;0;100;-19428,8;d237cc6778
63856221365456;299119;0;100;-19428,8;d237cc6778
63856221365568;299186;0;100;-19429;d237cc6778
63856221365657;299319;0;100;-19428,4;d237cc6778
63856221365657;299319;0;100;-19429;d237cc6778
63856221365748;299386;0;100;-19428,2;d237cc6778
63856221365858;299519;0;100;-19428,4;d237cc6778
63856221365858;299519;0;100;-19428,2;d237cc6778
63856221365958;299586;0;100;-19428,2;d237cc6778
63856221366064;299719;0;100;-19428,8;d237cc6778
63856221366064;299719;0;100;-19428,6;d237cc6778
63856221366184;299786;0;100;-19428,8;d237cc6778
63856221366271;299919;0;100;-19429;d237cc6778
63856221366271;299919;0;100;-19428,4;d237cc6778
63856221366456;300052;0;100;-19428;d237cc6778
63856221366456;300052;0;100;-19428,8;d237cc6778
63856221366535;300186;0;100;-19428,4;d237cc6778
63856221366535;300186;0;100;-19428,2;d237cc6778
63856221366651;300319;0;100;-19428,6;d237cc6778
63856221366651;300319;0;100;-19428,6;d237cc6778
63856221366759;300386;0;100;-19428;d237cc6778
63856221366857;300519;0;100;-19428;d237cc6778
63856221366857;300519;0;100;-19428;d237cc6778
63856221366967;300586;0;100;-19428;d237cc6778
63856221367058;300719;0;100;-19428,8;d237cc6778
63856221367058;300719;0;100;-19428;d237cc6778
63856221367155;300785;0;100;-19428,2;d237cc6778
63856221367258;300919;0;100;-19428,2;d237cc6778
63856221367258;300919;0;100;-19428,6;d237cc6778
63856221367388;300986;0;100;-19428,4;d237cc6778
63856221367466;301119;0;100;-19428,6;d237cc6778
63856221367466;301119;0;100;-19428,6;d237cc6778
63856221367585;301185;0;100;-19428,4;d237cc6778
63856221367666;301319;0;100;-19428,8;d237cc6778
63856221367666;301319;0;100;-19428,6;d237cc6778
63856221367787;301386;0;100;-19428,4;d237cc6778
63856221367900;301519;0;100;-19429,4;d237cc6778
63856221367900;301519;0;100;-19428,4;d237cc6778
63856221367991;301585;0;100;-19428,4;d237cc6778
63856221368088;301719;0;100;-19428,4;d237cc6778
63856221368088;301719;0;100;-19428;d237cc6778
63856221368191;301785;0;100;-19427,2;d237cc6778
63856221368284;301919;0;100;-19429;d237cc6778
63856221368284;301919;0;100;-19428,6;d237cc6778
63856221368400;301985;0;100;-19428,2;d237cc6778
63856221368487;302119;0;100;-19428,6;d237cc6778
63856221368487;302119;0;100;-19428,6;d237cc6778
63856221368598;302252;0;100;-19428,2;d237cc6778
63856221368598;302252;0;100;-19427,4;d237cc6778
63856221368692;302319;0;100;-19428;d237cc6778
63856221368787;302452;0;100;-19428,6;d237cc6778
63856221368787;302452;0;100;-19429;d237cc6778
63856221368891;302519;0;100;-19429,2;d237cc6778
63856221368989;302652;0;100;-19430,4;d237cc6778
63856221368989;302652;0;100;-19430,4;d237cc6778
63856221369102;302719;0;100;-19430,4;d237cc6778
63856221369189;302852;0;100;-19431;d237cc6778
63856221369189;302852;0;100;-19430,8;d237cc6778
63856221369297;302919;0;100;-19430,4;d237cc6778
63856221369391;303052;0;100;-19431,4;d237cc6778
63856221369391;303052;0;100;-19431,8;d237cc6778
63856221369532;303119;0;100;-19431,6;d237cc6778
63856221369601;303252;0;100;-19430,6;d237cc6778
63856221369601;303252;0;100;-19430,8;d237cc6778
63856221369722;303319;0;100;-19430,8;d237cc6778
