Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856221364754;298386;0;100;0;d237cc6778
63856221365048;298652;0;100;0;d237cc6778
63856221365370;298986;0;100;0;d237cc6778
63856221365657;299319;0;100;0;d237cc6778
63856221366064;299719;0;100;0;d237cc6778
63856221366456;300052;0;100;0;d237cc6778
63856221366651;300319;0;100;0;d237cc6778
63856221367058;300719;0;100;0;d237cc6778
63856221367387;300986;0;100;0;d237cc6778
63856221367666;301319;0;100;0;d237cc6778
63856221368088;301719;0;100;0;d237cc6778
63856221368400;301985;0;100;0;d237cc6778
63856221368691;302319;0;100;0;d237cc6778
63856221368988;302652;0;100;0;d237cc6778
63856221369391;303052;0;100;0;d237cc6778
63856221369722;303319;0;100;0;d237cc6778
63856221369999;303652;0;100;0;d237cc6778
63856221370420;304052;0;100;0;d237cc6778
63856221370731;304385;0;100;0;d237cc6778
63856221371025;304652;0;100;0;d237cc6778
63856221371367;304985;0;100;0;d237cc6778
63856221371753;305385;0;100;0;d237cc6778
63856221372065;305652;0;100;0;d237cc6778
63856221372365;305985;0;100;0;d237cc6778
63856221372657;306318;0;100;0;d237cc6778
63856221373066;306718;0;100;0;d237cc6778
63856221373385;306985;0;100;0;d237cc6778
63856221373699;307318;0;100;0;d237cc6778
63856221374005;307651;0;100;0;d237cc6778
63856221374400;308051;0;100;0;d237cc6778
63856221374696;308318;0;100;0;d237cc6778
63856221375025;308651;0;100;0;d237cc6778
63856221375398;309051;0;100;0;d237cc6778
63856221375721;309318;0;100;0;d237cc6778
63856221376042;309651;0;100;0;d237cc6778
63856221376342;309985;0;100;0;d237cc6778
63856221376691;310318;0;100;0;d237cc6778
63856221377007;310651;0;100;0;d237cc6778
63856221377391;311051;0;100;0;d237cc6778
63856221377708;311318;0;100;0;d237cc6778
63856221378058;311651;0;100;0;d237cc6778
63856221378374;311984;0;100;0;d237cc6778
63856221378641;312318;0;100;0;d237cc6778
63856221379075;312718;0;100;0;d237cc6778
63856221379375;312984;0;100;0;d237cc6778
63856221379658;313318;0;100;0;d237cc6778
63856221380091;313718;0;100;0;d237cc6778
63856221380391;313984;0;100;0;d237cc6778
63856221380705;314317;0;100;0;d237cc6778
63856221380991;314651;0;100;0;d237cc6778
63856221381401;315051;0;100;0;d237cc6778
63856221381789;315451;0;100;0;d237cc6778
63856221381992;315651;0;100;0;d237cc6778
63856221382392;316051;0;100;0;d237cc6778
63856221382719;316317;0;100;0;d237cc6778
63856221383031;316651;0;100;0;d237cc6778
63856221383423;317051;0;100;0;d237cc6778
63856221383734;317384;0;100;0;d237cc6778
63856221384032;317650;0;100;0;d237cc6778
63856221384325;317984;0;100;0;d237cc6778
63856221384758;318384;0;100;0;d237cc6778
63856221385053;318650;0;100;0;d237cc6778
63856221385366;318984;0;100;0;d237cc6778
63856221385668;319317;0;100;0;d237cc6778
63856221386072;319717;0;100;0;d237cc6778
63856221386358;319984;0;100;0;d237cc6778
63856221386657;320317;0;100;0;d237cc6778
63856221387035;320650;0;100;0;d237cc6778
63856221387323;320983;0;100;0;d237cc6778
63856221387727;321383;0;100;0;d237cc6778
63856221388058;321650;0;100;0;d237cc6778
63856221388354;321983;0;100;0;d237cc6778
63856221388638;322317;0;100;0;d237cc6778
63856221389055;322717;0;100;0;d237cc6778
63856221389368;322983;0;100;0;d237cc6778
63856221389692;323317;0;100;0;d237cc6778
63856221390067;323717;0;100;0;d237cc6778
63856221390389;323983;0;100;0;d237cc6778
63856221390690;324316;0;100;0;d237cc6778
63856221390999;324650;0;100;0;d237cc6778
63856221391390;325050;0;100;0;d237cc6778
63856221391931;325316;0;100;0;d237cc6778
63856221392053;325716;0;100;0;d237cc6778
63856221392366;325983;0;100;0;d237cc6778
63856221392658;326316;0;100;0;d237cc6778
63856221393062;326716;0;100;0;d237cc6778
63856221393392;326983;0;100;0;d237cc6778
63856221393690;327316;0;100;0;d237cc6778
63856221393999;327649;0;100;0;d237cc6778
63856221394388;328049;0;100;0;d237cc6778
63856221394702;328316;0;100;0;d237cc6778
63856221395025;328649;0;100;0;d237cc6778
63856221395323;328983;0;100;0;d237cc6778
63856221395724;329383;0;100;0;d237cc6778
63856221396017;329649;0;100;0;d237cc6778
63856221396329;329983;0;100;0;d237cc6778
63856221396769;330383;0;100;0;d237cc6778
63856221397034;330649;0;100;0;d237cc6778
63856221397385;331049;0;100;0;d237cc6778
63856221397702;331316;0;100;0;d237cc6778
63856221398002;331649;0;100;0;d237cc6778
63856221398404;332049;0;100;0;d237cc6778
63856221398725;332316;0;100;0;d237cc6778
63856221399024;332649;0;100;0;d237cc6778
63856221399334;332982;0;100;0;d237cc6778
63856221399725;333382;0;100;0;d237cc6778
63856221400041;333649;0;100;0;d237cc6778
63856221400330;333982;0;100;0;d237cc6778
63856221400736;334382;0;100;0;d237cc6778
63856221401058;334649;0;100;0;d237cc6778
63856221401353;334982;0;100;0;d237cc6778
63856221401675;335315;0;100;0;d237cc6778
63856221402057;335715;0;100;0;d237cc6778
63856221402376;335982;0;100;0;d237cc6778
63856221402758;336382;0;100;0;d237cc6778
63856221403072;336649;0;100;0;d237cc6778
63856221403368;336982;0;100;0;d237cc6778
63856221403658;337315;0;100;0;d237cc6778
63856221404064;337715;0;100;0;d237cc6778
63856221404390;337982;0;100;0;d237cc6778
63856221404704;338315;0;100;0;d237cc6778
63856221405025;338648;0;100;0;d237cc6778
63856221405434;339048;0;100;0;d237cc6778
63856221405701;339315;0;100;0;d237cc6778
63856221406025;339648;0;100;0;d237cc6778
63856221406426;340048;0;100;0;d237cc6778
63856221406718;340315;0;100;0;d237cc6778
63856221407035;340648;0;100;0;d237cc6778
63856221407333;340982;0;100;0;d237cc6778
63856221407690;341315;0;100;0;d237cc6778
63856221407999;341648;0;100;0;d237cc6778
63856221408387;342048;0;100;0;d237cc6778
63856221408704;342315;0;100;0;d237cc6778
63856221409026;342648;0;100;0;d237cc6778
63856221409431;343048;0;100;0;d237cc6778
63856221409722;343381;0;100;0;d237cc6778
63856221410023;343648;0;100;0;d237cc6778
63856221410391;344048;0;100;0;d237cc6778
63856221410723;344315;0;100;0;d237cc6778
63856221411028;344648;0;100;0;d237cc6778
63856221411421;345048;0;100;0;d237cc6778
63856221411733;345381;0;100;0;d237cc6778
63856221412025;345648;0;100;0;d237cc6778
63856221412325;345981;0;100;0;d237cc6778
63856221412698;346314;0;100;0;d237cc6778
63856221412988;346648;0;100;0;d237cc6778
63856221413394;347048;0;100;0;d237cc6778
63856221413692;347314;0;100;0;d237cc6778
63856221414035;347647;0;100;0;d237cc6778
63856221414420;348047;0;100;0;d237cc6778
