Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63857597484413;1907146;0;100;0,003559;d268ec78d8
63857597489280;1912344;0;100;0,000332;d268ec78d8
63857597489580;1912678;0;100;0,000253;d268ec78d8
63857597491313;1914144;0;100;0,003446;d268ec78d8
63857597498447;1920677;0;100;0,010581;d268ec78d8
63857597498947;1921810;0;100;0,005965;d268ec78d8
63857597507913;1930743;0;100;0,004269;d268ec78d8
63857597508280;1931276;0;100;0,005783;d268ec78d8
63857597508480;1931677;0;100;0,002311;d268ec78d8
63857597508880;1932010;0;100;0,002707;d268ec78d8
63857597510314;1933476;0;100;0,000342;d268ec78d8
63857597510713;1933876;0;100;0,000412;d268ec78d8
63857597513847;1936675;0;100;0,003299;d268ec78d8
63857597514647;1937343;0;100;0,005954;d268ec78d8
63857597516780;1939608;0;100;0,00948;d268ec78d8
63857597518080;1940542;0;100;0,007292;d268ec78d8
63857597524314;1947208;0;100;0,001565;d268ec78d8
63857597527546;1950207;0;100;0,002625;d268ec78d8
63857597531246;1954407;0;100;0,000138;d268ec78d8
63857597533679;1956340;0;100;0,01408;d268ec78d8
63857597536812;1959540;0;100;0,00976;d268ec78d8
63857597546013;1968872;0;100;0,009676;d268ec78d8
63857597552012;1975071;0;100;8,4E-05;d268ec78d8
63857597553446;1976339;0;100;0,000918;d268ec78d8
63857597579712;2001270;1;100;0,010881;d268ec78d8
63857597579912;2003135;1;100;0,000545;d268ec78d8
63857597580495;2003335;1;100;0,00528;d268ec78d8
63857597580612;2003869;1;100;0,000703;d268ec78d8
63857597581012;2004202;1;100;0,000723;d268ec78d8
63857597582445;2005469;1;100;0,00075;d268ec78d8
63857597583995;2007069;1;100;0,000228;d268ec78d8
63857597584779;2007802;1;100;0,007189;d268ec78d8
63857597586712;2009802;1;100;0,001454;d268ec78d8
63857597587029;2010135;1;100;0,001455;d268ec78d8
63857597590762;2013868;1;100;0,000433;d268ec78d8
63857597592211;2015267;1;100;0,001111;d268ec78d8
63857597593512;2016401;1;100;0,005259;d268ec78d8
63857597595779;2018668;1;100;0,013979;d268ec78d8
63857597601545;2024667;1;100;0,000385;d268ec78d8
63857597602545;2025600;1;100;0,000687;d268ec78d8
63857597604695;2027867;1;100;0,001275;d268ec78d8
63857597605078;2028133;1;100;0,007979;d268ec78d8
63857597605712;2028666;1;100;0,004762;d268ec78d8
63857597608011;2029733;1;100;0,105935;d268ec78d8
63857597608624;2031533;1;100;0,045205;d268ec78d8
63857597624845;2047664;1;100;0,005742;d268ec78d8
63857597625872;2048865;1;100;0,002771;d268ec78d8
63857597626075;2049265;1;100;0,000638;d268ec78d8
63857597626979;2050131;1;100;0,000483;d268ec78d8
63857597628908;2051731;1;100;0,002111;d268ec78d8
63857597629711;2052397;1;100;0,021854;d268ec78d8
63857597630678;2053531;1;100;0,016804;d268ec78d8
63857597639778;2062863;1;100;0,007266;d268ec78d8
63857597640506;2063597;1;100;0,003355;d268ec78d8
63857597643577;2066596;1;100;0,001153;d268ec78d8
63857597644475;2067729;1;100;0,000171;d268ec78d8
63857597647543;2070595;1;100;0,00102;d268ec78d8
63857597649403;2072396;1;100;0,009843;d268ec78d8
63857597652312;2075395;1;100;0,00072;d268ec78d8
63857597652693;2075861;1;100;0,000678;d268ec78d8
63857597653211;2076395;1;100;0,002505;d268ec78d8
63857597658318;2081328;1;100;0,002381;d268ec78d8
63857597661777;2084661;-1;100;0,003009;d268ec78d8
63857597661942;2085194;-1;100;0,0009869999;d268ec78d8
63857597663077;2085927;-1;100;0,004382;d268ec78d8
63857597664311;2087327;-1;100;0,001975;d268ec78d8
63857597669051;2092060;-1;100;0,001359;d268ec78d8
63857597670688;2093860;-1;100;0,004841;d268ec78d8
63857597671103;2094260;-1;100;0,001145;d268ec78d8
63857597671511;2094594;-1;100;0,003202;d268ec78d8
63857597676677;2099659;-1;100;0,005422;d268ec78d8
63857597677511;2100459;2;100;0,00605;d268ec78d8
63857597681892;2103525;2;100;0,019789;d268ec78d8
63857597682078;2105259;2;100;0,001033;d268ec78d8
63857597682590;2105725;2;100;0,001653;d268ec78d8
63857597682878;2106125;2;100;0,001709;d268ec78d8
63857597690314;2113391;2;100;0,00171;d268ec78d8
63857597692134;2115191;2;100;0,012046;d268ec78d8
63857597694468;2117524;2;100;0,005314;d268ec78d8
63857597694875;2117857;2;100;0,016982;d268ec78d8
63857597695544;2118524;2;100;0,004701;d268ec78d8
63857597698693;2121724;2;100;0,004291;d268ec78d8
63857597700943;2123990;2;100;0,000286;d268ec78d8
63857597708410;2131456;2;100;0,018795;d268ec78d8
63857597713076;2135789;2;100;0,002511;d268ec78d8
63857597713276;2136455;2;100;0,000875;d268ec78d8
63857597713810;2136789;2;100;0,00507;d268ec78d8
63857597714616;2137855;2;100;0,000383;d268ec78d8
63857597723010;2146122;2;100;0,00072;d268ec78d8
63857597724350;2147454;2;100;0,000718;d268ec78d8
63857597727161;2149921;2;100;0,014885;d268ec78d8
63857597733543;2156054;2;100;0,004384;d268ec78d8
63857597734077;2157253;2;100;0,00026;d268ec78d8
63857597739610;2162853;2;100;0,000485;d268ec78d8
63857597740410;2163186;2;100;0,002565;d268ec78d8
63857597740643;2163786;2;100;0,000646;d268ec78d8
63857597741337;2164319;2;100;0,010039;d268ec78d8
63857597744950;2167853;2;100;0,001395;d268ec78d8
63857597745159;2168319;2;100;0,000793;d268ec78d8
63857597745769;2168919;2;100;0,000607;d268ec78d8
63857597746557;2169519;2;100;0,001105;d268ec78d8
63857597746875;2169986;2;100;0,001302;d268ec78d8
63857597747284;2170319;2;100;0,003802;d268ec78d8
63857597750809;2173919;2;100;0,004559;d268ec78d8
63857597752509;2175651;2;100;0,000139;d268ec78d8
63857597754404;2177519;2;100;0,000149;d268ec78d8
63857597754807;2178051;2;100;0,000414;d268ec78d8
63857597755625;2178784;2;100;5E-05;d268ec78d8
63857597760942;2183984;-2;100;0,00134;d268ec78d8
63857597762043;2184984;-2;100;0,006646;d268ec78d8
63857597777242;2200450;-2;100;0,000499;d268ec78d8
63857597777735;2200782;-2;100;0,001181;d268ec78d8
63857597778545;2201715;-2;100;0,000563;d268ec78d8
63857597780539;2203449;-2;100;0,008345;d268ec78d8
63857597784475;2207582;-2;100;0,002286;d268ec78d8
63857597785176;2208248;3;100;0,001656;d268ec78d8
63857597788717;2211448;3;100;0,005071;d268ec78d8
63857597789248;2212114;3;100;0,003711;d268ec78d8
63857597789424;2212648;3;100;0,000853;d268ec78d8
63857597789953;2213114;3;100;0,001044;d268ec78d8
63857597790150;2213314;3;100;0,001151;d268ec78d8
63857597790474;2213514;3;100;0,001382;d268ec78d8
63857597791004;2213982;3;100;0,003509;d268ec78d8
63857597791209;2214381;3;100;0,001718;d268ec78d8
63857597792011;2215248;3;100;0,000762;d268ec78d8
63857597799420;2222380;3;100;0,012049;d268ec78d8
63857597800415;2223447;3;100;0,001586;d268ec78d8
63857597801608;2224780;3;100;0,00047;d268ec78d8
