Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857597484413;1907146;0;100;0,6;d268ec78d8
63857597489280;1912344;0;100;0,2;d268ec78d8
63857597489580;1912678;0;100;0,133333;d268ec78d8
63857597491313;1914144;0;100;0,4;d268ec78d8
63857597498447;1920677;0;100;1;d268ec78d8
63857597498947;1921810;0;100;0,466667;d268ec78d8
63857597507914;1930743;0;100;0,4;d268ec78d8
63857597508280;1931276;0;100;0,266667;d268ec78d8
63857597508480;1931677;0;100;0,066667;d268ec78d8
63857597508880;1932010;0;100;0,133333;d268ec78d8
63857597510314;1933476;0;100;0,133333;d268ec78d8
63857597510713;1933876;0;100;0,133333;d268ec78d8
63857597513847;1936675;0;100;0,4;d268ec78d8
63857597514647;1937343;0;100;0,533333;d268ec78d8
63857597516780;1939608;0;100;0,4;d268ec78d8
63857597518080;1940542;0;100;0,8;d268ec78d8
63857597524314;1947208;0;100;0,4;d268ec78d8
63857597527546;1950207;0;100;0,6;d268ec78d8
63857597531246;1954407;0;100;0,133333;d268ec78d8
63857597533679;1956340;0;100;0,6;d268ec78d8
63857597536812;1959540;0;100;0,533333;d268ec78d8
63857597546013;1968872;0;100;0,4;d268ec78d8
63857597552012;1975071;0;100;0,2;d268ec78d8
63857597553446;1976339;0;100;0,4;d268ec78d8
63857597579712;2001270;1;100;1,733333;d268ec78d8
63857597579912;2003135;1;100;0,066667;d268ec78d8
63857597580495;2003335;1;100;0,4;d268ec78d8
63857597580612;2003869;1;100;0,066667;d268ec78d8
63857597581012;2004202;1;100;0,066667;d268ec78d8
63857597582445;2005469;1;100;0,266667;d268ec78d8
63857597583995;2007069;1;100;0,133333;d268ec78d8
63857597584779;2007802;1;100;0,266667;d268ec78d8
63857597586712;2009802;1;100;0,2;d268ec78d8
63857597587029;2010135;1;100;0,133333;d268ec78d8
63857597590762;2013868;1;100;0,2;d268ec78d8
63857597592211;2015267;1;100;0,2;d268ec78d8
63857597593512;2016401;1;100;0,4;d268ec78d8
63857597595779;2018668;1;100;0,4;d268ec78d8
63857597601545;2024667;1;100;0,2;d268ec78d8
63857597602545;2025600;1;100;0,266667;d268ec78d8
63857597604695;2027867;1;100;0,133333;d268ec78d8
63857597605078;2028133;1;100;0,266667;d268ec78d8
63857597605712;2028666;1;100;0,266667;d268ec78d8
63857597608011;2029733;1;100;1,533333;d268ec78d8
63857597608624;2031533;1;100;0,4;d268ec78d8
63857597624845;2047664;1;100;0,4;d268ec78d8
63857597625872;2048865;1;100;0,266667;d268ec78d8
63857597626075;2049265;1;100;0,066667;d268ec78d8
63857597626979;2050131;1;100;0,066667;d268ec78d8
63857597628908;2051731;1;100;0,4;d268ec78d8
63857597629711;2052397;1;100;0,6;d268ec78d8
63857597630678;2053531;1;100;0,333333;d268ec78d8
63857597639778;2062863;1;100;0,2;d268ec78d8
63857597640506;2063597;1;100;0,2;d268ec78d8
63857597643577;2066596;1;100;0,2;d268ec78d8
63857597644475;2067729;1;100;0,066667;d268ec78d8
63857597647543;2070595;1;100;0,2;d268ec78d8
63857597649403;2072396;1;100;0,266667;d268ec78d8
63857597652312;2075395;1;100;0,2;d268ec78d8
63857597652693;2075861;1;100;0,133333;d268ec78d8
63857597653211;2076395;1;100;0,133333;d268ec78d8
63857597658318;2081328;1;100;0,266667;d268ec78d8
63857597661777;2084661;-1;100;0,4;d268ec78d8
63857597661942;2085194;-1;100;0,066667;d268ec78d8
63857597663077;2085927;-1;100;0,466667;d268ec78d8
63857597664311;2087327;-1;100;0,266667;d268ec78d8
63857597669051;2092060;-1;100;0,266667;d268ec78d8
63857597670688;2093860;-1;100;0,133333;d268ec78d8
63857597671103;2094260;-1;100;0,066667;d268ec78d8
63857597671511;2094594;-1;100;0,133333;d268ec78d8
63857597676677;2099659;-1;100;0,333333;d268ec78d8
63857597677511;2100459;2;100;0,266667;d268ec78d8
63857597681892;2103525;2;100;1,6;d268ec78d8
63857597682078;2105259;2;100;0,066667;d268ec78d8
63857597682590;2105725;2;100;0,133333;d268ec78d8
63857597682878;2106125;2;100;0,066667;d268ec78d8
63857597690314;2113391;2;100;0,2;d268ec78d8
63857597692134;2115191;2;100;0,2;d268ec78d8
63857597694468;2117524;2;100;0,2;d268ec78d8
63857597694875;2117857;2;100;0,266667;d268ec78d8
63857597695544;2118524;2;100;0,2;d268ec78d8
63857597698693;2121724;2;100;0,266667;d268ec78d8
63857597700943;2123990;2;100;0,266667;d268ec78d8
63857597708410;2131456;2;100;0,266667;d268ec78d8
63857597713076;2135789;2;100;0,533333;d268ec78d8
63857597713276;2136455;2;100;0,066667;d268ec78d8
63857597713810;2136789;2;100;0,266667;d268ec78d8
63857597714616;2137855;2;100;0,066667;d268ec78d8
63857597723010;2146122;2;100;0,2;d268ec78d8
63857597724350;2147454;2;100;0,133333;d268ec78d8
63857597727161;2149921;2;100;0,533333;d268ec78d8
63857597733543;2156054;2;100;0,8;d268ec78d8
63857597734077;2157253;2;100;0,066667;d268ec78d8
63857597739610;2162853;2;100;0,066667;d268ec78d8
63857597740410;2163186;2;100;0,466667;d268ec78d8
63857597740643;2163786;2;100;0,066667;d268ec78d8
63857597741337;2164319;2;100;0,266667;d268ec78d8
63857597744950;2167853;2;100;0,333333;d268ec78d8
63857597745159;2168319;2;100;0,066667;d268ec78d8
63857597745769;2168919;2;100;0,133333;d268ec78d8
63857597746557;2169519;2;100;0,333333;d268ec78d8
63857597746875;2169986;2;100;0,2;d268ec78d8
63857597747284;2170319;2;100;0,266667;d268ec78d8
63857597750809;2173919;2;100;0,2;d268ec78d8
63857597752509;2175651;2;100;0,2;d268ec78d8
63857597754404;2177519;2;100;0,133333;d268ec78d8
63857597754807;2178051;2;100;0,066667;d268ec78d8
63857597755625;2178784;2;100;0,066667;d268ec78d8
63857597760942;2183984;-2;100;0,266667;d268ec78d8
63857597762043;2184984;-2;100;0,333333;d268ec78d8
63857597777242;2200450;-2;100;0,066667;d268ec78d8
63857597777735;2200782;-2;100;0,2;d268ec78d8
63857597778545;2201715;-2;100;0,133333;d268ec78d8
63857597780539;2203449;-2;100;0,333333;d268ec78d8
63857597784475;2207582;-2;100;0,2;d268ec78d8
63857597785176;2208248;3;100;0,2;d268ec78d8
63857597788717;2211448;3;100;0,533333;d268ec78d8
63857597789248;2212114;3;100;0,4;d268ec78d8
63857597789424;2212648;3;100;0,066667;d268ec78d8
63857597789953;2213114;3;100;0,066667;d268ec78d8
63857597790150;2213314;3;100;0,066667;d268ec78d8
63857597790474;2213514;3;100;0,2;d268ec78d8
63857597791004;2213982;3;100;0,266667;d268ec78d8
63857597791209;2214381;3;100;0,066667;d268ec78d8
63857597792011;2215248;3;100;0,066667;d268ec78d8
63857597799420;2222380;3;100;0,266667;d268ec78d8
63857597800415;2223447;3;100;0,2;d268ec78d8
63857597801608;2224780;3;100;0,066667;d268ec78d8
63857597801909;2224980;3;100;0,2;d268ec78d8
63857597804092;2227180;3;100;0,2;d268ec78d8
63857597805017;2227980;3;100;0,333333;d268ec78d8
63857597805950;2228980;3;100;0,2;d268ec78d8
63857597806451;2229446;3;100;0,266667;d268ec78d8
63857597808608;2230446;3;100;1,466667;d268ec78d8
63857597809225;2232313;3;100;0,133333;d268ec78d8
63857597809514;2232579;3;100;0,2;d268ec78d8
63857597810919;2233979;3;100;0,2;d268ec78d8
63857597811942;2234579;3;100;0,666667;d268ec78d8
63857597812441;2235512;3;100;0,2;d268ec78d8
63857597822787;2245444;3;100;0,6;d268ec78d8
63857597823019;2246178;3;100;0,066667;d268ec78d8
63857597831075;2253978;3;100;0,4;d268ec78d8
63857597832674;2255577;3;100;0,4;d268ec78d8
63857597833608;2256377;3;100;0,466667;d268ec78d8
63857597834510;2257643;3;100;0,133333;d268ec78d8
63857597836325;2259043;3;100;0,533333;d268ec78d8
63857597843784;2266776;3;100;0,266667;d268ec78d8
63857597844201;2267310;3;100;0,133333;d268ec78d8
63857597844407;2267576;3;100;0,066667;d268ec78d8
63857597844607;2267776;3;100;0,066667;d268ec78d8
63857597847291;2269976;3;100;0,533333;d268ec78d8
63857597848288;2271309;3;100;0,266667;d268ec78d8
63857597849620;2272642;3;100;0,266667;d268ec78d8
63857597852141;2275109;3;100;0,266667;d268ec78d8
63857597854874;2277975;3;100;0,2;d268ec78d8
63857597856807;2279774;3;100;0,333333;d268ec78d8
63857597858514;2280974;3;100;0,8;d268ec78d8
63857597858841;2281907;3;100;0,2;d268ec78d8
63857597874358;2296840;3;100;0,733333;d268ec78d8
63857597874941;2298106;3;100;0,133333;d268ec78d8
63857597881984;2304905;3;100;0,333333;d268ec78d8
63857597882643;2305505;3;100;0,333333;d268ec78d8
63857597882978;2306106;3;100;0,2;d268ec78d8
63857597885077;2308105;3;100;0,266667;d268ec78d8
63857597885992;2309172;3;100;0,133333;d268ec78d8
63857597886391;2309572;3;100;0,133333;d268ec78d8
63857597892807;2315571;3;100;0,533333;d268ec78d8
63857597893157;2316371;3;100;0,066667;d268ec78d8
63857597893540;2316704;3;100;0,066667;d268ec78d8
63857597899807;2322837;3;100;0,2;d268ec78d8
63857597903322;2326370;3;100;0,2;d268ec78d8
63857597904338;2327303;3;100;0,266667;d268ec78d8
63857597905850;2328237;3;100;0,866667;d268ec78d8
63857597906668;2329503;3;100;0,466667;d268ec78d8
63857597908877;2331170;3;100;1;d268ec78d8
63857597914519;2337569;3;100;0,2;d268ec78d8
63857597915390;2337902;3;100;0,8;d268ec78d8
63857597915823;2338835;3;100;0,2;d268ec78d8
63857597922975;2346101;3;100;0,2;d268ec78d8
63857597924635;2347702;3;100;0,2;d268ec78d8
63857597925739;2348701;3;100;0,266667;d268ec78d8
63857597926520;2349635;3;100;0,133333;d268ec78d8
63857597926850;2349901;3;100;0,2;d268ec78d8
63857597927137;2350368;3;100;0,066667;d268ec78d8
63857597927340;2350568;3;100;0,066667;d268ec78d8
63857597929206;2352234;3;100;0,266667;d268ec78d8
63857597933288;2356167;-3;100;0,333333;d268ec78d8
63857597934574;2357701;-3;100;0,2;d268ec78d8
63857597934974;2358167;-3;100;0,066667;d268ec78d8
63857597935617;2358500;-3;100;0,4;d268ec78d8
63857597936123;2359300;-3;100;0,066667;d268ec78d8
63857597938539;2361699;-3;100;0,133333;d268ec78d8
63857597938952;2362099;-3;100;0,133333;d268ec78d8
63857597947352;2370366;4;100;0,266667;d268ec78d8
63857597947757;2370899;4;100;0,133333;d268ec78d8
63857597948254;2371499;4;100;0,066667;d268ec78d8
63857597954372;2377631;4;100;0,066667;d268ec78d8
63857597954575;2377831;4;100;0,066667;d268ec78d8
63857597959073;2382297;4;100;0,066667;d268ec78d8
63857597963739;2386831;4;100;0,2;d268ec78d8
63857597964848;2387697;4;100;0,4;d268ec78d8
63857597967089;2388497;4;100;1,866667;d268ec78d8
63857597974005;2397097;4;100;0,133333;d268ec78d8
63857597974205;2397363;4;100;0,066667;d268ec78d8
63857597986538;2409495;4;100;0,266667;d268ec78d8
63857597987034;2410162;4;100;0,2;d268ec78d8
63857597987549;2410628;4;100;0,2;d268ec78d8
63857597987938;2411095;4;100;0,133333;d268ec78d8
63857597988488;2411562;4;100;0,2;d268ec78d8
63857598007155;2430226;4;100;0,2;d268ec78d8
63857598008320;2431493;4;100;0,066667;d268ec78d8
63857598009955;2432892;4;100;0,266667;d268ec78d8
63857598012320;2435293;4;100;0,266667;d268ec78d8
63857598013046;2436159;4;100;0,2;d268ec78d8
63857598013455;2436492;4;100;0,266667;d268ec78d8
63857598013951;2436892;4;100;0,4;d268ec78d8
63857598015782;2438693;4;100;0,4;d268ec78d8
63857598023089;2446224;4;100;0,133333;d268ec78d8
63857598029588;2452491;-4;100;0,4;d268ec78d8
63857598029968;2453024;-4;100;0,266667;d268ec78d8
63857598030488;2453557;-4;100;0,2;d268ec78d8
63857598037054;2460090;-4;100;0,266667;d268ec78d8
63857598040285;2463290;5;100;0,266667;d268ec78d8
63857598040848;2464089;5;100;0,066667;d268ec78d8
63857598041043;2464289;5;100;0,066667;d268ec78d8
63857598051921;2475088;5;100;0,066667;d268ec78d8
63857598055604;2478821;5;100;0,066667;d268ec78d8
63857598056385;2479422;5;100;0,266667;d268ec78d8
63857598064437;2487487;5;100;0,2;d268ec78d8
63857598066043;2489220;5;100;0,133333;d268ec78d8
63857598068382;2491220;5;100;0,466667;d268ec78d8
63857598071348;2494354;5;100;0,266667;d268ec78d8
63857598071704;2494887;5;100;0,133333;d268ec78d8
63857598072308;2495153;5;100;0,4;d268ec78d8
63857598072688;2495686;5;100;0,333333;d268ec78d8
63857598073304;2496286;5;100;0,266667;d268ec78d8
63857598073918;2497086;5;100;0,066667;d268ec78d8
63857598074121;2497286;5;100;0,133333;d268ec78d8
63857598076048;2498886;5;100;0,4;d268ec78d8
