Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63855508317753;851333;0;100;2050;dcbd3755ee
63855508318160;851696;0;100;360;dcbd3755ee
63855508318452;852073;0;100;370;dcbd3755ee
63855508319861;853446;0;100;1360;dcbd3755ee
63855508320194;853722;0;100;270;dcbd3755ee
63855508320695;854229;0;100;500;dcbd3755ee
63855508323031;856596;0;100;2340;dcbd3755ee
63855508323764;857302;0;100;700;dcbd3755ee
63855508324556;858125;0;100;810;dcbd3755ee
63855508325262;858805;0;100;670;dcbd3755ee
63855508325862;859405;0;100;600;dcbd3755ee
63855508326594;860105;0;100;690;dcbd3755ee
63855508329464;862978;0;100;2840;dcbd3755ee
63855508333194;866748;0;100;3720;dcbd3755ee
63855508334162;867738;0;100;980;dcbd3755ee
63855508336528;870064;0;100;2300;dcbd3755ee
63855508337978;871531;0;100;1450;dcbd3755ee
63855508340196;873767;0;100;2200;dcbd3755ee
63855508341731;875280;0;100;1500;dcbd3755ee
63855508342457;875987;0;100;700;dcbd3755ee
63855508342763;876364;0;100;370;dcbd3755ee
63855508343962;877557;0;100;1180;dcbd3755ee
63855508345595;879147;0;100;1570;dcbd3755ee
63855508346528;880046;0;100;890;dcbd3755ee
63855508348861;882400;0;100;2320;dcbd3755ee
63855508350693;884209;0;100;1790;dcbd3755ee
63855508352006;885569;0;100;1340;dcbd3755ee
63855508352619;886209;0;100;640;dcbd3755ee
63855508353317;886949;0;100;730;dcbd3755ee
63855508354063;887626;0;100;660;dcbd3755ee
63855508354950;888496;0;100;860;dcbd3755ee
63855508356194;889759;0;100;1250;dcbd3755ee
63855508357283;890855;0;100;1080;dcbd3755ee
63855508359131;892715;0;100;1840;dcbd3755ee
63855508361673;895235;0;100;2490;dcbd3755ee
63855508362494;896058;0;100;810;dcbd3755ee
63855508363594;897208;0;100;1140;dcbd3755ee
63855508369264;902811;0;100;5530;dcbd3755ee
63855508371376;904901;0;100;2070;dcbd3755ee
63855508374494;908080;0;100;3140;dcbd3755ee
63855508375918;909494;0;100;1390;dcbd3755ee
63855508377253;910843;0;100;1340;dcbd3755ee
63855508379195;912767;0;100;1900;dcbd3755ee
63855508379894;913487;0;100;710;dcbd3755ee
63855508381029;914536;0;100;1040;dcbd3755ee
63855508382631;916163;0;100;1600;dcbd3755ee
63855508383762;917343;0;100;1170;dcbd3755ee
63855508385262;918853;0;100;1490;dcbd3755ee
63855508387194;920812;0;100;1940;dcbd3755ee
63855508388125;921672;0;100;840;dcbd3755ee
63855508388825;922379;0;100;700;dcbd3755ee
63855508389127;922696;0;100;320;dcbd3755ee
63855508390259;923785;0;100;1070;dcbd3755ee
63855508390574;924172;0;100;380;dcbd3755ee
63855508390960;924526;0;100;350;dcbd3755ee
63855508391394;924965;0;100;440;dcbd3755ee
63855508392094;925645;0;100;670;dcbd3755ee
63855508396260;929835;0;100;4140;dcbd3755ee
63855508398194;931778;0;100;1920;dcbd3755ee
63855508398794;932351;0;100;560;dcbd3755ee
63855508399819;933385;0;100;1020;dcbd3755ee
63855508400894;934464;0;100;1070;dcbd3755ee
63855508406360;939927;0;100;5400;dcbd3755ee
63855508406662;940254;0;100;320;dcbd3755ee
63855508408793;942370;0;100;2090;dcbd3755ee
63855508409825;943404;0;100;1020;dcbd3755ee
63855508410831;944417;0;100;1000;dcbd3755ee
63855508411958;945540;1;100;1110;dcbd3755ee
63855508412473;946047;1;100;500;dcbd3755ee
63855508414841;948383;1;100;2310;dcbd3755ee
63855508415626;949216;1;100;820;dcbd3755ee
63855508416961;950489;1;100;1260;dcbd3755ee
63855508418794;952396;1;100;1880;dcbd3755ee
63855508422857;956412;1;100;3970;dcbd3755ee
63855508424694;958262;1;100;1830;dcbd3755ee
63855508426326;959888;1;100;1600;dcbd3755ee
63855508427632;961248;1;100;1350;dcbd3755ee
63855508428252;961798;1;100;540;dcbd3755ee
63855508428659;962172;1;100;370;dcbd3755ee
63855508429658;963235;1;100;1050;dcbd3755ee
63855508430466;964038;1;100;790;dcbd3755ee
63855508433974;967575;1;100;3500;dcbd3755ee
63855508434789;968408;1;100;820;dcbd3755ee
63855508437026;970584;1;100;2150;dcbd3755ee
63855508438557;972147;1;100;1540;dcbd3755ee
63855508440160;973730;1;100;1570;dcbd3755ee
63855508440658;974277;1;100;540;dcbd3755ee
63855508441692;975280;1;100;990;dcbd3755ee
63855508442693;976253;1;100;960;dcbd3755ee
63855508444126;977700;1;100;1430;dcbd3755ee
63855508444832;978357;1;100;650;dcbd3755ee
63855508447059;980636;1;100;2250;dcbd3755ee
63855508447795;981373;1;100;730;dcbd3755ee
63855508449098;982663;1;100;1270;dcbd3755ee
63855508450029;983583;1;100;910;dcbd3755ee
63855508451760;985366;1;100;1760;dcbd3755ee
63855508452360;985949;1;100;580;dcbd3755ee
63855508453093;986626;1;100;660;dcbd3755ee
63855508453896;987459;1;100;830;dcbd3755ee
63855508456827;990449;1;100;2950;dcbd3755ee
63855508457459;991019;1;100;560;dcbd3755ee
63855508457874;991442;1;100;420;dcbd3755ee
63855508458659;992275;1;100;830;dcbd3755ee
63855508459388;992942;1;100;650;dcbd3755ee
63855508460199;993805;1;100;860;dcbd3755ee
63855508462025;995622;1;100;1790;dcbd3755ee
63855508462526;996058;1;100;430;dcbd3755ee
63855508463693;997242;1;100;1170;dcbd3755ee
63855508465524;999098;1;100;1830;dcbd3755ee
63855508466459;1000038;1;100;930;dcbd3755ee
63855508468025;1001531;1;100;1480;dcbd3755ee
63855508469626;1003237;1;100;1680;dcbd3755ee
63855508470155;1003734;1;100;490;dcbd3755ee
63855508472069;1005677;1;100;1920;dcbd3755ee
63855508474159;1007717;1;100;2020;dcbd3755ee
63855508476693;1010270;-1;100;2520;dcbd3755ee
63855508479523;1013093;-1;100;2790;dcbd3755ee
63855508481325;1014900;-1;100;1780;dcbd3755ee
63855508482056;1015576;-1;100;670;dcbd3755ee
63855508482826;1016429;-1;100;840;dcbd3755ee
63855508483525;1017046;-1;100;610;dcbd3755ee
63855508483928;1017539;-1;100;490;dcbd3755ee
63855508487092;1020606;-1;100;3030;dcbd3755ee
63855508487692;1021219;-1;100;600;dcbd3755ee
63855508488274;1021769;-1;100;550;dcbd3755ee
63855508488659;1022219;-1;100;440;dcbd3755ee
63855508489358;1022939;-1;100;710;dcbd3755ee
63855508490290;1023855;2;100;910;dcbd3755ee
63855508490891;1024439;2;100;580;dcbd3755ee
63855508491392;1025015;2;100;570;dcbd3755ee
63855508494092;1027638;2;100;2590;dcbd3755ee
63855508494705;1028322;2;100;670;dcbd3755ee
63855508495369;1028912;2;100;580;dcbd3755ee
63855508495992;1029562;2;100;650;dcbd3755ee
63855508496687;1030241;2;100;670;dcbd3755ee
63855508497625;1031228;2;100;970;dcbd3755ee
63855508498088;1031568;2;100;340;dcbd3755ee
63855508501948;1035494;2;100;3880;dcbd3755ee
63855508503323;1036877;2;100;1360;dcbd3755ee
63855508503750;1037277;2;100;400;dcbd3755ee
63855508504658;1038247;2;100;960;dcbd3755ee
63855508505149;1038754;2;100;500;dcbd3755ee
63855508506888;1040407;2;100;1630;dcbd3755ee
63855508508992;1042570;2;100;2140;dcbd3755ee
63855508510092;1043660;2;100;1070;dcbd3755ee
63855508510723;1044260;2;100;610;dcbd3755ee
63855508512558;1046106;2;100;1820;dcbd3755ee
63855508514825;1048410;2;100;2270;dcbd3755ee
63855508517787;1051389;2;100;2950;dcbd3755ee
63855508520456;1054042;2;100;2620;dcbd3755ee
63855508523958;1057549;2;100;3460;dcbd3755ee
63855508525756;1059205;2;100;1640;dcbd3755ee
63855508526257;1059772;2;100;560;dcbd3755ee
63855508527058;1060625;2;100;840;dcbd3755ee
