Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63855508317430;851058;0;100;-6070,2;dcbd3755ee
63855508317430;851058;0;100;-6075,2;dcbd3755ee
63855508317551;851125;0;100;-6077,4;dcbd3755ee
63855508317661;851258;0;100;-6083,4;dcbd3755ee
63855508317661;851258;0;100;-6089;dcbd3755ee
63855508317753;851325;0;100;-6094,6;dcbd3755ee
63855508317835;851458;0;100;-6094,6;dcbd3755ee
63855508317835;851458;0;100;-6086,4;dcbd3755ee
63855508317929;851525;0;100;-6082;dcbd3755ee
63855508318064;851658;0;100;-6088,8;dcbd3755ee
63855508318064;851658;0;100;-6080;dcbd3755ee
63855508318160;851725;0;100;-6077,2;dcbd3755ee
63855508318252;851858;0;100;-6087,6;dcbd3755ee
63855508318252;851858;0;100;-6084,2;dcbd3755ee
63855508318359;851925;0;100;-6082,6;dcbd3755ee
63855508318452;852058;0;100;-6067,2;dcbd3755ee
63855508318452;852058;0;100;-6067,2;dcbd3755ee
63855508318561;852125;0;100;-6066,6;dcbd3755ee
63855508318662;852258;0;100;-6089;dcbd3755ee
63855508318662;852258;0;100;-6091,2;dcbd3755ee
63855508318762;852325;0;100;-6097;dcbd3755ee
63855508318862;852458;0;100;-6092,6;dcbd3755ee
63855508318862;852458;0;100;-6090,4;dcbd3755ee
63855508318958;852525;0;100;-6108,4;dcbd3755ee
63855508319062;852658;0;100;-6115,6;dcbd3755ee
63855508319062;852658;0;100;-6114,8;dcbd3755ee
63855508319151;852724;0;100;-6117,4;dcbd3755ee
63855508319261;852858;0;100;-6103,8;dcbd3755ee
63855508319261;852858;0;100;-6108;dcbd3755ee
63855508319362;852925;0;100;-6140,2;dcbd3755ee
63855508319461;853058;0;100;-6151;dcbd3755ee
63855508319461;853058;0;100;-6120;dcbd3755ee
63855508319562;853124;0;100;-6104,4;dcbd3755ee
63855508319663;853258;0;100;-6100,4;dcbd3755ee
63855508319663;853258;0;100;-6093,2;dcbd3755ee
63855508319794;853391;0;100;-6084,4;dcbd3755ee
63855508319794;853391;0;100;-6089;dcbd3755ee
63855508319861;853458;0;100;-6091,2;dcbd3755ee
63855508319962;853591;0;100;-6094,4;dcbd3755ee
63855508319962;853591;0;100;-6085,4;dcbd3755ee
63855508320094;853658;0;100;-6090;dcbd3755ee
63855508320194;853791;0;100;-6087,6;dcbd3755ee
63855508320194;853791;0;100;-6091,2;dcbd3755ee
63855508320262;853858;0;100;-6098,2;dcbd3755ee
63855508320395;853991;0;100;-6096,8;dcbd3755ee
63855508320395;853991;0;100;-6080;dcbd3755ee
63855508320495;854058;0;100;-6088;dcbd3755ee
63855508320595;854191;0;100;-6088,8;dcbd3755ee
63855508320595;854191;0;100;-6091,4;dcbd3755ee
63855508320695;854258;0;100;-6098;dcbd3755ee
63855508320802;854391;0;100;-6093,6;dcbd3755ee
63855508320802;854391;0;100;-6093,8;dcbd3755ee
63855508320893;854458;0;100;-6097;dcbd3755ee
63855508320983;854591;0;100;-6095;dcbd3755ee
63855508320983;854591;0;100;-6096,8;dcbd3755ee
63855508321096;854658;0;100;-6107;dcbd3755ee
63855508321186;854791;0;100;-6108,4;dcbd3755ee
63855508321186;854791;0;100;-6091,2;dcbd3755ee
63855508321295;854858;0;100;-6094,8;dcbd3755ee
63855508321390;854991;0;100;-6086,2;dcbd3755ee
63855508321390;854991;0;100;-6092,8;dcbd3755ee
63855508321528;855124;0;100;-6091,4;dcbd3755ee
63855508321528;855124;0;100;-6085;dcbd3755ee
63855508321626;855191;0;100;-6094,2;dcbd3755ee
63855508321701;855324;0;100;-6115,4;dcbd3755ee
63855508321701;855324;0;100;-6115,2;dcbd3755ee
63855508321795;855391;0;100;-6111,8;dcbd3755ee
63855508321935;855524;0;100;-6115,6;dcbd3755ee
63855508321935;855524;0;100;-6098,8;dcbd3755ee
63855508322028;855591;0;100;-6092;dcbd3755ee
63855508322130;855724;0;100;-6095,4;dcbd3755ee
63855508322130;855724;0;100;-6086;dcbd3755ee
63855508322229;855791;0;100;-6102,8;dcbd3755ee
63855508322329;855924;0;100;-6112,2;dcbd3755ee
63855508322329;855924;0;100;-6110,4;dcbd3755ee
63855508322427;855991;0;100;-6105,4;dcbd3755ee
63855508322522;856124;0;100;-6103,2;dcbd3755ee
63855508322522;856124;0;100;-6101,2;dcbd3755ee
