Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63855508317551;851125;0;100;39,6361;dcbd3755ee
63855508317835;851458;0;100;41,2598;dcbd3755ee
63855508318252;851858;0;100;40,7825;dcbd3755ee
63855508318561;852125;0;100;40,3108;dcbd3755ee
63855508318862;852458;0;100;39,8445;dcbd3755ee
63855508319261;852858;0;100;41,4658;dcbd3755ee
63855508319562;853124;0;100;43,0684;dcbd3755ee
63855508319861;853458;0;100;42,5701;dcbd3755ee
63855508320194;853791;0;100;42,0777;dcbd3755ee
63855508320595;854191;0;100;41,5909;dcbd3755ee
63855508320892;854458;0;100;41,1098;dcbd3755ee
63855508321186;854791;0;100;40,6342;dcbd3755ee
63855508321527;855124;0;100;40,1642;dcbd3755ee
63855508321934;855524;0;100;39,6996;dcbd3755ee
63855508322229;855791;0;100;41,3226;dcbd3755ee
63855508322521;856124;0;100;40,8445;dcbd3755ee
63855508322928;856524;0;100;40,372;dcbd3755ee
63855508323264;856791;0;100;39,905;dcbd3755ee
63855508323528;857124;0;100;39,4434;dcbd3755ee
63855508323827;857457;0;100;38,9871;dcbd3755ee
63855508324262;857857;0;100;38,5361;dcbd3755ee
63855508324556;858124;0;100;38,0903;dcbd3755ee
63855508324859;858457;0;100;37,6497;dcbd3755ee
63855508325262;858857;0;100;37,2142;dcbd3755ee
63855508325562;859124;0;100;36,7837;dcbd3755ee
63855508325862;859457;0;100;36,3581;dcbd3755ee
63855508326187;859790;0;100;35,9375;dcbd3755ee
63855508326594;860190;0;100;35,5218;dcbd3755ee
63855508326895;860457;0;100;37,1932;dcbd3755ee
63855508327195;860790;0;100;38,8452;dcbd3755ee
63855508327634;861190;0;100;38,3958;dcbd3755ee
63855508327894;861457;0;100;37,9516;dcbd3755ee
63855508328220;861790;0;100;37,5126;dcbd3755ee
63855508328515;862124;0;100;37,0787;dcbd3755ee
63855508328920;862523;0;100;36,6497;dcbd3755ee
63855508329235;862857;0;100;36,2258;dcbd3755ee
63855508329562;863123;0;100;37,8889;dcbd3755ee
63855508329853;863457;0;100;39,5329;dcbd3755ee
63855508330261;863857;0;100;41,1578;dcbd3755ee
63855508330556;864123;0;100;40,6817;dcbd3755ee
63855508330864;864457;0;100;42,2934;dcbd3755ee
63855508331162;864790;0;100;41,8041;dcbd3755ee
63855508331563;865190;0;100;41,3205;dcbd3755ee
63855508331895;865457;0;100;40,8425;dcbd3755ee
63855508332187;865790;0;100;42,4523;dcbd3755ee
63855508332591;866190;0;100;41,9612;dcbd3755ee
63855508332882;866457;0;100;41,4758;dcbd3755ee
63855508333194;866790;0;100;40,996;dcbd3755ee
63855508333593;867190;0;100;40,5218;dcbd3755ee
63855508333928;867523;0;100;40,053;dcbd3755ee
63855508334282;867856;0;100;39,5897;dcbd3755ee
63855508334569;868190;0;100;39,1317;dcbd3755ee
63855508334895;868456;0;100;38,679;dcbd3755ee
63855508335193;868790;0;100;38,2316;dcbd3755ee
63855508335595;869189;0;100;37,7893;dcbd3755ee
63855508335943;869456;0;100;37,3522;dcbd3755ee
63855508336195;869789;0;100;39,0023;dcbd3755ee
63855508336528;870123;0;100;38,5511;dcbd3755ee
63855508336928;870523;0;100;40,1874;dcbd3755ee
63855508337262;870856;0;100;41,8048;dcbd3755ee
63855508337561;871123;0;100;41,3212;dcbd3755ee
63855508337862;871456;0;100;42,9254;dcbd3755ee
63855508338195;871789;0;100;42,4289;dcbd3755ee
63855508338584;872189;0;100;44,0203;dcbd3755ee
63855508338894;872456;0;100;43,5111;dcbd3755ee
63855508339195;872789;0;100;43,0077;dcbd3755ee
63855508339595;873189;0;100;42,5102;dcbd3755ee
63855508339932;873522;0;100;44,1007;dcbd3755ee
63855508340196;873789;0;100;43,5905;dcbd3755ee
63855508340528;874122;0;100;43,0863;dcbd3755ee
63855508340929;874522;0;100;42,5879;dcbd3755ee
63855508341229;874789;0;100;44,1775;dcbd3755ee
63855508341524;875122;0;100;43,6664;dcbd3755ee
63855508341963;875522;0;100;45,2435;dcbd3755ee
63855508342273;875855;0;100;44,7201;dcbd3755ee
63855508342536;876122;0;100;44,2028;dcbd3755ee
63855508342857;876455;0;100;43,6915;dcbd3755ee
63855508343261;876855;0;100;45,2683;dcbd3755ee
63855508343561;877122;0;100;44,7446;dcbd3755ee
63855508343897;877455;0;100;46,3093;dcbd3755ee
63855508344195;877789;0;100;47,8558;dcbd3755ee
63855508344582;878189;0;100;47,3022;dcbd3755ee
63855508344895;878455;0;100;46,755;dcbd3755ee
63855508345196;878789;0;100;46,2142;dcbd3755ee
63855508345595;879188;0;100;45,6796;dcbd3755ee
63855508345928;879522;0;100;45,1511;dcbd3755ee
63855508346231;879788;0;100;44,6288;dcbd3755ee
63855508346528;880122;0;100;44,1126;dcbd3755ee
63855508346915;880522;0;100;43,6023;dcbd3755ee
63855508347228;880788;0;100;43,0979;dcbd3755ee
63855508347553;881122;0;100;42,5993;dcbd3755ee
63855508347822;881455;0;100;42,1065;dcbd3755ee
63855508348262;881855;0;100;43,7017;dcbd3755ee
63855508348572;882122;0;100;45,2784;dcbd3755ee
63855508348861;882455;0;100;44,7546;dcbd3755ee
63855508349295;882855;0;100;44,2369;dcbd3755ee
63855508349561;883121;0;100;45,8074;dcbd3755ee
63855508349893;883455;0;100;47,3597;dcbd3755ee
63855508350206;883788;0;100;46,8119;dcbd3755ee
63855508350593;884188;0;100;48,3526;dcbd3755ee
63855508350894;884455;0;100;49,8755;dcbd3755ee
63855508351194;884788;0;100;49,2986;dcbd3755ee
63855508351594;885188;0;100;48,7283;dcbd3755ee
63855508351921;885521;0;100;48,1646;dcbd3755ee
63855508352235;885788;0;100;47,6074;dcbd3755ee
63855508352526;886121;0;100;49,1389;dcbd3755ee
63855508352928;886521;0;100;48,5705;dcbd3755ee
63855508353227;886788;0;100;48,0086;dcbd3755ee
63855508353528;887121;0;100;47,4533;dcbd3755ee
63855508353837;887454;0;100;46,9043;dcbd3755ee
63855508354256;887854;0;100;46,3617;dcbd3755ee
63855508354530;888121;0;100;45,8254;dcbd3755ee
63855508354860;888454;0;100;45,2953;dcbd3755ee
63855508355272;888854;0;100;44,7713;dcbd3755ee
63855508355560;889121;0;100;44,2534;dcbd3755ee
63855508355861;889454;0;100;45,8237;dcbd3755ee
63855508356194;889787;0;100;47,3759;dcbd3755ee
63855508356587;890187;0;100;46,8278;dcbd3755ee
63855508356901;890454;0;100;48,3684;dcbd3755ee
63855508357195;890787;0;100;47,8089;dcbd3755ee
63855508357576;891187;0;100;47,2558;dcbd3755ee
63855508357895;891454;0;100;46,7092;dcbd3755ee
63855508358245;891787;0;100;48,2511;dcbd3755ee
63855508358494;892121;0;100;47,6929;dcbd3755ee
63855508358928;892520;0;100;47,1412;dcbd3755ee
63855508359227;892787;0;100;46,5958;dcbd3755ee
63855508359520;893120;0;100;46,0568;dcbd3755ee
63855508359831;893454;0;100;45,524;dcbd3755ee
63855508360261;893854;0;100;44,9974;dcbd3755ee
63855508360561;894120;0;100;44,4769;dcbd3755ee
63855508360861;894454;0;100;43,9624;dcbd3755ee
63855508361196;894787;0;100;43,4538;dcbd3755ee
63855508361595;895187;0;100;42,9511;dcbd3755ee
63855508361909;895454;0;100;42,4543;dcbd3755ee
63855508362194;895787;0;100;44,0454;dcbd3755ee
63855508362595;896187;0;100;45,6181;dcbd3755ee
63855508362894;896453;0;100;45,0904;dcbd3755ee
63855508363194;896787;0;100;44,5688;dcbd3755ee
63855508363509;897120;0;100;44,0532;dcbd3755ee
63855508363935;897520;0;100;43,5436;dcbd3755ee
63855508364228;897787;0;100;43,0399;dcbd3755ee
63855508364528;898120;0;100;42,542;dcbd3755ee
63855508364928;898520;0;100;42,0499;dcbd3755ee
63855508365228;898787;0;100;41,5635;dcbd3755ee
63855508365572;899120;0;100;41,0826;dcbd3755ee
63855508365830;899453;0;100;40,6074;dcbd3755ee
63855508366268;899853;0;100;40,1376;dcbd3755ee
63855508366562;900120;0;100;39,6733;dcbd3755ee
63855508366854;900453;0;100;39,2144;dcbd3755ee
63855508367261;900853;0;100;38,7608;dcbd3755ee
63855508367558;901120;0;100;38,3124;dcbd3755ee
63855508367852;901453;0;100;37,8692;dcbd3755ee
63855508368161;901786;0;100;37,4311;dcbd3755ee
63855508368563;902186;0;100;36,9981;dcbd3755ee
63855508368894;902453;0;100;36,5701;dcbd3755ee
63855508369264;902786;0;100;36,147;dcbd3755ee
63855508369528;903119;0;100;35,7289;dcbd3755ee
63855508369919;903519;0;100;35,3156;dcbd3755ee
63855508370242;903853;0;100;34,907;dcbd3755ee
63855508370526;904119;0;100;34,5032;dcbd3755ee
63855508370851;904453;0;100;34,1041;dcbd3755ee
63855508371261;904853;0;100;33,7096;dcbd3755ee
63855508371551;905119;0;100;33,3196;dcbd3755ee
63855508371862;905453;0;100;32,9342;dcbd3755ee
63855508372261;905852;0;100;32,5532;dcbd3755ee
63855508372561;906186;0;100;32,1766;dcbd3755ee
63855508372861;906453;0;100;33,8867;dcbd3755ee
63855508373187;906786;0;100;33,4946;dcbd3755ee
63855508373594;907186;0;100;33,1072;dcbd3755ee
63855508374061;907452;0;100;36,8887;dcbd3755ee
63855508374194;907786;0;100;38,5442;dcbd3755ee
63855508374494;908119;0;100;38,0983;dcbd3755ee
63855508374894;908519;0;100;41,8221;dcbd3755ee
63855508375194;908786;0;100;43,4206;dcbd3755ee
63855508375532;909119;0;100;45,0005;dcbd3755ee
63855508375918;909519;0;100;46,5622;dcbd3755ee
63855508376231;909785;0;100;46,0236;dcbd3755ee
63855508376523;910119;0;100;45,4912;dcbd3755ee
63855508376828;910452;0;100;44,9649;dcbd3755ee
63855508377253;910852;0;100;44,4448;dcbd3755ee
63855508377576;911119;0;100;43,9306;dcbd3755ee
63855508377859;911452;0;100;43,4224;dcbd3755ee
63855508378259;911852;0;100;42,9201;dcbd3755ee
63855508378560;912119;0;100;42,4236;dcbd3755ee
63855508378854;912452;0;100;44,0151;dcbd3755ee
63855508379195;912785;0;100;43,5059;dcbd3755ee
63855508379594;913185;0;100;43,0027;dcbd3755ee
63855508379894;913452;0;100;42,5052;dcbd3755ee
63855508380227;913785;0;100;42,0135;dcbd3755ee
63855508380519;914118;0;100;41,5275;dcbd3755ee
63855508380928;914518;0;100;41,0471;dcbd3755ee
63855508381273;914785;0;100;40,5723;dcbd3755ee
63855508381527;915118;0;100;40,1029;dcbd3755ee
63855508381931;915518;0;100;39,639;dcbd3755ee
63855508382226;915851;0;100;41,2627;dcbd3755ee
63855508382527;916118;0;100;42,8676;dcbd3755ee
63855508382863;916451;0;100;42,3717;dcbd3755ee
63855508383261;916851;0;100;41,8816;dcbd3755ee
63855508383563;917118;0;100;41,3971;dcbd3755ee
63855508383861;917451;0;100;40,9182;dcbd3755ee
63855508384264;917851;0;100;40,4449;dcbd3755ee
63855508384561;918185;0;100;39,977;dcbd3755ee
63855508384858;918451;0;100;39,5145;dcbd3755ee
63855508385196;918785;0;100;39,0574;dcbd3755ee
63855508385585;919184;0;100;38,6056;dcbd3755ee
63855508385896;919451;0;100;38,159;dcbd3755ee
63855508386193;919785;0;100;37,7176;dcbd3755ee
63855508386597;920184;0;100;37,2813;dcbd3755ee
63855508386894;920518;0;100;38,9322;dcbd3755ee
63855508387194;920784;0;100;38,4819;dcbd3755ee
63855508387529;921118;0;100;40,119;dcbd3755ee
63855508387925;921518;0;100;41,7371;dcbd3755ee
63855508388241;921784;0;100;43,3366;dcbd3755ee
63855508388528;922118;0;100;42,8352;dcbd3755ee
63855508388929;922518;0;100;42,3397;dcbd3755ee
63855508389227;922851;0;100;41,8499;dcbd3755ee
63855508389524;923117;0;100;43,4481;dcbd3755ee
63855508389874;923451;0;100;42,9454;dcbd3755ee
63855508390259;923851;0;100;44,5309;dcbd3755ee
63855508390575;924117;0;100;46,098;dcbd3755ee
63855508390861;924451;0;100;45,5648;dcbd3755ee
63855508391154;924784;0;100;47,1199;dcbd3755ee
63855508391590;925184;0;100;48,6571;dcbd3755ee
63855508391886;925451;0;100;50,1765;dcbd3755ee
63855508392197;925784;0;100;49,596;dcbd3755ee
63855508392593;926184;0;100;49,0223;dcbd3755ee
63855508392897;926450;0;100;48,4552;dcbd3755ee
63855508393193;926784;0;100;47,8947;dcbd3755ee
63855508393494;927117;0;100;47,3406;dcbd3755ee
63855508393894;927517;0;100;46,793;dcbd3755ee
63855508394226;927784;0;100;46,2517;dcbd3755ee
63855508394529;928117;0;100;45,7166;dcbd3755ee
63855508394922;928517;0;100;45,1878;dcbd3755ee
63855508395261;928850;0;100;44,665;dcbd3755ee
63855508395527;929117;0;100;44,1483;dcbd3755ee
63855508395861;929450;0;100;45,7199;dcbd3755ee
63855508396261;929850;0;100;45,191;dcbd3755ee
63855508396556;930117;0;100;44,6682;dcbd3755ee
63855508396874;930450;0;100;44,1515;dcbd3755ee
63855508397160;930783;0;100;43,6408;dcbd3755ee
63855508397563;931183;0;100;43,1359;dcbd3755ee
63855508397889;931450;0;100;42,6369;dcbd3755ee
63855508398194;931783;0;100;42,1437;dcbd3755ee
63855508398594;932183;0;100;43,7384;dcbd3755ee
63855508398894;932516;0;100;43,2324;dcbd3755ee
63855508399198;932783;0;100;42,7323;dcbd3755ee
63855508399494;933116;0;100;42,238;dcbd3755ee
63855508399928;933516;0;100;41,7494;dcbd3755ee
63855508400226;933783;0;100;41,2664;dcbd3755ee
63855508400518;934116;0;100;40,7891;dcbd3755ee
63855508400894;934450;0;100;40,3172;dcbd3755ee
63855508401194;934783;0;100;39,8508;dcbd3755ee
63855508401529;935116;0;100;39,3898;dcbd3755ee
63855508401925;935516;0;100;41,0164;dcbd3755ee
63855508402207;935783;0;100;40,5419;dcbd3755ee
63855508402525;936116;0;100;40,0729;dcbd3755ee
63855508402928;936516;0;100;39,6094;dcbd3755ee
63855508403227;936849;0;100;39,1512;dcbd3755ee
63855508403557;937116;0;100;38,6983;dcbd3755ee
63855508403827;937450;0;100;38,2506;dcbd3755ee
63855508404255;937849;0;100;37,8081;dcbd3755ee
63855508404563;938116;0;100;37,3707;dcbd3755ee
63855508404860;938449;0;100;36,9384;dcbd3755ee
63855508405153;938783;0;100;38,5934;dcbd3755ee
63855508405559;939182;0;100;38,1469;dcbd3755ee
63855508405931;939516;0;100;37,7056;dcbd3755ee
63855508406258;939849;0;100;37,2695;dcbd3755ee
63855508406560;940116;0;100;36,8383;dcbd3755ee
63855508406861;940449;0;100;36,4122;dcbd3755ee
63855508407160;940782;0;100;35,991;dcbd3755ee
63855508407573;941182;0;100;35,5746;dcbd3755ee
63855508407893;941449;0;100;37,2453;dcbd3755ee
63855508408193;941782;0;100;36,8145;dcbd3755ee
63855508408591;942182;0;100;36,3886;dcbd3755ee
63855508408893;942515;0;100;35,9677;dcbd3755ee
63855508409229;942782;0;100;39,7161;dcbd3755ee
63855508409495;943115;0;100;39,2567;dcbd3755ee
63855508409932;943515;0;100;38,8025;dcbd3755ee
63855508410227;943782;0;100;38,3537;dcbd3755ee
63855508410519;944115;0;100;37,91;dcbd3755ee
63855508410927;944515;0;100;37,4714;dcbd3755ee
63855508411259;944849;0;100;39,1202;dcbd3755ee
63855508411562;945115;1;100;38,6677;dcbd3755ee
63855508411860;945449;1;100;38,2204;dcbd3755ee
63855508412158;945782;1;100;39,8605;dcbd3755ee
63855508412560;946182;1;100;39,3994;dcbd3755ee
63855508412891;946448;1;100;38,9436;dcbd3755ee
63855508413195;946782;1;100;38,4931;dcbd3755ee
63855508413593;947182;1;100;42,2123;dcbd3755ee
63855508413906;947515;1;100;41,724;dcbd3755ee
63855508414194;947782;1;100;41,2413;dcbd3755ee
63855508414493;948115;1;100;40,7642;dcbd3755ee
63855508414893;948515;1;100;42,3749;dcbd3755ee
63855508415223;948782;1;100;41,8847;dcbd3755ee
