Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857257894255;385464;0;100;77;ddf0149910
63857257896355;387537;0;100;66;ddf0149910
63857257897489;388667;0;100;63;ddf0149910
63857257898188;389423;0;100;67;ddf0149910
63857257899738;390887;0;100;61;ddf0149910
63857257901805;392966;0;100;54;ddf0149910
63857257907871;398989;0;100;44;ddf0149910
63857257908955;400119;0;100;47;ddf0149910
63857257910239;401425;0;100;47;ddf0149910
63857257910972;402106;0;100;56;ddf0149910
63857257911605;402799;0;100;63;ddf0149910
63857257915021;406222;0;100;53;ddf0149910
63857257916671;407845;0;100;49;ddf0149910
63857257918071;409251;0;100;48;ddf0149910
63857257920572;411821;0;100;43;ddf0149910
63857257921505;412731;0;100;48;ddf0149910
63857257922504;413754;0;100;51;ddf0149910
63857257923555;414771;0;100;53;ddf0149910
63857257929321;420507;0;100;43;ddf0149910
63857257929871;421043;0;100;59;ddf0149910
63857257930438;421587;0;100;70;ddf0149910
63857257931188;422347;0;100;73;ddf0149910
63857257932587;423833;0;100;65;ddf0149910
63857257933105;424340;0;100;78;ddf0149910
63857257934937;426086;0;100;68;ddf0149910
63857257937471;428669;0;100;58;ddf0149910
63857257938054;429243;0;100;69;ddf0149910
63857257938871;430096;0;100;69;ddf0149910
63857257943938;435052;0;100;57;ddf0149910
63857257944637;435799;0;100;62;ddf0149910
63857257945837;436995;0;100;60;ddf0149910
63857257953271;444488;0;100;48;ddf0149910
63857257955304;446508;0;100;44;ddf0149910
63857257956737;447881;0;100;44;ddf0149910
63857257958254;449411;0;100;43;ddf0149910
63857257958837;450004;0;100;57;ddf0149910
63857257959154;450311;0;100;87;ddf0149910
63857257961288;452454;0;100;74;ddf0149910
63857257963638;454857;0;100;63;ddf0149910
63857257966170;457373;0;100;55;ddf0149910
63857257968604;459843;0;100;48;ddf0149910
63857257979353;470552;0;100;38;ddf0149910
63857257980570;471666;0;100;42;ddf0149910
63857257982071;473215;0;100;41;ddf0149910
63857257983903;475101;0;100;39;ddf0149910
63857257984920;476065;0;100;45;ddf0149910
63857257986404;477561;0;100;44;ddf0149910
63857257989020;480214;0;100;39;ddf0149910
63857257989720;480931;0;100;49;ddf0149910
63857257991853;483064;0;100;45;ddf0149910
63857257993886;485054;0;100;41;ddf0149910
63857258005370;496526;0;100;33;ddf0149910
63857258005803;496976;0;100;56;ddf0149910
63857258007137;498296;0;100;54;ddf0149910
63857258007836;499002;0;100;61;ddf0149910
63857258009436;500639;0;100;56;ddf0149910
63857258010053;501272;0;100;65;ddf0149910
63857258015303;506485;0;100;53;ddf0149910
63857258017436;508638;0;100;47;ddf0149910
63857258021136;512281;0;100;41;ddf0149910
63857258023470;514678;0;100;37;ddf0149910
63857258024069;515211;1;100;55;ddf0149910
63857258032236;523397;1;100;44;ddf0149910
63857258035502;526716;1;100;38;ddf0149910
63857258036203;527366;1;100;51;ddf0149910
63857258037103;528253;1;100;55;ddf0149910
63857258038436;529583;1;100;53;ddf0149910
63857258040770;531926;1;100;47;ddf0149910
63857258051302;542505;1;100;38;ddf0149910
63857258052036;543201;1;100;49;ddf0149910
63857258052436;543625;1;100;70;ddf0149910
63857258053869;545058;1;100;64;ddf0149910
63857258054369;545564;1;100;76;ddf0149910
63857258055069;546221;1;100;80;ddf0149910
63857258056902;548097;1;100;69;ddf0149910
63857258058335;549537;1;100;63;ddf0149910
63857258066468;557660;1;100;51;ddf0149910
63857258067369;558606;1;100;54;ddf0149910
63857258068502;559676;1;100;54;ddf0149910
63857258069902;561143;1;100;52;ddf0149910
63857258071968;563143;1;100;47;ddf0149910
