Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856638912865;438504;0;100;-19429,4;deaa43e599
63856638912960;438638;0;100;-19433;deaa43e599
63856638912960;438638;0;100;-19434;deaa43e599
63856638913069;438704;0;100;-19434;deaa43e599
63856638913159;438838;0;100;-19434,2;deaa43e599
63856638913159;438838;0;100;-19434;deaa43e599
63856638913270;438904;0;100;-19434;deaa43e599
63856638913360;439038;0;100;-19435;deaa43e599
63856638913360;439038;0;100;-19435,4;deaa43e599
63856638913500;439104;0;100;-19432,4;deaa43e599
63856638913578;439238;0;100;-19430,2;deaa43e599
63856638913578;439238;0;100;-19427,6;deaa43e599
63856638913659;439304;0;100;-19425,4;deaa43e599
63856638913764;439438;0;100;-19424,2;deaa43e599
63856638913764;439438;0;100;-19423,2;deaa43e599
63856638913892;439504;0;100;-19422,4;deaa43e599
63856638913976;439637;0;100;-19423;deaa43e599
63856638913976;439637;0;100;-19422,4;deaa43e599
63856638914060;439704;0;100;-19420,2;deaa43e599
63856638914169;439837;0;100;-19421,2;deaa43e599
63856638914169;439837;0;100;-19421,2;deaa43e599
63856638914294;439971;0;100;-19421,4;deaa43e599
63856638914294;439971;0;100;-19421,8;deaa43e599
63856638914403;440038;0;100;-19421,4;deaa43e599
63856638914470;440171;0;100;-19421,2;deaa43e599
63856638914470;440171;0;100;-19421,6;deaa43e599
63856638914591;440238;0;100;-19421,6;deaa43e599
63856638914698;440371;0;100;-19422,6;deaa43e599
63856638914698;440371;0;100;-19422,6;deaa43e599
63856638914792;440437;0;100;-19423;deaa43e599
63856638914902;440571;0;100;-19425,4;deaa43e599
63856638914902;440571;0;100;-19425,4;deaa43e599
63856638914993;440637;0;100;-19425,8;deaa43e599
63856638915103;440771;0;100;-19425,8;deaa43e599
63856638915103;440771;0;100;-19424,8;deaa43e599
63856638915196;440837;0;100;-19422,8;deaa43e599
63856638915292;440971;0;100;-19422;deaa43e599
63856638915292;440971;0;100;-19421,2;deaa43e599
63856638915403;441037;0;100;-19419,4;deaa43e599
63856638915492;441171;0;100;-19418,4;deaa43e599
63856638915492;441171;0;100;-19417,8;deaa43e599
63856638915636;441238;0;100;-19417,8;deaa43e599
63856638915693;441371;0;100;-19418;deaa43e599
63856638915693;441371;0;100;-19417,6;deaa43e599
63856638915803;441437;0;100;-19418,4;deaa43e599
63856638915895;441571;0;100;-19415,2;deaa43e599
63856638915895;441571;0;100;-19414,8;deaa43e599
63856638916034;441637;0;100;-19414;deaa43e599
63856638916135;441771;0;100;-19414;deaa43e599
63856638916135;441771;0;100;-19414,4;deaa43e599
63856638916225;441837;0;100;-19414,4;deaa43e599
63856638916299;441971;0;100;-19414,4;deaa43e599
63856638916299;441971;0;100;-19414,8;deaa43e599
63856638916426;442104;0;100;-19414,4;deaa43e599
63856638916426;442104;0;100;-19413,4;deaa43e599
63856638916501;442171;0;100;-19412,4;deaa43e599
63856638916626;442304;0;100;-19413;deaa43e599
