Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856638926078;451170;0;100;0,532974;deaa43e599
63856638942135;467102;0;100;0,874448;deaa43e599
63856638951360;476568;0;100;0,420937;deaa43e599
63856638992956;518496;1;100;0,083094;deaa43e599
63856638998992;524029;1;100;1,258921;deaa43e599
63856639001622;527096;1;100;0,013097;deaa43e599
63856639026290;551560;-1;100;0,281219;deaa43e599
63856639092572;617954;2;100;0,077026;deaa43e599
63856639115066;640485;-2;100;0,059831;deaa43e599
63856639143390;668681;3;100;0,36521;deaa43e599
63856639147499;672482;3;100;1,151921;deaa43e599
63856639168672;694079;3;100;0,071607;deaa43e599
63856639347768;873261;6;100;0,227788;deaa43e599
