Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856820459441;1509108;0;100;0,264164;e2f2d05ef0
63856820463940;1513840;0;100;0,197163;e2f2d05ef0
63856820474606;1524773;0;100;0,015757;e2f2d05ef0
63856820474907;1525039;0;100;0,246456;e2f2d05ef0
63856820475340;1525639;0;100;0,076195;e2f2d05ef0
63856820490007;1539905;0;100;0,226681;e2f2d05ef0
63856820496206;1546237;0;100;0,175556;e2f2d05ef0
63856820503629;1553436;0;100;0,076025;e2f2d05ef0
63856820503707;1553903;0;100;0,042639;e2f2d05ef0
63856820504539;1554103;0;100;0,632983;e2f2d05ef0
63856820513873;1564169;0;100;0,01734;e2f2d05ef0
63856820514072;1564369;0;100;0,052993;e2f2d05ef0
63856820546622;1596632;0;100;0,330954;e2f2d05ef0
63856820546805;1597032;0;100;0,044041;e2f2d05ef0
63856820547631;1597766;0;100;0,122623;e2f2d05ef0
63856820547938;1598165;0;100;0,099238;e2f2d05ef0
63856820554788;1604831;0;100;0,175261;e2f2d05ef0
63856820571804;1621830;0;100;0,253565;e2f2d05ef0
63856820580030;1630096;0;100;0,118951;e2f2d05ef0
63856820580304;1630495;0;100;0,089358;e2f2d05ef0
63856820583371;1633229;0;100;0,582772;e2f2d05ef0
63856820583872;1633829;0;100;0,491981;e2f2d05ef0
63856820584471;1634762;0;100;0,014265;e2f2d05ef0
63856820611754;1661892;0;100;0,136935;e2f2d05ef0
63856820621071;1671025;0;100;0,415244;e2f2d05ef0
63856820654903;1705088;0;100;0,025835;e2f2d05ef0
63856820668937;1719020;1;100;0,010756;e2f2d05ef0
63856820679069;1729152;1;100;0,080618;e2f2d05ef0
63856820686253;1736219;1;100;0,09945;e2f2d05ef0
63856820686762;1737085;1;100;0,063289;e2f2d05ef0
63856820690303;1740018;1;100;0,253626;e2f2d05ef0
63856820692436;1742418;1;100;0,118718;e2f2d05ef0
63856820692519;1742817;1;100;0,061275;e2f2d05ef0
63856820699403;1749351;1;100;0,162117;e2f2d05ef0
63856820714452;1764682;1;100;0,008832;e2f2d05ef0
63856820723369;1773481;1;100;0,269951;e2f2d05ef0
63856820745935;1796012;1;100;0,11106;e2f2d05ef0
63856820763201;1813344;-1;100;0,151551;e2f2d05ef0
63856820763468;1813678;-1;100;0,034196;e2f2d05ef0
63856820763768;1814010;-1;100;0,034883;e2f2d05ef0
63856820781251;1831342;-1;100;0,138864;e2f2d05ef0
63856820781468;1831743;-1;100;0,029865;e2f2d05ef0
63856820813767;1863472;2;100;0,273864;e2f2d05ef0
63856820823333;1873272;2;100;0,057281;e2f2d05ef0
63856820823525;1873738;2;100;0,024089;e2f2d05ef0
63856820835567;1885537;2;100;0,081577;e2f2d05ef0
63856820847132;1896936;2;100;0,206618;e2f2d05ef0
63856820851633;1901735;2;100;0,091514;e2f2d05ef0
63856820856700;1906735;2;100;0,046398;e2f2d05ef0
63856820882133;1932266;-2;100;0,018554;e2f2d05ef0
63856820882428;1932732;-2;100;0,038096;e2f2d05ef0
63856820889733;1939798;3;100;0,069842;e2f2d05ef0
63856820890131;1940198;3;100;0,062712;e2f2d05ef0
63856820902018;1951863;3;100;0,191272;e2f2d05ef0
63856820909766;1959730;3;100;0,238843;e2f2d05ef0
63856820910299;1960529;3;100;0,051939;e2f2d05ef0
63856820912200;1962329;3;100;0,012225;e2f2d05ef0
63856820921799;1971795;3;100;0,091687;e2f2d05ef0
63856820922099;1972395;3;100;0,011878;e2f2d05ef0
63856820924496;1974328;3;100;0,18289;e2f2d05ef0
63856820924898;1975128;3;100;0,095264;e2f2d05ef0
63856820938931;1988593;3;100;0,41681;e2f2d05ef0
63856820951731;2001925;3;100;0,013688;e2f2d05ef0
63856820963697;2013591;3;100;0,149969;e2f2d05ef0
63856820963898;2014124;3;100;0,031107;e2f2d05ef0
63856820969064;2018990;3;100;0,130291;e2f2d05ef0
63856820969498;2019657;3;100;0,031695;e2f2d05ef0
63856820971697;2021657;3;100;0,185164;e2f2d05ef0
63856820971930;2022190;3;100;0,031662;e2f2d05ef0
63856820975664;2025789;3;100;0,159278;e2f2d05ef0
63856820985564;2035388;-3;100;0,329921;e2f2d05ef0
63856820986797;2036721;-3;100;0,053087;e2f2d05ef0
63856820996763;2046721;4;100;0,171276;e2f2d05ef0
63856821006963;2056786;4;100;0,154053;e2f2d05ef0
63856821010096;2060186;4;100;0,058005;e2f2d05ef0
63856821021129;2071118;4;100;0,054891;e2f2d05ef0
63856821024463;2074384;4;100;0,166627;e2f2d05ef0
63856821030029;2080251;4;100;0,002957;e2f2d05ef0
63856821030130;2080450;4;100;0,009112;e2f2d05ef0
63856821033429;2083184;4;100;0,186917;e2f2d05ef0
63856821046429;2096249;4;100;0,306414;e2f2d05ef0
63856821053529;2103115;4;100;0,634404;e2f2d05ef0
63856821059229;2108781;4;100;0,415231;e2f2d05ef0
63856821059412;2109647;4;100;0,075799;e2f2d05ef0
63856821075195;2124979;4;100;0,274721;e2f2d05ef0
63856821091112;2140978;4;100;0,332345;e2f2d05ef0
63856821091295;2141578;4;100;0,042005;e2f2d05ef0
63856821095461;2145311;4;100;0,158504;e2f2d05ef0
63856821102762;2152577;4;100;0,178463;e2f2d05ef0
63856821113361;2163175;4;100;0,226466;e2f2d05ef0
63856821118128;2168176;4;100;0,05924;e2f2d05ef0
63856821126428;2176508;-4;100;0,099648;e2f2d05ef0
63856821127878;2178108;-4;100;0,064063;e2f2d05ef0
63856821128861;2178907;-4;100;0,114319;e2f2d05ef0
63856821134261;2184441;5;100;0,029169;e2f2d05ef0
63856821134561;2184773;5;100;0,029627;e2f2d05ef0
63856821134878;2185173;5;100;0,032942;e2f2d05ef0
63856821141694;2191573;5;100;0,180872;e2f2d05ef0
63856821147660;2197972;5;100;0,028373;e2f2d05ef0
63856821147861;2198172;5;100;0,031162;e2f2d05ef0
63856821151927;2201972;5;100;0,092159;e2f2d05ef0
63856821152144;2202371;5;100;0,020677;e2f2d05ef0
63856821152344;2202571;5;100;0,06368;e2f2d05ef0
63856821152811;2202838;5;100;0,112295;e2f2d05ef0
63856821158444;2208104;5;100;0,151224;e2f2d05ef0
63856821172676;2222503;5;100;0,08816;e2f2d05ef0
63856821176426;2226169;5;100;0,226289;e2f2d05ef0
63856821177160;2227436;5;100;0,020844;e2f2d05ef0
63856821178277;2228569;5;100;0,016823;e2f2d05ef0
63856821179027;2228769;5;100;0,232615;e2f2d05ef0
63856821179527;2229635;5;100;0,228032;e2f2d05ef0
63856821184894;2235102;-5;100;0,027233;e2f2d05ef0
63856821186560;2236502;-5;100;0,200052;e2f2d05ef0
63856821206142;2256099;6;100;0,068045;e2f2d05ef0
63856821213797;2264032;6;100;0,013591;e2f2d05ef0
63856821221042;2270632;6;100;0,305351;e2f2d05ef0
63856821230992;2281097;6;100;0,066955;e2f2d05ef0
63856821236392;2286363;6;100;0,039632;e2f2d05ef0
63856821239826;2290029;6;100;0,016041;e2f2d05ef0
63856821240792;2290296;6;100;0,395236;e2f2d05ef0
63856821244642;2294362;6;100;0,407739;e2f2d05ef0
63856821262458;2312694;6;100;0,034965;e2f2d05ef0
63856821266808;2316561;6;100;0,193793;e2f2d05ef0
