Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856820458307;1508708;0;100;6,7552;e2f2d05ef0
63856820458623;1509041;0;100;6,6771;e2f2d05ef0
63856820459041;1509441;0;100;6,5998;e2f2d05ef0
63856820459324;1509707;0;100;6,5235;e2f2d05ef0
63856820459707;1510107;0;100;8,5303;e2f2d05ef0
63856820459990;1510374;0;100;8,4316;e2f2d05ef0
63856820460290;1510707;0;100;8,3341;e2f2d05ef0
63856820460607;1511041;0;100;8,2376;e2f2d05ef0
63856820461041;1511441;0;100;8,1423;e2f2d05ef0
63856820461307;1511707;0;100;8,0482;e2f2d05ef0
63856820461690;1512107;0;100;7,9551;e2f2d05ef0
63856820462006;1512374;0;100;7,863;e2f2d05ef0
63856820462324;1512707;0;100;7,7721;e2f2d05ef0
63856820462623;1513040;0;100;7,6822;e2f2d05ef0
63856820463006;1513440;0;100;7,5933;e2f2d05ef0
63856820463325;1513707;0;100;7,5055;e2f2d05ef0
63856820463673;1514040;0;100;7,4186;e2f2d05ef0
63856820463940;1514374;0;100;9,4151;e2f2d05ef0
63856820464340;1514774;0;100;9,3062;e2f2d05ef0
63856820464640;1515040;0;100;9,1985;e2f2d05ef0
63856820464957;1515374;0;100;9,0921;e2f2d05ef0
63856820465357;1515773;0;100;8,9869;e2f2d05ef0
63856820465657;1516040;0;100;8,8829;e2f2d05ef0
63856820465974;1516373;0;100;8,7802;e2f2d05ef0
63856820466324;1516707;0;100;8,6786;e2f2d05ef0
63856820466673;1517040;0;100;8,5782;e2f2d05ef0
63856820466940;1517373;0;100;8,479;e2f2d05ef0
63856820467363;1517773;0;100;8,3809;e2f2d05ef0
63856820467673;1518040;0;100;8,284;e2f2d05ef0
63856820467956;1518373;0;100;8,1881;e2f2d05ef0
63856820468257;1518707;0;100;8,0934;e2f2d05ef0
63856820468657;1519106;0;100;7,9998;e2f2d05ef0
63856820469007;1519373;0;100;7,9072;e2f2d05ef0
63856820469273;1519706;0;100;7,8158;e2f2d05ef0
63856820469707;1520106;0;100;7,7254;e2f2d05ef0
63856820470007;1520373;0;100;7,636;e2f2d05ef0
63856820470290;1520706;0;100;7,5477;e2f2d05ef0
63856820470640;1521040;0;100;7,4603;e2f2d05ef0
63856820470990;1521440;0;100;7,374;e2f2d05ef0
63856820471340;1521706;0;100;7,2887;e2f2d05ef0
63856820471657;1522106;0;100;7,2044;e2f2d05ef0
63856820471991;1522373;0;100;7,1211;e2f2d05ef0
63856820472273;1522706;0;100;7,0387;e2f2d05ef0
63856820472698;1523106;0;100;6,9573;e2f2d05ef0
63856820473006;1523373;0;100;6,8768;e2f2d05ef0
63856820473290;1523706;0;100;6,7972;e2f2d05ef0
63856820473590;1524039;0;100;6,7186;e2f2d05ef0
63856820474023;1524439;0;100;6,6409;e2f2d05ef0
63856820474340;1524706;0;100;6,5641;e2f2d05ef0
63856820474606;1525039;0;100;8,5704;e2f2d05ef0
63856820475040;1525439;0;100;10,5535;e2f2d05ef0
63856820475340;1525772;0;100;10,4314;e2f2d05ef0
63856820475623;1526039;0;100;12,393;e2f2d05ef0
63856820475923;1526372;0;100;12,2496;e2f2d05ef0
63856820476357;1526772;0;100;12,1079;e2f2d05ef0
63856820476623;1527039;0;100;11,9679;e2f2d05ef0
63856820476940;1527372;0;100;11,8294;e2f2d05ef0
63856820477362;1527772;0;100;11,6926;e2f2d05ef0
63856820477673;1528039;0;100;11,5573;e2f2d05ef0
63856820477957;1528372;0;100;11,4236;e2f2d05ef0
63856820478373;1528772;0;100;11,2915;e2f2d05ef0
63856820478657;1529105;0;100;11,1608;e2f2d05ef0
63856820478964;1529372;0;100;11,0317;e2f2d05ef0
63856820479273;1529705;0;100;10,9041;e2f2d05ef0
63856820479673;1530105;0;100;10,778;e2f2d05ef0
63856820480007;1530372;0;100;10,6533;e2f2d05ef0
63856820480290;1530705;0;100;10,5301;e2f2d05ef0
63856820480640;1531039;0;100;10,4082;e2f2d05ef0
63856820481023;1531439;0;100;10,2878;e2f2d05ef0
63856820481307;1531705;0;100;10,1688;e2f2d05ef0
63856820481723;1532105;0;100;10,0512;e2f2d05ef0
63856820482007;1532438;0;100;9,9349;e2f2d05ef0
63856820482340;1532705;0;100;9,82;e2f2d05ef0
63856820482623;1533038;0;100;9,7064;e2f2d05ef0
63856820483023;1533438;0;100;9,5941;e2f2d05ef0
63856820483323;1533772;0;100;9,4831;e2f2d05ef0
63856820483630;1534038;0;100;9,3734;e2f2d05ef0
63856820483940;1534372;0;100;9,265;e2f2d05ef0
63856820484340;1534772;0;100;9,1578;e2f2d05ef0
63856820484640;1535038;0;100;9,0519;e2f2d05ef0
63856820484956;1535372;0;100;8,9472;e2f2d05ef0
63856820485273;1535705;0;100;8,8437;e2f2d05ef0
63856820485656;1536105;0;100;8,7414;e2f2d05ef0
63856820485973;1536371;0;100;8,6402;e2f2d05ef0
63856820486273;1536705;0;100;8,5403;e2f2d05ef0
63856820486673;1537105;0;100;8,4415;e2f2d05ef0
63856820486940;1537371;0;100;8,3438;e2f2d05ef0
63856820487362;1537771;0;100;8,2473;e2f2d05ef0
63856820487673;1538105;0;100;8,1519;e2f2d05ef0
63856820487956;1538371;0;100;8,0576;e2f2d05ef0
63856820488256;1538705;0;100;7,9644;e2f2d05ef0
63856820488690;1539105;0;100;7,8723;e2f2d05ef0
63856820489006;1539371;0;100;7,7812;e2f2d05ef0
63856820489307;1539704;0;100;7,6912;e2f2d05ef0
63856820489622;1540038;0;100;7,6022;e2f2d05ef0
63856820490007;1540438;0;100;7,5143;e2f2d05ef0
63856820490289;1540704;0;100;9,5096;e2f2d05ef0
63856820490640;1541038;0;100;9,3996;e2f2d05ef0
63856820490990;1541371;0;100;9,2909;e2f2d05ef0
63856820491306;1541704;0;100;9,1834;e2f2d05ef0
63856820491689;1542104;0;100;9,0772;e2f2d05ef0
63856820491957;1542371;0;100;8,9721;e2f2d05ef0
63856820492339;1542771;0;100;8,8684;e2f2d05ef0
63856820492656;1543037;0;100;8,7658;e2f2d05ef0
63856820492939;1543371;0;100;8,6644;e2f2d05ef0
63856820493272;1543704;0;100;8,5641;e2f2d05ef0
63856820493673;1544104;0;100;8,4651;e2f2d05ef0
63856820493956;1544371;0;100;8,3671;e2f2d05ef0
63856820494297;1544704;0;100;8,2703;e2f2d05ef0
63856820494690;1545104;0;100;8,1747;e2f2d05ef0
63856820495006;1545371;0;100;8,0801;e2f2d05ef0
63856820495307;1545704;0;100;7,9866;e2f2d05ef0
63856820495623;1546037;0;100;7,8942;e2f2d05ef0
63856820496006;1546437;0;100;7,8029;e2f2d05ef0
63856820496289;1546704;0;100;9,7949;e2f2d05ef0
63856820496640;1547037;0;100;9,6816;e2f2d05ef0
63856820497057;1547504;0;100;9,5696;e2f2d05ef0
63856820497256;1547704;0;100;9,4589;e2f2d05ef0
63856820497672;1548104;0;100;9,3495;e2f2d05ef0
63856820497956;1548370;0;100;9,2413;e2f2d05ef0
63856820498272;1548704;0;100;9,1344;e2f2d05ef0
63856820498689;1549104;0;100;9,0288;e2f2d05ef0
63856820499006;1549370;0;100;8,9243;e2f2d05ef0
63856820499307;1549703;0;100;8,8211;e2f2d05ef0
63856820499589;1550037;0;100;8,719;e2f2d05ef0
63856820500022;1550437;0;100;8,6182;e2f2d05ef0
63856820500323;1550703;0;100;8,5185;e2f2d05ef0
63856820500640;1551037;0;100;8,4199;e2f2d05ef0
63856820501023;1551437;0;100;8,3225;e2f2d05ef0
63856820501340;1551770;0;100;8,2263;e2f2d05ef0
63856820501622;1552037;0;100;8,1311;e2f2d05ef0
63856820501956;1552370;0;100;8,037;e2f2d05ef0
63856820502306;1552703;0;100;7,9441;e2f2d05ef0
63856820502622;1553037;0;100;7,8522;e2f2d05ef0
63856820503006;1553436;0;100;7,7613;e2f2d05ef0
63856820503629;1553703;0;100;9,7538;e2f2d05ef0
63856820503707;1554036;0;100;11,7232;e2f2d05ef0
63856820503939;1554370;0;100;11,5876;e2f2d05ef0
63856820504339;1554770;0;100;11,4536;e2f2d05ef0
63856820504640;1555036;0;100;13,4033;e2f2d05ef0
63856820504956;1555370;0;100;13,2483;e2f2d05ef0
63856820505339;1555769;0;100;13,095;e2f2d05ef0
63856820505656;1556103;0;100;12,9435;e2f2d05ef0
63856820505973;1556369;0;100;12,7938;e2f2d05ef0
63856820506273;1556703;0;100;12,6458;e2f2d05ef0
63856820506673;1557103;0;100;12,4995;e2f2d05ef0
63856820506990;1557369;0;100;12,3549;e2f2d05ef0
63856820507339;1557769;0;100;12,212;e2f2d05ef0
63856820507639;1558036;0;100;12,0707;e2f2d05ef0
63856820507956;1558369;0;100;11,9311;e2f2d05ef0
63856820508339;1558769;0;100;11,7931;e2f2d05ef0
63856820508656;1559036;0;100;11,6566;e2f2d05ef0
63856820508962;1559369;0;100;11,5218;e2f2d05ef0
63856820509272;1559702;0;100;11,3885;e2f2d05ef0
63856820509672;1560102;0;100;11,2568;e2f2d05ef0
63856820509973;1560369;0;100;11,1265;e2f2d05ef0
63856820510289;1560702;0;100;10,9978;e2f2d05ef0
63856820510672;1561102;0;100;10,8706;e2f2d05ef0
63856820510990;1561369;0;100;10,7449;e2f2d05ef0
63856820511306;1561702;0;100;10,6206;e2f2d05ef0
63856820511622;1562036;0;100;10,4977;e2f2d05ef0
63856820512006;1562435;0;100;10,3763;e2f2d05ef0
63856820512306;1562702;0;100;10,2562;e2f2d05ef0
63856820512672;1563102;0;100;10,1376;e2f2d05ef0
63856820512972;1563369;0;100;10,0203;e2f2d05ef0
63856820513289;1563702;0;100;9,9044;e2f2d05ef0
63856820513672;1564102;0;100;9,7898;e2f2d05ef0
63856820513989;1564369;0;100;11,7588;e2f2d05ef0
63856820514297;1564702;0;100;13,7051;e2f2d05ef0
63856820514606;1565035;0;100;13,5465;e2f2d05ef0
63856820515006;1565435;0;100;13,3898;e2f2d05ef0
63856820515306;1565702;0;100;13,2349;e2f2d05ef0
63856820515622;1566035;0;100;13,0818;e2f2d05ef0
63856820516006;1566435;0;100;12,9305;e2f2d05ef0
63856820516322;1566768;0;100;12,7809;e2f2d05ef0
63856820516639;1567035;0;100;12,633;e2f2d05ef0
63856820516939;1567368;0;100;12,4869;e2f2d05ef0
63856820517339;1567768;0;100;12,3425;e2f2d05ef0
63856820517606;1568035;0;100;12,1997;e2f2d05ef0
63856820518029;1568435;0;100;12,0586;e2f2d05ef0
63856820518306;1568702;0;100;11,9191;e2f2d05ef0
63856820518622;1569035;0;100;11,7812;e2f2d05ef0
63856820518939;1569368;0;100;11,6449;e2f2d05ef0
63856820519322;1569768;0;100;11,5102;e2f2d05ef0
63856820519672;1570035;0;100;11,377;e2f2d05ef0
63856820519939;1570368;0;100;11,2454;e2f2d05ef0
63856820520339;1570768;0;100;11,1153;e2f2d05ef0
63856820520639;1571035;0;100;10,9868;e2f2d05ef0
63856820520955;1571368;0;100;10,8597;e2f2d05ef0
63856820521272;1571701;0;100;10,734;e2f2d05ef0
63856820521656;1572101;0;100;10,6099;e2f2d05ef0
63856820521973;1572368;0;100;10,4871;e2f2d05ef0
63856820522322;1572768;0;100;10,3658;e2f2d05ef0
63856820522705;1573101;0;100;10,2459;e2f2d05ef0
63856820523006;1573434;0;100;10,1274;e2f2d05ef0
63856820523322;1573768;0;100;10,0102;e2f2d05ef0
63856820523639;1574034;0;100;9,8944;e2f2d05ef0
63856820523939;1574368;0;100;9,78;e2f2d05ef0
63856820524339;1574768;0;100;9,6668;e2f2d05ef0
63856820524639;1575034;0;100;9,555;e2f2d05ef0
63856820524956;1575368;0;100;9,4445;e2f2d05ef0
63856820525272;1575701;0;100;9,3352;e2f2d05ef0
63856820525706;1576101;0;100;9,2272;e2f2d05ef0
63856820525972;1576367;0;100;9,1205;e2f2d05ef0
63856820526272;1576701;0;100;9,015;e2f2d05ef0
63856820526672;1577101;0;100;8,9107;e2f2d05ef0
63856820526989;1577434;0;100;8,8076;e2f2d05ef0
63856820527289;1577701;0;100;8,7057;e2f2d05ef0
63856820527606;1578034;0;100;8,605;e2f2d05ef0
63856820527956;1578367;0;100;8,5055;e2f2d05ef0
63856820528272;1578701;0;100;8,4071;e2f2d05ef0
63856820528656;1579101;0;100;8,3098;e2f2d05ef0
63856820529006;1579367;0;100;8,2137;e2f2d05ef0
63856820529272;1579700;0;100;8,1187;e2f2d05ef0
63856820529672;1580100;0;100;8,0248;e2f2d05ef0
63856820529989;1580434;0;100;7,9319;e2f2d05ef0
63856820530288;1580700;0;100;7,8402;e2f2d05ef0
63856820530639;1581034;0;100;7,7495;e2f2d05ef0
63856820531022;1581434;0;100;7,6598;e2f2d05ef0
63856820531306;1581700;0;100;7,5712;e2f2d05ef0
63856820531622;1582034;0;100;7,4836;e2f2d05ef0
63856820531922;1582367;0;100;7,3971;e2f2d05ef0
63856820532339;1582767;0;100;7,3115;e2f2d05ef0
63856820532622;1583033;0;100;7,2269;e2f2d05ef0
63856820533005;1583433;0;100;7,1433;e2f2d05ef0
63856820533288;1583700;0;100;7,0607;e2f2d05ef0
63856820533629;1584033;0;100;6,979;e2f2d05ef0
63856820534022;1584433;0;100;6,8983;e2f2d05ef0
63856820534339;1584700;0;100;6,8185;e2f2d05ef0
63856820534639;1585033;0;100;6,7396;e2f2d05ef0
63856820534922;1585367;0;100;6,6616;e2f2d05ef0
63856820535339;1585767;0;100;6,5846;e2f2d05ef0
63856820535656;1586033;0;100;6,5084;e2f2d05ef0
63856820535972;1586366;0;100;6,4331;e2f2d05ef0
63856820536355;1586766;0;100;6,3587;e2f2d05ef0
63856820536672;1587100;0;100;6,2851;e2f2d05ef0
63856820536972;1587366;0;100;6,2124;e2f2d05ef0
63856820537256;1587700;0;100;6,1406;e2f2d05ef0
