Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856995704073;378452;0;100;-19459,8;e5b6272806
63856995704073;378452;0;100;-19460,2;e5b6272806
63856995704172;378519;0;100;-19461;e5b6272806
63856995704373;378719;0;100;-19461,6;e5b6272806
63856995704373;378719;0;100;-19461,6;e5b6272806
63856995704373;378719;0;100;-19462,8;e5b6272806
63856995704639;378985;0;100;-19463,2;e5b6272806
63856995704639;378985;0;100;-19463;e5b6272806
63856995704639;378985;0;100;-19464,6;e5b6272806
63856995704639;378985;0;100;-19465;e5b6272806
63856995704956;379252;0;100;-19465,4;e5b6272806
63856995704956;379252;0;100;-19464,6;e5b6272806
63856995704956;379252;0;100;-19465,6;e5b6272806
63856995704956;379252;0;100;-19466,2;e5b6272806
63856995704982;379385;0;100;-19466;e5b6272806
63856995704982;379385;0;100;-19466,4;e5b6272806
63856995705105;379452;0;100;-19466,8;e5b6272806
63856995705206;379585;0;100;-19467,2;e5b6272806
63856995705206;379585;0;100;-19467,2;e5b6272806
63856995705307;379652;0;100;-19467,2;e5b6272806
63856995705407;379785;0;100;-19468,4;e5b6272806
63856995705407;379785;0;100;-19468,4;e5b6272806
63856995705505;379852;0;100;-19469;e5b6272806
63856995705648;379985;0;100;-19469;e5b6272806
63856995705648;379985;0;100;-19469,6;e5b6272806
63856995705705;380052;0;100;-19469,8;e5b6272806
63856995705805;380185;0;100;-19470;e5b6272806
63856995705805;380185;0;100;-19470,4;e5b6272806
63856995705906;380252;0;100;-19470,8;e5b6272806
63856995706005;380385;0;100;-19471,6;e5b6272806
63856995706005;380385;0;100;-19472;e5b6272806
63856995706113;380519;0;100;-19472,8;e5b6272806
63856995706113;380519;0;100;-19473,8;e5b6272806
63856995706202;380585;0;100;-19474,2;e5b6272806
63856995706308;380719;0;100;-19476;e5b6272806
63856995706308;380719;0;100;-19476,4;e5b6272806
63856995706404;380785;0;100;-19477;e5b6272806
63856995706518;380919;0;100;-19477,8;e5b6272806
63856995706518;380919;0;100;-19479;e5b6272806
63856995706639;380985;0;100;-19479;e5b6272806
63856995706706;381119;0;100;-19480;e5b6272806
63856995706706;381119;0;100;-19479,4;e5b6272806
63856995706838;381185;0;100;-19479,2;e5b6272806
63856995706905;381318;0;100;-19478,4;e5b6272806
63856995706905;381318;0;100;-19477,4;e5b6272806
63856995707038;381385;0;100;-19476,4;e5b6272806
63856995707138;381518;0;100;-19476;e5b6272806
63856995707138;381518;0;100;-19475,6;e5b6272806
63856995707253;381585;0;100;-19475,6;e5b6272806
63856995707339;381719;0;100;-19475,6;e5b6272806
63856995707339;381719;0;100;-19476;e5b6272806
63856995707455;381785;0;100;-19475,2;e5b6272806
63856995707539;381918;0;100;-19475,8;e5b6272806
63856995707539;381918;0;100;-19475,4;e5b6272806
63856995707638;381985;0;100;-19475,4;e5b6272806
63856995707739;382118;0;100;-19475,2;e5b6272806
63856995707739;382118;0;100;-19475;e5b6272806
63856995707832;382185;0;100;-19474,8;e5b6272806
63856995707946;382318;0;100;-19475;e5b6272806
63856995707946;382318;0;100;-19474,8;e5b6272806
63856995708034;382452;0;100;-19475,4;e5b6272806
63856995708034;382452;0;100;-19476;e5b6272806
63856995708145;382518;0;100;-19475,8;e5b6272806
63856995708271;382652;0;100;-19475,8;e5b6272806
63856995708271;382652;0;100;-19475,6;e5b6272806
63856995708335;382718;0;100;-19475,8;e5b6272806
63856995708438;382852;0;100;-19476;e5b6272806
63856995708438;382852;0;100;-19475,8;e5b6272806
63856995708571;382918;0;100;-19476,2;e5b6272806
63856995708763;383118;0;100;-19476;e5b6272806
63856995708763;383118;0;100;-19476,6;e5b6272806
63856995708763;383118;0;100;-19476,8;e5b6272806
63856995708840;383252;0;100;-19477;e5b6272806
63856995708840;383252;0;100;-19477;e5b6272806
63856995708971;383318;0;100;-19477,8;e5b6272806
63856995709044;383452;0;100;-19478;e5b6272806
63856995709044;383452;0;100;-19477;e5b6272806
63856995709173;383518;0;100;-19477,2;e5b6272806
63856995709275;383651;0;100;-19478;e5b6272806
63856995709275;383651;0;100;-19477,8;e5b6272806
63856995709371;383718;0;100;-19478;e5b6272806
63856995709472;383851;0;100;-19477,8;e5b6272806
63856995709472;383851;0;100;-19478;e5b6272806
63856995709572;383918;0;100;-19478,2;e5b6272806
63856995709668;384052;0;100;-19478,8;e5b6272806
63856995709668;384052;0;100;-19479,4;e5b6272806
63856995709772;384118;0;100;-19479,6;e5b6272806
63856995709871;384251;0;100;-19480;e5b6272806
63856995709871;384251;0;100;-19479;e5b6272806
63856995709973;384318;0;100;-19479;e5b6272806
63856995710072;384451;0;100;-19478,8;e5b6272806
63856995710072;384451;0;100;-19478,8;e5b6272806
63856995710175;384585;0;100;-19479,2;e5b6272806
63856995710175;384585;0;100;-19479;e5b6272806
63856995710269;384651;0;100;-19479,8;e5b6272806
63856995710408;384785;0;100;-19479,8;e5b6272806
63856995710408;384785;0;100;-19480,4;e5b6272806
63856995710472;384851;0;100;-19480;e5b6272806
63856995710605;384985;0;100;-19480,6;e5b6272806
63856995710605;384985;0;100;-19480,8;e5b6272806
63856995710672;385051;0;100;-19480,4;e5b6272806
63856995710772;385185;0;100;-19480,6;e5b6272806
63856995710772;385185;0;100;-19480,4;e5b6272806
63856995710906;385251;0;100;-19480,2;e5b6272806
63856995711005;385385;0;100;-19481,2;e5b6272806
63856995711005;385385;0;100;-19480,6;e5b6272806
63856995711139;385451;0;100;-19480,4;e5b6272806
63856995711199;385585;0;100;-19481;e5b6272806
63856995711199;385585;0;100;-19480,4;e5b6272806
63856995711320;385651;0;100;-19480,6;e5b6272806
63856995711405;385785;0;100;-19481,2;e5b6272806
63856995711405;385785;0;100;-19480,8;e5b6272806
63856995711510;385851;0;100;-19481,2;e5b6272806
63856995711605;385985;0;100;-19481,4;e5b6272806
63856995711605;385985;0;100;-19481,2;e5b6272806
63856995711706;386051;0;100;-19481,2;e5b6272806
63856995711807;386185;0;100;-19481,6;e5b6272806
63856995711807;386185;0;100;-19481,2;e5b6272806
63856995711900;386251;0;100;-19480,2;e5b6272806
63856995712020;386385;0;100;-19478;e5b6272806
63856995712020;386385;0;100;-19477,6;e5b6272806
63856995712139;386518;0;100;-19476,8;e5b6272806
63856995712139;386518;0;100;-19476,2;e5b6272806
63856995712210;386585;0;100;-19476;e5b6272806
63856995712305;386718;0;100;-19478,8;e5b6272806
63856995712305;386718;0;100;-19479,8;e5b6272806
63856995712404;386785;0;100;-19480,8;e5b6272806
63856995712506;386918;0;100;-19480,6;e5b6272806
63856995712506;386918;0;100;-19480,8;e5b6272806
63856995712606;386985;0;100;-19480,4;e5b6272806
63856995712706;387118;0;100;-19479,8;e5b6272806
63856995712706;387118;0;100;-19479,8;e5b6272806
63856995712805;387184;0;100;-19479;e5b6272806
63856995712922;387318;0;100;-19479,2;e5b6272806
63856995712922;387318;0;100;-19479,8;e5b6272806
63856995713039;387385;0;100;-19479,6;e5b6272806
63856995713173;387518;0;100;-19480,6;e5b6272806
63856995713173;387518;0;100;-19480,8;e5b6272806
63856995713236;387584;0;100;-19481;e5b6272806
63856995713343;387718;0;100;-19481,8;e5b6272806
63856995713343;387718;0;100;-19482,2;e5b6272806
63856995713439;387785;0;100;-19482;e5b6272806
63856995713589;387918;0;100;-19483,2;e5b6272806
63856995713589;387918;0;100;-19483,4;e5b6272806
63856995713638;387984;0;100;-19484;e5b6272806
63856995713738;388118;0;100;-19484,2;e5b6272806
63856995713738;388118;0;100;-19484,4;e5b6272806
63856995713905;388251;0;100;-19485;e5b6272806
63856995713905;388251;0;100;-19485,2;e5b6272806
63856995713972;388384;0;100;-19485;e5b6272806
63856995713972;388384;0;100;-19485,6;e5b6272806
63856995714106;388451;0;100;-19486,2;e5b6272806
63856995714198;388584;0;100;-19486,2;e5b6272806
63856995714198;388584;0;100;-19485,6;e5b6272806
63856995714306;388651;0;100;-19486;e5b6272806
63856995714405;388784;0;100;-19486;e5b6272806
63856995714405;388784;0;100;-19486;e5b6272806
63856995714511;388851;0;100;-19485;e5b6272806
63856995714605;388984;0;100;-19485,6;e5b6272806
63856995714605;388984;0;100;-19485,6;e5b6272806
63856995714706;389051;0;100;-19486;e5b6272806
63856995714805;389184;0;100;-19486;e5b6272806
63856995714805;389184;0;100;-19486,4;e5b6272806
63856995714902;389318;0;100;-19486,4;e5b6272806
63856995714902;389318;0;100;-19486,8;e5b6272806
63856995715006;389384;0;100;-19486,2;e5b6272806
63856995715106;389518;0;100;-19486,8;e5b6272806
63856995715106;389518;0;100;-19486,6;e5b6272806
63856995715222;389584;0;100;-19485,6;e5b6272806
63856995715304;389718;0;100;-19485,6;e5b6272806
63856995715304;389718;0;100;-19485,2;e5b6272806
63856995715419;389784;0;100;-19484,6;e5b6272806
63856995715505;389918;0;100;-19484,6;e5b6272806
63856995715505;389918;0;100;-19484,8;e5b6272806
63856995715653;389984;0;100;-19484;e5b6272806
63856995715705;390118;0;100;-19483;e5b6272806
63856995715705;390118;0;100;-19483,4;e5b6272806
63856995715805;390184;0;100;-19483;e5b6272806
63856995715907;390318;0;100;-19483,4;e5b6272806
63856995715907;390318;0;100;-19483,6;e5b6272806
63856995716035;390384;0;100;-19483;e5b6272806
63856995716140;390518;0;100;-19483,6;e5b6272806
63856995716140;390518;0;100;-19483,2;e5b6272806
63856995716235;390584;0;100;-19483,8;e5b6272806
63856995716352;390718;0;100;-19484,8;e5b6272806
63856995716352;390718;0;100;-19484,6;e5b6272806
63856995716438;390784;0;100;-19485;e5b6272806
63856995716539;390917;0;100;-19486;e5b6272806
63856995716539;390917;0;100;-19485,6;e5b6272806
63856995716639;390984;0;100;-19486,2;e5b6272806
63856995716738;391118;0;100;-19486,8;e5b6272806
63856995716738;391118;0;100;-19486,4;e5b6272806
63856995716840;391184;0;100;-19487,4;e5b6272806
63856995716938;391318;0;100;-19487,2;e5b6272806
63856995716938;391318;0;100;-19487,2;e5b6272806
63856995717045;391384;0;100;-19487,2;e5b6272806
63856995717139;391517;0;100;-19487,8;e5b6272806
63856995717139;391517;0;100;-19487,4;e5b6272806
63856995717234;391651;0;100;-19487,6;e5b6272806
63856995717234;391651;0;100;-19487,8;e5b6272806
63856995717339;391717;0;100;-19487,2;e5b6272806
63856995717438;391851;0;100;-19487,4;e5b6272806
63856995717438;391851;0;100;-19487,8;e5b6272806
63856995717538;391917;0;100;-19487,6;e5b6272806
63856995717638;392051;0;100;-19488;e5b6272806
63856995717638;392051;0;100;-19488,4;e5b6272806
63856995717753;392117;0;100;-19488;e5b6272806
63856995717838;392251;0;100;-19488;e5b6272806
63856995717838;392251;0;100;-19488;e5b6272806
63856995717943;392317;0;100;-19487,8;e5b6272806
63856995718072;392451;0;100;-19487,8;e5b6272806
63856995718072;392451;0;100;-19488;e5b6272806
63856995718138;392517;0;100;-19487,6;e5b6272806
63856995718246;392651;0;100;-19487,2;e5b6272806
63856995718246;392651;0;100;-19487,2;e5b6272806
63856995718372;392717;0;100;-19486,8;e5b6272806
63856995718472;392851;0;100;-19487;e5b6272806
63856995718472;392851;0;100;-19486,8;e5b6272806
63856995718571;392917;0;100;-19486,6;e5b6272806
63856995718674;393051;0;100;-19485,8;e5b6272806
63856995718674;393051;0;100;-19485,2;e5b6272806
63856995718772;393117;0;100;-19484,4;e5b6272806
63856995718872;393251;0;100;-19484,2;e5b6272806
63856995718872;393251;0;100;-19483,4;e5b6272806
63856995719036;393384;0;100;-19483,4;e5b6272806
63856995719036;393384;0;100;-19482,4;e5b6272806
63856995719105;393517;0;100;-19481,2;e5b6272806
63856995719105;393517;0;100;-19481,6;e5b6272806
63856995719206;393584;0;100;-19482,2;e5b6272806
63856995719334;393717;0;100;-19480,8;e5b6272806
63856995719334;393717;0;100;-19479;e5b6272806
63856995719414;393784;0;100;-19476,8;e5b6272806
63856995719536;393917;0;100;-19476;e5b6272806
63856995719536;393917;0;100;-19475,4;e5b6272806
63856995719644;393984;0;100;-19474,6;e5b6272806
63856995719738;394117;0;100;-19474;e5b6272806
63856995719738;394117;0;100;-19474,2;e5b6272806
63856995719846;394184;0;100;-19474,4;e5b6272806
63856995719939;394317;0;100;-19475;e5b6272806
63856995719939;394317;0;100;-19474,6;e5b6272806
63856995720034;394384;0;100;-19475;e5b6272806
63856995720139;394517;0;100;-19475,4;e5b6272806
63856995720139;394517;0;100;-19475,4;e5b6272806
63856995720239;394584;0;100;-19476;e5b6272806
63856995720345;394717;0;100;-19477,2;e5b6272806
63856995720345;394717;0;100;-19477,6;e5b6272806
63856995720435;394850;0;100;-19478;e5b6272806
63856995720435;394850;0;100;-19479;e5b6272806
63856995720541;394917;0;100;-19479,2;e5b6272806
63856995720639;395050;0;100;-19479,6;e5b6272806
63856995720639;395050;0;100;-19479,8;e5b6272806
63856995720730;395117;0;100;-19479,6;e5b6272806
63856995720838;395250;0;100;-19480,6;e5b6272806
63856995720838;395250;0;100;-19480;e5b6272806
63856995720938;395317;0;100;-19480,2;e5b6272806
63856995721040;395450;0;100;-19480,6;e5b6272806
63856995721040;395450;0;100;-19481;e5b6272806
63856995721138;395517;0;100;-19480;e5b6272806
63856995721241;395650;0;100;-19480,8;e5b6272806
63856995721241;395650;0;100;-19481;e5b6272806
63856995721338;395717;0;100;-19481;e5b6272806
63856995721439;395850;0;100;-19481;e5b6272806
63856995721439;395850;0;100;-19480,8;e5b6272806
63856995721571;395917;0;100;-19480,2;e5b6272806
63856995721672;396050;0;100;-19480;e5b6272806
63856995721672;396050;0;100;-19479;e5b6272806
63856995721772;396117;0;100;-19478,2;e5b6272806
63856995721862;396250;0;100;-19477,8;e5b6272806
63856995721862;396250;0;100;-19477;e5b6272806
63856995721972;396317;0;100;-19476,2;e5b6272806
63856995722074;396450;0;100;-19475,8;e5b6272806
63856995722074;396450;0;100;-19474,8;e5b6272806
63856995722174;396517;0;100;-19473;e5b6272806
63856995722272;396650;0;100;-19470,6;e5b6272806
63856995722272;396650;0;100;-19467;e5b6272806
63856995722373;396717;0;100;-19463,4;e5b6272806
63856995722529;396917;0;100;-19463;e5b6272806
63856995722529;396917;0;100;-19460,2;e5b6272806
63856995722529;396917;0;100;-19459;e5b6272806
63856995722638;396984;0;100;-19459,4;e5b6272806
63856995722705;397117;0;100;-19459;e5b6272806
63856995722705;397117;0;100;-19458,6;e5b6272806
63856995722807;397183;0;100;-19459;e5b6272806
63856995722905;397317;0;100;-19459,8;e5b6272806
63856995722905;397317;0;100;-19458,8;e5b6272806
63856995723008;397383;0;100;-19457,6;e5b6272806
63856995723135;397517;0;100;-19458,8;e5b6272806
63856995723135;397517;0;100;-19459,6;e5b6272806
63856995723242;397584;0;100;-19461;e5b6272806
63856995723336;397717;0;100;-19462;e5b6272806
63856995723336;397717;0;100;-19462,4;e5b6272806
63856995723428;397784;0;100;-19463;e5b6272806
63856995723538;397917;0;100;-19462,2;e5b6272806
63856995723538;397917;0;100;-19458,8;e5b6272806
63856995723638;397984;0;100;-19457;e5b6272806
63856995723744;398117;0;100;-19456,8;e5b6272806
63856995723744;398117;0;100;-19457;e5b6272806
63856995723838;398183;0;100;-19456,6;e5b6272806
63856995723942;398317;0;100;-19458,4;e5b6272806
63856995723942;398317;0;100;-19459,4;e5b6272806
63856995724128;398517;0;100;-19459,2;e5b6272806
63856995724128;398517;0;100;-19459,8;e5b6272806
63856995724128;398517;0;100;-19459,6;e5b6272806
63856995724214;398583;0;100;-19460,2;e5b6272806
