Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856995751372;425515;0;100;0,038009;e5b6272806
63856995751671;425781;0;100;0,162673;e5b6272806
63856995806503;480575;1;100;0,108074;e5b6272806
63856995813087;487041;1;100;0,242178;e5b6272806
63856995840169;514306;2;100;0,08566;e5b6272806
63856995866169;540170;2;100;0,298193;e5b6272806
63856995870102;544236;2;100;0,049876;e5b6272806
63856995880318;554235;2;100;0,493156;e5b6272806
63856995892068;566033;2;100;0,465577;e5b6272806
63856995915841;589964;3;100;0,046101;e5b6272806
63856995916035;590298;3;100;0,459174;e5b6272806
63856995942617;616828;3;100;0,024536;e5b6272806
63856995965141;639160;-3;100;0,294675;e5b6272806
63856995984516;658624;4;100;0,09362;e5b6272806
63856996012166;686089;4;100;0,42556;e5b6272806
63856996012983;687021;-4;100;0,559556;e5b6272806
63856996042316;716419;5;100;0,084911;e5b6272806
63856996050665;724617;5;100;0,606113;e5b6272806
63856996052115;725885;-5;100;0,271524;e5b6272806
