Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856570946521;518348;0;100;-19344,8;e706b5f36e
63856570946620;518481;0;100;-19365,4;e706b5f36e
63856570946620;518481;0;100;-19377;e706b5f36e
63856570946720;518548;0;100;-19377;e706b5f36e
63856570946820;518681;0;100;-19376,8;e706b5f36e
63856570946820;518681;0;100;-19376,2;e706b5f36e
63856570946920;518748;0;100;-19376,2;e706b5f36e
63856570947020;518881;0;100;-19376,2;e706b5f36e
63856570947020;518881;0;100;-19377,8;e706b5f36e
63856570947120;518948;0;100;-19378,8;e706b5f36e
63856570947220;519081;0;100;-19379,4;e706b5f36e
63856570947220;519081;0;100;-19380;e706b5f36e
63856570947319;519148;0;100;-19381;e706b5f36e
63856570947419;519281;0;100;-19381,8;e706b5f36e
63856570947419;519281;0;100;-19383;e706b5f36e
63856570947520;519348;0;100;-19382,8;e706b5f36e
63856570947620;519481;0;100;-19383,2;e706b5f36e
63856570947620;519481;0;100;-19383,4;e706b5f36e
63856570947753;519548;0;100;-19384;e706b5f36e
63856570947819;519681;0;100;-19385;e706b5f36e
63856570947819;519681;0;100;-19386;e706b5f36e
63856570947953;519748;0;100;-19386,4;e706b5f36e
63856570948020;519881;0;100;-19387,8;e706b5f36e
63856570948020;519881;0;100;-19389;e706b5f36e
63856570948154;520014;0;100;-19389;e706b5f36e
63856570948154;520014;0;100;-19389;e706b5f36e
63856570948253;520081;0;100;-19388,8;e706b5f36e
63856570948353;520214;0;100;-19388;e706b5f36e
63856570948353;520214;0;100;-19388,4;e706b5f36e
63856570948453;520281;0;100;-19388,8;e706b5f36e
63856570948553;520414;0;100;-19389;e706b5f36e
63856570948553;520414;0;100;-19388,8;e706b5f36e
63856570948653;520481;0;100;-19388,4;e706b5f36e
63856570948753;520614;0;100;-19387,8;e706b5f36e
63856570948753;520614;0;100;-19386,6;e706b5f36e
63856570948853;520681;0;100;-19385,4;e706b5f36e
63856570948953;520814;0;100;-19385,4;e706b5f36e
63856570948953;520814;0;100;-19386,2;e706b5f36e
63856570949053;520881;0;100;-19386,4;e706b5f36e
63856570949153;521014;0;100;-19386;e706b5f36e
63856570949153;521014;0;100;-19385,4;e706b5f36e
63856570949253;521081;0;100;-19385,8;e706b5f36e
63856570949353;521214;0;100;-19385,8;e706b5f36e
63856570949353;521214;0;100;-19385,2;e706b5f36e
63856570949453;521281;0;100;-19384,8;e706b5f36e
63856570949553;521414;0;100;-19383,6;e706b5f36e
63856570949553;521414;0;100;-19383;e706b5f36e
63856570949653;521481;0;100;-19382,2;e706b5f36e
63856570949753;521614;0;100;-19380,6;e706b5f36e
63856570949753;521614;0;100;-19379;e706b5f36e
63856570949853;521681;0;100;-19377,6;e706b5f36e
63856570949953;521814;0;100;-19375,6;e706b5f36e
63856570949953;521814;0;100;-19374,4;e706b5f36e
63856570950086;521881;0;100;-19373,6;e706b5f36e
63856570950153;522014;0;100;-19372,4;e706b5f36e
63856570950153;522014;0;100;-19372;e706b5f36e
63856570950287;522147;0;100;-19371,8;e706b5f36e
63856570950287;522147;0;100;-19371,2;e706b5f36e
63856570950386;522214;0;100;-19370,8;e706b5f36e
63856570950486;522347;0;100;-19370,4;e706b5f36e
63856570950486;522347;0;100;-19370;e706b5f36e
