Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856570946820;518681;0;100;9,9341;e706b5f36e
63856570947120;518948;0;100;9,8192;e706b5f36e
63856570947419;519281;0;100;9,7056;e706b5f36e
63856570947819;519681;0;100;9,5933;e706b5f36e
63856570948154;520014;0;100;9,4823;e706b5f36e
63856570948453;520281;0;100;9,3726;e706b5f36e
63856570948753;520614;0;100;9,2642;e706b5f36e
63856570949153;521014;0;100;9,157;e706b5f36e
63856570949453;521281;0;100;9,0511;e706b5f36e
63856570949753;521614;0;100;8,9464;e706b5f36e
63856570950153;522014;0;100;8,8429;e706b5f36e
63856570950486;522347;0;100;8,7406;e706b5f36e
63856570950785;522614;0;100;8,6395;e706b5f36e
63856570951087;522947;0;100;8,5396;e706b5f36e
63856570951486;523347;0;100;8,4408;e706b5f36e
63856570951785;523614;0;100;8,3431;e706b5f36e
63856570952086;523947;0;100;8,2466;e706b5f36e
63856570952420;524280;0;100;8,1512;e706b5f36e
63856570952820;524680;0;100;8,0569;e706b5f36e
63856570953119;524947;0;100;7,9637;e706b5f36e
63856570953453;525280;0;100;7,8716;e706b5f36e
63856570953753;525614;0;100;7,7805;e706b5f36e
63856570954170;526014;0;100;7,6905;e706b5f36e
63856570954485;526280;0;100;7,6016;e706b5f36e
63856570954753;526613;0;100;7,5136;e706b5f36e
63856570955185;527013;0;100;7,4267;e706b5f36e
63856570955486;527347;0;100;7,3408;e706b5f36e
63856570955785;527613;0;100;7,2559;e706b5f36e
63856570956086;527947;0;100;7,172;e706b5f36e
63856570956485;528347;0;100;7,089;e706b5f36e
63856570956785;528613;0;100;7,007;e706b5f36e
63856570957086;528947;0;100;6,9259;e706b5f36e
63856570957419;529280;0;100;6,8458;e706b5f36e
63856570957819;529680;0;100;6,7666;e706b5f36e
63856570958119;529947;0;100;6,6883;e706b5f36e
63856570958420;530280;0;100;6,611;e706b5f36e
63856570958820;530680;0;100;6,5345;e706b5f36e
63856570959153;531013;0;100;6,4589;e706b5f36e
63856570959453;531280;0;100;6,3842;e706b5f36e
63856570959753;531613;0;100;6,3103;e706b5f36e
63856570960153;532013;0;100;6,2373;e706b5f36e
63856570960452;532280;0;100;6,1652;e706b5f36e
63856570960785;532613;0;100;6,0939;e706b5f36e
63856570961086;532946;0;100;6,0234;e706b5f36e
63856570961486;533346;0;100;5,9537;e706b5f36e
63856570961786;533613;0;100;5,8848;e706b5f36e
63856570962085;533946;0;100;5,8167;e706b5f36e
63856570962486;534346;0;100;5,7494;e706b5f36e
63856570962785;534613;0;100;5,6829;e706b5f36e
63856570963119;534946;0;100;5,6172;e706b5f36e
63856570963419;535279;0;100;5,5522;e706b5f36e
63856570963819;535679;0;100;5,488;e706b5f36e
63856570964119;535946;0;100;5,4245;e706b5f36e
63856570964420;536279;0;100;5,3618;e706b5f36e
63856570964851;536679;0;100;5,2997;e706b5f36e
63856570965153;537012;0;100;5,2384;e706b5f36e
63856570965452;537279;0;100;5,1778;e706b5f36e
63856570965753;537612;0;100;5,1179;e706b5f36e
63856570966153;538012;0;100;5,0587;e706b5f36e
63856570966452;538279;0;100;5,0002;e706b5f36e
63856570966786;538612;0;100;4,9424;e706b5f36e
63856570967085;538946;0;100;4,8852;e706b5f36e
63856570967485;539345;0;100;4,8287;e706b5f36e
63856570967785;539612;0;100;4,7728;e706b5f36e
63856570968085;539945;0;100;4,7176;e706b5f36e
63856570968485;540345;0;100;4,663;e706b5f36e
63856570968819;540679;0;100;4,6091;e706b5f36e
63856570969119;540945;0;100;4,5558;e706b5f36e
63856570969419;541279;0;100;4,5031;e706b5f36e
63856570969753;541612;0;100;4,451;e706b5f36e
63856570970153;542012;0;100;4,3995;e706b5f36e
63856570970451;542279;0;100;6,4308;e706b5f36e
63856570970753;542612;0;100;6,3564;e706b5f36e
63856570971152;543012;0;100;6,2829;e706b5f36e
63856570971486;543345;0;100;6,2102;e706b5f36e
63856570971786;543612;0;100;6,1384;e706b5f36e
63856570972086;543945;0;100;6,0674;e706b5f36e
63856570972485;544345;0;100;8,0795;e706b5f36e
63856570972785;544612;0;100;7,986;e706b5f36e
63856570973086;544945;0;100;9,9759;e706b5f36e
63856570973486;545345;0;100;9,8605;e706b5f36e
63856570973819;545678;0;100;9,7464;e706b5f36e
63856570974119;545945;0;100;9,6336;e706b5f36e
63856570974419;546278;0;100;9,5222;e706b5f36e
63856570974819;546678;0;100;9,412;e706b5f36e
63856570975119;546945;0;100;9,3032;e706b5f36e
63856570975419;547278;0;100;9,1955;e706b5f36e
63856570975852;547678;0;100;9,0892;e706b5f36e
63856570976152;548011;0;100;8,984;e706b5f36e
63856570976452;548278;0;100;8,8801;e706b5f36e
63856570976753;548611;0;100;8,7774;e706b5f36e
63856570977153;549011;0;100;8,6758;e706b5f36e
63856570977452;549278;0;100;8,5755;e706b5f36e
63856570977785;549611;0;100;8,4763;e706b5f36e
63856570978085;549944;0;100;8,3782;e706b5f36e
63856570978485;550344;0;100;8,2813;e706b5f36e
63856570978785;550611;0;100;8,1855;e706b5f36e
63856570979086;550944;0;100;8,0908;e706b5f36e
63856570979486;551344;0;100;7,9972;e706b5f36e
63856570979819;551611;0;100;7,9047;e706b5f36e
63856570980119;551944;0;100;7,8133;e706b5f36e
63856570980419;552278;0;100;7,7229;e706b5f36e
63856570980819;552677;0;100;7,6335;e706b5f36e
63856570981119;552944;0;100;7,5452;e706b5f36e
63856570981419;553277;0;100;7,4579;e706b5f36e
63856570981819;553678;0;100;7,3717;e706b5f36e
63856570982153;554011;0;100;7,2864;e706b5f36e
63856570982452;554277;0;100;7,2021;e706b5f36e
63856570982785;554611;0;100;7,1188;e706b5f36e
63856570983185;555011;0;100;7,0364;e706b5f36e
63856570983452;555277;0;100;6,955;e706b5f36e
63856570983753;555611;0;100;6,8746;e706b5f36e
63856570984152;556011;0;100;6,7951;e706b5f36e
63856570984485;556344;0;100;6,7165;e706b5f36e
63856570984785;556610;0;100;6,6388;e706b5f36e
63856570985085;556944;0;100;6,562;e706b5f36e
63856570985552;557410;0;100;6,4861;e706b5f36e
63856570985753;557610;0;100;6,411;e706b5f36e
63856570986153;558010;0;100;6,3369;e706b5f36e
63856570986452;558277;0;100;6,2636;e706b5f36e
63856570986752;558610;0;100;6,1911;e706b5f36e
63856570987052;558944;0;100;6,1195;e706b5f36e
63856570987486;559343;0;100;6,0487;e706b5f36e
63856570987785;559610;0;100;8,061;e706b5f36e
63856570988085;559943;0;100;7,9677;e706b5f36e
63856570988485;560343;0;100;7,8755;e706b5f36e
63856570988785;560610;0;100;7,7844;e706b5f36e
63856570989119;560943;0;100;7,6944;e706b5f36e
63856570989419;561277;0;100;7,6054;e706b5f36e
63856570989819;561677;0;100;7,5174;e706b5f36e
63856570990119;561943;0;100;7,4304;e706b5f36e
63856570990419;562277;0;100;7,3445;e706b5f36e
63856570990819;562677;0;100;7,2595;e706b5f36e
63856570991152;563010;0;100;7,1755;e706b5f36e
63856570991452;563277;0;100;7,0925;e706b5f36e
63856570991769;563610;0;100;7,0105;e706b5f36e
63856570992152;564010;0;100;6,9294;e706b5f36e
63856570992469;564276;0;100;6,8492;e706b5f36e
63856570992752;564610;0;100;6,77;e706b5f36e
63856570993152;565010;0;100;6,6917;e706b5f36e
63856570993485;565343;0;100;6,6143;e706b5f36e
63856570993785;565610;0;100;6,5378;e706b5f36e
63856570994085;565943;0;100;6,4621;e706b5f36e
63856570994485;566343;0;100;6,3874;e706b5f36e
63856570994785;566609;0;100;6,3135;e706b5f36e
63856570995119;566943;0;100;6,2405;e706b5f36e
63856570995419;567276;0;100;6,1683;e706b5f36e
63856570995819;567676;0;100;6,0969;e706b5f36e
63856570996119;567943;0;100;6,0264;e706b5f36e
63856570996419;568276;0;100;5,9567;e706b5f36e
63856570996752;568609;0;100;5,8878;e706b5f36e
63856570997154;569009;0;100;5,8196;e706b5f36e
63856570997452;569276;0;100;5,7523;e706b5f36e
63856570997752;569609;0;100;5,6858;e706b5f36e
63856570998152;570009;0;100;5,62;e706b5f36e
63856570998452;570276;0;100;5,555;e706b5f36e
63856570998752;570609;0;100;5,4907;e706b5f36e
63856570999052;570942;0;100;5,4272;e706b5f36e
63856570999502;571342;0;100;5,3644;e706b5f36e
63856570999785;571609;0;100;5,3024;e706b5f36e
63856571000085;571942;0;100;5,241;e706b5f36e
63856571000485;572342;0;100;5,1804;e706b5f36e
63856571000785;572675;0;100;5,1205;e706b5f36e
63856571001119;572942;0;100;5,0613;e706b5f36e
63856571001419;573276;0;100;5,0027;e706b5f36e
63856571001819;573675;0;100;4,9448;e706b5f36e
63856571002119;573942;0;100;4,8876;e706b5f36e
63856571002419;574275;0;100;4,8311;e706b5f36e
63856571002752;574609;0;100;4,7752;e706b5f36e
63856571003152;575009;0;100;4,72;e706b5f36e
63856571003452;575275;0;100;4,6654;e706b5f36e
63856571003752;575609;0;100;4,6114;e706b5f36e
63856571004152;576009;0;100;4,558;e706b5f36e
63856571004485;576342;0;100;6,5876;e706b5f36e
63856571004785;576608;0;100;8,5936;e706b5f36e
63856571005085;576942;0;100;8,4942;e706b5f36e
63856571005485;577342;0;100;8,3959;e706b5f36e
63856571005785;577608;0;100;8,2988;e706b5f36e
63856571006085;577942;0;100;8,2028;e706b5f36e
63856571006385;578275;0;100;8,1079;e706b5f36e
63856571006819;578675;0;100;8,0141;e706b5f36e
63856571007119;578942;0;100;7,9214;e706b5f36e
63856571007420;579275;0;100;9,912;e706b5f36e
63856571007818;579675;0;100;9,7974;e706b5f36e
63856571008119;580008;0;100;9,684;e706b5f36e
63856571008451;580275;0;100;9,572;e706b5f36e
63856571008752;580608;0;100;9,4613;e706b5f36e
63856571009152;581008;0;100;9,3518;e706b5f36e
63856571009452;581275;0;100;9,2437;e706b5f36e
63856571009769;581608;0;100;9,1367;e706b5f36e
63856571010153;582008;0;100;9,031;e706b5f36e
63856571010469;582275;0;100;8,9266;e706b5f36e
63856571010752;582608;0;100;8,8233;e706b5f36e
63856571011085;582941;0;100;8,7212;e706b5f36e
63856571011485;583341;0;100;8,6203;e706b5f36e
63856571011785;583608;0;100;8,5206;e706b5f36e
63856571012085;583941;0;100;8,4221;e706b5f36e
63856571012485;584341;0;100;8,3246;e706b5f36e
63856571012785;584608;0;100;8,2283;e706b5f36e
63856571013085;584941;0;100;8,1331;e706b5f36e
63856571013418;585274;0;100;8,0391;e706b5f36e
63856571013818;585674;0;100;7,9461;e706b5f36e
63856571014119;585941;0;100;7,8541;e706b5f36e
63856571014419;586274;0;100;7,7633;e706b5f36e
63856571014819;586674;0;100;7,6735;e706b5f36e
63856571015118;586941;0;100;7,5847;e706b5f36e
63856571015418;587274;0;100;7,497;e706b5f36e
63856571015752;587607;0;100;7,4102;e706b5f36e
63856571016152;588007;0;100;7,3245;e706b5f36e
63856571016452;588274;0;100;7,2398;e706b5f36e
63856571016752;588607;0;100;7,156;e706b5f36e
63856571017118;588940;0;100;7,0733;e706b5f36e
63856571017418;589274;0;100;6,9914;e706b5f36e
63856571017818;589674;0;100;6,9106;e706b5f36e
63856571018118;589940;0;100;6,8306;e706b5f36e
63856571018435;590274;0;100;6,7516;e706b5f36e
63856571018819;590674;0;100;6,6735;e706b5f36e
63856571019151;591007;0;100;6,5963;e706b5f36e
63856571019452;591274;0;100;6,52;e706b5f36e
63856571019752;591607;0;100;6,4446;e706b5f36e
63856571020152;592007;0;100;6,37;e706b5f36e
63856571020452;592274;0;100;6,2963;e706b5f36e
63856571020753;592607;0;100;6,2235;e706b5f36e
63856571021085;592940;0;100;6,1515;e706b5f36e
63856571021485;593340;0;100;6,0803;e706b5f36e
63856571021785;593607;0;100;6,01;e706b5f36e
63856571022085;593940;0;100;5,9405;e706b5f36e
63856571022485;594340;0;100;5,8718;e706b5f36e
63856571022785;594607;0;100;5,8038;e706b5f36e
63856571023085;594940;0;100;5,7367;e706b5f36e
63856571023418;595273;0;100;5,6703;e706b5f36e
63856571023818;595673;0;100;5,6047;e706b5f36e
63856571024118;595940;0;100;5,5399;e706b5f36e
63856571024418;596273;0;100;5,4758;e706b5f36e
63856571024819;596673;0;100;5,4125;e706b5f36e
63856571025151;596940;0;100;5,3499;e706b5f36e
63856571025418;597273;0;100;5,288;e706b5f36e
63856571025752;597606;0;100;5,2268;e706b5f36e
63856571026152;598006;0;100;5,1663;e706b5f36e
63856571026451;598273;0;100;5,1066;e706b5f36e
63856571026752;598606;0;100;5,0475;e706b5f36e
63856571027151;599006;0;100;4,9891;e706b5f36e
63856571027452;599339;0;100;4,9314;e706b5f36e
63856571027768;599606;0;100;4,8743;e706b5f36e
63856571028085;599939;0;100;4,818;e706b5f36e
63856571028485;600339;0;100;4,7622;e706b5f36e
63856571028785;600606;0;100;4,7071;e706b5f36e
63856571029085;600939;0;100;4,6527;e706b5f36e
63856571029418;601273;0;100;4,5989;e706b5f36e
63856571029818;601673;0;100;4,5457;e706b5f36e
63856571030118;601939;0;100;4,4931;e706b5f36e
63856571030418;602273;0;100;4,4411;e706b5f36e
63856571030852;602672;0;100;4,3897;e706b5f36e
63856571031151;603006;0;100;4,3389;e706b5f36e
63856571031451;603272;0;100;4,2887;e706b5f36e
63856571031752;603606;0;100;4,2391;e706b5f36e
63856571032152;604006;0;100;4,1901;e706b5f36e
63856571032451;604272;0;100;4,1416;e706b5f36e
63856571032752;604606;0;100;4,0937;e706b5f36e
63856571033051;604939;0;100;4,0464;e706b5f36e
63856571033485;605339;0;100;3,9995;e706b5f36e
63856571033785;605606;0;100;3,9533;e706b5f36e
63856571034068;605939;0;100;3,9075;e706b5f36e
63856571034485;606339;0;100;3,8623;e706b5f36e
63856571034784;606605;0;100;3,8177;e706b5f36e
63856571035085;606939;0;100;3,7735;e706b5f36e
63856571035418;607272;0;100;3,7299;e706b5f36e
63856571035818;607672;0;100;3,6867;e706b5f36e
63856571036118;607939;0;100;3,6441;e706b5f36e
63856571036418;608272;0;100;3,6019;e706b5f36e
63856571036818;608672;0;100;3,5602;e706b5f36e
63856571037118;608939;0;100;3,5191;e706b5f36e
63856571037418;609272;0;100;3,4783;e706b5f36e
63856571037718;609605;0;100;3,4381;e706b5f36e
63856571038151;610005;0;100;3,3983;e706b5f36e
63856571038452;610272;0;100;3,359;e706b5f36e
63856571038751;610605;0;100;3,3202;e706b5f36e
63856571039152;611005;0;100;3,2818;e706b5f36e
63856571039452;611272;0;100;3,2438;e706b5f36e
63856571039751;611605;0;100;3,2063;e706b5f36e
63856571040084;611938;0;100;3,1692;e706b5f36e
63856571040485;612338;0;100;3,1325;e706b5f36e
63856571040784;612605;0;100;3,0963;e706b5f36e
63856571041101;612938;0;100;3,0605;e706b5f36e
63856571041485;613338;0;100;3,0251;e706b5f36e
63856571041802;613671;0;100;5,0723;e706b5f36e
63856571042118;613938;0;100;5,0136;e706b5f36e
63856571042418;614271;0;100;4,9556;e706b5f36e
63856571042818;614671;0;100;6,9806;e706b5f36e
63856571043118;614938;0;100;6,8998;e706b5f36e
63856571043418;615271;0;100;6,82;e706b5f36e
63856571043818;615671;0;100;8,8234;e706b5f36e
63856571044168;616005;0;100;8,7213;e706b5f36e
63856571044451;616271;0;100;8,6204;e706b5f36e
63856571044751;616604;0;100;8,5207;e706b5f36e
63856571045151;617004;0;100;8,4221;e706b5f36e
63856571045451;617271;0;100;8,3247;e706b5f36e
63856571045751;617604;0;100;8,2284;e706b5f36e
63856571046084;617938;0;100;10,2154;e706b5f36e
63856571046485;618338;0;100;10,0973;e706b5f36e
63856571046784;618604;0;100;9,9805;e706b5f36e
63856571047085;618938;0;100;11,9473;e706b5f36e
63856571047485;619338;0;100;11,8091;e706b5f36e
63856571047818;619671;0;100;11,6725;e706b5f36e
63856571048084;619937;0;100;11,5374;e706b5f36e
63856571048418;620271;0;100;13,4862;e706b5f36e
63856571048884;620737;0;100;13,3302;e706b5f36e
63856571049084;620937;0;100;13,176;e706b5f36e
63856571049485;621337;0;100;13,0236;e706b5f36e
63856571049784;621604;0;100;12,8729;e706b5f36e
63856571050084;621937;0;100;12,724;e706b5f36e
63856571050384;622271;0;100;14,6591;e706b5f36e
63856571050818;622670;0;100;14,4895;e706b5f36e
63856571051118;622937;0;100;14,3219;e706b5f36e
63856571051484;623337;0;100;14,1562;e706b5f36e
63856571051818;623670;0;100;13,9924;e706b5f36e
63856571052085;623937;0;100;13,8306;e706b5f36e
63856571052418;624270;0;100;13,6706;e706b5f36e
63856571052818;624670;0;100;13,5124;e706b5f36e
63856571053118;624937;0;100;13,3561;e706b5f36e
63856571053417;625270;0;100;13,2016;e706b5f36e
63856571053818;625670;0;100;13,0489;e706b5f36e
63856571054117;626004;0;100;12,898;e706b5f36e
63856571054418;626270;0;100;12,7487;e706b5f36e
63856571054751;626603;0;100;12,6013;e706b5f36e
63856571055151;627003;0;100;12,4555;e706b5f36e
63856571055451;627270;0;100;12,3114;e706b5f36e
63856571055751;627603;0;100;12,169;e706b5f36e
63856571056068;627937;0;100;12,0282;e706b5f36e
63856571056519;628337;0;100;11,8891;e706b5f36e
63856571056753;628603;0;100;11,7515;e706b5f36e
63856571057151;629003;0;100;11,6156;e706b5f36e
63856571057453;629270;0;100;11,4812;e706b5f36e
63856571057751;629603;0;100;11,3484;e706b5f36e
63856571058168;630003;0;100;11,2171;e706b5f36e
63856571058451;630270;0;100;11,0874;e706b5f36e
63856571058751;630603;0;100;13,0414;e706b5f36e
63856571059050;630936;0;100;12,8905;e706b5f36e
63856571059484;631336;0;100;12,7414;e706b5f36e
63856571059751;631603;0;100;12,594;e706b5f36e
63856571060084;631936;0;100;12,4483;e706b5f36e
63856571060486;632336;0;100;12,3043;e706b5f36e
63856571060784;632669;0;100;12,162;e706b5f36e
63856571061085;632936;0;100;12,0213;e706b5f36e
63856571061384;633269;0;100;11,8822;e706b5f36e
63856571061751;633603;0;100;11,7448;e706b5f36e
63856571062084;633936;0;100;11,6089;e706b5f36e
63856571062484;634336;0;100;11,4746;e706b5f36e
63856571062784;634603;0;100;11,3419;e706b5f36e
63856571063100;634936;0;100;11,2107;e706b5f36e
63856571063417;635269;0;100;11,081;e706b5f36e
63856571063801;635669;0;100;10,9528;e706b5f36e
63856571064117;635936;0;100;10,8261;e706b5f36e
63856571064418;636269;0;100;10,7008;e706b5f36e
63856571064818;636669;0;100;10,5771;e706b5f36e
63856571065117;636936;0;100;10,4547;e706b5f36e
63856571065419;637269;0;100;10,3338;e706b5f36e
63856571065751;637602;0;100;10,2142;e706b5f36e
63856571066151;638002;0;100;10,0961;e706b5f36e
63856571066450;638269;0;100;9,9793;e706b5f36e
63856571066784;638669;0;100;11,9461;e706b5f36e
63856571067084;638936;0;100;11,8079;e706b5f36e
63856571067418;639269;0;100;11,6713;e706b5f36e
63856571067817;639669;0;100;11,5363;e706b5f36e
63856571068118;639935;0;100;11,4028;e706b5f36e
63856571068418;640269;0;100;11,2709;e706b5f36e
63856571068751;640602;0;100;11,1405;e706b5f36e
63856571069151;641002;0;100;11,0117;e706b5f36e
63856571069450;641269;0;100;10,8843;e706b5f36e
63856571069751;641602;0;100;10,7584;e706b5f36e
63856571070085;641935;0;100;10,6339;e706b5f36e
63856571070484;642335;0;100;10,5109;e706b5f36e
63856571070785;642602;0;100;10,3893;e706b5f36e
63856571071084;642935;0;100;10,2691;e706b5f36e
63856571071500;643335;0;100;10,1503;e706b5f36e
63856571071784;643602;0;100;10,0329;e706b5f36e
63856571072151;644002;0;100;9,9169;e706b5f36e
63856571072484;644335;0;100;9,8021;e706b5f36e
63856571072751;644602;0;100;9,6887;e706b5f36e
63856571073084;644935;0;100;9,5767;e706b5f36e
