Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63856570970153;541746;0;100;0,2;e706b5f36e
63856570972485;543879;0;100;0,333333;e706b5f36e
63856570972885;544345;0;100;0,266667;e706b5f36e
63856570987585;558944;0;100;0,4;e706b5f36e
63856571004152;575875;0;100;0,066667;e706b5f36e
63856571004485;576075;0;100;0,2;e706b5f36e
63856571007420;578875;0;100;0,266667;e706b5f36e
63856571041685;613338;0;100;0,133333;e706b5f36e
63856571042818;614271;0;100;0,266667;e706b5f36e
63856571043618;615205;0;100;0,2;e706b5f36e
63856571046084;617604;0;100;0,2;e706b5f36e
63856571046884;618338;0;100;0,266667;e706b5f36e
63856571048285;619537;0;100;0,533333;e706b5f36e
63856571050285;622005;0;100;0,066667;e706b5f36e
63856571058751;630203;0;100;0,333333;e706b5f36e
63856571066651;638202;0;100;0,2;e706b5f36e
63856571073984;645469;0;100;0,266667;e706b5f36e
63856571087084;658800;0;100;0,066667;e706b5f36e
63856571088753;660400;0;100;0,133333;e706b5f36e
63856571101250;672799;0;100;0,2;e706b5f36e
63856571123550;694930;1;100;0,4;e706b5f36e
63856571130915;702529;1;100;0,2;e706b5f36e
63856571133365;704730;1;100;0,4;e706b5f36e
63856571134716;705930;1;100;0,533333;e706b5f36e
63856571152965;724260;1;100;0,4;e706b5f36e
63856571154132;725327;1;100;0,533333;e706b5f36e
63856571158416;729794;1;100;0,333333;e706b5f36e
63856571159265;730927;1;100;0,133333;e706b5f36e
63856571166849;738126;1;100;0,533333;e706b5f36e
63856571176615;748125;1;100;0,2;e706b5f36e
63856571192549;764124;1;100;0,133333;e706b5f36e
63856571198215;769656;1;100;0,333333;e706b5f36e
63856571211548;783122;1;100;0,133333;e706b5f36e
63856571211932;783522;-1;100;0,2;e706b5f36e
63856571212565;783855;-1;100;0,466667;e706b5f36e
63856571219631;791121;-1;100;0,266667;e706b5f36e
63856571225815;797186;-1;100;0,4;e706b5f36e
63856571237398;808786;2;100;0,333333;e706b5f36e
63856571254181;825850;2;100;0,133333;e706b5f36e
63856571254781;826450;2;100;0,066667;e706b5f36e
63856571263852;835383;2;100;0,2;e706b5f36e
63856571281805;853381;2;100;0,2;e706b5f36e
63856571283314;854847;2;100;0,2;e706b5f36e
63856571292913;864380;2;100;0,266667;e706b5f36e
63856571298513;870246;2;100;0,066667;e706b5f36e
63856571312385;883978;2;100;0,133333;e706b5f36e
63856571321947;893444;2;100;0,2;e706b5f36e
63856571322255;893911;2;100;0,066667;e706b5f36e
63856571342713;914309;2;100;0,2;e706b5f36e
63856571347813;919241;-2;100;0,266667;e706b5f36e
63856571369479;940705;-2;100;0,533333;e706b5f36e
63856571369979;941639;-2;100;0,133333;e706b5f36e
63856571387245;958704;3;100;0,333333;e706b5f36e
63856571387851;959303;3;100;0,266667;e706b5f36e
63856571408412;979968;3;100;0,2;e706b5f36e
63856571414578;986101;3;100;0,266667;e706b5f36e
63856571416845;988301;3;100;0,266667;e706b5f36e
63856571418378;989767;3;100;0,4;e706b5f36e
63856571418777;990300;3;100;0,2;e706b5f36e
63856571419078;990634;3;100;0,2;e706b5f36e
63856571420978;992100;3;100;0,6;e706b5f36e
63856571431345;1002966;3;100;0,133333;e706b5f36e
63856571432043;1003633;3;100;0,133333;e706b5f36e
63856571443317;1014832;3;100;0,266667;e706b5f36e
63856571452427;1023830;-3;100;0,333333;e706b5f36e
63856571460828;1032230;4;100;0,333333;e706b5f36e
63856571465287;1036629;4;100;0,4;e706b5f36e
63856571472521;1043962;4;100;0,333333;e706b5f36e
63856571482477;1053894;4;100;0,333333;e706b5f36e
63856571490985;1062627;4;100;0,133333;e706b5f36e
63856571491482;1063160;4;100;0,133333;e706b5f36e
63856571500624;1072093;4;100;0,333333;e706b5f36e
63856571518710;1090024;4;100;0,466667;e706b5f36e
63856571519520;1091157;4;100;0,133333;e706b5f36e
63856571521213;1092824;4;100;0,133333;e706b5f36e
63856571523756;1095424;-4;100;0,066667;e706b5f36e
63856571525222;1096956;-4;100;0,066667;e706b5f36e
63856571526055;1097556;-4;100;0,266667;e706b5f36e
63856571540009;1111222;5;100;0,533333;e706b5f36e
63856571548111;1119821;5;100;0,066667;e706b5f36e
63856571549990;1121287;5;100;0,466667;e706b5f36e
63856571550775;1122421;5;100;0,133333;e706b5f36e
63856571553014;1124687;5;100;0,133333;e706b5f36e
63856571559949;1131486;5;100;0,266667;e706b5f36e
63856571560453;1132020;5;100;0,2;e706b5f36e
63856571566675;1138286;5;100;0,133333;e706b5f36e
63856571570479;1142152;5;100;0,133333;e706b5f36e
63856571570890;1142552;5;100;0,066667;e706b5f36e
63856571577056;1148218;5;100;0,6;e706b5f36e
63856571580875;1152218;5;100;0,4;e706b5f36e
63856571588458;1159818;5;100;0,4;e706b5f36e
63856571589585;1161083;5;100;0,266667;e706b5f36e
63856571591923;1163483;-5;100;0,2;e706b5f36e
63856571592747;1164416;-5;100;0,133333;e706b5f36e
63856571593352;1164816;-5;100;0,266667;e706b5f36e
63856571596542;1168216;-5;100;0,066667;e706b5f36e
63856571608874;1180015;6;100;0,666667;e706b5f36e
63856571610655;1182149;6;100;0,266667;e706b5f36e
63856571611653;1183214;6;100;0,266667;e706b5f36e
63856571618891;1190214;6;100;0,466667;e706b5f36e
63856571619472;1190814;6;100;0,4;e706b5f36e
63856571626041;1197414;6;100;0,4;e706b5f36e
63856571633504;1205146;6;100;0,133333;e706b5f36e
63856571634407;1205945;6;100;0,266667;e706b5f36e
63856571637753;1209213;6;100;0,266667;e706b5f36e
63856571637908;1209612;6;100;0,066667;e706b5f36e
63856571644588;1215679;6;100;0,666667;e706b5f36e
63856571661010;1232277;-6;100;0,466667;e706b5f36e
63856571670319;1241675;-6;100;0,466667;e706b5f36e
63856571679884;1251075;7;100;0,533333;e706b5f36e
63856571681721;1252541;7;100;0,933333;e706b5f36e
63856571686924;1258540;7;100;0,2;e706b5f36e
63856571701884;1273539;7;100;0,133333;e706b5f36e
63856571703121;1274472;7;100;0,4;e706b5f36e
63856571703403;1275006;7;100;0,133333;e706b5f36e
63856571704157;1275539;7;100;0,333333;e706b5f36e
