Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857246356537;339745;0;100;69;e7ced685f4
63857246358454;341658;0;100;61;e7ced685f4
63857246363420;346621;0;100;50;e7ced685f4
63857246363804;347044;0;100;72;e7ced685f4
63857246364870;348057;0;100;69;e7ced685f4
63857246365337;348494;0;100;85;e7ced685f4
63857246366737;349907;0;100;75;e7ced685f4
63857246368020;351197;0;100;69;e7ced685f4
63857246369853;353083;0;100;61;e7ced685f4
63857246370670;353877;0;100;64;e7ced685f4
63857246376886;359986;0;100;52;e7ced685f4
63857246377270;360430;0;100;71;e7ced685f4
63857246378287;361533;0;100;67;e7ced685f4
63857246380436;363596;0;100;59;e7ced685f4
63857246380936;364102;0;100;73;e7ced685f4
63857246382220;365402;0;100;67;e7ced685f4
63857246383970;367165;0;100;60;e7ced685f4
63857246387136;370342;0;100;51;e7ced685f4
63857246388069;371212;0;100;55;e7ced685f4
63857246391336;374475;0;100;47;e7ced685f4
63857246395420;378584;0;100;40;e7ced685f4
63857246396669;379788;0;100;42;e7ced685f4
63857246398836;381981;0;100;39;e7ced685f4
63857246400436;383630;0;100;38;e7ced685f4
63857246401170;384367;0;100;48;e7ced685f4
63857246402169;385340;0;100;51;e7ced685f4
63857246402636;385807;0;100;69;e7ced685f4
63857246403336;386584;0;100;71;e7ced685f4
63857246405169;388390;0;100;63;e7ced685f4
63857246405969;389213;0;100;65;e7ced685f4
63857246410869;394056;0;100;53;e7ced685f4
63857246411636;394899;0;100;58;e7ced685f4
63857246412652;395913;0;100;58;e7ced685f4
63857246414669;397912;0;100;52;e7ced685f4
63857246416802;399992;0;100;47;e7ced685f4
63857246417286;400459;0;100;65;e7ced685f4
63857246417969;401185;0;100;69;e7ced685f4
63857246419535;402685;0;100;63;e7ced685f4
63857246422302;405515;0;100;54;e7ced685f4
63857246424869;408051;0;100;47;e7ced685f4
63857246425769;409008;0;100;51;e7ced685f4
63857246427736;410958;0;100;46;e7ced685f4
63857246428519;411744;0;100;53;e7ced685f4
63857246429402;412614;0;100;57;e7ced685f4
63857246432719;415897;0;100;48;e7ced685f4
63857246434519;417717;0;100;45;e7ced685f4
63857246435335;418590;0;100;51;e7ced685f4
63857246436069;419260;0;100;59;e7ced685f4
63857246436569;419797;0;100;71;e7ced685f4
63857246438435;421607;0;100;63;e7ced685f4
63857246440385;423557;0;100;56;e7ced685f4
63857246440669;423843;0;100;91;e7ced685f4
63857246441702;424920;0;100;83;e7ced685f4
63857246442402;425626;0;100;84;e7ced685f4
63857246444285;427473;0;100;73;e7ced685f4
63857246444468;427646;0;100;135;e7ced685f4
63857246446418;429619;0;100;112;e7ced685f4
63857246447535;430709;0;100;99;e7ced685f4
63857246452435;435669;0;100;80;e7ced685f4
63857246455868;439062;0;100;66;e7ced685f4
63857246456502;439675;0;100;73;e7ced685f4
63857246460967;444198;0;100;60;e7ced685f4
63857246463918;447104;0;100;51;e7ced685f4
63857246466485;449677;0;100;45;e7ced685f4
63857246469902;453100;0;100;39;e7ced685f4
63857246471734;454897;0;100;38;e7ced685f4
63857246473268;456466;0;100;38;e7ced685f4
63857246474067;457320;0;100;45;e7ced685f4
63857246475501;458666;0;100;45;e7ced685f4
63857246475901;459116;0;100;65;e7ced685f4
63857246477001;460266;0;100;62;e7ced685f4
63857246478235;461459;0;100;60;e7ced685f4
63857246478635;461883;0;100;78;e7ced685f4
63857246484568;467812;0;100;63;e7ced685f4
63857246485667;468842;0;100;62;e7ced685f4
63857246486301;469532;0;100;68;e7ced685f4
63857246489134;472362;0;100;57;e7ced685f4
63857246489634;472852;0;100;72;e7ced685f4
63857246496767;479968;0;100;58;e7ced685f4
63857246497851;481014;0;100;58;e7ced685f4
63857246499284;482441;0;100;54;e7ced685f4
63857246500184;483367;1;100;57;e7ced685f4
63857246501201;484434;1;100;57;e7ced685f4
63857246504767;488013;1;100;48;e7ced685f4
63857246506284;489543;1;100;46;e7ced685f4
63857246508235;491416;1;100;43;e7ced685f4
63857246508635;491816;1;100;67;e7ced685f4
63857246510867;494046;1;100;58;e7ced685f4
63857246511467;494679;1;100;67;e7ced685f4
63857246511667;494889;1;100;115;e7ced685f4
63857246512000;495216;1;100;131;e7ced685f4
63857246513000;496116;1;100;117;e7ced685f4
63857246513000;496216;1;100;224;e7ced685f4
63857246520800;504062;1;100;176;e7ced685f4
63857246529834;513004;1;100;139;e7ced685f4
63857246530634;513847;1;100;124;e7ced685f4
63857246540600;523813;1;100;98;e7ced685f4
63857246543633;526873;1;100;80;e7ced685f4
63857246544867;528009;1;100;74;e7ced685f4
63857246545267;528513;1;100;85;e7ced685f4
63857246546000;529169;1;100;86;e7ced685f4
63857246546834;530023;1;100;83;e7ced685f4
63857246548667;531799;1;100;72;e7ced685f4
63857246551133;534322;1;100;61;e7ced685f4
63857246552733;535905;1;100;56;e7ced685f4
63857246553333;536509;1;100;66;e7ced685f4
63857246555667;538845;1;100;57;e7ced685f4
63857246556300;539508;1;100;65;e7ced685f4
63857246558633;541861;1;100;56;e7ced685f4
63857246559434;542625;1;100;62;e7ced685f4
63857246561167;544388;1;100;56;e7ced685f4
63857246568066;551294;1;100;45;e7ced685f4
63857246569700;552910;1;100;43;e7ced685f4
63857246572433;555613;1;100;39;e7ced685f4
63857246573366;556583;1;100;44;e7ced685f4
63857246575999;559163;1;100;40;e7ced685f4
63857246577567;560809;1;100;39;e7ced685f4
63857246578199;561409;1;100;53;e7ced685f4
63857246579833;563069;1;100;49;e7ced685f4
63857246580633;563882;1;100;55;e7ced685f4
63857246582550;565792;1;100;50;e7ced685f4
63857246583066;566249;1;100;68;e7ced685f4
63857246583466;566622;1;100;89;e7ced685f4
63857246583866;567072;1;100;100;e7ced685f4
63857246584999;568182;1;100;90;e7ced685f4
63857246585199;568362;1;100;144;e7ced685f4
