Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63857246356536;339745;0;100;2930;e7ced685f4
63857246358454;341658;0;100;1890;e7ced685f4
63857246363420;346621;0;100;4910;e7ced685f4
63857246363804;347044;0;100;410;e7ced685f4
63857246364870;348057;0;100;1010;e7ced685f4
63857246365337;348494;0;100;430;e7ced685f4
63857246366737;349907;0;100;1390;e7ced685f4
63857246368020;351197;0;100;1280;e7ced685f4
63857246369853;353083;0;100;1860;e7ced685f4
63857246370670;353877;0;100;780;e7ced685f4
63857246376886;359986;0;100;6040;e7ced685f4
63857246377270;360430;0;100;440;e7ced685f4
63857246378287;361533;0;100;1090;e7ced685f4
63857246380436;363596;0;100;2030;e7ced685f4
63857246380936;364102;0;100;500;e7ced685f4
63857246382220;365402;0;100;1290;e7ced685f4
63857246383970;367165;0;100;1740;e7ced685f4
63857246387136;370342;0;100;3140;e7ced685f4
63857246388069;371212;0;100;860;e7ced685f4
63857246391336;374475;0;100;3220;e7ced685f4
63857246395420;378584;0;100;4060;e7ced685f4
63857246396669;379788;0;100;1190;e7ced685f4
63857246398836;381981;0;100;2160;e7ced685f4
63857246400436;383630;0;100;1630;e7ced685f4
63857246401170;384367;0;100;730;e7ced685f4
63857246402169;385340;0;100;960;e7ced685f4
63857246402636;385807;0;100;460;e7ced685f4
63857246403336;386584;0;100;770;e7ced685f4
63857246405169;388390;0;100;1780;e7ced685f4
63857246405969;389213;0;100;820;e7ced685f4
63857246410869;394056;0;100;4780;e7ced685f4
63857246411636;394899;0;100;830;e7ced685f4
63857246412652;395913;0;100;1000;e7ced685f4
63857246414669;397912;0;100;1980;e7ced685f4
63857246416802;399992;0;100;2050;e7ced685f4
63857246417286;400459;0;100;460;e7ced685f4
63857246417969;401185;0;100;720;e7ced685f4
63857246419535;402685;0;100;1480;e7ced685f4
63857246422302;405515;0;100;2800;e7ced685f4
63857246424869;408051;0;100;2500;e7ced685f4
63857246425769;409008;0;100;950;e7ced685f4
63857246427736;410958;0;100;1920;e7ced685f4
63857246428519;411744;0;100;780;e7ced685f4
63857246429402;412614;0;100;860;e7ced685f4
63857246432719;415897;0;100;3240;e7ced685f4
63857246434519;417717;0;100;1800;e7ced685f4
63857246435335;418590;0;100;860;e7ced685f4
63857246436069;419260;0;100;660;e7ced685f4
63857246436569;419797;0;100;530;e7ced685f4
63857246438435;421607;0;100;1790;e7ced685f4
63857246440385;423557;0;100;1930;e7ced685f4
63857246440669;423843;0;100;280;e7ced685f4
63857246441702;424920;0;100;1060;e7ced685f4
63857246442402;425626;0;100;700;e7ced685f4
63857246444285;427473;0;100;1820;e7ced685f4
63857246444468;427646;0;100;170;e7ced685f4
63857246446418;429619;0;100;1950;e7ced685f4
63857246447535;430709;0;100;1080;e7ced685f4
63857246452435;435669;0;100;4900;e7ced685f4
63857246455868;439062;0;100;3350;e7ced685f4
63857246456502;439675;0;100;610;e7ced685f4
63857246460967;444198;0;100;4460;e7ced685f4
63857246463918;447104;0;100;2870;e7ced685f4
63857246466485;449677;0;100;2540;e7ced685f4
63857246469902;453100;0;100;3390;e7ced685f4
63857246471734;454897;0;100;1770;e7ced685f4
63857246473268;456466;0;100;1550;e7ced685f4
63857246474067;457320;0;100;840;e7ced685f4
63857246475501;458666;0;100;1330;e7ced685f4
63857246475901;459116;0;100;450;e7ced685f4
63857246477001;460266;0;100;1130;e7ced685f4
63857246478235;461459;0;100;1180;e7ced685f4
63857246478635;461883;0;100;420;e7ced685f4
63857246484568;467812;0;100;5860;e7ced685f4
63857246485667;468842;0;100;1010;e7ced685f4
63857246486301;469532;0;100;690;e7ced685f4
63857246489134;472362;0;100;2790;e7ced685f4
63857246489634;472852;0;100;490;e7ced685f4
63857246496767;479968;0;100;7020;e7ced685f4
63857246497851;481014;0;100;1040;e7ced685f4
63857246499284;482441;0;100;1410;e7ced685f4
