Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857246357370;340157;0;100;0,333333;e7ced685f4
63857246357553;340624;0;100;0,066667;e7ced685f4
63857246371170;353889;0;100;0,466667;e7ced685f4
63857246380870;363754;0;100;0,266667;e7ced685f4
63857246382920;365621;0;100;0,466667;e7ced685f4
63857246383853;366754;0;100;0,266667;e7ced685f4
63857246384053;367154;0;100;0,066667;e7ced685f4
63857246385220;368288;0;100;0,066667;e7ced685f4
63857246390637;373420;0;100;0,333333;e7ced685f4
63857246409103;391885;0;100;0,4;e7ced685f4
63857246417086;399951;0;100;0,266667;e7ced685f4
63857246418902;401484;0;100;0,6;e7ced685f4
63857246428986;411616;0;100;0,466667;e7ced685f4
63857246435669;418749;0;100;0,066667;e7ced685f4
63857246457902;440747;0;100;0,266667;e7ced685f4
63857246458518;441547;0;100;0,066667;e7ced685f4
63857246459018;441881;0;100;0,266667;e7ced685f4
63857246459252;442280;0;100;0,133333;e7ced685f4
63857246459868;442547;0;100;0,466667;e7ced685f4
63857246463135;445880;0;100;0,4;e7ced685f4
63857246465601;448679;0;100;0,066667;e7ced685f4
63857246466301;449280;0;100;0,2;e7ced685f4
63857246481302;464144;0;100;0,333333;e7ced685f4
63857246483251;466211;0;100;0,133333;e7ced685f4
63857246491068;474077;0;100;0,133333;e7ced685f4
63857246491267;474344;0;100;0,066667;e7ced685f4
63857246493134;475944;0;100;0,266667;e7ced685f4
63857246500685;483742;1;100;0,133333;e7ced685f4
63857246515267;498074;1;100;0,333333;e7ced685f4
63857246522584;505274;1;100;0,466667;e7ced685f4
63857246523701;506674;1;100;0,2;e7ced685f4
63857246531967;514873;1;100;0,266667;e7ced685f4
63857246533600;516540;1;100;0,2;e7ced685f4
63857246533983;516873;1;100;0,266667;e7ced685f4
63857246534800;517873;1;100;0,066667;e7ced685f4
63857246556067;539004;1;100;0,266667;e7ced685f4
63857246557199;540003;1;100;0,333333;e7ced685f4
63857246559167;542004;1;100;0,266667;e7ced685f4
63857246560666;543670;1;100;0,133333;e7ced685f4
63857246562700;545470;1;100;0,4;e7ced685f4
63857246574366;557002;1;100;0,466667;e7ced685f4
63857246575900;558802;1;100;0,2;e7ced685f4
63857246594699;577534;1;100;0,333333;e7ced685f4
63857246595899;578533;1;100;0,533333;e7ced685f4
63857246599166;582133;1;100;0,133333;e7ced685f4
63857246600165;583199;1;100;0,133333;e7ced685f4
63857246601199;584199;1;100;0,066667;e7ced685f4
63857246601999;584999;1;100;0,133333;e7ced685f4
63857246606999;589732;1;100;0,4;e7ced685f4
63857246612432;595331;1;100;0,2;e7ced685f4
63857246619966;602664;1;100;0,4;e7ced685f4
63857246621566;604531;1;100;0,2;e7ced685f4
63857246623499;606464;1;100;0,2;e7ced685f4
63857246624032;606797;1;100;0,333333;e7ced685f4
63857246624198;607263;1;100;0,133333;e7ced685f4
63857246626265;608997;1;100;0,4;e7ced685f4
63857246634165;616930;1;100;0,4;e7ced685f4
63857246636298;619129;1;100;0,266667;e7ced685f4
63857246637032;619729;1;100;0,4;e7ced685f4
63857246647731;630461;1;100;0,4;e7ced685f4
63857246648632;631528;1;100;0,266667;e7ced685f4
63857246649465;631928;1;100;0,666667;e7ced685f4
63857246650064;633128;1;100;0,066667;e7ced685f4
63857246650365;633461;1;100;0,066667;e7ced685f4
63857246671231;654259;1;100;0,066667;e7ced685f4
63857246676664;659525;1;100;0,266667;e7ced685f4
63857246688364;671190;-1;100;0,333333;e7ced685f4
63857246718631;701388;2;100;0,333333;e7ced685f4
63857246742196;724986;2;100;0,4;e7ced685f4
63857246748763;731384;2;100;0,533333;e7ced685f4
63857246749930;732318;2;100;0,733333;e7ced685f4
63857246752663;735451;2;100;0,4;e7ced685f4
63857246757996;740717;2;100;0,4;e7ced685f4
63857246760029;742717;2;100;0,466667;e7ced685f4
63857246760863;743850;2;100;0,133333;e7ced685f4
63857246765996;749050;2;100;0,066667;e7ced685f4
63857246772862;755782;2;100;0,266667;e7ced685f4
63857246774795;757182;2;100;0,8;e7ced685f4
63857246776963;759648;2;100;0,466667;e7ced685f4
63857246777513;760381;2;100;0,2;e7ced685f4
63857246781729;764448;2;100;0,4;e7ced685f4
63857246782229;765114;2;100;0,2;e7ced685f4
63857246787963;770980;2;100;0,133333;e7ced685f4
63857246788862;771648;2;100;0,333333;e7ced685f4
63857246789495;772248;2;100;0,4;e7ced685f4
63857246795462;778246;2;100;0,333333;e7ced685f4
63857246796262;779246;2;100;0,133333;e7ced685f4
63857246801479;784512;2;100;0,066667;e7ced685f4
63857246815562;798445;-2;100;0,266667;e7ced685f4
63857246816795;799645;-2;100;0,333333;e7ced685f4
63857246820995;803978;-2;100;0,2;e7ced685f4
63857246822328;805178;3;100;0,333333;e7ced685f4
63857246833945;816710;3;100;0,333333;e7ced685f4
63857246834178;817176;3;100;0,066667;e7ced685f4
63857246839395;822443;3;100;0,066667;e7ced685f4
63857246848527;831242;3;100;0,466667;e7ced685f4
63857246854728;837774;3;100;0,066667;e7ced685f4
63857246870227;852973;3;100;0,333333;e7ced685f4
63857246872561;855372;3;100;0,333333;e7ced685f4
63857246875994;858838;3;100;0,266667;e7ced685f4
63857246878628;861638;3;100;0,133333;e7ced685f4
63857246889410;872504;3;100;0,066667;e7ced685f4
63857246891060;873170;3;100;1;e7ced685f4
63857246909694;892235;-3;100;0,266667;e7ced685f4
63857246910693;893368;-3;100;0,4;e7ced685f4
63857246911993;894769;4;100;0,333333;e7ced685f4
63857246918193;901168;4;100;0,2;e7ced685f4
63857246922660;905434;4;100;0,333333;e7ced685f4
63857246923893;906833;4;100;0,2;e7ced685f4
63857246930476;912366;4;100;1,266667;e7ced685f4
63857246935326;917900;4;100;0,6;e7ced685f4
63857246940126;923166;4;100;0,066667;e7ced685f4
63857246947743;930431;4;100;0,4;e7ced685f4
63857246949059;932032;4;100;0,133333;e7ced685f4
63857246956376;939364;-4;100;0,133333;e7ced685f4
63857246968492;951296;-4;100;0,333333;e7ced685f4
63857246976776;959562;5;100;0,333333;e7ced685f4
63857246990892;973694;5;100;0,333333;e7ced685f4
63857246996775;979560;5;100;0,333333;e7ced685f4
63857247001642;984759;5;100;0,066667;e7ced685f4
63857247008058;990892;5;100;0,266667;e7ced685f4
63857247022141;1004891;-5;100;0,4;e7ced685f4
63857247024007;1006757;-5;100;0,333333;e7ced685f4
63857247027241;1009956;-5;100;0,466667;e7ced685f4
63857247028791;1011690;6;100;0,266667;e7ced685f4
63857247030391;1013423;6;100;0,066667;e7ced685f4
63857247037041;1019689;6;100;0,466667;e7ced685f4
63857247041191;1023956;6;100;0,333333;e7ced685f4
63857247050308;1032488;6;100;1;e7ced685f4
63857247057641;1040487;6;100;0,333333;e7ced685f4
63857247058374;1041354;6;100;0,066667;e7ced685f4
63857247058457;1041553;6;100;0,066667;e7ced685f4
63857247061174;1044154;6;100;0,2;e7ced685f4
63857247062307;1045020;-6;100;0,4;e7ced685f4
63857247065924;1048687;-6;100;0,333333;e7ced685f4
63857247069624;1052552;-6;100;0,266667;e7ced685f4
63857247070957;1053752;-6;100;0,333333;e7ced685f4
63857247074174;1057019;-6;100;0,333333;e7ced685f4
63857247075374;1058285;7;100;0,266667;e7ced685f4
63857247076940;1060018;7;100;0,066667;e7ced685f4
63857247077124;1060218;7;100;0,066667;e7ced685f4
63857247077440;1060418;7;100;0,133333;e7ced685f4
63857247077923;1060818;7;100;0,266667;e7ced685f4
63857247083173;1065751;7;100;0,533333;e7ced685f4
63857247084574;1067618;7;100;0,066667;e7ced685f4
63857247087757;1070284;7;100;0,6;e7ced685f4
63857247094290;1077017;7;100;0,333333;e7ced685f4
63857247099273;1082283;7;100;0,133333;e7ced685f4
63857247100023;1082882;7;100;0,333333;e7ced685f4
63857247102590;1085416;7;100;0,333333;e7ced685f4
63857247108723;1091816;7;100;0,066667;e7ced685f4
63857247111523;1094348;7;100;0,266667;e7ced685f4
63857247125806;1108747;-7;100;0,2;e7ced685f4
63857247127825;1110613;-7;100;0,333333;e7ced685f4
63857247128840;1111614;8;100;0,4;e7ced685f4
63857247134494;1117012;8;100;0,6;e7ced685f4
63857247145056;1128145;8;100;0,066667;e7ced685f4
63857247145930;1128611;8;100;0,4;e7ced685f4
63857247150981;1133744;8;100;0,333333;e7ced685f4
63857247164922;1147677;-8;100;0,333333;e7ced685f4
63857247166788;1149742;-8;100;0,2;e7ced685f4
