Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63857413546770;361953;0;100;0,000991;e99c3f87fd
63857413621802;436812;1;100;0,011854;e99c3f87fd
63857413621995;437212;1;100;0,004779;e99c3f87fd
63857413623902;439078;1;100;0,003355;e99c3f87fd
63857413727900;542868;2;100;0,012005;e99c3f87fd
63857413874696;689453;4;100;0,020736;e99c3f87fd
63857413874898;690053;4;100;0,01009;e99c3f87fd
63857413875129;690321;4;100;0,004566;e99c3f87fd
63857413949229;764313;5;100;0,005122;e99c3f87fd
63857413973129;788311;5;100;0,001016;e99c3f87fd
63857413979379;794043;-5;100;0,033339;e99c3f87fd
63857413979679;794909;-5;100;0,003257;e99c3f87fd
63857413995212;810175;6;100;0,020134;e99c3f87fd
63857414007745;822173;6;100;0,043082;e99c3f87fd
63857414011745;826973;6;100;0,001289;e99c3f87fd
63857414017145;831972;6;100;0,02043;e99c3f87fd
63857414024128;838772;6;100;0,103219;e99c3f87fd
63857414024445;839506;6;100;0,016658;e99c3f87fd
63857414042103;856904;-6;100;0,06144;e99c3f87fd
63857414042611;857637;-6;100;0,018586;e99c3f87fd
63857414043035;857970;-6;100;0,036734;e99c3f87fd
63857414043427;858570;-6;100;0,01864;e99c3f87fd
63857414047211;862236;-6;100;0,014115;e99c3f87fd
63857414055560;870569;7;100;0,019781;e99c3f87fd
63857414056194;871369;7;100;0,00551;e99c3f87fd
63857414058844;873835;7;100;0,010375;e99c3f87fd
63857414061877;876635;7;100;0,054073;e99c3f87fd
63857414066827;881501;7;100;0,09872;e99c3f87fd
63857414067378;882367;7;100;0,035619;e99c3f87fd
63857414068961;883767;7;100;0,035396;e99c3f87fd
63857414076410;891500;7;100;0,008448;e99c3f87fd
63857414077944;892966;7;100;0,01484;e99c3f87fd
63857414079277;893900;7;100;0,125145;e99c3f87fd
63857414084134;899366;-7;100;0,004462;e99c3f87fd
63857414084334;899566;-7;100;0,004481;e99c3f87fd
63857414085094;900166;-7;100;0,011903;e99c3f87fd
63857414085593;900632;-7;100;0,02241;e99c3f87fd
63857414086960;902032;8;100;0,021618;e99c3f87fd
63857414097065;911432;8;100;0,117975;e99c3f87fd
63857414100798;915498;8;100;0,090641;e99c3f87fd
63857414105095;920230;8;100;0,003813;e99c3f87fd
63857414107726;922563;8;100;0,093558;e99c3f87fd
63857414108457;923563;8;100;0,018632;e99c3f87fd
63857414113526;928429;8;100;0,034297;e99c3f87fd
63857414114540;929763;8;100;0,003171;e99c3f87fd
63857414124459;939029;8;100;0,058999;e99c3f87fd
63857414132676;947294;-8;100;0,138963;e99c3f87fd
63857414133059;948227;-8;100;0,011488;e99c3f87fd
63857414136844;951560;-8;100;0,108404;e99c3f87fd
