Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857413546770;361953;0;100;0,066667;e99c3f87fd
63857413621802;436812;1;100;0,266667;e99c3f87fd
63857413621995;437212;1;100;0,066667;e99c3f87fd
63857413623902;439078;1;100;0,133333;e99c3f87fd
63857413727900;542868;2;100;0,333333;e99c3f87fd
63857413874696;689453;4;100;0,466667;e99c3f87fd
63857413874898;690053;4;100;0,133333;e99c3f87fd
63857413875129;690321;4;100;0,066667;e99c3f87fd
63857413949229;764313;5;100;0,2;e99c3f87fd
63857413973129;788311;5;100;0,066667;e99c3f87fd
63857413979379;794043;-5;100;0,6;e99c3f87fd
63857413979679;794909;-5;100;0,066667;e99c3f87fd
63857413995212;810175;6;100;0,333333;e99c3f87fd
63857414007745;822173;6;100;0,8;e99c3f87fd
63857414011745;826973;6;100;0,066667;e99c3f87fd
63857414017145;831972;6;100;0,466667;e99c3f87fd
63857414024128;838772;6;100;0,6;e99c3f87fd
63857414024445;839506;6;100;0,133333;e99c3f87fd
63857414042103;856904;-6;100;0,466667;e99c3f87fd
63857414042611;857637;-6;100;0,2;e99c3f87fd
63857414043035;857970;-6;100;0,333333;e99c3f87fd
63857414043428;858570;-6;100;0,133333;e99c3f87fd
63857414047211;862236;-6;100;0,266667;e99c3f87fd
63857414055561;870569;7;100;0,266667;e99c3f87fd
63857414056194;871369;7;100;0,066667;e99c3f87fd
63857414058844;873835;7;100;0,2;e99c3f87fd
63857414061877;876635;7;100;0,533333;e99c3f87fd
63857414066827;881501;7;100;0,6;e99c3f87fd
63857414067378;882367;7;100;0,2;e99c3f87fd
63857414068961;883767;7;100;0,466667;e99c3f87fd
63857414076410;891500;7;100;0,2;e99c3f87fd
63857414077944;892966;7;100;0,266667;e99c3f87fd
63857414079277;893900;7;100;0,6;e99c3f87fd
63857414084134;899366;-7;100;0,066667;e99c3f87fd
63857414084334;899566;-7;100;0,066667;e99c3f87fd
63857414085094;900166;-7;100;0,2;e99c3f87fd
63857414085593;900632;-7;100;0,266667;e99c3f87fd
63857414086960;902032;8;100;0,2;e99c3f87fd
63857414097065;911432;8;100;0,733333;e99c3f87fd
63857414100798;915498;8;100;0,533333;e99c3f87fd
63857414105095;920230;8;100;0,133333;e99c3f87fd
63857414107727;922563;8;100;0,466667;e99c3f87fd
63857414108457;923563;8;100;0,133333;e99c3f87fd
63857414113526;928429;8;100;0,4;e99c3f87fd
63857414114540;929763;8;100;0,066667;e99c3f87fd
63857414124459;939029;8;100;0,666667;e99c3f87fd
63857414132676;947294;-8;100;0,666667;e99c3f87fd
63857414133059;948227;-8;100;0,133333;e99c3f87fd
63857414136844;951560;-8;100;0,533333;e99c3f87fd
