Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857426981695;426896;0;100;77;ed0fe57727
63857426982395;427666;0;100;77;ed0fe57727
63857426982995;428275;0;100;82;ed0fe57727
63857426983395;428649;0;100;100;ed0fe57727
63857426985228;430455;0;100;85;ed0fe57727
63857426986461;431752;0;100;77;ed0fe57727
63857426987495;432738;0;100;73;ed0fe57727
63857426988295;433512;0;100;74;ed0fe57727
63857426991444;436708;0;100;62;ed0fe57727
63857426991761;437045;0;100;88;ed0fe57727
63857426992461;437695;0;100;89;ed0fe57727
63857426993195;438421;0;100;88;ed0fe57727
63857426993495;438788;0;100;104;ed0fe57727
63857426993995;439224;0;100;112;ed0fe57727
63857426994395;439668;0;100;118;ed0fe57727
63857426995112;440414;0;100;110;ed0fe57727
63857426996327;441567;0;100;97;ed0fe57727
63857426997361;442614;0;100;88;ed0fe57727
63857426997761;443044;0;100;100;ed0fe57727
63857426999794;445070;0;100;85;ed0fe57727
63857427000994;446247;0;100;77;ed0fe57727
63857427001328;446544;0;100;105;ed0fe57727
63857427002244;447480;0;100;96;ed0fe57727
63857427002761;448040;0;100;98;ed0fe57727
63857427003461;448750;0;100;96;ed0fe57727
63857427004261;449553;0;100;91;ed0fe57727
63857427006061;451360;0;100;78;ed0fe57727
63857427007094;452313;0;100;75;ed0fe57727
63857427007694;452896;0;100;82;ed0fe57727
63857427008294;453600;0;100;83;ed0fe57727
63857427009227;454456;0;100;80;ed0fe57727
63857427011061;456276;0;100;70;ed0fe57727
63857427011361;456583;0;100;99;ed0fe57727
63857427012461;457693;0;100;89;ed0fe57727
63857427013078;458366;0;100;89;ed0fe57727
63857427014211;459506;0;100;81;ed0fe57727
63857427015627;460859;0;100;73;ed0fe57727
63857427017644;462876;0;100;64;ed0fe57727
63857427018461;463762;0;100;65;ed0fe57727
63857427019711;465002;0;100;61;ed0fe57727
63857427021328;466568;0;100;56;ed0fe57727
63857427021977;467158;0;100;67;ed0fe57727
63857427023144;468425;0;100;63;ed0fe57727
63857427023394;468621;0;100;119;ed0fe57727
63857427026027;471241;0;100;98;ed0fe57727
63857427026827;472104;0;100;92;ed0fe57727
63857427027277;472474;0;100;107;ed0fe57727
63857427028678;473871;0;100;93;ed0fe57727
63857427030394;475634;0;100;80;ed0fe57727
63857427031327;476571;0;100;77;ed0fe57727
63857427032227;477490;0;100;74;ed0fe57727
63857427032727;478037;0;100;83;ed0fe57727
63857427034860;480120;0;100;71;ed0fe57727
63857427035894;481133;0;100;68;ed0fe57727
63857427036877;482147;0;100;66;ed0fe57727
63857427037660;482940;0;100;69;ed0fe57727
63857427038061;483293;0;100;93;ed0fe57727
63857427038277;483583;0;100;118;ed0fe57727
63857427038694;483923;0;100;131;ed0fe57727
63857427039294;484526;0;100;124;ed0fe57727
63857427039727;484960;0;100;128;ed0fe57727
63857427040144;485380;0;100;131;ed0fe57727
63857427040627;485906;0;100;128;ed0fe57727
63857427040927;486223;0;100;142;ed0fe57727
63857427041744;487016;0;100;128;ed0fe57727
63857427042360;487566;0;100;124;ed0fe57727
63857427043578;488773;0;100;107;ed0fe57727
63857427044160;489443;0;100;104;ed0fe57727
63857427045793;491102;0;100;89;ed0fe57727
63857427047010;492286;0;100;80;ed0fe57727
63857427047627;492899;0;100;85;ed0fe57727
63857427048660;493882;0;100;80;ed0fe57727
63857427049360;494596;0;100;81;ed0fe57727
63857427050093;495282;0;100;82;ed0fe57727
63857427050593;495869;0;100;87;ed0fe57727
63857427051493;496745;0;100;83;ed0fe57727
63857427052627;497875;1;100;77;ed0fe57727
63857427053726;498995;1;100;72;ed0fe57727
63857427058810;504055;1;100;58;ed0fe57727
63857427059327;504581;1;100;71;ed0fe57727
63857427060360;505594;1;100;69;ed0fe57727
63857427061344;506601;1;100;67;ed0fe57727
63857427064126;509314;1;100;57;ed0fe57727
63857427064793;510054;1;100;62;ed0fe57727
63857427065644;510917;1;100;64;ed0fe57727
63857427066227;511531;1;100;72;ed0fe57727
63857427069893;515120;1;100;60;ed0fe57727
63857427072526;517730;1;100;52;ed0fe57727
63857427072926;518223;1;100;67;ed0fe57727
63857427073926;519236;1;100;66;ed0fe57727
63857427074677;519863;1;100;73;ed0fe57727
63857427074960;520160;1;100;101;ed0fe57727
63857427076277;521529;1;100;89;ed0fe57727
63857427077893;523116;1;100;77;ed0fe57727
63857427078343;523576;1;100;90;ed0fe57727
63857427079243;524456;1;100;85;ed0fe57727
63857427080643;525942;1;100;75;ed0fe57727
63857427081060;526322;1;100;95;ed0fe57727
63857427081760;526972;1;100;94;ed0fe57727
63857427082593;527832;1;100;89;ed0fe57727
63857427083643;528829;1;100;83;ed0fe57727
63857427084227;529492;1;100;85;ed0fe57727
63857427086559;531768;1;100;72;ed0fe57727
63857427087260;532525;1;100;74;ed0fe57727
63857427087759;533012;1;100;85;ed0fe57727
63857427087993;533285;1;100;115;ed0fe57727
63857427089410;534658;1;100;100;ed0fe57727
63857427090626;535895;1;100;88;ed0fe57727
63857427092459;537731;1;100;76;ed0fe57727
63857427092843;538131;1;100;93;ed0fe57727
63857427093659;538934;1;100;89;ed0fe57727
63857427094193;539454;1;100;95;ed0fe57727
63857427095293;540531;1;100;87;ed0fe57727
63857427096426;541711;1;100;79;ed0fe57727
63857427097043;542234;1;100;87;ed0fe57727
63857427097510;542801;1;100;91;ed0fe57727
63857427098443;543741;1;100;85;ed0fe57727
63857427098760;544017;1;100;116;ed0fe57727
63857427099143;544377;1;100;127;ed0fe57727
63857427100360;545630;1;100;110;ed0fe57727
63857427102293;547523;1;100;92;ed0fe57727
