Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857426981597;426828;0;100;-19330,2;ed0fe57727
63857426981695;426961;0;100;-19332,8;ed0fe57727
63857426981695;426961;0;100;-19334,4;ed0fe57727
63857426981761;427028;0;100;-19334,6;ed0fe57727
63857426981895;427161;0;100;-19334,2;ed0fe57727
63857426981895;427161;0;100;-19334,4;ed0fe57727
63857426981978;427228;0;100;-19334,2;ed0fe57727
63857426982095;427361;0;100;-19334,2;ed0fe57727
63857426982095;427361;0;100;-19333,2;ed0fe57727
63857426982212;427428;0;100;-19333,6;ed0fe57727
63857426982295;427561;0;100;-19341;ed0fe57727
63857426982295;427561;0;100;-19337,8;ed0fe57727
63857426982395;427694;0;100;-19336,2;ed0fe57727
63857426982395;427694;0;100;-19336;ed0fe57727
63857426982494;427761;0;100;-19334,6;ed0fe57727
63857426982595;427894;0;100;-19334;ed0fe57727
63857426982595;427894;0;100;-19334,8;ed0fe57727
63857426982678;427961;0;100;-19333;ed0fe57727
63857426982795;428094;0;100;-19333;ed0fe57727
63857426982795;428094;0;100;-19336,2;ed0fe57727
63857426982911;428161;0;100;-19338,4;ed0fe57727
63857426982995;428294;0;100;-19337,8;ed0fe57727
63857426982995;428294;0;100;-19335,6;ed0fe57727
63857426983145;428361;0;100;-19336,4;ed0fe57727
63857426983195;428494;0;100;-19337,6;ed0fe57727
63857426983195;428494;0;100;-19338;ed0fe57727
63857426983295;428561;0;100;-19339,4;ed0fe57727
63857426983395;428694;0;100;-19342;ed0fe57727
63857426983395;428694;0;100;-19343,2;ed0fe57727
63857426983495;428761;0;100;-19345,2;ed0fe57727
63857426983628;428894;0;100;-19347,2;ed0fe57727
63857426983628;428894;0;100;-19350,2;ed0fe57727
63857426983728;428961;0;100;-19353,6;ed0fe57727
63857426983828;429094;0;100;-19356,2;ed0fe57727
63857426983828;429094;0;100;-19358,4;ed0fe57727
63857426983895;429161;0;100;-19360,8;ed0fe57727
63857426984045;429294;0;100;-19363,4;ed0fe57727
63857426984045;429294;0;100;-19366,2;ed0fe57727
63857426984128;429361;0;100;-19367,8;ed0fe57727
63857426984228;429494;0;100;-19370;ed0fe57727
63857426984228;429494;0;100;-19372;ed0fe57727
63857426984328;429627;0;100;-19373,8;ed0fe57727
63857426984328;429627;0;100;-19376,6;ed0fe57727
63857426984428;429694;0;100;-19378,2;ed0fe57727
63857426984528;429827;0;100;-19379;ed0fe57727
63857426984528;429827;0;100;-19380,8;ed0fe57727
63857426984628;429894;0;100;-19381,2;ed0fe57727
63857426984728;430027;0;100;-19382,8;ed0fe57727
63857426984728;430027;0;100;-19383,4;ed0fe57727
63857426984828;430094;0;100;-19384,2;ed0fe57727
63857426984928;430227;0;100;-19385,2;ed0fe57727
63857426984928;430227;0;100;-19385,2;ed0fe57727
63857426985028;430294;0;100;-19385,8;ed0fe57727
63857426985128;430427;0;100;-19387;ed0fe57727
63857426985128;430427;0;100;-19385,8;ed0fe57727
63857426985228;430494;0;100;-19385,4;ed0fe57727
63857426985328;430627;0;100;-19384,8;ed0fe57727
63857426985328;430627;0;100;-19384,8;ed0fe57727
63857426985445;430694;0;100;-19384,6;ed0fe57727
63857426985528;430827;0;100;-19384;ed0fe57727
63857426985528;430827;0;100;-19383,8;ed0fe57727
63857426985628;430894;0;100;-19382,6;ed0fe57727
63857426985761;431027;0;100;-19382;ed0fe57727
63857426985761;431027;0;100;-19381,8;ed0fe57727
63857426985861;431094;0;100;-19380,8;ed0fe57727
63857426985961;431227;0;100;-19380;ed0fe57727
63857426985961;431227;0;100;-19379,4;ed0fe57727
63857426986061;431294;0;100;-19378,8;ed0fe57727
63857426986145;431427;0;100;-19378,4;ed0fe57727
63857426986145;431427;0;100;-19377,6;ed0fe57727
63857426986261;431494;0;100;-19376,2;ed0fe57727
63857426986378;431627;0;100;-19376,4;ed0fe57727
63857426986378;431627;0;100;-19375,6;ed0fe57727
63857426986461;431760;0;100;-19375,6;ed0fe57727
63857426986461;431760;0;100;-19374,8;ed0fe57727
63857426986562;431827;0;100;-19374,6;ed0fe57727
63857426986662;431960;0;100;-19374,2;ed0fe57727
63857426986662;431960;0;100;-19374,6;ed0fe57727
63857426986761;432027;0;100;-19374;ed0fe57727
63857426986895;432160;0;100;-19373,8;ed0fe57727
63857426986895;432160;0;100;-19373;ed0fe57727
63857426986961;432227;0;100;-19372,4;ed0fe57727
63857426987078;432360;0;100;-19372,4;ed0fe57727
63857426987078;432360;0;100;-19371,4;ed0fe57727
63857426987161;432427;0;100;-19371;ed0fe57727
63857426987261;432560;0;100;-19371;ed0fe57727
63857426987261;432560;0;100;-19370,8;ed0fe57727
63857426987361;432627;0;100;-19369,6;ed0fe57727
63857426987495;432760;0;100;-19369,4;ed0fe57727
63857426987495;432760;0;100;-19369,8;ed0fe57727
63857426987595;432827;0;100;-19368,8;ed0fe57727
63857426987695;432960;0;100;-19369;ed0fe57727
63857426987695;432960;0;100;-19368;ed0fe57727
63857426987794;433094;0;100;-19367,6;ed0fe57727
63857426987794;433094;0;100;-19367,2;ed0fe57727
63857426987894;433160;0;100;-19366,6;ed0fe57727
63857426987995;433294;0;100;-19366;ed0fe57727
63857426987995;433294;0;100;-19365,2;ed0fe57727
63857426988095;433360;0;100;-19365,2;ed0fe57727
63857426988195;433494;0;100;-19365,4;ed0fe57727
63857426988195;433494;0;100;-19364,6;ed0fe57727
63857426988295;433560;0;100;-19364,8;ed0fe57727
63857426988395;433694;0;100;-19364,6;ed0fe57727
63857426988395;433694;0;100;-19364;ed0fe57727
63857426988478;433760;0;100;-19363,4;ed0fe57727
63857426988595;433894;0;100;-19363,8;ed0fe57727
63857426988595;433894;0;100;-19363,8;ed0fe57727
63857426988711;433960;0;100;-19363,6;ed0fe57727
63857426988795;434093;0;100;-19362,4;ed0fe57727
63857426988795;434093;0;100;-19362,2;ed0fe57727
