Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857426984628;428894;0;100;0,933333;ed0fe57727
63857426996245;440827;0;100;0,6;ed0fe57727
63857427003761;448425;0;100;0,533333;ed0fe57727
63857427004078;449225;0;100;0,066667;ed0fe57727
63857427018294;462624;0;100;0,866667;ed0fe57727
63857427032127;476823;0;100;0,533333;ed0fe57727
63857427037660;482355;0;100;0,533333;ed0fe57727
63857427043760;488755;0;100;0,2;ed0fe57727
63857427065927;510753;1;100;0,333333;ed0fe57727
63857427066127;511219;1;100;0,066667;ed0fe57727
63857427066660;511686;1;100;0,133333;ed0fe57727
63857427068560;513620;1;100;0,133333;ed0fe57727
63857427068876;513886;1;100;0,2;ed0fe57727
63857427069694;514752;1;100;0,066667;ed0fe57727
63857427070393;515485;1;100;0,066667;ed0fe57727
63857427084293;529084;1;100;0,4;ed0fe57727
63857427095693;540749;1;100;0,133333;ed0fe57727
63857427108865;553282;1;100;0,8;ed0fe57727
63857427109158;554215;1;100;0,133333;ed0fe57727
63857427115877;560814;1;100;0,266667;ed0fe57727
63857427154983;599944;2;100;0,266667;ed0fe57727
63857427155892;600877;2;100;0,266667;ed0fe57727
63857427156321;601277;2;100;0,2;ed0fe57727
63857427175725;620675;2;100;0,2;ed0fe57727
63857427189192;634207;2;100;0,2;ed0fe57727
63857427259373;704400;3;100;0,133333;ed0fe57727
63857427333172;778259;4;100;0,133333;ed0fe57727
63857427374438;819588;5;100;0,066667;ed0fe57727
63857427381745;826854;5;100;0,133333;ed0fe57727
63857427382154;827254;5;100;0,066667;ed0fe57727
63857427389983;834787;5;100;0,4;ed0fe57727
63857427390138;835320;5;100;0,066667;ed0fe57727
