Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856113550103;63856113550461;0;1;0295f36b7d
2;63856113566214;63856113566287;0;2;0295f36b7d
3;63856113575331;63856113575374;0;3;0295f36b7d
4;63856113603487;63856113603555;0;4;0295f36b7d
5;63856113610324;63856113610352;0;4;0295f36b7d
6;63856113638558;63856113638594;0;3;0295f36b7d
7;63856113639705;63856113639739;0;4;0295f36b7d
8;63856113654818;63856113654923;0;5;0295f36b7d
9;63856113655892;63856113655952;0;6;0295f36b7d
10;63856113656552;63856113656636;0;7;0295f36b7d
11;63856113657763;63856113657822;0;8;0295f36b7d
12;63856113658628;63856113658688;0;9;0295f36b7d
13;63856113660019;63856113660090;0;10;0295f36b7d
14;63856113660835;63856113660920;0;11;0295f36b7d
15;63856113663018;63856113663054;0;12;0295f36b7d
16;63856113674821;63856113675056;1;11;0295f36b7d
17;63856113682576;63856113682588;1;12;0295f36b7d
18;63856113692950;63856113693003;1;13;0295f36b7d
19;63856113701372;63856113701413;1;12;0295f36b7d
20;63856113704370;63856113704408;1;13;0295f36b7d
21;63856113707937;63856113707993;1;14;0295f36b7d
22;63856113710693;63856113710706;1;15;0295f36b7d
23;63856113718925;63856113718992;1;11;0295f36b7d
24;63856113721086;63856113721125;1;10;0295f36b7d
25;63856113726399;63856113726470;1;10;0295f36b7d
26;63856113748174;63856113748187;1;9;0295f36b7d
27;63856113750011;63856113750065;1;10;0295f36b7d
28;63856113795721;63856113795747;1;3;0295f36b7d
29;63856113806912;63856113806968;1;4;0295f36b7d
30;63856113815098;63856113815122;-1;3;0295f36b7d
31;63856113840768;63856113840831;2;4;0295f36b7d
32;63856113877359;63856113877411;2;2;0295f36b7d
33;63856113878584;63856113878625;2;3;0295f36b7d
34;63856113890994;63856113891045;2;4;0295f36b7d
35;63856113953154;63856113953205;3;1;0295f36b7d
36;63856113972494;63856113972565;3;2;0295f36b7d
37;63856113984445;63856113984500;3;3;0295f36b7d
38;63856113985435;63856113985518;3;4;0295f36b7d
39;63856113987574;63856113987642;3;5;0295f36b7d
40;63856113989559;63856113989642;3;6;0295f36b7d
41;63856113991083;63856113991165;3;7;0295f36b7d
42;63856113992796;63856113992916;3;8;0295f36b7d
43;63856113993104;63856113993212;3;9;0295f36b7d
44;63856113994002;63856113994068;3;10;0295f36b7d
45;63856113994695;63856113994776;3;11;0295f36b7d
46;63856113996049;63856113996130;3;12;0295f36b7d
47;63856113996919;63856113996988;3;13;0295f36b7d
48;63856113998192;63856113998248;3;14;0295f36b7d
49;63856113998870;63856113998940;3;15;0295f36b7d
50;63856114000907;63856114000961;3;16;0295f36b7d
51;63856114001702;63856114001767;3;17;0295f36b7d
52;63856114019769;63856114019809;3;17;0295f36b7d
53;63856114061187;63856114061490;4;3;0295f36b7d
54;63856114091542;63856114091600;4;2;0295f36b7d
55;63856114093051;63856114093080;4;3;0295f36b7d
56;63856114096770;63856114096841;4;4;0295f36b7d
57;63856114097752;63856114097794;4;5;0295f36b7d
58;63856114098975;63856114098988;4;6;0295f36b7d
59;63856114101846;63856114101887;4;7;0295f36b7d
60;63856114113631;63856114113661;4;8;0295f36b7d
61;63856114132021;63856114132088;4;8;0295f36b7d
62;63856114141347;63856114141387;-4;9;0295f36b7d
63;63856114202299;63856114202388;5;1;0295f36b7d
64;63856114216469;63856114216523;5;2;0295f36b7d
65;63856114229269;63856114229372;-5;3;0295f36b7d
66;63856114232777;63856114232835;-5;4;0295f36b7d
67;63856114239644;63856114239680;-5;5;0295f36b7d
68;63856114254260;63856114254347;6;6;0295f36b7d
69;63856114269844;63856114269885;6;6;0295f36b7d
70;63856114286725;63856114286751;6;6;0295f36b7d
71;63856114293957;63856114294159;6;5;0295f36b7d
72;63856114311450;63856114311515;6;5;0295f36b7d
73;63856114335281;63856114335342;-6;4;0295f36b7d
74;63856114337437;63856114337460;-6;5;0295f36b7d
75;63856114347960;63856114348174;7;5;0295f36b7d
76;63856114362448;63856114362463;7;5;0295f36b7d
77;63856114370523;63856114370705;7;6;0295f36b7d
78;63856114386758;63856114387107;7;6;0295f36b7d
79;63856114395171;63856114395413;7;7;0295f36b7d
80;63856114419766;63856114419818;-7;5;0295f36b7d
81;63856114436366;63856114436559;8;4;0295f36b7d
82;63856114461456;63856114461627;8;3;0295f36b7d
83;63856114479007;63856114479110;8;4;0295f36b7d
84;63856114505461;63856114505488;8;3;0295f36b7d
