Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856113538279;63856113538465;0;17,54899;0295f36b7d
2;63856113538478;63856113538491;0;115,4146;0295f36b7d
3;63856113538517;63856113538599;0;92,13545;0295f36b7d
4;63856113538667;63856113538693;0;138,1177;0295f36b7d
5;63856113538778;63856113538956;0;45,07056;0295f36b7d
6;63856113538998;63856113539052;0;149,6656;0295f36b7d
7;63856113539053;63856113539132;0;173,8372;0295f36b7d
8;63856113539158;63856113539184;0;82,30924;0295f36b7d
9;63856113539199;63856113539251;0;134,2695;0295f36b7d
10;63856113539290;63856113539329;0;123,6345;0295f36b7d
11;63856113539382;63856113539422;0;116,2024;0295f36b7d
12;63856113539434;63856113539459;0;131,168;0295f36b7d
13;63856113539538;63856113539577;0;92,00899;0295f36b7d
14;63856113539732;63856113539782;0;82,9585;0295f36b7d
15;63856113539861;63856113539873;0;85,98866;0295f36b7d
16;63856113540313;63856113540350;0;134,1066;0295f36b7d
17;63856113540539;63856113540577;0;162,557;0295f36b7d
18;63856113540931;63856113540993;0;331,0623;0295f36b7d
19;63856113541159;63856113541185;0;114,3675;0295f36b7d
20;63856113541392;63856113541432;0;137,0728;0295f36b7d
21;63856113541988;63856113542025;0;161,3869;0295f36b7d
22;63856113544040;63856113544103;0;342,9836;0295f36b7d
23;63856113544217;63856113544293;0;224,9592;0295f36b7d
24;63856113544344;63856113544394;0;87,98297;0295f36b7d
25;63856113544431;63856113544492;0;121,2234;0295f36b7d
26;63856113545289;63856113545324;0;80,30533;0295f36b7d
27;63856113545429;63856113545465;0;157,8549;0295f36b7d
28;63856113545678;63856113545701;0;115,1365;0295f36b7d
29;63856113545903;63856113545927;0;99,71991;0295f36b7d
30;63856113546269;63856113546306;0;144,4681;0295f36b7d
31;63856113546709;63856113546731;0;105,9693;0295f36b7d
32;63856113546872;63856113546908;0;169,3499;0295f36b7d
33;63856113547418;63856113547455;0;82,07854;0295f36b7d
34;63856113548989;63856113549024;0;136,9871;0295f36b7d
35;63856113549660;63856113549710;0;180,198;0295f36b7d
36;63856113550016;63856113550028;0;307,5643;0295f36b7d
37;63856113550527;63856113550552;0;135,4616;0295f36b7d
38;63856113550618;63856113550685;0;92,18957;0295f36b7d
39;63856113551348;63856113551388;0;145,3125;0295f36b7d
40;63856113552790;63856113552871;0;295,4122;0295f36b7d
41;63856113553033;63856113553060;0;149,401;0295f36b7d
42;63856113553493;63856113553518;0;135,7088;0295f36b7d
43;63856113553937;63856113553978;0;126,0546;0295f36b7d
44;63856113554315;63856113554411;0;252,1265;0295f36b7d
45;63856113554519;63856113554575;0;109,7384;0295f36b7d
46;63856113554696;63856113554737;0;72,4226;0295f36b7d
47;63856113555190;63856113555215;0;147,3482;0295f36b7d
48;63856113555712;63856113555767;0;232,4701;0295f36b7d
49;63856113556109;63856113556150;0;236,2372;0295f36b7d
50;63856113556592;63856113556618;0;158,2396;0295f36b7d
51;63856113556841;63856113556869;0;113,2213;0295f36b7d
52;63856113556993;63856113557035;0;138,9381;0295f36b7d
53;63856113559025;63856113559065;0;168,6824;0295f36b7d
54;63856113559732;63856113559760;0;233,8079;0295f36b7d
55;63856113560714;63856113560769;0;171,5175;0295f36b7d
56;63856113561260;63856113561302;0;233,0217;0295f36b7d
57;63856113561737;63856113561796;0;312,7434;0295f36b7d
58;63856113561914;63856113561943;0;200,9293;0295f36b7d
59;63856113562361;63856113562405;0;331,6093;0295f36b7d
60;63856113562420;63856113562436;0;80,55954;0295f36b7d
61;63856113564551;63856113564581;0;84,79094;0295f36b7d
62;63856113565963;63856113566007;0;198,9317;0295f36b7d
63;63856113566317;63856113566332;0;532,8373;0295f36b7d
64;63856113566362;63856113566392;0;90,48277;0295f36b7d
65;63856113566421;63856113566481;0;145,9011;0295f36b7d
66;63856113566495;63856113566510;0;152,9709;0295f36b7d
67;63856113566510;63856113566569;0;198,8099;0295f36b7d
68;63856113566627;63856113566829;0;31,04372;0295f36b7d
69;63856113566886;63856113567030;0;40,93307;0295f36b7d
70;63856113567102;63856113567157;0;129,2296;0295f36b7d
71;63856113567157;63856113567227;0;165,0824;0295f36b7d
72;63856113567296;63856113567352;0;141,8309;0295f36b7d
73;63856113567365;63856113567419;0;190,6537;0295f36b7d
74;63856113567488;63856113567610;0;89,64549;0295f36b7d
75;63856113569463;63856113569488;0;80,7476;0295f36b7d
76;63856113569698;63856113569738;0;138,7319;0295f36b7d
