Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857004236016;63857004236043;0;78,48102;0a8d84e96a
2;63857004236683;63857004236724;0;139,5417;0a8d84e96a
3;63857004237650;63857004237722;0;267,343;0a8d84e96a
4;63857004238017;63857004238069;0;161,3766;0a8d84e96a
5;63857004238279;63857004238359;0;322,5793;0a8d84e96a
6;63857004238577;63857004238639;0;121,5673;0a8d84e96a
7;63857004238690;63857004238766;0;66,36171;0a8d84e96a
8;63857004238879;63857004238955;0;298,6552;0a8d84e96a
9;63857004239117;63857004239154;0;125,1332;0a8d84e96a
10;63857004239424;63857004239485;0;339,5517;0a8d84e96a
11;63857004239803;63857004239838;0;136,5866;0a8d84e96a
12;63857004240226;63857004240274;0;310,296;0a8d84e96a
13;63857004240433;63857004240543;0;298,0884;0a8d84e96a
14;63857004240555;63857004240592;0;100,9038;0a8d84e96a
15;63857004240604;63857004240759;0;105,2879;0a8d84e96a
16;63857004240771;63857004240843;0;139,0491;0a8d84e96a
17;63857004241488;63857004241522;0;91,25082;0a8d84e96a
18;63857004242056;63857004242090;0;125,4117;0a8d84e96a
19;63857004242385;63857004242442;0;237,2692;0a8d84e96a
20;63857004242646;63857004242725;0;272,7375;0a8d84e96a
21;63857004243179;63857004243213;0;132,225;0a8d84e96a
22;63857004243634;63857004243657;0;108,5374;0a8d84e96a
23;63857004244066;63857004244089;0;110,5746;0a8d84e96a
24;63857004244577;63857004244610;0;99,87223;0a8d84e96a
25;63857004244894;63857004244940;0;169,0382;0a8d84e96a
26;63857004245418;63857004245476;0;249,1109;0a8d84e96a
27;63857004245822;63857004245944;0;295,1449;0a8d84e96a
28;63857004246029;63857004246103;0;82,69679;0a8d84e96a
29;63857004246837;63857004246862;0;134,8759;0a8d84e96a
30;63857004246992;63857004247045;0;253,2966;0a8d84e96a
31;63857004247459;63857004247525;0;339,0051;0a8d84e96a
32;63857004247655;63857004247786;0;74,39586;0a8d84e96a
33;63857004248127;63857004248168;0;146,1332;0a8d84e96a
34;63857004248511;63857004248577;0;188,0406;0a8d84e96a
35;63857004248971;63857004249049;0;258,9952;0a8d84e96a
36;63857004249302;63857004249341;0;197,2542;0a8d84e96a
37;63857004249555;63857004249593;0;163,5335;0a8d84e96a
38;63857004249714;63857004249768;0;181,3773;0a8d84e96a
39;63857004250499;63857004250615;0;224,2882;0a8d84e96a
40;63857004250745;63857004250803;0;383,5563;0a8d84e96a
41;63857004250906;63857004250979;0;369,7353;0a8d84e96a
42;63857004250992;63857004251007;0;267,0044;0a8d84e96a
43;63857004251121;63857004251149;0;325,8657;0a8d84e96a
44;63857004251402;63857004251472;0;174,3687;0a8d84e96a
45;63857004251710;63857004251751;0;121,2504;0a8d84e96a
46;63857004251920;63857004251961;0;111,1282;0a8d84e96a
47;63857004251989;63857004252059;0;74,77539;0a8d84e96a
