Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857162069130;63857162069171;0;8,68512;0c8862eb19
2;63857162069452;63857162069479;0;2,615764;0c8862eb19
3;63857162069545;63857162069611;0;9,624389;0c8862eb19
4;63857162070303;63857162070368;0;16,50363;0c8862eb19
5;63857162070531;63857162070593;0;22,68183;0c8862eb19
6;63857162070946;63857162070995;0;15,65356;0c8862eb19
7;63857162071107;63857162071159;0;11,3005;0c8862eb19
8;63857162071273;63857162071299;0;3,101414;0c8862eb19
9;63857162071486;63857162071524;0;6,339576;0c8862eb19
10;63857162071673;63857162071711;0;6,019137;0c8862eb19
11;63857162071859;63857162071907;0;16,45351;0c8862eb19
12;63857162072133;63857162072169;0;6,526032;0c8862eb19
13;63857162072356;63857162072392;0;8,051423;0c8862eb19
14;63857162072591;63857162072616;0;3,960272;0c8862eb19
15;63857162072666;63857162072727;0;15,27525;0c8862eb19
16;63857162072939;63857162072963;0;2,292345;0c8862eb19
17;63857162073152;63857162073214;0;21,27137;0c8862eb19
18;63857162074297;63857162074359;0;22,45703;0c8862eb19
19;63857162074505;63857162074579;0;29,45147;0c8862eb19
20;63857162074686;63857162074735;0;6,497364;0c8862eb19
21;63857162074875;63857162074913;0;5,452658;0c8862eb19
22;63857162075127;63857162075200;0;18,89532;0c8862eb19
23;63857162075617;63857162075666;0;10,2927;0c8862eb19
24;63857162076016;63857162076061;0;4,763413;0c8862eb19
25;63857162076130;63857162076186;0;13,70658;0c8862eb19
26;63857162076393;63857162076450;0;17,93858;0c8862eb19
27;63857162076588;63857162076633;0;21,06688;0c8862eb19
28;63857162076849;63857162076905;0;18,61786;0c8862eb19
29;63857162077109;63857162077167;0;17,8196;0c8862eb19
30;63857162077372;63857162077418;0;16,76166;0c8862eb19
31;63857162078449;63857162078483;0;4,655978;0c8862eb19
32;63857162078690;63857162078747;0;16,18128;0c8862eb19
33;63857162078942;63857162078977;0;11,33783;0c8862eb19
34;63857162079125;63857162079149;0;1,484772;0c8862eb19
35;63857162079229;63857162079288;0;10,56289;0c8862eb19
36;63857162079414;63857162079471;0;26,28345;0c8862eb19
37;63857162079864;63857162079910;0;4,144112;0c8862eb19
38;63857162079990;63857162080025;0;4,455665;0c8862eb19
39;63857162080174;63857162080209;0;4,822839;0c8862eb19
40;63857162080280;63857162080325;0;7,103736;0c8862eb19
41;63857162080840;63857162080888;0;11,73594;0c8862eb19
42;63857162081128;63857162081166;0;13,49918;0c8862eb19
43;63857162081349;63857162081388;0;4,574274;0c8862eb19
44;63857162081562;63857162081600;0;9,785486;0c8862eb19
45;63857162081805;63857162081857;0;9,332141;0c8862eb19
46;63857162081896;63857162081936;0;6,440164;0c8862eb19
47;63857162082626;63857162082679;0;6,53348;0c8862eb19
48;63857162082782;63857162082822;0;3,7678;0c8862eb19
49;63857162082966;63857162083005;0;9,601955;0c8862eb19
50;63857162083189;63857162083294;0;39,35979;0c8862eb19
51;63857162083307;63857162083347;0;3,238819;0c8862eb19
52;63857162083360;63857162083466;0;9,883439;0c8862eb19
53;63857162083837;63857162083878;0;4,107753;0c8862eb19
54;63857162083972;63857162084025;0;17,55826;0c8862eb19
55;63857162084279;63857162084319;0;5,218568;0c8862eb19
56;63857162084572;63857162084614;0;5,917218;0c8862eb19
57;63857162084892;63857162084950;0;12,25168;0c8862eb19
58;63857162085077;63857162085105;0;8,328362;0c8862eb19
59;63857162085321;63857162085379;0;6,222174;0c8862eb19
60;63857162086024;63857162086053;0;2,172678;0c8862eb19
61;63857162086441;63857162086471;0;7,950237;0c8862eb19
62;63857162086614;63857162086700;0;20,14488;0c8862eb19
63;63857162086799;63857162086839;0;5,564473;0c8862eb19
64;63857162086989;63857162087027;0;7,002106;0c8862eb19
65;63857162087292;63857162087330;0;8,109974;0c8862eb19
66;63857162087561;63857162087601;0;7,645394;0c8862eb19
67;63857162087857;63857162087869;0;1,437902;0c8862eb19
68;63857162088340;63857162088380;0;4,064378;0c8862eb19
69;63857162088671;63857162088723;0;6,193149;0c8862eb19
70;63857162088927;63857162088966;0;2,158489;0c8862eb19
71;63857162089856;63857162089881;0;7,789084;0c8862eb19
72;63857162090014;63857162090066;0;13,06147;0c8862eb19
73;63857162090184;63857162090224;0;6,021937;0c8862eb19
74;63857162090994;63857162091035;0;9,077553;0c8862eb19
75;63857162091156;63857162091207;0;15,27258;0c8862eb19
76;63857162091207;63857162091235;0;1,55066;0c8862eb19
77;63857162091301;63857162091380;0;9,078895;0c8862eb19
78;63857162091522;63857162091572;0;16,65213;0c8862eb19
79;63857162091907;63857162091948;0;14,95588;0c8862eb19
80;63857162091973;63857162092000;0;2,108215;0c8862eb19
81;63857162092025;63857162092116;0;8,094927;0c8862eb19
82;63857162092615;63857162092640;0;6,69032;0c8862eb19
83;63857162092851;63857162092917;0;18,48281;0c8862eb19
84;63857162093508;63857162093549;0;5,298533;0c8862eb19
85;63857162093679;63857162093717;0;2,917792;0c8862eb19
86;63857162093967;63857162094005;0;6,384695;0c8862eb19
87;63857162094341;63857162094433;0;28,1051;0c8862eb19
88;63857162094484;63857162094496;0;1,391564;0c8862eb19
89;63857162094561;63857162094638;0;9,140285;0c8862eb19
90;63857162094767;63857162094857;0;37,61422;0c8862eb19
91;63857162094883;63857162094922;0;3,420851;0c8862eb19
92;63857162094934;63857162095036;0;12,84803;0c8862eb19
93;63857162095049;63857162095177;0;10,03052;0c8862eb19
94;63857162095549;63857162095586;0;7,737383;0c8862eb19
95;63857162095767;63857162095807;0;6,92617;0c8862eb19
96;63857162095995;63857162096052;0;13,11807;0c8862eb19
97;63857162096252;63857162096325;0;23,48188;0c8862eb19
98;63857162096596;63857162096652;0;12,63112;0c8862eb19
99;63857162097026;63857162097067;0;3,999439;0c8862eb19
100;63857162097771;63857162097827;0;11,8345;0c8862eb19
101;63857162097983;63857162098025;0;7,047455;0c8862eb19
102;63857162098162;63857162098217;0;12,51883;0c8862eb19
103;63857162098295;63857162098386;0;10,38072;0c8862eb19
104;63857162098400;63857162098437;0;4,886277;0c8862eb19
105;63857162098477;63857162098582;0;8,826324;0c8862eb19
106;63857162098647;63857162098674;0;3,343222;0c8862eb19
107;63857162099541;63857162099607;0;15,91637;0c8862eb19
108;63857162099660;63857162099715;0;6,478958;0c8862eb19
109;63857162099848;63857162099874;0;2,063363;0c8862eb19
110;63857162100458;63857162100579;0;34,16127;0c8862eb19
111;63857162100644;63857162100721;0;9,228032;0c8862eb19
112;63857162100823;63857162100886;0;13,62929;0c8862eb19
113;63857162101038;63857162101051;0;1,420238;0c8862eb19
114;63857162101481;63857162101533;0;16,38408;0c8862eb19
115;63857162101673;63857162101700;0;7,530253;0c8862eb19
116;63857162101840;63857162101867;0;3,167123;0c8862eb19
117;63857162102007;63857162102047;0;4,855912;0c8862eb19
118;63857162102240;63857162102292;0;15,84889;0c8862eb19
119;63857162102966;63857162103006;0;10,0359;0c8862eb19
120;63857162103133;63857162103189;0;10,86591;0c8862eb19
121;63857162103477;63857162103503;0;3,904599;0c8862eb19
122;63857162104458;63857162104513;0;7,41545;0c8862eb19
123;63857162104674;63857162104741;0;11,96606;0c8862eb19
124;63857162104951;63857162105003;0;5,155865;0c8862eb19
125;63857162105103;63857162105152;0;8,736173;0c8862eb19
126;63857162105277;63857162105290;0;1,998901;0c8862eb19
127;63857162105302;63857162105339;0;9,343254;0c8862eb19
128;63857162105490;63857162105539;0;5,877566;0c8862eb19
129;63857162105761;63857162105813;0;4,918287;0c8862eb19
130;63857162106145;63857162106170;0;3,867106;0c8862eb19
131;63857162106378;63857162106404;0;3,886351;0c8862eb19
132;63857162106770;63857162106807;0;13,92357;0c8862eb19
133;63857162106914;63857162106968;0;9,945501;0c8862eb19
