Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856649646429;63856649646513;0;1;229f4576b9
2;63856649651580;63856649651635;0;2;229f4576b9
3;63856649681350;63856649681375;0;3;229f4576b9
4;63856649695382;63856649695432;0;4;229f4576b9
5;63856649696055;63856649696121;0;5;229f4576b9
6;63856649697482;63856649697543;0;6;229f4576b9
7;63856649708930;63856649708930;0;6;229f4576b9
8;63856649716527;63856649716585;0;6;229f4576b9
9;63856649723102;63856649723160;1;7;229f4576b9
10;63856649724989;63856649725049;1;8;229f4576b9
11;63856649727870;63856649727870;1;9;229f4576b9
12;63856649728165;63856649728226;1;10;229f4576b9
13;63856649740832;63856649740919;1;11;229f4576b9
14;63856649741610;63856649741726;1;11;229f4576b9
15;63856649748990;63856649749049;1;12;229f4576b9
16;63856649749313;63856649749327;1;13;229f4576b9
17;63856649753131;63856649753172;1;14;229f4576b9
18;63856649753359;63856649753411;1;15;229f4576b9
19;63856649755075;63856649755164;1;16;229f4576b9
20;63856649755829;63856649755895;1;16;229f4576b9
21;63856649758473;63856649758784;1;15;229f4576b9
22;63856649763756;63856649763923;1;16;229f4576b9
23;63856649767371;63856649767463;1;17;229f4576b9
24;63856649769938;63856649770003;1;17;229f4576b9
25;63856649770973;63856649771026;1;18;229f4576b9
26;63856649771370;63856649771522;1;19;229f4576b9
27;63856649788330;63856649788475;1;15;229f4576b9
28;63856649790419;63856649790466;1;16;229f4576b9
29;63856649792341;63856649792365;1;17;229f4576b9
30;63856649794303;63856649794521;1;18;229f4576b9
31;63856649803055;63856649803081;1;17;229f4576b9
32;63856649808149;63856649808185;1;18;229f4576b9
33;63856649811665;63856649811828;1;17;229f4576b9
34;63856649836637;63856649836680;1;8;229f4576b9
35;63856649851735;63856649851835;-1;7;229f4576b9
36;63856649866045;63856649866080;-1;5;229f4576b9
37;63856649888992;63856649888992;2;4;229f4576b9
38;63856649917174;63856649917225;2;3;229f4576b9
39;63856649918035;63856649918084;2;4;229f4576b9
40;63856649920311;63856649920414;2;5;229f4576b9
41;63856649935197;63856649935236;2;5;229f4576b9
42;63856649936158;63856649936193;2;6;229f4576b9
43;63856649937036;63856649937146;2;7;229f4576b9
44;63856649937344;63856649937418;2;8;229f4576b9
