Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856649636019;63856649636096;0;198,2351;229f4576b9
2;63856649636363;63856649636389;0;115,9632;229f4576b9
3;63856649636477;63856649636502;0;72,47014;229f4576b9
4;63856649636528;63856649636540;0;83,8896;229f4576b9
5;63856649636793;63856649636831;0;213,5814;229f4576b9
6;63856649637222;63856649637273;0;66,20615;229f4576b9
7;63856649637564;63856649637690;0;272,0679;229f4576b9
8;63856649638163;63856649638189;0;154,8867;229f4576b9
9;63856649638288;63856649638364;0;263,1122;229f4576b9
10;63856649638691;63856649638795;0;313,2134;229f4576b9
11;63856649639001;63856649639041;0;227,0072;229f4576b9
12;63856649639155;63856649639218;0;198,147;229f4576b9
13;63856649639331;63856649639356;0;173,4608;229f4576b9
14;63856649639469;63856649639508;0;82,55891;229f4576b9
15;63856649639650;63856649639662;0;114,5294;229f4576b9
16;63856649639951;63856649639963;0;137,8355;229f4576b9
17;63856649640163;63856649640201;0;217,4365;229f4576b9
18;63856649640574;63856649640623;0;186,5958;229f4576b9
19;63856649640798;63856649640835;0;190,1963;229f4576b9
20;63856649641057;63856649641095;0;140,0665;229f4576b9
21;63856649641255;63856649641305;0;248,2591;229f4576b9
22;63856649641503;63856649641578;0;334,9974;229f4576b9
23;63856649641678;63856649641779;0;97,93059;229f4576b9
24;63856649642999;63856649643035;0;222,0316;229f4576b9
25;63856649643061;63856649643085;0;104,3308;229f4576b9
26;63856649643109;63856649643237;0;111,1307;229f4576b9
27;63856649643250;63856649643330;0;101,395;229f4576b9
28;63856649643536;63856649643561;0;105,712;229f4576b9
29;63856649643883;63856649643918;0;95,28608;229f4576b9
30;63856649644196;63856649644230;0;83,21793;229f4576b9
31;63856649644553;63856649644575;0;174,0299;229f4576b9
32;63856649644818;63856649644853;0;144,2826;229f4576b9
33;63856649645131;63856649645188;0;246,5869;229f4576b9
34;63856649645407;63856649645465;0;409,4746;229f4576b9
35;63856649645679;63856649645739;0;281,6473;229f4576b9
36;63856649645846;63856649645869;0;146,0929;229f4576b9
37;63856649646035;63856649646047;0;125,3277;229f4576b9
38;63856649646201;63856649646237;0;180,6618;229f4576b9
39;63856649646586;63856649646622;0;45,06605;229f4576b9
40;63856649646673;63856649646808;0;70,00258;229f4576b9
41;63856649646845;63856649646857;0;80,31985;229f4576b9
42;63856649646869;63856649647019;0;31,78295;229f4576b9
43;63856649647032;63856649647056;0;73,71722;229f4576b9
44;63856649647081;63856649647208;0;103,0756;229f4576b9
45;63856649647413;63856649647453;0;104,1289;229f4576b9
46;63856649647776;63856649647829;0;327,0506;229f4576b9
47;63856649648258;63856649648323;0;170,1796;229f4576b9
48;63856649648655;63856649648698;0;360,8924;229f4576b9
49;63856649648933;63856649648989;0;282,8551;229f4576b9
50;63856649649184;63856649649279;0;375,4998;229f4576b9
51;63856649649348;63856649649416;0;82,13541;229f4576b9
52;63856649649498;63856649649511;0;109,9496;229f4576b9
53;63856649649525;63856649649566;0;334,8658;229f4576b9
54;63856649649830;63856649649871;0;271,7964;229f4576b9
55;63856649650332;63856649650361;0;26,55274;229f4576b9
56;63856649650556;63856649650655;0;267,5498;229f4576b9
57;63856649650852;63856649650908;0;74,40069;229f4576b9
58;63856649650978;63856649651050;0;72,35494;229f4576b9
59;63856649651132;63856649651161;0;73,24375;229f4576b9
60;63856649651329;63856649651385;0;216,5408;229f4576b9
61;63856649651678;63856649651706;0;291,1855;229f4576b9
62;63856649651802;63856649652142;0;42,01163;229f4576b9
63;63856649652256;63856649652312;0;278,0672;229f4576b9
64;63856649652591;63856649652688;0;341,3036;229f4576b9
65;63856649652717;63856649652730;0;87,76215;229f4576b9
66;63856649652758;63856649652855;0;83,42097;229f4576b9
67;63856649653188;63856649653230;0;142,5161;229f4576b9
68;63856649653562;63856649653618;0;226,7951;229f4576b9
69;63856649653687;63856649653757;0;254,8119;229f4576b9
70;63856649655144;63856649655241;0;305,1794;229f4576b9
71;63856649655379;63856649655433;0;284,364;229f4576b9
72;63856649655504;63856649655531;0;72,97821;229f4576b9
73;63856649655628;63856649655683;0;300,9452;229f4576b9
74;63856649657587;63856649657628;0;146,1098;229f4576b9
75;63856649657641;63856649657654;0;210,4191;229f4576b9
76;63856649657697;63856649657710;0;137,9112;229f4576b9
77;63856649657987;63856649658029;0;190,6239;229f4576b9
78;63856649658042;63856649658124;0;101,4966;229f4576b9
79;63856649658153;63856649658194;0;192,1423;229f4576b9
80;63856649658250;63856649658319;0;153,2432;229f4576b9
81;63856649658332;63856649658385;0;214,0447;229f4576b9
82;63856649658411;63856649658423;0;83,74433;229f4576b9
83;63856649658451;63856649658530;0;125,47;229f4576b9
84;63856649658543;63856649658595;0;311,7189;229f4576b9
85;63856649658660;63856649658777;0;101,6591;229f4576b9
86;63856649658828;63856649658865;0;159,1841;229f4576b9
87;63856649658903;63856649658955;0;316,9694;229f4576b9
88;63856649659186;63856649659211;0;144,4809;229f4576b9
89;63856649659300;63856649659377;0;265,0875;229f4576b9
90;63856649660178;63856649660231;0;304,6744;229f4576b9
91;63856649660372;63856649660423;0;245,5803;229f4576b9
92;63856649660540;63856649660642;0;73,28204;229f4576b9
93;63856649660746;63856649660772;0;93,71722;229f4576b9
94;63856649661013;63856649661039;0;232,9153;229f4576b9
95;63856649661349;63856649661387;0;98,98652;229f4576b9
96;63856649661463;63856649661516;0;290,1313;229f4576b9
97;63856649662732;63856649662797;0;183,5138;229f4576b9
98;63856649662901;63856649662941;0;151,9797;229f4576b9
99;63856649663613;63856649663640;0;170,5767;229f4576b9
100;63856649664273;63856649664298;0;91,05755;229f4576b9
101;63856649664560;63856649664599;0;203,0403;229f4576b9
102;63856649665263;63856649665353;0;92,56164;229f4576b9
103;63856649665551;63856649665631;0;190,7026;229f4576b9
104;63856649665788;63856649665895;0;100,8967;229f4576b9
105;63856649665907;63856649665946;0;178,6547;229f4576b9
106;63856649666140;63856649666204;0;185,1702;229f4576b9
107;63856649666383;63856649666469;0;233,1198;229f4576b9
108;63856649666483;63856649666507;0;75,16794;229f4576b9
109;63856649666557;63856649666697;0;114,6427;229f4576b9
110;63856649666710;63856649666734;0;103,0593;229f4576b9
111;63856649666852;63856649666877;0;111,7861;229f4576b9
112;63856649667185;63856649667250;0;203,9821;229f4576b9
113;63856649667339;63856649667363;0;111,8243;229f4576b9
114;63856649667453;63856649667531;0;140,4563;229f4576b9
115;63856649667543;63856649667607;0;112,7659;229f4576b9
116;63856649667620;63856649667686;0;150,9935;229f4576b9
117;63856649668099;63856649668124;0;123,7751;229f4576b9
