Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857159672322;63857159672389;0;1;235a8f471d
2;63857159684967;63857159685013;0;2;235a8f471d
3;63857159687096;63857159687153;0;3;235a8f471d
4;63857159687954;63857159688036;0;4;235a8f471d
5;63857159688563;63857159688620;0;5;235a8f471d
6;63857159711303;63857159711371;0;6;235a8f471d
7;63857159713532;63857159713555;0;7;235a8f471d
8;63857159720445;63857159720467;0;8;235a8f471d
9;63857159721281;63857159721304;0;9;235a8f471d
10;63857159722413;63857159722519;0;10;235a8f471d
11;63857159722749;63857159722821;0;11;235a8f471d
12;63857159730526;63857159730576;0;12;235a8f471d
13;63857159732348;63857159732397;0;12;235a8f471d
14;63857159742335;63857159742379;0;13;235a8f471d
15;63857159742656;63857159742690;0;14;235a8f471d
16;63857159743135;63857159743240;0;15;235a8f471d
17;63857159744235;63857159744313;0;16;235a8f471d
18;63857159749707;63857159749851;0;13;235a8f471d
19;63857159750319;63857159750375;0;14;235a8f471d
20;63857159754131;63857159754176;0;15;235a8f471d
21;63857159757310;63857159757366;0;16;235a8f471d
22;63857159759567;63857159759589;0;17;235a8f471d
23;63857159759801;63857159760023;0;18;235a8f471d
24;63857159760564;63857159760619;0;19;235a8f471d
25;63857159774409;63857159774409;0;18;235a8f471d
26;63857159775054;63857159775088;0;19;235a8f471d
27;63857159775390;63857159775450;0;20;235a8f471d
28;63857159776777;63857159776824;0;21;235a8f471d
29;63857159781579;63857159781661;0;20;235a8f471d
30;63857159782406;63857159782462;0;21;235a8f471d
31;63857159808803;63857159808891;0;14;235a8f471d
32;63857159861558;63857159861636;1;2;235a8f471d
33;63857159868308;63857159868364;1;3;235a8f471d
34;63857159872385;63857159872462;1;3;235a8f471d
35;63857159887169;63857159887180;1;4;235a8f471d
36;63857159887380;63857159887424;1;5;235a8f471d
37;63857159893259;63857159893292;1;6;235a8f471d
38;63857159927892;63857159927936;2;6;235a8f471d
39;63857159930941;63857159930953;2;6;235a8f471d
40;63857159931814;63857159932002;2;7;235a8f471d
41;63857159984372;63857159984440;2;4;235a8f471d
42;63857160049847;63857160049891;3;1;235a8f471d
43;63857160062878;63857160062922;3;2;235a8f471d
44;63857160063092;63857160063125;3;3;235a8f471d
45;63857160063736;63857160063792;3;4;235a8f471d
46;63857160066492;63857160066525;3;5;235a8f471d
47;63857160079591;63857160079835;3;6;235a8f471d
48;63857160080157;63857160080202;3;7;235a8f471d
49;63857160081314;63857160081479;3;8;235a8f471d
50;63857160083969;63857160084014;3;9;235a8f471d
51;63857160084225;63857160084269;3;10;235a8f471d
52;63857160088726;63857160088736;3;11;235a8f471d
53;63857160090069;63857160090125;3;12;235a8f471d
54;63857160090336;63857160090458;3;13;235a8f471d
55;63857160107168;63857160107202;-3;14;235a8f471d
56;63857160133959;63857160133981;4;10;235a8f471d
57;63857160136838;63857160136871;4;11;235a8f471d
58;63857160139618;63857160139723;4;11;235a8f471d
59;63857160140645;63857160140810;4;11;235a8f471d
60;63857160140821;63857160140832;4;12;235a8f471d
61;63857160141143;63857160141220;4;13;235a8f471d
62;63857160143391;63857160143447;4;13;235a8f471d
63;63857160152934;63857160152982;4;9;235a8f471d
64;63857160153168;63857160153226;4;10;235a8f471d
65;63857160166928;63857160166939;4;11;235a8f471d
66;63857160230032;63857160230068;4;1;235a8f471d
67;63857160274206;63857160274217;5;2;235a8f471d
68;63857160301300;63857160301441;5;2;235a8f471d
69;63857160336810;63857160336902;5;2;235a8f471d
70;63857160337659;63857160337729;5;3;235a8f471d
71;63857160339340;63857160339412;5;4;235a8f471d
72;63857160372692;63857160372703;6;4;235a8f471d
73;63857160392337;63857160392348;6;5;235a8f471d
74;63857160399551;63857160399563;6;3;235a8f471d
75;63857160413403;63857160413448;6;4;235a8f471d
76;63857160472926;63857160472970;7;2;235a8f471d
77;63857160524165;63857160524211;8;2;235a8f471d
78;63857160542959;63857160543027;8;2;235a8f471d
79;63857160549748;63857160549815;8;3;235a8f471d
80;63857160585008;63857160585197;8;3;235a8f471d
81;63857160585363;63857160585441;8;4;235a8f471d
82;63857160588421;63857160588432;8;5;235a8f471d
83;63857160589688;63857160589744;8;6;235a8f471d
