Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857159647784;63857159647795;0;2,767394;235a8f471d
2;63857159647999;63857159648043;0;6,000871;235a8f471d
3;63857159648063;63857159648075;0;1,350602;235a8f471d
4;63857159648133;63857159648178;0;5,207556;235a8f471d
5;63857159648189;63857159648223;0;11,98783;235a8f471d
6;63857159648267;63857159648279;0;1,341734;235a8f471d
7;63857159648301;63857159648345;0;4,082311;235a8f471d
8;63857159648501;63857159648533;0;8,817819;235a8f471d
9;63857159648768;63857159648812;0;6,854092;235a8f471d
10;63857159648867;63857159648879;0;1,30731;235a8f471d
11;63857159649012;63857159649067;0;6,018322;235a8f471d
12;63857159649167;63857159649201;0;1,459917;235a8f471d
13;63857159649212;63857159649256;0;9,967387;235a8f471d
14;63857159649311;63857159649323;0;1,779603;235a8f471d
15;63857159649433;63857159649444;0;1,166004;235a8f471d
16;63857159649478;63857159649500;0;8,771179;235a8f471d
17;63857159649511;63857159649522;0;2,339168;235a8f471d
18;63857159649566;63857159649611;0;7,848279;235a8f471d
19;63857159649644;63857159649700;0;13,72355;235a8f471d
20;63857159649766;63857159649800;0;10,49831;235a8f471d
21;63857159649833;63857159649854;0;1,402211;235a8f471d
22;63857159649921;63857159649932;0;4,071214;235a8f471d
23;63857159649967;63857159650000;0;2,488056;235a8f471d
24;63857159650000;63857159650023;0;2,257848;235a8f471d
25;63857159650034;63857159650123;0;22,55696;235a8f471d
26;63857159650134;63857159650145;0;5,056794;235a8f471d
27;63857159650200;63857159650211;0;2,645601;235a8f471d
28;63857159650223;63857159650245;0;1,524569;235a8f471d
29;63857159650256;63857159650278;0;2,425677;235a8f471d
30;63857159650300;63857159650322;0;3,384718;235a8f471d
31;63857159650334;63857159650367;0;1,853613;235a8f471d
32;63857159650378;63857159650411;0;4,689348;235a8f471d
33;63857159650466;63857159650523;0;12,04362;235a8f471d
34;63857159650656;63857159650689;0;8,814699;235a8f471d
35;63857159650886;63857159650918;0;5,806065;235a8f471d
36;63857159651123;63857159651167;0;7,377435;235a8f471d
37;63857159651856;63857159651878;0;5,500927;235a8f471d
38;63857159652311;63857159652344;0;5,650347;235a8f471d
39;63857159652422;63857159652467;0;8,845135;235a8f471d
40;63857159652578;63857159652600;0;2,385565;235a8f471d
41;63857159652978;63857159653022;0;6,488908;235a8f471d
42;63857159653111;63857159653134;0;1,325594;235a8f471d
43;63857159653278;63857159653300;0;1,688412;235a8f471d
44;63857159653511;63857159653567;0;9,077142;235a8f471d
45;63857159653745;63857159653767;0;1,876801;235a8f471d
46;63857159653823;63857159653856;0;11,01349;235a8f471d
47;63857159653867;63857159653889;0;1,282832;235a8f471d
48;63857159653956;63857159653979;0;2,673861;235a8f471d
49;63857159654356;63857159654412;0;10,89645;235a8f471d
50;63857159654845;63857159654923;0;22,38437;235a8f471d
51;63857159655079;63857159655112;0;5,63736;235a8f471d
52;63857159655123;63857159655145;0;1,557962;235a8f471d
53;63857159655311;63857159655322;0;1,230352;235a8f471d
54;63857159655389;63857159655400;0;1,329427;235a8f471d
55;63857159655467;63857159655478;0;1,393251;235a8f471d
56;63857159655585;63857159655595;0;1,514783;235a8f471d
57;63857159658861;63857159658883;0;6,897053;235a8f471d
58;63857159658894;63857159658927;0;14,28515;235a8f471d
59;63857159658961;63857159658995;0;2,097512;235a8f471d
60;63857159659049;63857159659105;0;5,025118;235a8f471d
61;63857159659128;63857159659194;0;4,730647;235a8f471d
62;63857159659228;63857159659272;0;4,464536;235a8f471d
63;63857159659349;63857159659394;0;7,192384;235a8f471d
64;63857159659405;63857159659439;0;3,410534;235a8f471d
65;63857159659528;63857159659583;0;8,562588;235a8f471d
66;63857159659606;63857159659628;0;2,126425;235a8f471d
67;63857159659706;63857159659750;0;14,73997;235a8f471d
68;63857159659928;63857159659939;0;3,110239;235a8f471d
69;63857159659950;63857159659973;0;2,751006;235a8f471d
70;63857159659995;63857159660049;0;10,52495;235a8f471d
71;63857159660206;63857159660228;0;5,042593;235a8f471d
72;63857159660295;63857159660339;0;12,31928;235a8f471d
73;63857159660473;63857159660506;0;2,899215;235a8f471d
74;63857159660917;63857159660939;0;1,929047;235a8f471d
75;63857159661151;63857159661196;0;3,819826;235a8f471d
76;63857159661396;63857159661429;0;3,498831;235a8f471d
77;63857159661563;63857159661585;0;2,700956;235a8f471d
78;63857159661918;63857159661941;0;2,788884;235a8f471d
79;63857159662319;63857159662363;0;7,857453;235a8f471d
80;63857159663263;63857159663275;0;1,109946;235a8f471d
81;63857159663342;63857159663385;0;6,353725;235a8f471d
82;63857159663419;63857159663452;0;2,269348;235a8f471d
83;63857159663496;63857159663529;0;12,22726;235a8f471d
84;63857159663541;63857159663563;0;4,1861;235a8f471d
85;63857159663574;63857159663596;0;1,467404;235a8f471d
86;63857159663662;63857159663762;0;8,225046;235a8f471d
87;63857159663807;63857159663818;0;5,350132;235a8f471d
88;63857159663829;63857159663839;0;4,634303;235a8f471d
89;63857159663862;63857159663940;0;6,399419;235a8f471d
