Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857159647784;63857159647795;0;92,24645;235a8f471d
2;63857159647999;63857159648043;0;133,3527;235a8f471d
3;63857159648063;63857159648075;0;90,04012;235a8f471d
4;63857159648133;63857159648178;0;115,7235;235a8f471d
5;63857159648189;63857159648223;0;299,6958;235a8f471d
6;63857159648267;63857159648279;0;89,44895;235a8f471d
7;63857159648301;63857159648345;0;81,64622;235a8f471d
8;63857159648501;63857159648533;0;220,4455;235a8f471d
9;63857159648768;63857159648812;0;152,3132;235a8f471d
10;63857159648867;63857159648879;0;87,15402;235a8f471d
11;63857159649012;63857159649067;0;109,424;235a8f471d
12;63857159649167;63857159649201;0;48,66391;235a8f471d
13;63857159649212;63857159649256;0;221,4975;235a8f471d
14;63857159649311;63857159649323;0;118,6402;235a8f471d
15;63857159649433;63857159649444;0;77,73361;235a8f471d
16;63857159649478;63857159649500;0;438,559;235a8f471d
17;63857159649511;63857159649522;0;155,9446;235a8f471d
18;63857159649566;63857159649611;0;196,207;235a8f471d
19;63857159649644;63857159649700;0;274,471;235a8f471d
20;63857159649766;63857159649800;0;262,4578;235a8f471d
21;63857159649833;63857159649854;0;93,48074;235a8f471d
22;63857159649921;63857159649932;0;135,7071;235a8f471d
23;63857159649967;63857159650000;0;82,9352;235a8f471d
24;63857159650000;63857159650023;0;112,8924;235a8f471d
25;63857159650034;63857159650123;0;250,6329;235a8f471d
26;63857159650134;63857159650145;0;337,1196;235a8f471d
27;63857159650200;63857159650211;0;176,3734;235a8f471d
28;63857159650223;63857159650245;0;101,638;235a8f471d
29;63857159650256;63857159650278;0;121,2838;235a8f471d
30;63857159650300;63857159650322;0;169,2359;235a8f471d
31;63857159650334;63857159650367;0;52,96038;235a8f471d
32;63857159650378;63857159650411;0;156,3116;235a8f471d
33;63857159650466;63857159650523;0;240,8725;235a8f471d
34;63857159650656;63857159650689;0;251,8485;235a8f471d
35;63857159650886;63857159650918;0;193,5355;235a8f471d
36;63857159651123;63857159651167;0;163,943;235a8f471d
37;63857159651856;63857159651878;0;183,3643;235a8f471d
38;63857159652311;63857159652344;0;141,2587;235a8f471d
39;63857159652422;63857159652467;0;196,5586;235a8f471d
40;63857159652578;63857159652600;0;119,2783;235a8f471d
41;63857159652978;63857159653022;0;162,2227;235a8f471d
42;63857159653111;63857159653134;0;88,37294;235a8f471d
43;63857159653278;63857159653300;0;84,42059;235a8f471d
44;63857159653511;63857159653567;0;165,0389;235a8f471d
45;63857159653745;63857159653767;0;75,07207;235a8f471d
46;63857159653823;63857159653856;0;314,6712;235a8f471d
47;63857159653867;63857159653889;0;51,31328;235a8f471d
48;63857159653956;63857159653979;0;133,6931;235a8f471d
49;63857159654356;63857159654412;0;198,1173;235a8f471d
50;63857159654845;63857159654923;0;298,4583;235a8f471d
51;63857159655079;63857159655112;0;125,2747;235a8f471d
52;63857159655123;63857159655145;0;77,89812;235a8f471d
53;63857159655311;63857159655322;0;82,02345;235a8f471d
54;63857159655389;63857159655400;0;88,62845;235a8f471d
55;63857159655467;63857159655478;0;92,88338;235a8f471d
56;63857159655585;63857159655595;0;75,73913;235a8f471d
57;63857159658861;63857159658883;0;459,8036;235a8f471d
58;63857159658894;63857159658927;0;357,1287;235a8f471d
59;63857159658961;63857159658995;0;69,91706;235a8f471d
60;63857159659049;63857159659105;0;83,75197;235a8f471d
61;63857159659128;63857159659194;0;78,84412;235a8f471d
62;63857159659228;63857159659272;0;99,21191;235a8f471d
63;63857159659349;63857159659394;0;159,8308;235a8f471d
64;63857159659405;63857159659439;0;113,6845;235a8f471d
65;63857159659528;63857159659583;0;171,2518;235a8f471d
66;63857159659606;63857159659628;0;85,057;235a8f471d
67;63857159659706;63857159659750;0;294,7995;235a8f471d
68;63857159659928;63857159659939;0;207,3493;235a8f471d
69;63857159659950;63857159659973;0;137,5503;235a8f471d
70;63857159659995;63857159660049;0;191,3627;235a8f471d
71;63857159660206;63857159660228;0;252,1297;235a8f471d
72;63857159660295;63857159660339;0;246,3856;235a8f471d
73;63857159660473;63857159660506;0;96,64052;235a8f471d
74;63857159660917;63857159660939;0;77,16188;235a8f471d
75;63857159661151;63857159661196;0;109,1379;235a8f471d
76;63857159661396;63857159661429;0;99,96661;235a8f471d
77;63857159661563;63857159661585;0;108,0383;235a8f471d
78;63857159661918;63857159661941;0;92,9628;235a8f471d
79;63857159662319;63857159662363;0;174,6101;235a8f471d
80;63857159663263;63857159663275;0;73,9964;235a8f471d
81;63857159663342;63857159663385;0;141,1939;235a8f471d
82;63857159663419;63857159663452;0;75,64492;235a8f471d
83;63857159663496;63857159663529;0;407,5753;235a8f471d
84;63857159663541;63857159663563;0;209,305;235a8f471d
85;63857159663574;63857159663596;0;73,37022;235a8f471d
86;63857159663662;63857159663762;0;86,57944;235a8f471d
87;63857159663807;63857159663818;0;356,6754;235a8f471d
88;63857159663829;63857159663839;0;308,9535;235a8f471d
