Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63855786380968;63855786381024;0;1;2b3497a4be
2;63855786408640;63855786408930;0;2;2b3497a4be
3;63855786430627;63855786430782;1;3;2b3497a4be
4;63855786462968;63855786463046;1;3;2b3497a4be
5;63855786463217;63855786463250;1;4;2b3497a4be
6;63855786469844;63855786469866;1;4;2b3497a4be
7;63855786479936;63855786480352;1;5;2b3497a4be
8;63855786483560;63855786484237;1;6;2b3497a4be
9;63855786484285;63855786484335;1;7;2b3497a4be
10;63855786484418;63855786484468;1;8;2b3497a4be
11;63855786484992;63855786485084;1;9;2b3497a4be
12;63855786485177;63855786485451;1;10;2b3497a4be
13;63855786493338;63855786493415;-1;10;2b3497a4be
14;63855786495670;63855786495849;-1;11;2b3497a4be
15;63855786499803;63855786500514;-1;12;2b3497a4be
16;63855786502170;63855786502203;-1;13;2b3497a4be
17;63855786502281;63855786502348;-1;14;2b3497a4be
18;63855786518147;63855786518403;2;15;2b3497a4be
19;63855786535348;63855786535403;2;13;2b3497a4be
20;63855786568914;63855786569025;2;3;2b3497a4be
21;63855786612751;63855786612818;3;2;2b3497a4be
22;63855786642354;63855786642410;-3;2;2b3497a4be
23;63855786686184;63855786686278;4;2;2b3497a4be
24;63855786709201;63855786709213;5;2;2b3497a4be
25;63855786711901;63855786712090;5;3;2b3497a4be
26;63855786756823;63855786757023;6;3;2b3497a4be
27;63855786769466;63855786769510;6;3;2b3497a4be
28;63855786770856;63855786770900;6;4;2b3497a4be
29;63855786798478;63855786798555;6;4;2b3497a4be
30;63855786799121;63855786799166;6;5;2b3497a4be
31;63855786806829;63855786806851;6;6;2b3497a4be
32;63855786833555;63855786834188;7;4;2b3497a4be
33;63855786859945;63855786859971;7;3;2b3497a4be
34;63855786870333;63855786870355;-7;3;2b3497a4be
35;63855786888188;63855786888244;8;4;2b3497a4be
36;63855786888422;63855786888499;8;5;2b3497a4be
37;63855786888610;63855786888721;8;6;2b3497a4be
38;63855786896042;63855786896131;8;6;2b3497a4be
39;63855786897799;63855786897895;8;7;2b3497a4be
40;63855786928855;63855786929169;8;7;2b3497a4be
