Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63855786362850;63855786362894;0;163,2222;2b3497a4be
2;63855786362971;63855786362982;0;123,7922;2b3497a4be
3;63855786363004;63855786363091;0;220,9106;2b3497a4be
4;63855786363091;63855786363113;0;110,0208;2b3497a4be
5;63855786363135;63855786363216;0;131,6947;2b3497a4be
6;63855786363327;63855786363683;0;126,3863;2b3497a4be
7;63855786363694;63855786363916;0;28,37398;2b3497a4be
8;63855786363916;63855786364127;0;35,9685;2b3497a4be
9;63855786364149;63855786364328;0;10,75341;2b3497a4be
10;63855786364339;63855786364361;0;147,3615;2b3497a4be
11;63855786364394;63855786364538;0;84,13261;2b3497a4be
12;63855786364560;63855786364683;0;122,1688;2b3497a4be
13;63855786364683;63855786364738;0;234,2184;2b3497a4be
14;63855786364939;63855786364983;0;84,5757;2b3497a4be
15;63855786365317;63855786365350;0;236,3025;2b3497a4be
16;63855786365539;63855786365572;0;103,5991;2b3497a4be
17;63855786365794;63855786365838;0;158,8185;2b3497a4be
18;63855786366183;63855786366250;0;315,2313;2b3497a4be
19;63855786366416;63855786366472;0;78,87799;2b3497a4be
20;63855786367672;63855786367728;0;382,5699;2b3497a4be
21;63855786367828;63855786367883;0;491,284;2b3497a4be
22;63855786368062;63855786368106;0;170,1331;2b3497a4be
23;63855786368451;63855786368495;0;206,7181;2b3497a4be
24;63855786368617;63855786368662;0;114,6829;2b3497a4be
25;63855786368862;63855786368873;0;100,6281;2b3497a4be
26;63855786369228;63855786369261;0;116,3584;2b3497a4be
27;63855786369438;63855786369483;0;211,3264;2b3497a4be
28;63855786369950;63855786369983;0;103,2858;2b3497a4be
29;63855786370128;63855786370161;0;467,7149;2b3497a4be
30;63855786370440;63855786370506;0;157,7621;2b3497a4be
31;63855786370517;63855786370561;0;222,3676;2b3497a4be
32;63855786370583;63855786370594;0;136,8369;2b3497a4be
33;63855786370616;63855786370794;0;40,65776;2b3497a4be
34;63855786370804;63855786370838;0;55,22738;2b3497a4be
35;63855786370849;63855786371004;0;142,6546;2b3497a4be
36;63855786371016;63855786371138;0;106,1342;2b3497a4be
37;63855786371216;63855786371249;0;88,49815;2b3497a4be
38;63855786371382;63855786371416;0;211,4121;2b3497a4be
39;63855786371671;63855786371749;0;401,7485;2b3497a4be
40;63855786371771;63855786371804;0;125,3089;2b3497a4be
41;63855786371827;63855786371949;0;116,6481;2b3497a4be
42;63855786372171;63855786372227;0;250,7272;2b3497a4be
43;63855786372338;63855786372371;0;181,2082;2b3497a4be
44;63855786372504;63855786372527;0;92,19929;2b3497a4be
45;63855786372616;63855786372672;0;384,0515;2b3497a4be
46;63855786372683;63855786372729;0;80,52765;2b3497a4be
47;63855786372763;63855786372935;0;27,08074;2b3497a4be
48;63855786373439;63855786373485;0;285,452;2b3497a4be
49;63855786373622;63855786373667;0;376,6351;2b3497a4be
50;63855786373876;63855786373924;0;464,5146;2b3497a4be
51;63855786373960;63855786373972;0;72,56566;2b3497a4be
52;63855786374019;63855786374080;0;180,1631;2b3497a4be
53;63855786374546;63855786374594;0;71,1388;2b3497a4be
54;63855786375418;63855786375519;0;382,651;2b3497a4be
55;63855786375531;63855786375691;0;43,32026;2b3497a4be
56;63855786375751;63855786375967;0;20,97926;2b3497a4be
57;63855786375967;63855786376100;0;141,764;2b3497a4be
58;63855786376111;63855786376200;0;71,20387;2b3497a4be
59;63855786376513;63855786376547;0;100,3526;2b3497a4be
60;63855786376892;63855786376924;0;126,6992;2b3497a4be
61;63855786377069;63855786377124;0;373,7164;2b3497a4be
62;63855786377202;63855786377314;0;25,77244;2b3497a4be
63;63855786377369;63855786377469;0;75,26004;2b3497a4be
64;63855786377713;63855786377758;0;174,1192;2b3497a4be
65;63855786377992;63855786378014;0;78,95345;2b3497a4be
66;63855786378069;63855786378124;0;156,3281;2b3497a4be
67;63855786378136;63855786378158;0;113,6768;2b3497a4be
68;63855786378169;63855786378236;0;105,1926;2b3497a4be
69;63855786378247;63855786378423;0;30,88888;2b3497a4be
70;63855786378456;63855786378534;0;124,639;2b3497a4be
71;63855786378634;63855786378656;0;58,42594;2b3497a4be
72;63855786378998;63855786379102;0;180,9136;2b3497a4be
73;63855786379112;63855786379220;0;123,0761;2b3497a4be
74;63855786379431;63855786379442;0;119,7348;2b3497a4be
75;63855786379609;63855786379653;0;82,92797;2b3497a4be
76;63855786379675;63855786379731;0;91,55141;2b3497a4be
77;63855786380312;63855786380356;0;165,4988;2b3497a4be
78;63855786380479;63855786380612;0;201,0092;2b3497a4be
79;63855786380623;63855786380724;0;90,48193;2b3497a4be
80;63855786381079;63855786381124;0;154,5411;2b3497a4be
81;63855786381134;63855786381301;0;126,1577;2b3497a4be
82;63855786381647;63855786381692;0;368,4328;2b3497a4be
83;63855786382027;63855786382060;0;147,0244;2b3497a4be
84;63855786382259;63855786382371;0;148,3726;2b3497a4be
85;63855786382382;63855786382537;0;115,4473;2b3497a4be
86;63855786382904;63855786382937;0;193,1484;2b3497a4be
87;63855786383093;63855786383127;0;138,5777;2b3497a4be
88;63855786383400;63855786383477;0;214,8552;2b3497a4be
89;63855786383488;63855786383522;0;215,8109;2b3497a4be
90;63855786383611;63855786383711;0;87,06285;2b3497a4be
91;63855786383722;63855786383877;0;120,3072;2b3497a4be
92;63855786383911;63855786384055;0;130,5047;2b3497a4be
93;63855786384066;63855786384111;0;151,2692;2b3497a4be
94;63855786384179;63855786384257;0;99,50042;2b3497a4be
95;63855786384519;63855786384564;0;150,7259;2b3497a4be
96;63855786384946;63855786384968;0;159,0413;2b3497a4be
97;63855786385275;63855786385309;0;257,6379;2b3497a4be
98;63855786385498;63855786385532;0;104,7801;2b3497a4be
99;63855786385908;63855786385942;0;116,3753;2b3497a4be
100;63855786386355;63855786386389;0;76,83439;2b3497a4be
101;63855786386400;63855786386466;0;77,87149;2b3497a4be
102;63855786386700;63855786386759;0;468,2342;2b3497a4be
103;63855786386914;63855786386948;0;233,649;2b3497a4be
104;63855786386959;63855786387004;0;100,6608;2b3497a4be
105;63855786387282;63855786387326;0;137,738;2b3497a4be
106;63855786387654;63855786387687;0;240,7006;2b3497a4be
107;63855786387970;63855786388014;0;107,1309;2b3497a4be
108;63855786388350;63855786388430;0;188,4767;2b3497a4be
109;63855786388832;63855786388877;0;281,9548;2b3497a4be
110;63855786389126;63855786389175;0;298,2935;2b3497a4be
111;63855786389268;63855786389303;0;197,1163;2b3497a4be
112;63855786389608;63855786389631;0;129,3762;2b3497a4be
113;63855786389931;63855786389964;0;82,61466;2b3497a4be
114;63855786390688;63855786391224;0;83,53184;2b3497a4be
115;63855786391234;63855786391367;0;91,04266;2b3497a4be
116;63855786391378;63855786391544;0;73,46646;2b3497a4be
117;63855786392278;63855786392333;0;467,2954;2b3497a4be
118;63855786392357;63855786392397;0;88,57059;2b3497a4be
119;63855786392418;63855786392553;0;73,40328;2b3497a4be
120;63855786393075;63855786393109;0;250,8661;2b3497a4be
121;63855786393242;63855786393407;0;102,5219;2b3497a4be
122;63855786393446;63855786393601;0;112,94;2b3497a4be
123;63855786394124;63855786394179;0;284,3207;2b3497a4be
124;63855786394301;63855786394334;0;129,6285;2b3497a4be
125;63855786394801;63855786394834;0;298,5092;2b3497a4be
126;63855786395137;63855786395149;0;546,4857;2b3497a4be
127;63855786395160;63855786395183;0;330,886;2b3497a4be
128;63855786395219;63855786395232;0;121,1102;2b3497a4be
129;63855786395254;63855786395359;0;137,2107;2b3497a4be
130;63855786395393;63855786395416;0;117,2472;2b3497a4be
131;63855786395544;63855786395591;0;385,4405;2b3497a4be
132;63855786396917;63855786397032;0;124,6023;2b3497a4be
133;63855786397043;63855786397389;0;41,76797;2b3497a4be
134;63855786397410;63855786397410;0;168,1333;2b3497a4be
135;63855786397432;63855786397523;0;214,0234;2b3497a4be
136;63855786397534;63855786397557;0;162,6503;2b3497a4be
137;63855786397636;63855786397732;0;114,0943;2b3497a4be
138;63855786398167;63855786398189;0;82,65778;2b3497a4be
139;63855786398322;63855786398367;0;121,871;2b3497a4be
140;63855786398558;63855786398614;0;343,5678;2b3497a4be
141;63855786398692;63855786398747;0;130,6357;2b3497a4be
142;63855786398758;63855786398814;0;185,1223;2b3497a4be
143;63855786398925;63855786399142;0;78,25951;2b3497a4be
144;63855786399749;63855786399782;0;87,3342;2b3497a4be
145;63855786399840;63855786399909;0;45,39182;2b3497a4be
146;63855786399919;63855786400097;0;98,61188;2b3497a4be
147;63855786400142;63855786400197;0;343,0268;2b3497a4be
148;63855786400349;63855786400371;0;193,3356;2b3497a4be
149;63855786400382;63855786400404;0;95,92365;2b3497a4be
150;63855786400482;63855786400527;0;249,1273;2b3497a4be
151;63855786400850;63855786400894;0;243,8863;2b3497a4be
152;63855786401050;63855786401105;0;404,6604;2b3497a4be
153;63855786401227;63855786401382;0;93,48126;2b3497a4be
154;63855786401449;63855786401504;0;64,60753;2b3497a4be
155;63855786401660;63855786401693;0;505,9425;2b3497a4be
156;63855786401704;63855786401749;0;284,394;2b3497a4be
157;63855786401760;63855786401782;0;259,5053;2b3497a4be
158;63855786401870;63855786402060;0;8,961706;2b3497a4be
159;63855786402084;63855786402245;0;66,09663;2b3497a4be
160;63855786402307;63855786402445;0;44,64671;2b3497a4be
161;63855786402530;63855786402617;0;81,05564;2b3497a4be
162;63855786402714;63855786402726;0;142,1171;2b3497a4be
163;63855786403623;63855786403685;0;236,2633;2b3497a4be
164;63855786403761;63855786403796;0;79,81864;2b3497a4be
165;63855786403808;63855786403831;0;601,6143;2b3497a4be
166;63855786403856;63855786403893;0;369,6852;2b3497a4be
167;63855786403916;63855786403951;0;46,09991;2b3497a4be
168;63855786403951;63855786404064;0;108,8183;2b3497a4be
169;63855786404119;63855786404174;0;62,84515;2b3497a4be
170;63855786404187;63855786404297;0;178,4157;2b3497a4be
171;63855786404297;63855786404365;0;265,438;2b3497a4be
172;63855786404376;63855786404409;0;86,66177;2b3497a4be
173;63855786404420;63855786404725;0;134,5329;2b3497a4be
174;63855786404725;63855786404725;0;377,5028;2b3497a4be
175;63855786404725;63855786404725;0;83,27106;2b3497a4be
176;63855786404771;63855786404804;0;196,0467;2b3497a4be
177;63855786405031;63855786405064;0;177,2542;2b3497a4be
178;63855786405319;63855786405342;0;122,6681;2b3497a4be
179;63855786405442;63855786405487;0;322,3074;2b3497a4be
180;63855786405798;63855786405831;0;234,1544;2b3497a4be
181;63855786406076;63855786406109;0;259,5163;2b3497a4be
182;63855786406554;63855786406598;0;262,3582;2b3497a4be
183;63855786406798;63855786406842;0;159;2b3497a4be
184;63855786407054;63855786407076;0;477,2504;2b3497a4be
185;63855786407088;63855786407110;0;270,7034;2b3497a4be
186;63855786407220;63855786407354;0;34,97322;2b3497a4be
187;63855786407421;63855786407476;0;98,30679;2b3497a4be
188;63855786407487;63855786407543;0;212,4931;2b3497a4be
189;63855786407543;63855786407642;0;124,3524;2b3497a4be
190;63855786407654;63855786407732;0;95,36512;2b3497a4be
191;63855786407831;63855786407875;0;239,9613;2b3497a4be
192;63855786408318;63855786408352;0;101,077;2b3497a4be
193;63855786408363;63855786408454;0;105,0757;2b3497a4be
194;63855786409209;63855786409231;0;350,1505;2b3497a4be
195;63855786409243;63855786409276;0;299,8476;2b3497a4be
196;63855786409687;63855786409732;0;105,367;2b3497a4be
197;63855786409987;63855786410020;0;304,4948;2b3497a4be
198;63855786410031;63855786410054;0;255,7138;2b3497a4be
199;63855786410654;63855786410688;0;420,9943;2b3497a4be
200;63855786410754;63855786410776;0;173,5172;2b3497a4be
201;63855786410854;63855786410912;0;96,67542;2b3497a4be
202;63855786410923;63855786410990;0;127,9846;2b3497a4be
203;63855786411080;63855786411289;0;124,7133;2b3497a4be
204;63855786411344;63855786411444;0;86,08809;2b3497a4be
205;63855786411533;63855786411568;0;147,3889;2b3497a4be
206;63855786411784;63855786411808;0;140,9564;2b3497a4be
207;63855786411923;63855786411967;0;168,7449;2b3497a4be
208;63855786412055;63855786412111;0;81,48547;2b3497a4be
209;63855786412333;63855786412367;0;165,737;2b3497a4be
210;63855786412545;63855786412578;0;207,6826;2b3497a4be
211;63855786412745;63855786412790;0;159,842;2b3497a4be
212;63855786413179;63855786413212;0;78,71068;2b3497a4be
213;63855786413335;63855786413379;0;241,6874;2b3497a4be
214;63855786413601;63855786413623;0;81,48833;2b3497a4be
215;63855786413745;63855786413834;0;177,203;2b3497a4be
216;63855786413846;63855786413979;0;145,8657;2b3497a4be
217;63855786414534;63855786414546;0;86,84412;2b3497a4be
218;63855786414801;63855786414868;0;84,72173;2b3497a4be
219;63855786416013;63855786416035;0;129,2284;2b3497a4be
220;63855786416246;63855786416291;0;161,1889;2b3497a4be
221;63855786416503;63855786416547;0;227,1936;2b3497a4be
222;63855786417480;63855786417503;0;74,43353;2b3497a4be
223;63855786418292;63855786418336;0;200,54;2b3497a4be
224;63855786418592;63855786418637;0;177,0603;2b3497a4be
225;63855786419081;63855786419126;0;125,8635;2b3497a4be
226;63855786419314;63855786419359;0;183,6045;2b3497a4be
227;63855786419459;63855786419493;0;130,9417;2b3497a4be
228;63855786419948;63855786419993;0;149,5759;2b3497a4be
229;63855786420204;63855786420237;0;223,7608;2b3497a4be
230;63855786421016;63855786421049;0;162,5239;2b3497a4be
231;63855786421182;63855786421227;0;158,5467;2b3497a4be
232;63855786422293;63855786422327;0;332,9006;2b3497a4be
233;63855786422349;63855786422360;0;88,41229;2b3497a4be
234;63855786422438;63855786422482;0;101,9769;2b3497a4be
235;63855786422649;63855786422694;0;240,9142;2b3497a4be
236;63855786422894;63855786422916;0;212,454;2b3497a4be
237;63855786423071;63855786423094;0;98,0928;2b3497a4be
238;63855786423238;63855786423272;0;198,5218;2b3497a4be
239;63855786423538;63855786423604;0;460,1985;2b3497a4be
240;63855786423615;63855786423660;0;76,23438;2b3497a4be
241;63855786423827;63855786423872;0;190,5013;2b3497a4be
242;63855786424094;63855786424138;0;135,5076;2b3497a4be
243;63855786424416;63855786424460;0;240,8417;2b3497a4be
244;63855786424794;63855786424827;0;134,0021;2b3497a4be
245;63855786424961;63855786425005;0;249,2854;2b3497a4be
246;63855786425238;63855786425272;0;184,5097;2b3497a4be
247;63855786425571;63855786425594;0;126,722;2b3497a4be
248;63855786427694;63855786427738;0;150,6404;2b3497a4be
249;63855786428116;63855786428160;1;232,3046;2b3497a4be
250;63855786428583;63855786428627;1;205,6326;2b3497a4be
251;63855786428849;63855786428893;1;230,998;2b3497a4be
252;63855786429093;63855786429137;1;211,4973;2b3497a4be
253;63855786429405;63855786429438;1;132,4787;2b3497a4be
254;63855786429571;63855786429604;1;109,4375;2b3497a4be
255;63855786430016;63855786430049;1;112,685;2b3497a4be
256;63855786430304;63855786430338;1;116,7198;2b3497a4be
257;63855786430549;63855786430572;1;279,8741;2b3497a4be
258;63855786430926;63855786431092;1;50,30919;2b3497a4be
259;63855786431103;63855786431126;1;111,2596;2b3497a4be
260;63855786431126;63855786431303;1;81,4982;2b3497a4be
261;63855786431703;63855786431736;1;303,1659;2b3497a4be
262;63855786432003;63855786432037;1;125,3037;2b3497a4be
263;63855786432235;63855786432269;1;165,1165;2b3497a4be
264;63855786432556;63855786432589;1;240,5464;2b3497a4be
265;63855786432803;63855786432836;1;256,0314;2b3497a4be
266;63855786433023;63855786433056;1;272,0685;2b3497a4be
267;63855786433757;63855786433802;1;380,9535;2b3497a4be
