Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63855795602215;63855795602283;0;8,651084;319e183604
2;63855795602421;63855795602474;0;14,16902;319e183604
3;63855795602555;63855795602937;0;12,87469;319e183604
4;63855795602965;63855795603102;0;3,21065;319e183604
5;63855795603102;63855795603143;0;4,945973;319e183604
6;63855795603157;63855795603169;0;2,343181;319e183604
7;63855795603182;63855795603357;0;8,015108;319e183604
8;63855795603422;63855795603500;0;7,861649;319e183604
9;63855795603525;63855795603551;0;4,784628;319e183604
10;63855795603768;63855795603792;0;2,317142;319e183604
11;63855795604247;63855795604282;0;6,060745;319e183604
12;63855795605990;63855795606002;0;2,471639;319e183604
13;63855795606153;63855795606202;0;10,77952;319e183604
14;63855795606635;63855795606672;0;6,139769;319e183604
15;63855795606749;63855795606864;0;19,23513;319e183604
16;63855795606877;63855795606954;0;7,806276;319e183604
17;63855795608817;63855795608882;0;15,22904;319e183604
18;63855795608982;63855795609008;0;12,82254;319e183604
19;63855795609021;63855795609058;0;10,25778;319e183604
20;63855795609095;63855795609106;0;2,385565;319e183604
21;63855795609169;63855795609267;0;11,0089;319e183604
22;63855795609767;63855795609802;0;8,261823;319e183604
23;63855795610123;63855795610158;0;2,411109;319e183604
24;63855795610382;63855795610440;0;4,217283;319e183604
25;63855795610958;63855795610995;0;7,168669;319e183604
26;63855795611198;63855795611245;0;5,562289;319e183604
27;63855795611646;63855795611659;0;1,428481;319e183604
28;63855795611671;63855795611786;0;31,97478;319e183604
29;63855795611799;63855795611849;0;3,015647;319e183604
30;63855795611849;63855795612083;0;8,866896;319e183604
31;63855795612109;63855795612294;0;19,4788;319e183604
32;63855795612708;63855795612761;0;21,36572;319e183604
33;63855795612844;63855795612914;0;5,554744;319e183604
34;63855795612982;63855795612995;0;4,177905;319e183604
35;63855795613429;63855795613469;0;15,85236;319e183604
36;63855795613823;63855795613851;0;4,175935;319e183604
37;63855795614034;63855795614105;0;14,65508;319e183604
38;63855795614754;63855795614781;0;3,487678;319e183604
39;63855795616385;63855795616482;0;21,2757;319e183604
40;63855795616579;63855795616675;0;15,95915;319e183604
41;63855795616689;63855795616702;0;2,161026;319e183604
42;63855795616715;63855795616888;0;7,438145;319e183604
43;63855795616888;63855795616901;0;1,815746;319e183604
44;63855795616914;63855795617101;0;5,977075;319e183604
45;63855795617114;63855795617138;0;3,119352;319e183604
46;63855795617151;63855795617254;0;12,94923;319e183604
47;63855795617267;63855795617317;0;6,045524;319e183604
48;63855795617472;63855795617527;0;8,762037;319e183604
49;63855795617984;63855795618038;0;18,46407;319e183604
50;63855795619160;63855795619214;0;14,64957;319e183604
51;63855795619376;63855795619404;0;9,493388;319e183604
52;63855795619484;63855795619580;0;10,12407;319e183604
53;63855795619731;63855795619799;0;7,984091;319e183604
54;63855795620058;63855795620139;0;16,81611;319e183604
55;63855795620209;63855795620264;0;3,476545;319e183604
56;63855795620264;63855795620304;0;10,12504;319e183604
57;63855795620317;63855795620369;0;1,98416;319e183604
58;63855795620382;63855795620422;0;2,613219;319e183604
