Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63855795602215;63855795602283;0;133,0936;319e183604
2;63855795602421;63855795602474;0;236,1503;319e183604
3;63855795602555;63855795602937;0;33,88077;319e183604
4;63855795602965;63855795603102;0;23,78259;319e183604
5;63855795603102;63855795603143;0;164,8658;319e183604
6;63855795603157;63855795603169;0;156,2121;319e183604
7;63855795603182;63855795603357;0;43,32491;319e183604
8;63855795603422;63855795603500;0;98,27061;319e183604
9;63855795603525;63855795603551;0;159,4876;319e183604
10;63855795603768;63855795603792;0;115,8571;319e183604
11;63855795604247;63855795604282;0;173,1642;319e183604
12;63855795605990;63855795606002;0;164,7759;319e183604
13;63855795606153;63855795606202;0;215,5904;319e183604
14;63855795606635;63855795606672;0;153,4942;319e183604
15;63855795606749;63855795606864;0;160,2928;319e183604
16;63855795606877;63855795606954;0;104,0837;319e183604
17;63855795608817;63855795608882;0;253,8173;319e183604
18;63855795608982;63855795609008;0;427,418;319e183604
19;63855795609021;63855795609058;0;256,4444;319e183604
20;63855795609095;63855795609106;0;119,2783;319e183604
21;63855795609169;63855795609267;0;110,089;319e183604
22;63855795609767;63855795609802;0;206,5456;319e183604
23;63855795610123;63855795610158;0;80,3703;319e183604
24;63855795610382;63855795610440;0;70,28806;319e183604
25;63855795610958;63855795610995;0;159,3038;319e183604
26;63855795611198;63855795611245;0;139,0572;319e183604
27;63855795611646;63855795611659;0;95,23207;319e183604
28;63855795611671;63855795611786;0;278,0416;319e183604
29;63855795611799;63855795611849;0;60,31294;319e183604
30;63855795611849;63855795612083;0;38,55172;319e183604
31;63855795612109;63855795612294;0;105,2908;319e183604
32;63855795612708;63855795612761;0;388,4677;319e183604
33;63855795612844;63855795612914;0;85,4576;319e183604
34;63855795612982;63855795612995;0;278,527;319e183604
35;63855795613429;63855795613469;0;352,2746;319e183604
36;63855795613823;63855795613851;0;119,3124;319e183604
37;63855795614034;63855795614105;0;209,3583;319e183604
38;63855795614754;63855795614781;0;99,64793;319e183604
39;63855795616385;63855795616482;0;193,4155;319e183604
40;63855795616579;63855795616675;0;177,3239;319e183604
41;63855795616689;63855795616702;0;108,0513;319e183604
42;63855795616715;63855795616888;0;45,07967;319e183604
43;63855795616888;63855795616901;0;121,0497;319e183604
44;63855795616914;63855795617101;0;32,30851;319e183604
45;63855795617114;63855795617138;0;124,7741;319e183604
46;63855795617151;63855795617254;0;123,326;319e183604
47;63855795617267;63855795617317;0;120,9105;319e183604
48;63855795617472;63855795617527;0;175,2408;319e183604
49;63855795617984;63855795618038;0;307,7345;319e183604
50;63855795619160;63855795619214;0;266,3558;319e183604
51;63855795619376;63855795619404;0;379,7355;319e183604
52;63855795619484;63855795619580;0;112,4897;319e183604
53;63855795619731;63855795619799;0;133,0682;319e183604
54;63855795620058;63855795620139;0;240,2301;319e183604
55;63855795620209;63855795620264;0;63,2099;319e183604
56;63855795620264;63855795620304;0;337,5014;319e183604
57;63855795620317;63855795620369;0;39,68321;319e183604
58;63855795620382;63855795620422;0;58,07153;319e183604
59;63855795620629;63855795620682;0;403,4748;319e183604
60;63855795620913;63855795620995;0;79,69839;319e183604
61;63855795621077;63855795621130;0;130,5189;319e183604
62;63855795621564;63855795621658;0;341,5989;319e183604
63;63855795621700;63855795621713;0;135,4227;319e183604
64;63855795621834;63855795621859;0;374,7024;319e183604
65;63855795621859;63855795621872;0;99,50185;319e183604
66;63855795622055;63855795622145;0;237,6855;319e183604
67;63855795622221;63855795622246;0;120,9517;319e183604
68;63855795622398;63855795622447;0;299,9193;319e183604
69;63855795622931;63855795622967;0;345,4742;319e183604
70;63855795623109;63855795623134;0;70,95457;319e183604
71;63855795623281;63855795623331;0;384,0005;319e183604
72;63855795623525;63855795623600;0;260,1918;319e183604
73;63855795623664;63855795623754;0;109,1012;319e183604
74;63855795623766;63855795623818;0;236,3616;319e183604
75;63855795623818;63855795623844;0;114,92;319e183604
76;63855795623844;63855795624026;0;58,60798;319e183604
77;63855795624255;63855795624304;0;228,5243;319e183604
78;63855795624559;63855795624611;0;167,3876;319e183604
79;63855795624827;63855795624891;0;240,7036;319e183604
80;63855795624968;63855795625046;0;30,84462;319e183604
81;63855795625160;63855795625186;0;163,5667;319e183604
82;63855795625250;63855795625394;0;106,8982;319e183604
83;63855795625422;63855795625434;0;112,1706;319e183604
84;63855795625660;63855795625700;0;92,93922;319e183604
85;63855795625924;63855795625949;0;153,9489;319e183604
86;63855795626399;63855795626453;0;236,0289;319e183604
87;63855795627331;63855795627488;0;198,2415;319e183604
88;63855795627517;63855795627715;0;67,14998;319e183604
89;63855795628088;63855795628131;0;233,213;319e183604
90;63855795628345;63855795628416;0;373,5631;319e183604
91;63855795628545;63855795628559;0;519,0963;319e183604
92;63855795628587;63855795628601;0;422,7852;319e183604
93;63855795628918;63855795628962;0;218,7522;319e183604
94;63855795629875;63855795629933;0;146,7809;319e183604
95;63855795630273;63855795630316;0;400,5747;319e183604
96;63855795630964;63855795630979;0;96,38639;319e183604
97;63855795631583;63855795631642;0;105,7315;319e183604
98;63855795632582;63855795632712;0;31,12748;319e183604
99;63855795632754;63855795632916;0;62,22961;319e183604
100;63855795632931;63855795633064;0;129,2214;319e183604
101;63855795633064;63855795633127;0;68,7013;319e183604
102;63855795633142;63855795633154;0;366,9506;319e183604
103;63855795633220;63855795633257;0;158,9805;319e183604
104;63855795633269;63855795633385;0;64,07687;319e183604
105;63855795633794;63855795633845;0;236,3159;319e183604
106;63855795634117;63855795634169;0;154,9798;319e183604
107;63855795634350;63855795634390;0;93,88875;319e183604
108;63855795635199;63855795635210;0;508,8675;319e183604
109;63855795635355;63855795635434;0;182,3827;319e183604
110;63855795635675;63855795635715;0;192,2806;319e183604
111;63855795636856;63855795636885;0;124,8079;319e183604
112;63855795637455;63855795637497;0;270,594;319e183604
113;63855795637622;63855795637715;0;135,4131;319e183604
114;63855795637731;63855795637799;0;258,3409;319e183604
115;63855795637853;63855795638053;0;24,80115;319e183604
116;63855795638080;63855795638104;0;250,1207;319e183604
117;63855795638118;63855795638132;0;102,6833;319e183604
118;63855795638170;63855795638224;0;121,9477;319e183604
119;63855795638264;63855795638289;0;175,9981;319e183604
120;63855795638302;63855795638355;0;339,5532;319e183604
121;63855795638368;63855795638368;0;106,9095;319e183604
122;63855795638408;63855795638621;0;90,35901;319e183604
123;63855795639080;63855795639105;0;79,84666;319e183604
124;63855795639264;63855795639303;0;108,9515;319e183604
125;63855795639510;63855795639549;0;242,214;319e183604
126;63855795639691;63855795639732;0;350,7306;319e183604
127;63855795639899;63855795639924;0;184,0455;319e183604
128;63855795639949;63855795639964;0;212,0954;319e183604
129;63855795639976;63855795640014;0;286,146;319e183604
130;63855795640026;63855795640053;0;179,9663;319e183604
131;63855795640065;63855795640091;0;21,02902;319e183604
132;63855795640144;63855795640194;0;108,6771;319e183604
133;63855795641139;63855795641165;0;101,8519;319e183604
134;63855795642100;63855795642137;0;89,33926;319e183604
135;63855795642602;63855795642651;0;310,4568;319e183604
136;63855795643156;63855795643181;0;53,32406;319e183604
137;63855795643194;63855795643245;0;311,6876;319e183604
138;63855795643516;63855795643649;0;170,5449;319e183604
139;63855795643664;63855795643691;0;108,3759;319e183604
140;63855795644143;63855795644168;0;113,8967;319e183604
141;63855795644579;63855795644605;0;98,0417;319e183604
142;63855795644978;63855795645034;0;316,3957;319e183604
143;63855795645105;63855795645164;0;257,0538;319e183604
144;63855795645855;63855795645883;0;171,3;319e183604
145;63855795646459;63855795646473;0;124,9044;319e183604
146;63855795646489;63855795646517;0;83,43716;319e183604
147;63855795647009;63855795647123;0;275,3259;319e183604
148;63855795647137;63855795647166;0;80,65015;319e183604
149;63855795647197;63855795647211;0;138,666;319e183604
150;63855795647224;63855795647281;0;235,2418;319e183604
151;63855795647322;63855795647375;0;56,84694;319e183604
152;63855795647389;63855795647467;0;226,1661;319e183604
153;63855795647493;63855795647570;0;205,5137;319e183604
154;63855795647582;63855795647608;0;77,87459;319e183604
155;63855795647620;63855795647761;0;158,2389;319e183604
