Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857594700695;63857594700757;0;1;3939936f19
2;63857594711796;63857594711910;0;2;3939936f19
3;63857594723844;63857594723857;0;3;3939936f19
4;63857594725498;63857594725537;0;4;3939936f19
5;63857594725577;63857594725614;0;5;3939936f19
6;63857594732001;63857594732091;0;6;3939936f19
7;63857594740712;63857594740749;0;7;3939936f19
8;63857594749616;63857594749641;0;8;3939936f19
9;63857594752139;63857594752228;0;9;3939936f19
10;63857594802446;63857594802591;1;3;3939936f19
11;63857594833485;63857594833522;1;2;3939936f19
12;63857594841272;63857594841322;1;3;3939936f19
13;63857594842469;63857594842537;1;4;3939936f19
14;63857594849234;63857594849297;1;5;3939936f19
15;63857594871991;63857594872004;-1;5;3939936f19
16;63857594874232;63857594874307;-1;6;3939936f19
17;63857594879633;63857594879704;-1;7;3939936f19
18;63857594894318;63857594894451;2;7;3939936f19
19;63857594908785;63857594908846;2;6;3939936f19
20;63857594924147;63857594924197;2;6;3939936f19
21;63857594935502;63857594935627;2;5;3939936f19
22;63857594950902;63857594950938;2;5;3939936f19
23;63857594951963;63857594952061;2;6;3939936f19
24;63857594959625;63857594959749;2;6;3939936f19
25;63857594968148;63857594968425;2;7;3939936f19
26;63857594981854;63857594981931;-2;7;3939936f19
27;63857595000205;63857595000321;-2;6;3939936f19
28;63857595006657;63857595006779;3;7;3939936f19
29;63857595019185;63857595019236;3;6;3939936f19
30;63857595038339;63857595038428;3;5;3939936f19
31;63857595049610;63857595049684;3;5;3939936f19
32;63857595057245;63857595057396;3;6;3939936f19
33;63857595064520;63857595064705;3;6;3939936f19
34;63857595071277;63857595071351;3;6;3939936f19
35;63857595072319;63857595072408;3;7;3939936f19
36;63857595072483;63857595072483;3;8;3939936f19
37;63857595072495;63857595072594;3;9;3939936f19
38;63857595079235;63857595079445;3;9;3939936f19
39;63857595079526;63857595080119;3;10;3939936f19
40;63857595082767;63857595082843;3;11;3939936f19
41;63857595088376;63857595088451;3;12;3939936f19
42;63857595088930;63857595089241;3;13;3939936f19
43;63857595095741;63857595095960;3;14;3939936f19
44;63857595100387;63857595100461;3;14;3939936f19
45;63857595109000;63857595109024;3;15;3939936f19
46;63857595112108;63857595112172;-3;15;3939936f19
47;63857595114321;63857595114412;-3;16;3939936f19
48;63857595114475;63857595114475;-3;17;3939936f19
49;63857595126323;63857595126455;-3;16;3939936f19
50;63857595150992;63857595151145;4;8;3939936f19
51;63857595158118;63857595158193;4;8;3939936f19
52;63857595165819;63857595165936;4;8;3939936f19
53;63857595185719;63857595185841;4;5;3939936f19
54;63857595190395;63857595190496;4;5;3939936f19
55;63857595192506;63857595192608;4;6;3939936f19
56;63857595194086;63857595194231;4;7;3939936f19
57;63857595195774;63857595195837;4;8;3939936f19
58;63857595203767;63857595203815;4;9;3939936f19
59;63857595226276;63857595226336;5;7;3939936f19
60;63857595231025;63857595231149;5;8;3939936f19
61;63857595253478;63857595253588;5;6;3939936f19
62;63857595255192;63857595255299;5;6;3939936f19
63;63857595258748;63857595258796;5;6;3939936f19
64;63857595288613;63857595288638;5;5;3939936f19
65;63857595302334;63857595302345;5;5;3939936f19
66;63857595302548;63857595302670;5;6;3939936f19
67;63857595303541;63857595303553;5;7;3939936f19
68;63857595308168;63857595308331;5;8;3939936f19
69;63857595314214;63857595314313;5;8;3939936f19
70;63857595320558;63857595320609;-5;7;3939936f19
71;63857595332866;63857595332986;6;8;3939936f19
72;63857595345463;63857595345665;6;9;3939936f19
73;63857595360447;63857595360559;6;9;3939936f19
74;63857595360829;63857595360930;6;10;3939936f19
75;63857595367925;63857595367984;6;8;3939936f19
76;63857595405644;63857595405743;7;4;3939936f19
77;63857595405881;63857595406010;7;5;3939936f19
78;63857595413766;63857595413913;7;6;3939936f19
79;63857595414002;63857595414328;7;7;3939936f19
80;63857595426201;63857595426278;7;6;3939936f19
81;63857595430391;63857595430451;7;6;3939936f19
82;63857595432128;63857595432234;7;7;3939936f19
83;63857595435775;63857595435828;7;8;3939936f19
84;63857595435852;63857595436052;7;9;3939936f19
85;63857595437968;63857595438017;7;10;3939936f19
86;63857595451178;63857595451279;7;11;3939936f19
87;63857595472179;63857595472252;8;10;3939936f19
88;63857595480245;63857595480282;8;9;3939936f19
89;63857595496737;63857595496760;-8;5;3939936f19
