Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857594691282;63857594691323;0;4,821539;3939936f19
2;63857594691474;63857594691513;0;4,257678;3939936f19
3;63857594691770;63857594691890;0;20,27821;3939936f19
4;63857594691904;63857594692042;0;14,44761;3939936f19
5;63857594692166;63857594692207;0;13,90688;3939936f19
6;63857594692278;63857594692376;0;17,72691;3939936f19
7;63857594692389;63857594692481;0;10,99388;3939936f19
8;63857594692495;63857594692544;0;12,27493;3939936f19
9;63857594692557;63857594692570;0;2,330786;3939936f19
10;63857594692595;63857594692719;0;10,04079;3939936f19
11;63857594692924;63857594692972;0;8,259826;3939936f19
12;63857594693285;63857594693332;0;16,86829;3939936f19
13;63857594693512;63857594693547;0;7,261446;3939936f19
14;63857594693704;63857594693741;0;5,140604;3939936f19
15;63857594694065;63857594694089;0;2,913629;3939936f19
16;63857594694440;63857594694487;0;13,41704;3939936f19
17;63857594694668;63857594694717;0;7,841324;3939936f19
18;63857594695059;63857594695108;0;5,892288;3939936f19
19;63857594695180;63857594695231;0;19,96277;3939936f19
20;63857594695256;63857594695280;0;1,918161;3939936f19
21;63857594698508;63857594698558;0;17,78879;3939936f19
22;63857594698671;63857594698910;0;21,04712;3939936f19
23;63857594698980;63857594699014;0;12,14893;3939936f19
24;63857594699395;63857594699443;0;8,016872;3939936f19
25;63857594699720;63857594699754;0;3,850716;3939936f19
26;63857594699835;63857594699904;0;15,52466;3939936f19
27;63857594700101;63857594700147;0;17,45063;3939936f19
28;63857594700448;63857594700495;0;5,632803;3939936f19
29;63857594700611;63857594700634;0;3,536126;3939936f19
30;63857594700808;63857594700857;0;7,003955;3939936f19
31;63857594700884;63857594700896;0;2,682558;3939936f19
32;63857594700909;63857594701119;0;9,519298;3939936f19
33;63857594701132;63857594701198;0;6,126856;3939936f19
34;63857594701354;63857594701408;0;5,935674;3939936f19
35;63857594701486;63857594701641;0;12,92146;3939936f19
36;63857594701680;63857594701707;0;4,931971;3939936f19
37;63857594702124;63857594702177;0;10,60567;3939936f19
38;63857594702296;63857594702348;0;11,83726;3939936f19
39;63857594702748;63857594702789;0;4,705528;3939936f19
40;63857594702949;63857594703002;0;12,99227;3939936f19
41;63857594703176;63857594703230;0;12,80854;3939936f19
42;63857594703443;63857594703497;0;14,86189;3939936f19
43;63857594703811;63857594703855;0;13,46888;3939936f19
44;63857594704090;63857594704133;0;6,396906;3939936f19
45;63857594704548;63857594704622;0;25,01365;3939936f19
46;63857594704711;63857594704801;0;9,900615;3939936f19
47;63857594704949;63857594705009;0;18,47924;3939936f19
48;63857594705309;63857594705337;0;7,004627;3939936f19
49;63857594706199;63857594706241;0;12,57303;3939936f19
50;63857594706309;63857594706364;0;7,458141;3939936f19
51;63857594706377;63857594706444;0;18,09119;3939936f19
52;63857594706471;63857594706611;0;16,36454;3939936f19
53;63857594706625;63857594706667;0;8,023505;3939936f19
54;63857594706808;63857594706864;0;13,59074;3939936f19
55;63857594706977;63857594707021;0;20,02929;3939936f19
