Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857506139545;63857506139654;0;1;4195c2f34e
2;63857506155857;63857506155886;0;2;4195c2f34e
3;63857506166493;63857506166545;0;3;4195c2f34e
4;63857506167440;63857506167517;0;4;4195c2f34e
5;63857506175562;63857506175963;0;5;4195c2f34e
6;63857506180888;63857506180929;0;6;4195c2f34e
7;63857506193708;63857506193774;0;7;4195c2f34e
8;63857506208220;63857506208232;0;7;4195c2f34e
9;63857506224764;63857506224775;0;7;4195c2f34e
10;63857506229579;63857506229614;1;6;4195c2f34e
11;63857506231414;63857506231472;1;7;4195c2f34e
12;63857506236121;63857506236243;1;7;4195c2f34e
13;63857506247074;63857506247138;1;7;4195c2f34e
14;63857506258781;63857506258859;1;7;4195c2f34e
15;63857506277382;63857506277408;1;7;4195c2f34e
16;63857506278542;63857506278655;1;8;4195c2f34e
17;63857506292091;63857506292159;-1;6;4195c2f34e
18;63857506317301;63857506317364;2;5;4195c2f34e
19;63857506324520;63857506324612;2;5;4195c2f34e
20;63857506331133;63857506331170;2;6;4195c2f34e
21;63857506345011;63857506345040;2;5;4195c2f34e
22;63857506359107;63857506359147;2;5;4195c2f34e
23;63857506379791;63857506379803;-2;5;4195c2f34e
24;63857506390756;63857506390767;3;5;4195c2f34e
25;63857506392284;63857506392345;3;5;4195c2f34e
26;63857506403906;63857506403946;3;6;4195c2f34e
27;63857506409986;63857506410304;3;6;4195c2f34e
28;63857506414926;63857506414979;3;7;4195c2f34e
29;63857506422396;63857506422448;-3;7;4195c2f34e
30;63857506430277;63857506430327;-3;8;4195c2f34e
31;63857506447546;63857506447679;4;8;4195c2f34e
32;63857506469138;63857506469164;4;6;4195c2f34e
33;63857506479685;63857506479725;4;5;4195c2f34e
34;63857506484484;63857506484555;4;5;4195c2f34e
35;63857506497538;63857506497589;4;5;4195c2f34e
36;63857506500269;63857506500380;4;6;4195c2f34e
37;63857506509082;63857506509095;4;6;4195c2f34e
38;63857506512322;63857506512390;4;7;4195c2f34e
39;63857506519102;63857506519197;-4;8;4195c2f34e
40;63857506521154;63857506521412;-4;9;4195c2f34e
41;63857506527780;63857506527857;-4;10;4195c2f34e
42;63857506535686;63857506535724;5;10;4195c2f34e
43;63857506541664;63857506541676;5;10;4195c2f34e
44;63857506543486;63857506543585;5;11;4195c2f34e
45;63857506555664;63857506555744;5;11;4195c2f34e
46;63857506564051;63857506564341;5;10;4195c2f34e
47;63857506573043;63857506573236;5;9;4195c2f34e
48;63857506584632;63857506584829;5;8;4195c2f34e
49;63857506586366;63857506586651;5;9;4195c2f34e
50;63857506607550;63857506607671;-5;6;4195c2f34e
51;63857506609683;63857506609776;-5;7;4195c2f34e
52;63857506627360;63857506627445;6;6;4195c2f34e
53;63857506633242;63857506633271;6;6;4195c2f34e
54;63857506636154;63857506636237;6;7;4195c2f34e
55;63857506643890;63857506643932;6;8;4195c2f34e
56;63857506645988;63857506646463;6;8;4195c2f34e
57;63857506654476;63857506654543;6;8;4195c2f34e
58;63857506658386;63857506658483;6;9;4195c2f34e
59;63857506658872;63857506658925;6;10;4195c2f34e
60;63857506665745;63857506665833;6;11;4195c2f34e
61;63857506670762;63857506670812;6;10;4195c2f34e
62;63857506673014;63857506673039;6;11;4195c2f34e
63;63857506673262;63857506673345;6;12;4195c2f34e
64;63857506675301;63857506675374;6;13;4195c2f34e
65;63857506675627;63857506675711;6;14;4195c2f34e
66;63857506678134;63857506678528;6;15;4195c2f34e
67;63857506685521;63857506685575;6;16;4195c2f34e
68;63857506697284;63857506697311;6;14;4195c2f34e
69;63857506699716;63857506699835;-6;15;4195c2f34e
70;63857506701450;63857506701590;-6;16;4195c2f34e
71;63857506701633;63857506701754;-6;17;4195c2f34e
72;63857506712333;63857506712368;7;16;4195c2f34e
73;63857506714199;63857506714234;7;17;4195c2f34e
74;63857506717300;63857506717312;7;17;4195c2f34e
75;63857506719815;63857506719927;7;16;4195c2f34e
76;63857506727150;63857506727255;7;16;4195c2f34e
77;63857506734107;63857506734173;7;14;4195c2f34e
78;63857506747944;63857506748016;7;11;4195c2f34e
79;63857506759167;63857506759234;7;11;4195c2f34e
80;63857506774739;63857506774777;-7;7;4195c2f34e
81;63857506775244;63857506775364;-7;8;4195c2f34e
82;63857506776868;63857506777106;-7;9;4195c2f34e
83;63857506793763;63857506793932;8;7;4195c2f34e
84;63857506795845;63857506795984;8;7;4195c2f34e
85;63857506805390;63857506805456;8;8;4195c2f34e
86;63857506810040;63857506810098;8;8;4195c2f34e
87;63857506813110;63857506813150;8;9;4195c2f34e
88;63857506819073;63857506819141;8;10;4195c2f34e
89;63857506821288;63857506821498;8;10;4195c2f34e
90;63857506825415;63857506825517;8;11;4195c2f34e
91;63857506828313;63857506828487;8;12;4195c2f34e
92;63857506837854;63857506838040;8;10;4195c2f34e
93;63857506844834;63857506845004;8;11;4195c2f34e
94;63857506872082;63857506872096;-8;8;4195c2f34e
