Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857506134273;63857506134273;0;83,23402;4195c2f34e
2;63857506134273;63857506134273;0;93,36;4195c2f34e
3;63857506134397;63857506134439;0;102,3141;4195c2f34e
4;63857506134712;63857506134740;0;181,2004;4195c2f34e
5;63857506134835;63857506134902;0;237,2698;4195c2f34e
6;63857506135146;63857506135161;0;369,7059;4195c2f34e
7;63857506135286;63857506135399;0;96,241;4195c2f34e
8;63857506135412;63857506135441;0;217,2207;4195c2f34e
9;63857506135483;63857506135496;0;129,4593;4195c2f34e
10;63857506135511;63857506135621;0;95,02814;4195c2f34e
11;63857506135688;63857506135784;0;140,6945;4195c2f34e
12;63857506135796;63857506135836;0;126,1792;4195c2f34e
13;63857506135903;63857506135930;0;105,3604;4195c2f34e
14;63857506136167;63857506136180;0;146,0136;4195c2f34e
15;63857506137073;63857506137134;0;364,9937;4195c2f34e
16;63857506137361;63857506137385;0;138,6015;4195c2f34e
17;63857506137446;63857506137485;0;122,3347;4195c2f34e
18;63857506137510;63857506137534;0;78,41766;4195c2f34e
19;63857506137584;63857506137718;0;45,24205;4195c2f34e
20;63857506137813;63857506137838;0;97,42327;4195c2f34e
21;63857506137874;63857506137921;0;70,03723;4195c2f34e
22;63857506137990;63857506138073;0;179,2937;4195c2f34e
23;63857506138199;63857506138234;0;120,4948;4195c2f34e
24;63857506138350;63857506138374;0;83,32372;4195c2f34e
25;63857506138592;63857506138628;0;92,22557;4195c2f34e
26;63857506138720;63857506138743;0;123,2587;4195c2f34e
27;63857506139078;63857506139112;0;118,0055;4195c2f34e
28;63857506139740;63857506139764;0;72,24944;4195c2f34e
29;63857506139800;63857506140043;0;18,87165;4195c2f34e
30;63857506140069;63857506140176;0;216,6185;4195c2f34e
31;63857506140189;63857506140243;0;164,5286;4195c2f34e
32;63857506140284;63857506140444;0;115,6518;4195c2f34e
33;63857506140772;63857506140825;0;260,3634;4195c2f34e
34;63857506141017;63857506141098;0;231,8296;4195c2f34e
35;63857506141178;63857506141356;0;82,82247;4195c2f34e
36;63857506141628;63857506141654;0;183,068;4195c2f34e
37;63857506142080;63857506142124;0;178,224;4195c2f34e
38;63857506142397;63857506142440;0;335,3916;4195c2f34e
39;63857506143055;63857506143069;0;94,24979;4195c2f34e
40;63857506144106;63857506144161;0;349,4319;4195c2f34e
41;63857506144349;63857506144429;0;151,7434;4195c2f34e
42;63857506144641;63857506144855;0;11,35329;4195c2f34e
43;63857506144951;63857506145018;0;92,24447;4195c2f34e
44;63857506145058;63857506145125;0;168,2436;4195c2f34e
45;63857506145330;63857506145399;0;233,2436;4195c2f34e
46;63857506145706;63857506145748;0;120,283;4195c2f34e
47;63857506145806;63857506145888;0;72,20853;4195c2f34e
48;63857506145917;63857506146039;0;121,8628;4195c2f34e
49;63857506146091;63857506146301;0;78,01077;4195c2f34e
50;63857506146314;63857506146365;0;159,5175;4195c2f34e
51;63857506146780;63857506146807;0;436,0446;4195c2f34e
52;63857506146984;63857506147022;0;113,9306;4195c2f34e
53;63857506147236;63857506147299;0;313,5173;4195c2f34e
54;63857506147312;63857506147324;0;36,61974;4195c2f34e
55;63857506147655;63857506147720;0;310,4635;4195c2f34e
56;63857506147951;63857506148014;0;126,4855;4195c2f34e
57;63857506148589;63857506148629;0;141,237;4195c2f34e
58;63857506149066;63857506149133;0;234,1452;4195c2f34e
59;63857506149598;63857506149653;0;122,4447;4195c2f34e
60;63857506149818;63857506149886;0;326,2463;4195c2f34e
61;63857506150277;63857506150343;0;275,1644;4195c2f34e
62;63857506151065;63857506151107;0;134,4746;4195c2f34e
63;63857506151553;63857506151580;0;133,5446;4195c2f34e
64;63857506152118;63857506152161;0;106,7795;4195c2f34e
65;63857506152402;63857506152458;0;181,8885;4195c2f34e
66;63857506152670;63857506152741;0;220,8858;4195c2f34e
67;63857506153088;63857506153144;0;240,5067;4195c2f34e
68;63857506153365;63857506153421;0;182,6191;4195c2f34e
69;63857506153609;63857506153729;0;59,66808;4195c2f34e
70;63857506153755;63857506153862;0;138,5797;4195c2f34e
71;63857506153984;63857506154010;0;161,3536;4195c2f34e
72;63857506154064;63857506154118;0;217,1112;4195c2f34e
73;63857506154131;63857506154334;0;31,03408;4195c2f34e
74;63857506154347;63857506154375;0;160,8877;4195c2f34e
75;63857506154388;63857506154562;0;90,77421;4195c2f34e
76;63857506154709;63857506154776;0;431,7097;4195c2f34e
77;63857506154924;63857506155006;0;278,9609;4195c2f34e
78;63857506155531;63857506155588;0;139,3782;4195c2f34e
79;63857506155899;63857506155928;0;263,5616;4195c2f34e
80;63857506155955;63857506155984;0;86,64164;4195c2f34e
81;63857506156111;63857506156240;0;320,6498;4195c2f34e
82;63857506156268;63857506156283;0;95,39632;4195c2f34e
83;63857506156312;63857506156442;0;104,8427;4195c2f34e
84;63857506156525;63857506156640;0;97,66621;4195c2f34e
85;63857506156697;63857506156724;0;113,6225;4195c2f34e
86;63857506156948;63857506156990;0;222,3899;4195c2f34e
87;63857506157590;63857506157632;0;150,2796;4195c2f34e
88;63857506157853;63857506157908;0;309,7764;4195c2f34e
89;63857506158016;63857506158097;0;151,596;4195c2f34e
90;63857506158436;63857506158477;0;193,3921;4195c2f34e
91;63857506158922;63857506158979;0;386,7025;4195c2f34e
92;63857506159261;63857506159317;0;94,53768;4195c2f34e
93;63857506160851;63857506160891;0;292,8161;4195c2f34e
