Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856055855400;63856055855710;0;1;44fe85427e
2;63856055856032;63856055856121;0;2;44fe85427e
3;63856055863243;63856055863269;0;3;44fe85427e
4;63856055875234;63856055875246;0;4;44fe85427e
5;63856055905666;63856055905755;0;5;44fe85427e
6;63856055918471;63856055918526;0;4;44fe85427e
7;63856055964029;63856055964041;1;3;44fe85427e
8;63856055970585;63856055970652;1;3;44fe85427e
9;63856055973986;63856055974142;1;4;44fe85427e
10;63856055979741;63856055979785;1;4;44fe85427e
11;63856055985262;63856055985306;1;5;44fe85427e
12;63856055993951;63856055994006;1;6;44fe85427e
13;63856056004164;63856056004164;-1;7;44fe85427e
14;63856056027586;63856056027774;2;7;44fe85427e
15;63856056050629;63856056050874;2;4;44fe85427e
16;63856056067872;63856056067939;2;3;44fe85427e
17;63856056070951;63856056071006;2;4;44fe85427e
18;63856056071917;63856056072001;2;5;44fe85427e
19;63856056077295;63856056077329;2;6;44fe85427e
20;63856056104577;63856056104621;2;6;44fe85427e
21;63856056118139;63856056118183;2;6;44fe85427e
22;63856056118640;63856056118673;2;7;44fe85427e
23;63856056119806;63856056119862;2;8;44fe85427e
24;63856056120595;63856056120628;2;9;44fe85427e
25;63856056121906;63856056121939;2;10;44fe85427e
26;63856056150206;63856056150228;3;7;44fe85427e
27;63856056202125;63856056202136;3;2;44fe85427e
28;63856056202171;63856056202229;3;3;44fe85427e
29;63856056230942;63856056230989;-3;3;44fe85427e
30;63856056237504;63856056237526;4;4;44fe85427e
31;63856056253634;63856056253679;4;5;44fe85427e
32;63856056273258;63856056273458;4;4;44fe85427e
33;63856056273924;63856056273968;4;5;44fe85427e
34;63856056289756;63856056289846;4;6;44fe85427e
35;63856056297935;63856056298035;4;5;44fe85427e
36;63856056326836;63856056326913;4;5;44fe85427e
37;63856056328246;63856056328279;4;6;44fe85427e
38;63856056329134;63856056329156;4;7;44fe85427e
39;63856056330645;63856056330690;4;8;44fe85427e
40;63856056336935;63856056337001;4;7;44fe85427e
41;63856056337001;63856056337001;4;8;44fe85427e
42;63856056385904;63856056385915;5;7;44fe85427e
43;63856056392734;63856056392779;5;4;44fe85427e
44;63856056397312;63856056397434;5;3;44fe85427e
45;63856056423066;63856056423100;5;4;44fe85427e
46;63856056423300;63856056423367;5;5;44fe85427e
47;63856056424300;63856056424312;5;6;44fe85427e
48;63856056517321;63856056517376;6;1;44fe85427e
49;63856056517776;63856056517821;6;2;44fe85427e
50;63856056524265;63856056524309;6;3;44fe85427e
51;63856056524943;63856056524954;6;4;44fe85427e
52;63856056529031;63856056529087;6;5;44fe85427e
53;63856056529208;63856056529275;6;6;44fe85427e
54;63856056531875;63856056531875;6;7;44fe85427e
55;63856056531897;63856056531919;6;8;44fe85427e
56;63856056538420;63856056538508;6;9;44fe85427e
57;63856056547878;63856056547889;6;10;44fe85427e
58;63856056547900;63856056547944;6;11;44fe85427e
59;63856056548196;63856056548228;6;12;44fe85427e
60;63856056569019;63856056569030;6;13;44fe85427e
61;63856056569575;63856056569696;6;14;44fe85427e
62;63856056569840;63856056569919;6;15;44fe85427e
63;63856056573797;63856056573830;6;16;44fe85427e
64;63856056574019;63856056574075;6;17;44fe85427e
65;63856056574275;63856056574286;6;18;44fe85427e
66;63856056574786;63856056574830;6;19;44fe85427e
67;63856056575086;63856056575131;6;20;44fe85427e
68;63856056616340;63856056616418;6;9;44fe85427e
69;63856056619051;63856056619051;6;10;44fe85427e
70;63856056620040;63856056620085;6;11;44fe85427e
71;63856056627966;63856056627966;6;12;44fe85427e
72;63856056648960;63856056649016;7;5;44fe85427e
73;63856056653140;63856056653162;7;6;44fe85427e
74;63856056692148;63856056692182;7;3;44fe85427e
75;63856056705931;63856056705987;7;4;44fe85427e
76;63856056758927;63856056758972;8;2;44fe85427e
77;63856056761739;63856056761794;8;3;44fe85427e
78;63856056763216;63856056763283;8;4;44fe85427e
79;63856056763838;63856056763894;8;5;44fe85427e
80;63856056765016;63856056765061;8;6;44fe85427e
81;63856056765761;63856056765805;8;7;44fe85427e
82;63856056771693;63856056771716;8;7;44fe85427e
83;63856056771738;63856056771771;8;8;44fe85427e
84;63856056772104;63856056772137;8;9;44fe85427e
85;63856056773548;63856056773592;8;10;44fe85427e
86;63856056788911;63856056788922;8;11;44fe85427e
87;63856056790291;63856056790315;8;12;44fe85427e
88;63856056822445;63856056822479;8;11;44fe85427e
89;63856056823702;63856056823780;8;11;44fe85427e
90;63856056841737;63856056841803;8;5;44fe85427e
91;63856056850711;63856056850746;-8;4;44fe85427e
