Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856055843717;63856055843717;0;87,20959;44fe85427e
2;63856055843976;63856055844065;0;276,598;44fe85427e
3;63856055844143;63856055844165;0;133,4592;44fe85427e
4;63856055844398;63856055844410;0;177,8323;44fe85427e
5;63856055844499;63856055844588;0;129,0267;44fe85427e
6;63856055844606;63856055844691;0;167,6478;44fe85427e
7;63856055845066;63856055845110;0;110,574;44fe85427e
8;63856055845332;63856055845376;0;214,3446;44fe85427e
9;63856055845665;63856055845688;0;80,76268;44fe85427e
10;63856055845922;63856055845966;0;198,1884;44fe85427e
11;63856055846210;63856055846266;0;223,2117;44fe85427e
12;63856055846377;63856055846421;0;151,19;44fe85427e
13;63856055846588;63856055846621;0;131,6371;44fe85427e
14;63856055847610;63856055847676;0;273,8844;44fe85427e
15;63856055847733;63856055847810;0;236,0081;44fe85427e
16;63856055847833;63856055847844;0;153,5442;44fe85427e
17;63856055847855;63856055848033;0;105,9758;44fe85427e
18;63856055848056;63856055848122;0;64,46669;44fe85427e
19;63856055848511;63856055848533;0;108,4411;44fe85427e
20;63856055848756;63856055848822;0;163,5619;44fe85427e
21;63856055848878;63856055848911;0;122,5997;44fe85427e
22;63856055849289;63856055849322;0;169,5246;44fe85427e
23;63856055849533;63856055849566;0;97,67256;44fe85427e
24;63856055849844;63856055849877;0;290,1185;44fe85427e
25;63856055849988;63856055850033;0;230,2874;44fe85427e
26;63856055850766;63856055850810;0;145,7371;44fe85427e
27;63856055850966;63856055851010;0;102,5251;44fe85427e
28;63856055851332;63856055851354;0;119,2312;44fe85427e
29;63856055851722;63856055851755;0;245,3965;44fe85427e
30;63856055851955;63856055852076;0;147,5479;44fe85427e
31;63856055852087;63856055852165;0;182,9119;44fe85427e
32;63856055852187;63856055852286;0;176,86;44fe85427e
33;63856055852309;63856055852431;0;79,51707;44fe85427e
34;63856055852498;63856055852520;0;97,52548;44fe85427e
35;63856055852740;63856055852784;0;275,9647;44fe85427e
36;63856055853107;63856055853151;0;144,0253;44fe85427e
37;63856055853720;63856055853754;0;304,288;44fe85427e
38;63856055853965;63856055853986;0;99,3837;44fe85427e
39;63856055854120;63856055854220;0;314,2714;44fe85427e
40;63856055854365;63856055854387;0;200,445;44fe85427e
41;63856055854488;63856055854655;0;165,7985;44fe85427e
42;63856055854766;63856055854833;0;326,6039;44fe85427e
43;63856055854977;63856055855000;0;92,67539;44fe85427e
44;63856055855133;63856055855166;0;73,54591;44fe85427e
45;63856055855233;63856055855255;0;72,9667;44fe85427e
46;63856055855932;63856055855987;0;255,6253;44fe85427e
47;63856055856221;63856055856254;0;70,36665;44fe85427e
48;63856055856654;63856055856676;0;120,095;44fe85427e
49;63856055857043;63856055857076;0;239,2249;44fe85427e
50;63856055857253;63856055857309;0;138,5856;44fe85427e
