Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856404942692;63856404942740;0;1;47b3054ad0
2;63856405007924;63856405007983;1;1;47b3054ad0
3;63856405034494;63856405034508;1;2;47b3054ad0
4;63856405073474;63856405073486;2;2;47b3054ad0
5;63856405082640;63856405082741;2;3;47b3054ad0
6;63856405095176;63856405095232;2;3;47b3054ad0
7;63856405128999;63856405129045;3;4;47b3054ad0
8;63856405154646;63856405154711;3;3;47b3054ad0
9;63856405204762;63856405204800;4;2;47b3054ad0
10;63856405301265;63856405301292;6;1;47b3054ad0
11;63856405306092;63856405306145;6;2;47b3054ad0
12;63856405348659;63856405348732;-6;3;47b3054ad0
13;63856405352968;63856405353047;-6;4;47b3054ad0
14;63856405359740;63856405359777;-6;5;47b3054ad0
15;63856405379531;63856405379557;7;4;47b3054ad0
16;63856405427262;63856405427357;8;2;47b3054ad0
