Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856224304459;63856224304459;0;66,34955;495d99c243
2;63856224304459;63856224304459;0;35,51173;495d99c243
3;63856224304459;63856224304459;0;47,27985;495d99c243
4;63856224304459;63856224304506;0;56,07336;495d99c243
5;63856224304519;63856224304547;0;42,11213;495d99c243
6;63856224304723;63856224304925;0;16,24268;495d99c243
7;63856224305004;63856224305059;0;74,30578;495d99c243
8;63856224305099;63856224305181;0;26,57311;495d99c243
9;63856224305288;63856224305326;0;97,63561;495d99c243
10;63856224305444;63856224305469;0;419,3459;495d99c243
11;63856224306683;63856224306784;0;111,6369;495d99c243
12;63856224306810;63856224306847;0;57,45451;495d99c243
13;63856224307739;63856224307763;0;111,1757;495d99c243
14;63856224307777;63856224307788;0;34,26414;495d99c243
15;63856224307801;63856224307813;0;131,1216;495d99c243
16;63856224307837;63856224307862;0;80,26875;495d99c243
17;63856224307948;63856224307985;0;125,7439;495d99c243
18;63856224308011;63856224308048;0;75,01353;495d99c243
19;63856224308072;63856224308134;0;42,16194;495d99c243
20;63856224308219;63856224308244;0;208,8304;495d99c243
21;63856224308392;63856224308404;0;78,4353;495d99c243
22;63856224308565;63856224308578;0;203,6473;495d99c243
23;63856224308765;63856224308801;0;234,7992;495d99c243
24;63856224308838;63856224308925;0;89,60908;495d99c243
25;63856224309078;63856224309103;0;199,4173;495d99c243
26;63856224309128;63856224309155;0;280,9103;495d99c243
27;63856224309167;63856224309205;0;151,5801;495d99c243
28;63856224309217;63856224309269;0;146,584;495d99c243
29;63856224309318;63856224309369;0;296,593;495d99c243
30;63856224309570;63856224309646;0;71,13557;495d99c243
31;63856224309659;63856224309722;0;109,2962;495d99c243
32;63856224309746;63856224309770;0;80,53525;495d99c243
33;63856224310119;63856224310157;0;339,3637;495d99c243
34;63856224310853;63856224310865;0;208,7127;495d99c243
35;63856224310980;63856224311003;0;16,72751;495d99c243
36;63856224311210;63856224311232;0;40,80977;495d99c243
37;63856224311497;63856224311508;0;155,6989;495d99c243
38;63856224311564;63856224311598;0;371,2426;495d99c243
39;63856224311678;63856224311723;0;124,8624;495d99c243
40;63856224311768;63856224311803;0;84,67392;495d99c243
41;63856224312021;63856224312044;0;362,8345;495d99c243
42;63856224312168;63856224312202;0;176,1425;495d99c243
43;63856224312214;63856224312248;0;138,6389;495d99c243
44;63856224312304;63856224312339;0;232,8445;495d99c243
45;63856224312374;63856224312419;0;385,169;495d99c243
46;63856224312966;63856224312979;0;147,4344;495d99c243
47;63856224313044;63856224313056;0;493,222;495d99c243
48;63856224313135;63856224313224;0;97,37836;495d99c243
49;63856224313250;63856224313277;0;247,2519;495d99c243
50;63856224313366;63856224313404;0;311,0597;495d99c243
51;63856224313469;63856224313482;0;79,96172;495d99c243
52;63856224313509;63856224313547;0;174,8673;495d99c243
53;63856224313572;63856224313612;0;189,9874;495d99c243
54;63856224313834;63856224313875;0;92,19637;495d99c243
55;63856224313888;63856224313939;0;149,9613;495d99c243
56;63856224313979;63856224313992;0;257,5369;495d99c243
57;63856224314005;63856224314032;0;199,0493;495d99c243
58;63856224314045;63856224314070;0;207,8321;495d99c243
59;63856224314243;63856224314269;0;127,4294;495d99c243
60;63856224314269;63856224314388;0;79,12259;495d99c243
61;63856224314638;63856224314679;0;98,72456;495d99c243
62;63856224314799;63856224314864;0;103,3868;495d99c243
63;63856224315073;63856224315113;0;290,274;495d99c243
64;63856224315283;63856224315311;0;253,7816;495d99c243
65;63856224315695;63856224315723;0;267,5225;495d99c243
66;63856224315828;63856224315843;0;138,352;495d99c243
67;63856224315882;63856224315895;0;94,86164;495d99c243
68;63856224315910;63856224315962;0;194,6561;495d99c243
69;63856224317192;63856224317222;0;123,0364;495d99c243
70;63856224317279;63856224317309;0;41,07167;495d99c243
71;63856224317351;63856224317381;0;178,6693;495d99c243
72;63856224317526;63856224317627;0;37,48316;495d99c243
73;63856224317643;63856224317788;0;5,124792;495d99c243
74;63856224317902;63856224317932;0;124,9174;495d99c243
75;63856224317947;63856224318034;0;39,33587;495d99c243
76;63856224318339;63856224318369;0;122,0123;495d99c243
77;63856224318442;63856224318500;0;157,9655;495d99c243
78;63856224318514;63856224318558;0;266,0014;495d99c243
79;63856224318676;63856224318703;0;109,3679;495d99c243
80;63856224318733;63856224318761;0;233,165;495d99c243
81;63856224318905;63856224318978;0;152,7668;495d99c243
82;63856224319372;63856224319401;0;593,6442;495d99c243
83;63856224319543;63856224319556;0;503,791;495d99c243
84;63856224320254;63856224320279;0;53,01772;495d99c243
85;63856224320304;63856224320317;0;113,8745;495d99c243
86;63856224320380;63856224320405;0;203,0369;495d99c243
87;63856224320789;63856224320826;0;333,7525;495d99c243
88;63856224321223;63856224321261;0;218,7088;495d99c243
89;63856224321365;63856224321378;0;159,7907;495d99c243
90;63856224321469;63856224321494;0;133,9271;495d99c243
91;63856224321574;63856224321588;0;36,20787;495d99c243
92;63856224321710;63856224321749;0;59,55725;495d99c243
93;63856224321762;63856224321804;0;119,0616;495d99c243
94;63856224321844;63856224321884;0;87,87292;495d99c243
95;63856224321992;63856224322033;0;133,7535;495d99c243
96;63856224322236;63856224322278;0;171,3227;495d99c243
97;63856224322358;63856224322371;0;337,9776;495d99c243
98;63856224322439;63856224322454;0;194,3763;495d99c243
99;63856224322609;63856224322634;0;316,8883;495d99c243
100;63856224322646;63856224322718;0;115,5202;495d99c243
101;63856224323957;63856224324017;0;139,4409;495d99c243
102;63856224325280;63856224325316;0;353,106;495d99c243
103;63856224325362;63856224325375;0;152,8628;495d99c243
104;63856224325985;63856224326022;0;95,12749;495d99c243
105;63856224326150;63856224326185;0;511,9361;495d99c243
106;63856224326332;63856224326344;0;495,072;495d99c243
107;63856224326344;63856224326368;0;154,935;495d99c243
108;63856224326380;63856224326392;0;375,2186;495d99c243
109;63856224326417;63856224326455;0;293,2513;495d99c243
110;63856224326750;63856224326788;0;47,76648;495d99c243
111;63856224328284;63856224328311;0;330,4254;495d99c243
112;63856224329181;63856224329216;0;249,9279;495d99c243
113;63856224329229;63856224329254;0;121,6565;495d99c243
114;63856224329290;63856224329327;0;59,16134;495d99c243
115;63856224329462;63856224329500;0;151,1828;495d99c243
116;63856224329611;63856224329636;0;345,8367;495d99c243
117;63856224331967;63856224331981;0;229,6367;495d99c243
118;63856224334172;63856224334281;0;200,7565;495d99c243
119;63856224334594;63856224334632;0;303,8156;495d99c243
120;63856224334656;63856224334715;0;305,7416;495d99c243
121;63856224334726;63856224334739;0;409,1187;495d99c243
122;63856224334895;63856224334932;0;165,1839;495d99c243
123;63856224335050;63856224335111;0;94,54043;495d99c243
124;63856224335147;63856224335232;0;125,1523;495d99c243
125;63856224335256;63856224335304;0;120,1859;495d99c243
126;63856224335316;63856224335329;0;56,37151;495d99c243
127;63856224335354;63856224335379;0;117,8432;495d99c243
128;63856224335855;63856224335893;0;92,75849;495d99c243
129;63856224336416;63856224336454;0;226,1131;495d99c243
130;63856224336478;63856224336502;0;479,6508;495d99c243
131;63856224336527;63856224336554;0;474,57;495d99c243
132;63856224336957;63856224336968;0;101,8431;495d99c243
133;63856224337115;63856224337150;0;77,5668;495d99c243
134;63856224338168;63856224338193;0;333,1884;495d99c243
135;63856224338217;63856224338244;0;310,4805;495d99c243
136;63856224339025;63856224339062;0;167,4077;495d99c243
137;63856224339399;63856224339424;0;97,34373;495d99c243
138;63856224339436;63856224339462;0;120,8919;495d99c243
139;63856224339578;63856224339603;0;402,0734;495d99c243
140;63856224339616;63856224339654;0;235,2374;495d99c243
141;63856224339755;63856224339820;0;187,2596;495d99c243
142;63856224339920;63856224339997;0;38,41418;495d99c243
143;63856224340034;63856224340085;0;222,7119;495d99c243
144;63856224340199;63856224340284;0;179,6336;495d99c243
145;63856224340284;63856224340346;0;157,4649;495d99c243
146;63856224340358;63856224340370;0;432,9695;495d99c243
147;63856224340481;63856224340505;0;222,4797;495d99c243
148;63856224340519;63856224340642;0;63,05537;495d99c243
149;63856224340702;63856224340739;0;362,1017;495d99c243
150;63856224340764;63856224340788;0;265,1245;495d99c243
151;63856224340824;63856224340836;0;206,4915;495d99c243
152;63856224340849;63856224340874;0;97,31392;495d99c243
153;63856224341144;63856224341169;0;94,22511;495d99c243
154;63856224341231;63856224341280;0;36,50841;495d99c243
155;63856224341292;63856224341378;0;16,62729;495d99c243
156;63856224342006;63856224342020;0;118,8014;495d99c243
157;63856224342260;63856224342271;0;103,2203;495d99c243
158;63856224342344;63856224342368;0;12,89652;495d99c243
159;63856224342931;63856224342965;0;145,1855;495d99c243
160;63856224342977;63856224343023;0;198,6203;495d99c243
161;63856224343105;63856224343128;0;195,5918;495d99c243
162;63856224343269;63856224343292;0;173,9623;495d99c243
163;63856224345112;63856224345158;0;189,3775;495d99c243
164;63856224345253;63856224345300;0;77,45851;495d99c243
165;63856224345311;63856224345358;0;211,3353;495d99c243
166;63856224345429;63856224345547;0;31,17093;495d99c243
167;63856224345559;63856224345619;0;53,34635;495d99c243
168;63856224345630;63856224345643;0;77,64405;495d99c243
169;63856224345666;63856224345677;0;214,3317;495d99c243
170;63856224346178;63856224346190;0;619,5385;495d99c243
171;63856224347166;63856224347178;0;166,6009;495d99c243
172;63856224347202;63856224347216;0;282,4803;495d99c243
173;63856224347268;63856224347320;0;81,19886;495d99c243
174;63856224348032;63856224348214;0;18,92904;495d99c243
175;63856224348227;63856224348240;0;84,03462;495d99c243
176;63856224348578;63856224348642;0;167,4204;495d99c243
177;63856224348769;63856224348834;0;66,70609;495d99c243
178;63856224348847;63856224348912;0;98,65133;495d99c243
179;63856224349567;63856224349592;0;235,1493;495d99c243
180;63856224349682;63856224349734;0;272,0899;495d99c243
181;63856224350760;63856224350774;0;361,7163;495d99c243
182;63856224350891;63856224350905;0;134,5505;495d99c243
183;63856224350934;63856224350978;0;133,2634;495d99c243
184;63856224351225;63856224351255;0;12,58942;495d99c243
185;63856224351472;63856224351502;0;308,814;495d99c243
186;63856224352280;63856224352323;0;53,76569;495d99c243
187;63856224352410;63856224352453;0;86,16147;495d99c243
188;63856224353354;63856224353418;0;140,4057;495d99c243
189;63856224353524;63856224353537;0;83,96151;495d99c243
190;63856224353564;63856224353602;0;147,3875;495d99c243
191;63856224353629;63856224353667;0;171,159;495d99c243
192;63856224354230;63856224354294;0;111,4538;495d99c243
