Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856117677476;63856117677545;0;14,14189;4fbe985576
2;63856117678065;63856117678134;0;9,494465;4fbe985576
3;63856117678175;63856117678217;0;2,469817;4fbe985576
4;63856117678230;63856117678259;0;1,670818;4fbe985576
5;63856117678286;63856117678315;0;7,597242;4fbe985576
6;63856117678412;63856117678441;0;3,580531;4fbe985576
7;63856117678738;63856117678778;0;11,58509;4fbe985576
8;63856117678919;63856117678948;0;8,714967;4fbe985576
9;63856117679030;63856117679111;0;10,59934;4fbe985576
10;63856117679124;63856117679151;0;1,976056;4fbe985576
11;63856117679164;63856117679204;0;3,964325;4fbe985576
12;63856117679204;63856117679256;0;9,248475;4fbe985576
13;63856117679398;63856117679423;0;3,919666;4fbe985576
14;63856117679763;63856117679801;0;3,259486;4fbe985576
15;63856117679989;63856117680040;0;4,680107;4fbe985576
16;63856117680254;63856117680293;0;3,624717;4fbe985576
17;63856117680557;63856117680621;0;27,18622;4fbe985576
18;63856117680661;63856117680674;0;1,83547;4fbe985576
19;63856117680715;63856117680755;0;5,413704;4fbe985576
20;63856117680767;63856117680848;0;6,650128;4fbe985576
21;63856117681754;63856117681781;0;1,909469;4fbe985576
22;63856117682185;63856117682210;0;2,483725;4fbe985576
23;63856117682262;63856117682275;0;8,053032;4fbe985576
24;63856117682300;63856117682326;0;4,33219;4fbe985576
25;63856117682389;63856117682504;0;8,297915;4fbe985576
26;63856117682516;63856117682556;0;3,128001;4fbe985576
27;63856117682607;63856117682656;0;10,92878;4fbe985576
28;63856117682822;63856117682848;0;1,163988;4fbe985576
29;63856117682970;63856117682982;0;1,629548;4fbe985576
30;63856117683292;63856117683350;0;15,89782;4fbe985576
31;63856117683470;63856117683505;0;4,190636;4fbe985576
32;63856117683850;63856117683887;0;9,578382;4fbe985576
33;63856117684056;63856117684081;0;3,054604;4fbe985576
34;63856117684222;63856117684281;0;7,152257;4fbe985576
35;63856117684409;63856117684456;0;5,649029;4fbe985576
36;63856117684669;63856117684681;0;3,396498;4fbe985576
37;63856117685115;63856117685126;0;1,369451;4fbe985576
38;63856117685712;63856117685788;0;29,31478;4fbe985576
39;63856117685864;63856117685984;0;14,89802;4fbe985576
40;63856117685997;63856117686025;0;3,160564;4fbe985576
41;63856117686159;63856117686186;0;2,696532;4fbe985576
42;63856117686509;63856117686550;0;6,038808;4fbe985576
43;63856117686590;63856117686605;0;1,078471;4fbe985576
44;63856117686981;63856117687008;0;7,065691;4fbe985576
45;63856117687398;63856117687439;0;7,713706;4fbe985576
46;63856117687911;63856117687951;0;15,42276;4fbe985576
47;63856117688072;63856117688126;0;5,931909;4fbe985576
48;63856117688245;63856117688288;0;23,06076;4fbe985576
49;63856117688315;63856117688341;0;2,176728;4fbe985576
50;63856117688383;63856117688410;0;2,906431;4fbe985576
51;63856117688425;63856117688439;0;1,342755;4fbe985576
52;63856117688546;63856117688560;0;2,626443;4fbe985576
53;63856117688793;63856117688847;0;4,846665;4fbe985576
54;63856117689118;63856117689185;0;4,888402;4fbe985576
55;63856117689375;63856117689442;0;24,87125;4fbe985576
56;63856117689456;63856117689484;0;4,459224;4fbe985576
57;63856117689526;63856117689596;0;9,578485;4fbe985576
58;63856117690118;63856117690131;0;1,498808;4fbe985576
59;63856117690378;63856117690432;0;16,70163;4fbe985576
60;63856117690528;63856117690557;0;5,157613;4fbe985576
61;63856117690630;63856117690643;0;2,975917;4fbe985576
62;63856117690828;63856117690885;0;10,49338;4fbe985576
63;63856117691254;63856117691316;0;12,31649;4fbe985576
64;63856117691363;63856117691408;0;9,991961;4fbe985576
65;63856117691469;63856117691498;0;2,436787;4fbe985576
66;63856117691498;63856117691528;0;2,101799;4fbe985576
67;63856117691544;63856117691560;0;1,694544;4fbe985576
68;63856117691786;63856117691831;0;3,846798;4fbe985576
69;63856117692121;63856117692138;0;1,660243;4fbe985576
70;63856117693147;63856117693208;0;10,7377;4fbe985576
71;63856117693267;63856117693314;0;7,295115;4fbe985576
72;63856117693328;63856117693451;0;11,9841;4fbe985576
73;63856117693466;63856117693556;0;20,80977;4fbe985576
74;63856117694503;63856117694529;0;2,904545;4fbe985576
75;63856117695594;63856117695633;0;10,49777;4fbe985576
76;63856117695714;63856117695769;0;11,27835;4fbe985576
77;63856117695850;63856117695907;0;5,337664;4fbe985576
78;63856117696595;63856117696649;0;8,804218;4fbe985576
79;63856117696717;63856117696729;0;2,993494;4fbe985576
80;63856117696743;63856117696758;0;2,909393;4fbe985576
81;63856117696966;63856117697018;0;10,58232;4fbe985576
82;63856117697256;63856117697296;0;11,1559;4fbe985576
83;63856117697350;63856117697377;0;5,284832;4fbe985576
84;63856117697496;63856117697537;0;4,374884;4fbe985576
85;63856117697749;63856117697763;0;1,445097;4fbe985576
86;63856117697962;63856117698003;0;9,723464;4fbe985576
87;63856117698132;63856117698185;0;9,706059;4fbe985576
88;63856117698476;63856117698529;0;9,797295;4fbe985576
89;63856117699377;63856117699406;0;1,835044;4fbe985576
90;63856117699515;63856117699541;0;14,35704;4fbe985576
91;63856117699555;63856117699582;0;1,918365;4fbe985576
92;63856117699869;63856117699928;0;12,40245;4fbe985576
93;63856117699999;63856117700056;0;19,14659;4fbe985576
94;63856117700072;63856117700098;0;1,873044;4fbe985576
95;63856117700171;63856117700212;0;3,742823;4fbe985576
96;63856117700314;63856117700372;0;8,279984;4fbe985576
97;63856117700617;63856117700645;0;6,031142;4fbe985576
98;63856117700675;63856117700718;0;8,238022;4fbe985576
99;63856117701260;63856117701274;0;3,391479;4fbe985576
100;63856117701581;63856117701595;0;1,211923;4fbe985576
101;63856117701623;63856117701666;0;5,152139;4fbe985576
102;63856117701823;63856117701852;0;3,721943;4fbe985576
103;63856117701866;63856117701881;0;0,3896677;4fbe985576
104;63856117702022;63856117702063;0;9,326664;4fbe985576
105;63856117702159;63856117702186;0;3,007391;4fbe985576
106;63856117702198;63856117702214;0;1,653866;4fbe985576
107;63856117702227;63856117702253;0;1,383667;4fbe985576
108;63856117702281;63856117702307;0;2,034324;4fbe985576
109;63856117702321;63856117702416;0;15,37342;4fbe985576
110;63856117702784;63856117702822;0;8,91815;4fbe985576
111;63856117702953;63856117702978;0;2,201671;4fbe985576
112;63856117703425;63856117703450;0;2,777138;4fbe985576
113;63856117703884;63856117703910;0;6,61921;4fbe985576
114;63856117704044;63856117704125;0;16,7142;4fbe985576
115;63856117704244;63856117704311;0;10,12063;4fbe985576
116;63856117704418;63856117704445;0;5,598252;4fbe985576
117;63856117705253;63856117705308;0;7,830578;4fbe985576
