Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856117677476;63856117677545;0;202,0269;4fbe985576
2;63856117678065;63856117678134;0;118,6808;4fbe985576
3;63856117678175;63856117678217;0;70,56619;4fbe985576
4;63856117678230;63856117678259;0;83,54091;4fbe985576
5;63856117678286;63856117678315;0;253,2414;4fbe985576
6;63856117678412;63856117678441;0;89,51327;4fbe985576
7;63856117678738;63856117678778;0;210,638;4fbe985576
8;63856117678919;63856117678948;0;248,9991;4fbe985576
9;63856117679030;63856117679111;0;124,6982;4fbe985576
10;63856117679124;63856117679151;0;79,04224;4fbe985576
11;63856117679164;63856117679204;0;113,2664;4fbe985576
12;63856117679204;63856117679256;0;205,5217;4fbe985576
13;63856117679398;63856117679423;0;130,6555;4fbe985576
14;63856117679763;63856117679801;0;93,12818;4fbe985576
15;63856117679989;63856117680040;0;104,0024;4fbe985576
16;63856117680254;63856117680293;0;90,61791;4fbe985576
17;63856117680557;63856117680621;0;418,2496;4fbe985576
18;63856117680661;63856117680674;0;122,3647;4fbe985576
19;63856117680715;63856117680755;0;135,3426;4fbe985576
20;63856117680767;63856117680848;0;88,66838;4fbe985576
21;63856117681754;63856117681781;0;95,47343;4fbe985576
22;63856117682185;63856117682210;0;99,34902;4fbe985576
23;63856117682262;63856117682275;0;402,6516;4fbe985576
24;63856117682300;63856117682326;0;173,2876;4fbe985576
25;63856117682389;63856117682504;0;75,43559;4fbe985576
26;63856117682516;63856117682556;0;78,20003;4fbe985576
27;63856117682607;63856117682656;0;273,2194;4fbe985576
28;63856117682822;63856117682848;0;77,59924;4fbe985576
29;63856117682970;63856117682982;0;108,6366;4fbe985576
30;63856117683292;63856117683350;0;317,9563;4fbe985576
31;63856117683470;63856117683505;0;119,7324;4fbe985576
32;63856117683850;63856117683887;0;212,8529;4fbe985576
33;63856117684056;63856117684081;0;101,8201;4fbe985576
34;63856117684222;63856117684281;0;130,041;4fbe985576
35;63856117684409;63856117684456;0;102,7096;4fbe985576
36;63856117684669;63856117684681;0;226,4332;4fbe985576
37;63856117685115;63856117685126;0;91,29672;4fbe985576
38;63856117685712;63856117685788;0;344,8798;4fbe985576
39;63856117685864;63856117685984;0;124,1502;4fbe985576
40;63856117685997;63856117686025;0;105,3521;4fbe985576
41;63856117686159;63856117686186;0;107,8613;4fbe985576
42;63856117686509;63856117686550;0;150,9702;4fbe985576
43;63856117686590;63856117686605;0;71,89807;4fbe985576
44;63856117686981;63856117687008;0;235,5231;4fbe985576
45;63856117687398;63856117687439;0;220,3916;4fbe985576
46;63856117687911;63856117687951;0;308,4552;4fbe985576
47;63856117688072;63856117688126;0;91,26014;4fbe985576
48;63856117688245;63856117688288;0;576,519;4fbe985576
49;63856117688315;63856117688341;0;108,8364;4fbe985576
50;63856117688383;63856117688410;0;83,04089;4fbe985576
51;63856117688425;63856117688439;0;89,517;4fbe985576
52;63856117688546;63856117688560;0;131,3221;4fbe985576
53;63856117688793;63856117688847;0;107,7037;4fbe985576
54;63856117689118;63856117689185;0;65,17869;4fbe985576
55;63856117689375;63856117689442;0;355,3036;4fbe985576
56;63856117689456;63856117689484;0;148,6408;4fbe985576
57;63856117689526;63856117689596;0;127,7131;4fbe985576
58;63856117690118;63856117690131;0;74,94041;4fbe985576
59;63856117690378;63856117690432;0;278,3604;4fbe985576
60;63856117690528;63856117690557;0;128,9403;4fbe985576
61;63856117690630;63856117690643;0;148,7959;4fbe985576
62;63856117690828;63856117690885;0;209,8676;4fbe985576
63;63856117691254;63856117691316;0;223,9363;4fbe985576
64;63856117691363;63856117691408;0;199,8392;4fbe985576
65;63856117691469;63856117691498;0;97,47147;4fbe985576
66;63856117691498;63856117691528;0;105,09;4fbe985576
67;63856117691544;63856117691560;0;112,9696;4fbe985576
68;63856117691786;63856117691831;0;96,16996;4fbe985576
69;63856117692121;63856117692138;0;83,01217;4fbe985576
